iter	commit	val_score	headroom	status	change_class	agent	model	rationale
1		0.97152	0	discard	architecture	dual-domain-bf-v2-search-tpe-calibrated-breast-ct	random-search	dual-domain-bf-v2-search-tpe-calibrated-breast-ct: epochs=11, lr=0.0011599, batch_size=1, proj_kernel=5, img_kernel=7, proj_sx=0.70577, proj_sy=0.32609, proj_sr=0.010442, img_sx=0.75736, img_sr=0.0085366
2		0.97152	0	discard	architecture	dual-domain-bf-v2-search-tpe-calibrated-breast-ct	random-search	dual-domain-bf-v2-search-tpe-calibrated-breast-ct: epochs=9, lr=0.00080936, batch_size=1, proj_kernel=3, img_kernel=5, proj_sx=0.18057, proj_sy=0.72296, proj_sr=0.0060857, img_sx=0.92449, img_sr=0.012852
3		0.97152	0	discard	architecture	dual-domain-bf-v2-search-tpe-calibrated-breast-ct	random-search	dual-domain-bf-v2-search-tpe-calibrated-breast-ct: epochs=15, lr=0.0044908, batch_size=1, proj_kernel=3, img_kernel=7, proj_sx=0.44914, proj_sy=1.1285, proj_sr=0.0074578, img_sx=0.67349, img_sr=0.014882
4		0.97152	0	discard	architecture	dual-domain-bf-v2-search-tpe-calibrated-breast-ct	random-search	dual-domain-bf-v2-search-tpe-calibrated-breast-ct: epochs=7, lr=0.0025866, batch_size=2, proj_kernel=3, img_kernel=7, proj_sx=0.29611, proj_sy=0.34277, proj_sr=0.0063143, img_sx=0.92216, img_sr=0.0060718
5		0.97152	0	discard	architecture	dual-domain-bf-v2-search-tpe-calibrated-breast-ct	random-search	dual-domain-bf-v2-search-tpe-calibrated-breast-ct: epochs=7, lr=0.002114, batch_size=2, proj_kernel=5, img_kernel=5, proj_sx=0.5036, proj_sy=0.81872, proj_sr=0.0057535, img_sx=0.93633, img_sr=0.020905
6		0.97152	0	discard	architecture	dual-domain-bf-v2-search-tpe-calibrated-breast-ct	random-search	dual-domain-bf-v2-search-tpe-calibrated-breast-ct: epochs=13, lr=0.00070386, batch_size=1, proj_kernel=5, img_kernel=7, proj_sx=0.78966, proj_sy=0.31362, proj_sr=0.021036, img_sx=1.4319, img_sr=0.0060404
7		0.97152	0	discard	architecture	dual-domain-bf-v2-search-tpe-calibrated-breast-ct	random-search	dual-domain-bf-v2-search-tpe-calibrated-breast-ct: epochs=11, lr=0.0011522, batch_size=1, proj_kernel=5, img_kernel=7, proj_sx=0.7918, proj_sy=0.59283, proj_sr=0.013806, img_sx=0.52928, img_sr=0.0087146
8		0.97152	0	discard	architecture	dual-domain-bf-v2-search-tpe-calibrated-breast-ct	random-search	dual-domain-bf-v2-search-tpe-calibrated-breast-ct: epochs=11, lr=0.00053163, batch_size=1, proj_kernel=5, img_kernel=7, proj_sx=0.58338, proj_sy=0.53495, proj_sr=0.01132, img_sx=1.255, img_sr=0.028406
9		0.97152	0	discard	architecture	dual-domain-bf-v2-search-tpe-calibrated-breast-ct	random-search	dual-domain-bf-v2-search-tpe-calibrated-breast-ct: epochs=5, lr=0.0013502, batch_size=2, proj_kernel=5, img_kernel=5, proj_sx=0.65618, proj_sy=1.0028, proj_sr=0.029721, img_sx=0.70723, img_sr=0.0089918
10		0.97152	0	discard	architecture	dual-domain-bf-v2-search-tpe-calibrated-breast-ct	random-search	dual-domain-bf-v2-search-tpe-calibrated-breast-ct: epochs=14, lr=0.0030551, batch_size=1, proj_kernel=5, img_kernel=7, proj_sx=0.35247, proj_sy=0.47315, proj_sr=0.01045, img_sx=1.1588, img_sr=0.0088299
