iter	commit	val_score	headroom	status	change_class	agent	model	rationale
1		0.988918	0.250444	keep	architecture	dual-domain-bilateral-supervised-search-tpe-calibrated-breast-ct	random-search	dual-domain-bilateral-supervised-search-tpe-calibrated-breast-ct: proj_n_bf=3, img_n_bf=3, proj_kernel=3, img_kernel=9, proj_sx=0.01, proj_sy=0.3, proj_sr=0.0005, img_sx=0.5, img_sr=0.02, epochs=10, lr=0.005
2		0.988924	0.249178	keep	architecture	dual-domain-bilateral-supervised-search-tpe-calibrated-breast-ct	random-search	dual-domain-bilateral-supervised-search-tpe-calibrated-breast-ct: proj_n_bf=3, img_n_bf=7, proj_kernel=5, img_kernel=9, proj_sx=0.02335, proj_sy=0.38986, proj_sr=0.00019848, img_sx=0.3574, img_sr=0.0080487, epochs=8, lr=0.002407
3		0.98841	0.247234	keep	architecture	dual-domain-bilateral-supervised-search-tpe-calibrated-breast-ct	random-search	dual-domain-bilateral-supervised-search-tpe-calibrated-breast-ct: proj_n_bf=5, img_n_bf=2, proj_kernel=5, img_kernel=9, proj_sx=0.0074553, proj_sy=0.40438, proj_sr=0.00018518, img_sx=0.79964, img_sr=0.007928, epochs=12, lr=0.0041198
4		0.988888	0.250176	keep	architecture	dual-domain-bilateral-supervised-search-tpe-calibrated-breast-ct	random-search	dual-domain-bilateral-supervised-search-tpe-calibrated-breast-ct: proj_n_bf=3, img_n_bf=3, proj_kernel=3, img_kernel=11, proj_sx=0.0093529, proj_sy=0.38828, proj_sr=0.00056215, img_sx=0.35484, img_sr=0.013655, epochs=14, lr=0.0084069
5		0.989435	0.255401	keep	architecture	dual-domain-bilateral-supervised-search-tpe-calibrated-breast-ct	random-search	dual-domain-bilateral-supervised-search-tpe-calibrated-breast-ct: proj_n_bf=3, img_n_bf=5, proj_kernel=5, img_kernel=5, proj_sx=0.028334, proj_sy=0.17061, proj_sr=0.00013939, img_sx=0.39214, img_sr=0.010518, epochs=12, lr=0.0050592
6		0.987909	0.237526	keep	architecture	dual-domain-bilateral-supervised-search-tpe-calibrated-breast-ct	random-search	dual-domain-bilateral-supervised-search-tpe-calibrated-breast-ct: proj_n_bf=2, img_n_bf=5, proj_kernel=5, img_kernel=5, proj_sx=0.044211, proj_sy=0.13585, proj_sr=0.001994, img_sx=0.66321, img_sr=0.042746, epochs=15, lr=0.005529
7		0.989416	0.255314	keep	architecture	dual-domain-bilateral-supervised-search-tpe-calibrated-breast-ct	random-search	dual-domain-bilateral-supervised-search-tpe-calibrated-breast-ct: proj_n_bf=1, img_n_bf=5, proj_kernel=5, img_kernel=5, proj_sx=0.025548, proj_sy=0.10219, proj_sr=0.00010388, img_sx=0.98812, img_sr=0.0051861, epochs=12, lr=0.0028124
8		0.985418	0.216228	keep	architecture	dual-domain-bilateral-supervised-search-tpe-calibrated-breast-ct	random-search	dual-domain-bilateral-supervised-search-tpe-calibrated-breast-ct: proj_n_bf=5, img_n_bf=1, proj_kernel=5, img_kernel=5, proj_sx=0.049414, proj_sy=0.23716, proj_sr=0.00024033, img_sx=0.52675, img_sr=0.018087, epochs=10, lr=0.0081497
9		0.98871	0.248233	keep	architecture	dual-domain-bilateral-supervised-search-tpe-calibrated-breast-ct	random-search	dual-domain-bilateral-supervised-search-tpe-calibrated-breast-ct: proj_n_bf=2, img_n_bf=5, proj_kernel=3, img_kernel=7, proj_sx=0.018313, proj_sy=0.59699, proj_sr=0.0010889, img_sx=0.53456, img_sr=0.033458, epochs=13, lr=0.0036551
10		0.989339	0.259159	keep	architecture	dual-domain-bilateral-supervised-search-tpe-calibrated-breast-ct	random-search	dual-domain-bilateral-supervised-search-tpe-calibrated-breast-ct: proj_n_bf=1, img_n_bf=7, proj_kernel=5, img_kernel=7, proj_sx=0.032004, proj_sy=0.21077, proj_sr=0.0001075, img_sx=0.3102, img_sr=0.010507, epochs=10, lr=0.0062495
11		0.988834	0.249259	keep	architecture	dual-domain-bilateral-supervised-search-tpe-calibrated-breast-ct	random-search	dual-domain-bilateral-supervised-search-tpe-calibrated-breast-ct: proj_n_bf=1, img_n_bf=7, proj_kernel=3, img_kernel=7, proj_sx=0.005325, proj_sy=0.51852, proj_sr=0.00030631, img_sx=0.77687, img_sr=0.02608, epochs=8, lr=0.0068653
12		0.989776	0.263395	keep	architecture	dual-domain-bilateral-supervised-search-tpe-calibrated-breast-ct	random-search	dual-domain-bilateral-supervised-search-tpe-calibrated-breast-ct: proj_n_bf=1, img_n_bf=7, proj_kernel=5, img_kernel=7, proj_sx=0.030588, proj_sy=0.20408, proj_sr=0.00010325, img_sx=0.31866, img_sr=0.011197, epochs=10, lr=0.0059038
13		0.989011	0.251359	keep	architecture	dual-domain-bilateral-supervised-search-tpe-calibrated-breast-ct	random-search	dual-domain-bilateral-supervised-search-tpe-calibrated-breast-ct: proj_n_bf=1, img_n_bf=7, proj_kernel=5, img_kernel=7, proj_sx=0.034092, proj_sy=0.24313, proj_sr=0.00011061, img_sx=0.44331, img_sr=0.012547, epochs=10, lr=0.0066247
14		0.988659	0.245884	keep	architecture	dual-domain-bilateral-supervised-search-tpe-calibrated-breast-ct	random-search	dual-domain-bilateral-supervised-search-tpe-calibrated-breast-ct: proj_n_bf=1, img_n_bf=7, proj_kernel=5, img_kernel=7, proj_sx=0.015821, proj_sy=0.21891, proj_sr=0.00031433, img_sx=0.30879, img_sr=0.0079394, epochs=9, lr=0.0095371
15		0.989015	0.251278	keep	architecture	dual-domain-bilateral-supervised-search-tpe-calibrated-breast-ct	random-search	dual-domain-bilateral-supervised-search-tpe-calibrated-breast-ct: proj_n_bf=1, img_n_bf=7, proj_kernel=5, img_kernel=7, proj_sx=0.035122, proj_sy=0.30578, proj_sr=0.00014604, img_sx=0.62587, img_sr=0.010904, epochs=11, lr=0.0063151
16		0.986302	0.231227	keep	architecture	dual-domain-bilateral-supervised-search-tpe-calibrated-breast-ct	random-search	dual-domain-bilateral-supervised-search-tpe-calibrated-breast-ct: proj_n_bf=1, img_n_bf=1, proj_kernel=5, img_kernel=11, proj_sx=0.019287, proj_sy=0.17681, proj_sr=0.0010104, img_sx=0.30271, img_sr=0.0051564, epochs=9, lr=0.0041863
17		0.988389	0.246327	keep	architecture	dual-domain-bilateral-supervised-search-tpe-calibrated-breast-ct	random-search	dual-domain-bilateral-supervised-search-tpe-calibrated-breast-ct: proj_n_bf=1, img_n_bf=2, proj_kernel=5, img_kernel=7, proj_sx=0.012562, proj_sy=0.30745, proj_sr=0.00014284, img_sx=0.43111, img_sr=0.016215, epochs=11, lr=0.0032771
18		0.988853	0.249469	keep	architecture	dual-domain-bilateral-supervised-search-tpe-calibrated-breast-ct	random-search	dual-domain-bilateral-supervised-search-tpe-calibrated-breast-ct: proj_n_bf=1, img_n_bf=7, proj_kernel=5, img_kernel=7, proj_sx=0.03759, proj_sy=0.47646, proj_sr=0.00010066, img_sx=0.66305, img_sr=0.023578, epochs=9, lr=0.0058494
19		0.989277	0.254303	keep	architecture	dual-domain-bilateral-supervised-search-tpe-calibrated-breast-ct	random-search	dual-domain-bilateral-supervised-search-tpe-calibrated-breast-ct: proj_n_bf=2, img_n_bf=7, proj_kernel=3, img_kernel=7, proj_sx=0.022675, proj_sy=0.27317, proj_sr=0.00034111, img_sx=0.46219, img_sr=0.0097098, epochs=11, lr=0.0076893
20		0.989059	0.250937	keep	architecture	dual-domain-bilateral-supervised-search-tpe-calibrated-breast-ct	random-search	dual-domain-bilateral-supervised-search-tpe-calibrated-breast-ct: proj_n_bf=5, img_n_bf=7, proj_kernel=5, img_kernel=11, proj_sx=0.030717, proj_sy=0.18643, proj_sr=0.00020655, img_sx=0.60661, img_sr=0.0064983, epochs=10, lr=0.0046807
