iter	commit	val_score	headroom	status	change_class	agent	model	rationale
1		0.99787	0.752931	keep	architecture	dual-domain-supervised-search-tpe-calibrated-breast-ct	random-search	dual-domain-supervised-search-tpe-calibrated-breast-ct: unet_c=32, epochs=10, lr=0.0005, batch_size=1, lambda_neg=1, val_n=20
2		0.998409	0.806869	keep	architecture	dual-domain-supervised-search-tpe-calibrated-breast-ct	random-search	dual-domain-supervised-search-tpe-calibrated-breast-ct: unet_c=32, epochs=12, lr=0.00051839, batch_size=2, lambda_neg=1.3654, val_n=20
3		0.998616	0.820247	keep	architecture	dual-domain-supervised-search-tpe-calibrated-breast-ct	random-search	dual-domain-supervised-search-tpe-calibrated-breast-ct: unet_c=24, epochs=12, lr=0.00028005, batch_size=1, lambda_neg=0.72884, val_n=20
4		0.997103	0.712399	keep	architecture	dual-domain-supervised-search-tpe-calibrated-breast-ct	random-search	dual-domain-supervised-search-tpe-calibrated-breast-ct: unet_c=24, epochs=13, lr=0.00023861, batch_size=2, lambda_neg=1.4461, val_n=20
5		0.998383	0.806179	keep	architecture	dual-domain-supervised-search-tpe-calibrated-breast-ct	random-search	dual-domain-supervised-search-tpe-calibrated-breast-ct: unet_c=16, epochs=11, lr=0.00049298, batch_size=1, lambda_neg=1.4205, val_n=20
6		0.995983	0.684202	keep	architecture	dual-domain-supervised-search-tpe-calibrated-breast-ct	random-search	dual-domain-supervised-search-tpe-calibrated-breast-ct: unet_c=48, epochs=18, lr=0.00022679, batch_size=1, lambda_neg=0.50902, val_n=20
7		0.997908	0.779398	keep	architecture	dual-domain-supervised-search-tpe-calibrated-breast-ct	random-search	dual-domain-supervised-search-tpe-calibrated-breast-ct: unet_c=24, epochs=16, lr=0.00080609, batch_size=1, lambda_neg=0.68841, val_n=20
8		0.99846	0.798641	keep	architecture	dual-domain-supervised-search-tpe-calibrated-breast-ct	random-search	dual-domain-supervised-search-tpe-calibrated-breast-ct: unet_c=24, epochs=9, lr=0.0003186, batch_size=1, lambda_neg=0.81927, val_n=20
9		0.996224	0.724625	keep	architecture	dual-domain-supervised-search-tpe-calibrated-breast-ct	random-search	dual-domain-supervised-search-tpe-calibrated-breast-ct: unet_c=16, epochs=8, lr=0.00032718, batch_size=2, lambda_neg=1.1083, val_n=20
10		0.995396	0.580836	keep	architecture	dual-domain-supervised-search-tpe-calibrated-breast-ct	random-search	dual-domain-supervised-search-tpe-calibrated-breast-ct: unet_c=48, epochs=15, lr=0.00088018, batch_size=1, lambda_neg=0.50755, val_n=20
11		0.9982	0.795194	keep	architecture	dual-domain-supervised-search-tpe-calibrated-breast-ct	random-search	dual-domain-supervised-search-tpe-calibrated-breast-ct: unet_c=24, epochs=15, lr=0.00034142, batch_size=2, lambda_neg=0.81302, val_n=20
12		0.998267	0.798568	keep	architecture	dual-domain-supervised-search-tpe-calibrated-breast-ct	random-search	dual-domain-supervised-search-tpe-calibrated-breast-ct: unet_c=32, epochs=12, lr=0.00063675, batch_size=2, lambda_neg=1.2292, val_n=20
13		0.99778	0.748497	keep	architecture	dual-domain-supervised-search-tpe-calibrated-breast-ct	random-search	dual-domain-supervised-search-tpe-calibrated-breast-ct: unet_c=32, epochs=13, lr=0.00040599, batch_size=2, lambda_neg=1.2941, val_n=20
14		0.997592	0.741975	keep	architecture	dual-domain-supervised-search-tpe-calibrated-breast-ct	random-search	dual-domain-supervised-search-tpe-calibrated-breast-ct: unet_c=32, epochs=11, lr=0.00063254, batch_size=2, lambda_neg=0.98841, val_n=20
15		0.998482	0.811545	keep	architecture	dual-domain-supervised-search-tpe-calibrated-breast-ct	random-search	dual-domain-supervised-search-tpe-calibrated-breast-ct: unet_c=24, epochs=14, lr=0.00027232, batch_size=1, lambda_neg=0.80291, val_n=20
16		0.998581	0.815902	keep	architecture	dual-domain-supervised-search-tpe-calibrated-breast-ct	random-search	dual-domain-supervised-search-tpe-calibrated-breast-ct: unet_c=24, epochs=14, lr=0.00020019, batch_size=1, lambda_neg=0.6956, val_n=20
17		0.99874	0.831757	keep	architecture	dual-domain-supervised-search-tpe-calibrated-breast-ct	random-search	dual-domain-supervised-search-tpe-calibrated-breast-ct: unet_c=24, epochs=17, lr=0.00020004, batch_size=1, lambda_neg=0.66717, val_n=20
18		0.998702	0.824435	keep	architecture	dual-domain-supervised-search-tpe-calibrated-breast-ct	random-search	dual-domain-supervised-search-tpe-calibrated-breast-ct: unet_c=24, epochs=18, lr=0.00027265, batch_size=1, lambda_neg=0.6473, val_n=20
19		0.998874	0.836069	keep	architecture	dual-domain-supervised-search-tpe-calibrated-breast-ct	random-search	dual-domain-supervised-search-tpe-calibrated-breast-ct: unet_c=24, epochs=18, lr=0.00021363, batch_size=1, lambda_neg=0.57869, val_n=20
20		0.998197	0.767055	keep	architecture	dual-domain-supervised-search-tpe-calibrated-breast-ct	random-search	dual-domain-supervised-search-tpe-calibrated-breast-ct: unet_c=48, epochs=17, lr=0.00020346, batch_size=1, lambda_neg=0.59567, val_n=20
