iter	commit	val_score	headroom	status	change_class	agent	model	rationale
1		0.964729	0	discard	architecture	dual-domain-v2-search-tpe-calibrated-breast-ct	random-search	dual-domain-v2-search-tpe-calibrated-breast-ct: epochs=4, lr=0.00011599, batch_size=1, unet_c=8
2		0.965976	0	discard	architecture	dual-domain-v2-search-tpe-calibrated-breast-ct	random-search	dual-domain-v2-search-tpe-calibrated-breast-ct: epochs=2, lr=0.00033764, batch_size=1, unet_c=4
3		0.961486	0	discard	architecture	dual-domain-v2-search-tpe-calibrated-breast-ct	random-search	dual-domain-v2-search-tpe-calibrated-breast-ct: epochs=3, lr=0.00011635, batch_size=2, unet_c=4
4		0.954851	0	discard	architecture	dual-domain-v2-search-tpe-calibrated-breast-ct	random-search	dual-domain-v2-search-tpe-calibrated-breast-ct: epochs=2, lr=8.0487e-05, batch_size=2, unet_c=4
5		0.962797	0	discard	architecture	dual-domain-v2-search-tpe-calibrated-breast-ct	random-search	dual-domain-v2-search-tpe-calibrated-breast-ct: epochs=3, lr=0.00016821, batch_size=2, unet_c=4
6		0.964597	0	discard	architecture	dual-domain-v2-search-tpe-calibrated-breast-ct	random-search	dual-domain-v2-search-tpe-calibrated-breast-ct: epochs=5, lr=6.1326e-05, batch_size=1, unet_c=8
7		0.965452	0	discard	architecture	dual-domain-v2-search-tpe-calibrated-breast-ct	random-search	dual-domain-v2-search-tpe-calibrated-breast-ct: epochs=5, lr=0.00021986, batch_size=1, unet_c=8
8		0.965482	0	discard	architecture	dual-domain-v2-search-tpe-calibrated-breast-ct	random-search	dual-domain-v2-search-tpe-calibrated-breast-ct: epochs=4, lr=0.00049884, batch_size=1, unet_c=8
9		0.964814	0	discard	architecture	dual-domain-v2-search-tpe-calibrated-breast-ct	random-search	dual-domain-v2-search-tpe-calibrated-breast-ct: epochs=4, lr=0.00011843, batch_size=1, unet_c=8
10		0.964121	0	discard	architecture	dual-domain-v2-search-tpe-calibrated-breast-ct	random-search	dual-domain-v2-search-tpe-calibrated-breast-ct: epochs=4, lr=5.3024e-05, batch_size=1, unet_c=8
11		0.964929	0	discard	architecture	dual-domain-v2-search-tpe-calibrated-breast-ct	random-search	dual-domain-v2-search-tpe-calibrated-breast-ct: epochs=5, lr=0.00023353, batch_size=2, unet_c=8
12		0.966808	0	discard	architecture	dual-domain-v2-search-tpe-calibrated-breast-ct	random-search	dual-domain-v2-search-tpe-calibrated-breast-ct: epochs=2, lr=0.00041568, batch_size=1, unet_c=4
13		0.967393	0	discard	architecture	dual-domain-v2-search-tpe-calibrated-breast-ct	random-search	dual-domain-v2-search-tpe-calibrated-breast-ct: epochs=3, lr=0.00030926, batch_size=1, unet_c=4
14		0.960802	0	discard	architecture	dual-domain-v2-search-tpe-calibrated-breast-ct	random-search	dual-domain-v2-search-tpe-calibrated-breast-ct: epochs=2, lr=0.00011092, batch_size=1, unet_c=4
15		0.964554	0	discard	architecture	dual-domain-v2-search-tpe-calibrated-breast-ct	random-search	dual-domain-v2-search-tpe-calibrated-breast-ct: epochs=3, lr=0.00017692, batch_size=1, unet_c=8
16		0.966137	0	discard	architecture	dual-domain-v2-search-tpe-calibrated-breast-ct	random-search	dual-domain-v2-search-tpe-calibrated-breast-ct: epochs=4, lr=0.00030551, batch_size=1, unet_c=4
17		0.964205	0	discard	architecture	dual-domain-v2-search-tpe-calibrated-breast-ct	random-search	dual-domain-v2-search-tpe-calibrated-breast-ct: epochs=2, lr=8.6886e-05, batch_size=1, unet_c=8
18		0.965932	0	discard	architecture	dual-domain-v2-search-tpe-calibrated-breast-ct	random-search	dual-domain-v2-search-tpe-calibrated-breast-ct: epochs=3, lr=0.00014277, batch_size=1, unet_c=4
19		0.964728	0	discard	architecture	dual-domain-v2-search-tpe-calibrated-breast-ct	random-search	dual-domain-v2-search-tpe-calibrated-breast-ct: epochs=4, lr=0.00032649, batch_size=2, unet_c=8
20		0.965581	0	discard	architecture	dual-domain-v2-search-tpe-calibrated-breast-ct	random-search	dual-domain-v2-search-tpe-calibrated-breast-ct: epochs=5, lr=0.0002209, batch_size=1, unet_c=4
