iter	commit	val_score	headroom	status	change_class	agent	model	rationale
1		0.983342	0.401486	keep	architecture	hammernik-vn-search-tpe-calibrated-breast-ct	random-search	hammernik-vn-search-tpe-calibrated-breast-ct: epochs=15, lr=9.6236e-05, batch_size=2, vn_T=3, vn_n_filters=32, vn_kernel=7, vn_lambda_init=0.00032714, vn_init=fbp
2		0.97733	0.32601	keep	architecture	hammernik-vn-search-tpe-calibrated-breast-ct	random-search	hammernik-vn-search-tpe-calibrated-breast-ct: epochs=12, lr=9.6469e-05, batch_size=2, vn_T=5, vn_n_filters=16, vn_kernel=11, vn_lambda_init=0.00016571, vn_init=fbp
3		0.979435	0.342218	keep	architecture	hammernik-vn-search-tpe-calibrated-breast-ct	random-search	hammernik-vn-search-tpe-calibrated-breast-ct: epochs=13, lr=0.00012852, batch_size=2, vn_T=5, vn_n_filters=24, vn_kernel=9, vn_lambda_init=0.0069358, vn_init=fbp
4		0.978224	0.35461	keep	architecture	hammernik-vn-search-tpe-calibrated-breast-ct	random-search	hammernik-vn-search-tpe-calibrated-breast-ct: epochs=12, lr=6.823e-05, batch_size=2, vn_T=7, vn_n_filters=24, vn_kernel=11, vn_lambda_init=0.00036335, vn_init=fbp
5		0.975982	0.309738	keep	architecture	hammernik-vn-search-tpe-calibrated-breast-ct	random-search	hammernik-vn-search-tpe-calibrated-breast-ct: epochs=10, lr=6.3143e-05, batch_size=2, vn_T=3, vn_n_filters=32, vn_kernel=11, vn_lambda_init=0.0003499, vn_init=fbp
6		0.987163	0.481795	keep	architecture	hammernik-vn-search-tpe-calibrated-breast-ct	random-search	hammernik-vn-search-tpe-calibrated-breast-ct: epochs=18, lr=0.00025703, batch_size=2, vn_T=3, vn_n_filters=32, vn_kernel=7, vn_lambda_init=0.0019336, vn_init=fbp
7		0.987336	0.48442	keep	architecture	hammernik-vn-search-tpe-calibrated-breast-ct	random-search	hammernik-vn-search-tpe-calibrated-breast-ct: epochs=18, lr=0.00027615, batch_size=2, vn_T=3, vn_n_filters=32, vn_kernel=7, vn_lambda_init=0.0029368, vn_init=fbp
8		0.986012	0.462628	keep	architecture	hammernik-vn-search-tpe-calibrated-breast-ct	random-search	hammernik-vn-search-tpe-calibrated-breast-ct: epochs=18, lr=0.00029261, batch_size=2, vn_T=7, vn_n_filters=16, vn_kernel=7, vn_lambda_init=0.0027343, vn_init=fbp
9		0.979438	0.270453	keep	architecture	hammernik-vn-search-tpe-calibrated-breast-ct	random-search	hammernik-vn-search-tpe-calibrated-breast-ct: epochs=16, lr=0.00018864, batch_size=2, vn_T=3, vn_n_filters=32, vn_kernel=9, vn_lambda_init=0.009961, vn_init=fbp
10		0.986085	0.456295	keep	architecture	hammernik-vn-search-tpe-calibrated-breast-ct	random-search	hammernik-vn-search-tpe-calibrated-breast-ct: epochs=16, lr=0.00017231, batch_size=2, vn_T=3, vn_n_filters=32, vn_kernel=7, vn_lambda_init=0.0018505, vn_init=fbp
