iter	commit	val_score	headroom	status	change_class	agent	model	rationale
1		0.84929	0	discard	architecture	itnet-v1-search-tpe-calibrated-breast-ct	random-search	itnet-v1-search-tpe-calibrated-breast-ct: pretrain_epochs=6, pretrain_lr=0.0005, itnet_k=2, itnet_alpha=0.005, finetune_epochs=10, finetune_lr=0.0001, unet_c=16
2		0.939917	0	discard	architecture	itnet-v1-search-tpe-calibrated-breast-ct	random-search	itnet-v1-search-tpe-calibrated-breast-ct: pretrain_epochs=6, pretrain_lr=0.0004177, itnet_k=7, itnet_alpha=0.0015883, finetune_epochs=9, finetune_lr=0.0001526, unet_c=24
3		0.988785	0	discard	architecture	itnet-v1-search-tpe-calibrated-breast-ct	random-search	itnet-v1-search-tpe-calibrated-breast-ct: pretrain_epochs=3, pretrain_lr=0.00049922, itnet_k=4, itnet_alpha=0.0032153, finetune_epochs=9, finetune_lr=2.6202e-05, unet_c=8
4		0.980122	0	discard	architecture	itnet-v1-search-tpe-calibrated-breast-ct	random-search	itnet-v1-search-tpe-calibrated-breast-ct: pretrain_epochs=3, pretrain_lr=0.00022453, itnet_k=3, itnet_alpha=0.0015687, finetune_epochs=10, finetune_lr=1.6571e-05, unet_c=24
5		0.273955	0	discard	architecture	itnet-v1-search-tpe-calibrated-breast-ct	random-search	itnet-v1-search-tpe-calibrated-breast-ct: pretrain_epochs=8, pretrain_lr=0.0025418, itnet_k=5, itnet_alpha=0.00815, finetune_epochs=8, finetune_lr=0.00013215, unet_c=24
6		0.8019	0	discard	architecture	itnet-v1-search-tpe-calibrated-breast-ct	random-search	itnet-v1-search-tpe-calibrated-breast-ct: pretrain_epochs=6, pretrain_lr=0.0018483, itnet_k=8, itnet_alpha=0.040329, finetune_epochs=14, finetune_lr=0.00080182, unet_c=16
7		0.949874	0	discard	architecture	itnet-v1-search-tpe-calibrated-breast-ct	random-search	itnet-v1-search-tpe-calibrated-breast-ct: pretrain_epochs=8, pretrain_lr=0.00014489, itnet_k=3, itnet_alpha=0.010774, finetune_epochs=14, finetune_lr=0.00049592, unet_c=16
8		0.745411	0	discard	architecture	itnet-v1-search-tpe-calibrated-breast-ct	random-search	itnet-v1-search-tpe-calibrated-breast-ct: pretrain_epochs=5, pretrain_lr=0.0011091, itnet_k=6, itnet_alpha=0.028607, finetune_epochs=5, finetune_lr=5.1669e-05, unet_c=16
9		0.984454	0	discard	architecture	itnet-v1-search-tpe-calibrated-breast-ct	random-search	itnet-v1-search-tpe-calibrated-breast-ct: pretrain_epochs=5, pretrain_lr=0.00082198, itnet_k=5, itnet_alpha=0.0042904, finetune_epochs=12, finetune_lr=0.00026217, unet_c=8
10		0.945486	0	discard	architecture	itnet-v1-search-tpe-calibrated-breast-ct	random-search	itnet-v1-search-tpe-calibrated-breast-ct: pretrain_epochs=7, pretrain_lr=0.004438, itnet_k=4, itnet_alpha=0.01754, finetune_epochs=6, finetune_lr=5.183e-05, unet_c=16
11		0.636065	0	discard	architecture	itnet-v1-search-tpe-calibrated-breast-ct	random-search	itnet-v1-search-tpe-calibrated-breast-ct: pretrain_epochs=4, pretrain_lr=0.0001063, itnet_k=6, itnet_alpha=0.0030611, finetune_epochs=12, finetune_lr=5.086e-05, unet_c=16
12		0.929095	0	discard	architecture	itnet-v1-search-tpe-calibrated-breast-ct	random-search	itnet-v1-search-tpe-calibrated-breast-ct: pretrain_epochs=6, pretrain_lr=0.00037715, itnet_k=8, itnet_alpha=0.0010116, finetune_epochs=7, finetune_lr=0.00014969, unet_c=24
13		0.226147	0	discard	architecture	itnet-v1-search-tpe-calibrated-breast-ct	random-search	itnet-v1-search-tpe-calibrated-breast-ct: pretrain_epochs=7, pretrain_lr=0.00034475, itnet_k=7, itnet_alpha=0.0018044, finetune_epochs=11, finetune_lr=0.00026372, unet_c=24
14		0.395927	0	discard	architecture	itnet-v1-search-tpe-calibrated-breast-ct	random-search	itnet-v1-search-tpe-calibrated-breast-ct: pretrain_epochs=6, pretrain_lr=0.00060997, itnet_k=7, itnet_alpha=0.0045635, finetune_epochs=9, finetune_lr=8.4573e-05, unet_c=24
15		0.98727	0.0121061	keep	architecture	itnet-v1-search-tpe-calibrated-breast-ct	random-search	itnet-v1-search-tpe-calibrated-breast-ct: pretrain_epochs=7, pretrain_lr=0.00022883, itnet_k=7, itnet_alpha=0.0021031, finetune_epochs=11, finetune_lr=0.00021224, unet_c=8
16		0.961625	0	discard	architecture	itnet-v1-search-tpe-calibrated-breast-ct	random-search	itnet-v1-search-tpe-calibrated-breast-ct: pretrain_epochs=7, pretrain_lr=0.0002136, itnet_k=4, itnet_alpha=0.006355, finetune_epochs=12, finetune_lr=0.00029394, unet_c=8
17		0.980806	0	discard	architecture	itnet-v1-search-tpe-calibrated-breast-ct	random-search	itnet-v1-search-tpe-calibrated-breast-ct: pretrain_epochs=7, pretrain_lr=0.00025018, itnet_k=6, itnet_alpha=0.0026263, finetune_epochs=15, finetune_lr=9.5408e-05, unet_c=8
18		0.98812	0.170252	keep	architecture	itnet-v1-search-tpe-calibrated-breast-ct	random-search	itnet-v1-search-tpe-calibrated-breast-ct: pretrain_epochs=5, pretrain_lr=0.001019, itnet_k=8, itnet_alpha=0.015055, finetune_epochs=11, finetune_lr=0.00051376, unet_c=8
19		0.985234	0.0416387	keep	architecture	itnet-v1-search-tpe-calibrated-breast-ct	random-search	itnet-v1-search-tpe-calibrated-breast-ct: pretrain_epochs=4, pretrain_lr=0.0011534, itnet_k=8, itnet_alpha=0.016167, finetune_epochs=13, finetune_lr=0.00097086, unet_c=8
20		0.988462	0.0594827	keep	architecture	itnet-v1-search-tpe-calibrated-breast-ct	random-search	itnet-v1-search-tpe-calibrated-breast-ct: pretrain_epochs=4, pretrain_lr=0.0013791, itnet_k=8, itnet_alpha=0.0152, finetune_epochs=13, finetune_lr=0.0009833, unet_c=8
