iter	commit	val_score	headroom	status	change_class	agent	model	rationale
1		0.998833	0.836788	keep	architecture	lpd-search-tpe-calibrated-breast-ct	random-search	lpd-search-tpe-calibrated-breast-ct: lpd_iters=10, lpd_hidden=64, lpd_n_primal=5, lpd_n_dual=5, lpd_share_weights=False, epochs=20, lr=0.0005, lr_schedule=cosine, batch_size=1, grad_clip=1, lambda_neg=1, loss_base=mse, val_n=20, val_chunk=4
2		0.995514	0.646718	keep	architecture	lpd-search-tpe-calibrated-breast-ct	random-search	lpd-search-tpe-calibrated-breast-ct: lpd_iters=8, lpd_hidden=32, lpd_n_primal=5, lpd_n_dual=5, lpd_share_weights=False, epochs=15, lr=0.00076, lr_schedule=cosine, batch_size=1, grad_clip=0.3, lambda_neg=1, loss_base=mse, val_n=20, val_chunk=4
3		0.995218	0.676176	keep	architecture	lpd-search-tpe-calibrated-breast-ct	random-search	lpd-search-tpe-calibrated-breast-ct: lpd_iters=10, lpd_hidden=64, lpd_n_primal=5, lpd_n_dual=5, lpd_share_weights=False, epochs=17, lr=0.00022821, lr_schedule=cosine, batch_size=1, grad_clip=0.3, lambda_neg=1, loss_base=mse, val_n=20, val_chunk=4
4		0.998311	0.810582	keep	architecture	lpd-search-tpe-calibrated-breast-ct	random-search	lpd-search-tpe-calibrated-breast-ct: lpd_iters=8, lpd_hidden=96, lpd_n_primal=5, lpd_n_dual=5, lpd_share_weights=False, epochs=24, lr=0.00038198, lr_schedule=cosine, batch_size=1, grad_clip=1, lambda_neg=1, loss_base=mse, val_n=20, val_chunk=4
5		0.996454	0.70012	keep	architecture	lpd-search-tpe-calibrated-breast-ct	random-search	lpd-search-tpe-calibrated-breast-ct: lpd_iters=8, lpd_hidden=32, lpd_n_primal=5, lpd_n_dual=5, lpd_share_weights=False, epochs=17, lr=0.00063086, lr_schedule=cosine, batch_size=1, grad_clip=0.5, lambda_neg=1, loss_base=mse, val_n=20, val_chunk=4
6		0.995989	0.689581	keep	architecture	lpd-search-tpe-calibrated-breast-ct	random-search	lpd-search-tpe-calibrated-breast-ct: lpd_iters=10, lpd_hidden=48, lpd_n_primal=5, lpd_n_dual=5, lpd_share_weights=False, epochs=21, lr=0.00040179, lr_schedule=cosine, batch_size=1, grad_clip=1, lambda_neg=1, loss_base=mse, val_n=20, val_chunk=4
7		0.996651	0.742032	keep	architecture	lpd-search-tpe-calibrated-breast-ct	random-search	lpd-search-tpe-calibrated-breast-ct: lpd_iters=10, lpd_hidden=64, lpd_n_primal=5, lpd_n_dual=5, lpd_share_weights=False, epochs=21, lr=0.00027027, lr_schedule=cosine, batch_size=1, grad_clip=1, lambda_neg=1, loss_base=mse, val_n=20, val_chunk=4
8		0.742934	0	discard	architecture	lpd-search-tpe-calibrated-breast-ct	random-search	lpd-search-tpe-calibrated-breast-ct: lpd_iters=10, lpd_hidden=64, lpd_n_primal=5, lpd_n_dual=5, lpd_share_weights=False, epochs=25, lr=0.00095089, lr_schedule=cosine, batch_size=1, grad_clip=0.5, lambda_neg=1, loss_base=mse, val_n=20, val_chunk=4
9		0.998084	0.789356	keep	architecture	lpd-search-tpe-calibrated-breast-ct	random-search	lpd-search-tpe-calibrated-breast-ct: lpd_iters=10, lpd_hidden=48, lpd_n_primal=5, lpd_n_dual=5, lpd_share_weights=False, epochs=19, lr=0.00054097, lr_schedule=cosine, batch_size=1, grad_clip=1, lambda_neg=1, loss_base=mse, val_n=20, val_chunk=4
10		0.999185	0.86671	keep	architecture	lpd-search-tpe-calibrated-breast-ct	random-search	lpd-search-tpe-calibrated-breast-ct: lpd_iters=10, lpd_hidden=96, lpd_n_primal=5, lpd_n_dual=5, lpd_share_weights=False, epochs=23, lr=0.000319, lr_schedule=cosine, batch_size=1, grad_clip=1, lambda_neg=1, loss_base=mse, val_n=20, val_chunk=4
11		0.999577	0.906241	keep	architecture	lpd-search-tpe-calibrated-breast-ct	random-search	lpd-search-tpe-calibrated-breast-ct: lpd_iters=8, lpd_hidden=96, lpd_n_primal=5, lpd_n_dual=5, lpd_share_weights=False, epochs=23, lr=0.00032191, lr_schedule=cosine, batch_size=1, grad_clip=0.3, lambda_neg=1, loss_base=mse, val_n=20, val_chunk=4
12		0.998963	0.847931	keep	architecture	lpd-search-tpe-calibrated-breast-ct	random-search	lpd-search-tpe-calibrated-breast-ct: lpd_iters=8, lpd_hidden=96, lpd_n_primal=5, lpd_n_dual=5, lpd_share_weights=False, epochs=23, lr=0.00031403, lr_schedule=cosine, batch_size=1, grad_clip=0.3, lambda_neg=1, loss_base=mse, val_n=20, val_chunk=4
13		0.998815	0.83179	keep	architecture	lpd-search-tpe-calibrated-breast-ct	random-search	lpd-search-tpe-calibrated-breast-ct: lpd_iters=8, lpd_hidden=96, lpd_n_primal=5, lpd_n_dual=5, lpd_share_weights=False, epochs=23, lr=0.00020224, lr_schedule=cosine, batch_size=1, grad_clip=0.3, lambda_neg=1, loss_base=mse, val_n=20, val_chunk=4
