iter	commit	val_score	headroom	status	change_class	agent	model	rationale
1		0.833398	0	discard	architecture	naf-search-tpe-calibrated-breast-ct	random-search	naf-search-tpe-calibrated-breast-ct: naf_n_freqs=10, naf_hidden=256, naf_layers=4, naf_n_iter=2143, naf_lr=0.0012229, naf_tv_weight=1.26e-05, naf_outer_wall_s=2400
2		0.3568	0	discard	architecture	naf-search-tpe-calibrated-breast-ct	random-search	naf-search-tpe-calibrated-breast-ct: naf_n_freqs=8, naf_hidden=128, naf_layers=4, naf_n_iter=2817, naf_lr=0.0085079, naf_tv_weight=0.00072454, naf_outer_wall_s=2400
3		0.3568	0	discard	architecture	naf-search-tpe-calibrated-breast-ct	random-search	naf-search-tpe-calibrated-breast-ct: naf_n_freqs=6, naf_hidden=256, naf_layers=6, naf_n_iter=2014, naf_lr=0.0042423, naf_tv_weight=3.9864e-06, naf_outer_wall_s=2400
4		0.894127	0	discard	architecture	naf-search-tpe-calibrated-breast-ct	random-search	naf-search-tpe-calibrated-breast-ct: naf_n_freqs=6, naf_hidden=128, naf_layers=4, naf_n_iter=3065, naf_lr=0.00091275, naf_tv_weight=9.1519e-05, naf_outer_wall_s=2400
5		0.3568	0	discard	architecture	naf-search-tpe-calibrated-breast-ct	random-search	naf-search-tpe-calibrated-breast-ct: naf_n_freqs=10, naf_hidden=128, naf_layers=5, naf_n_iter=1578, naf_lr=0.0061558, naf_tv_weight=0.00010021, naf_outer_wall_s=2400
6		0.875067	0	discard	architecture	naf-search-tpe-calibrated-breast-ct	random-search	naf-search-tpe-calibrated-breast-ct: naf_n_freqs=10, naf_hidden=256, naf_layers=4, naf_n_iter=3863, naf_lr=0.00098417, naf_tv_weight=1.641e-06, naf_outer_wall_s=2400
7		0.356799	0	discard	architecture	naf-search-tpe-calibrated-breast-ct	random-search	naf-search-tpe-calibrated-breast-ct: naf_n_freqs=12, naf_hidden=192, naf_layers=6, naf_n_iter=2207, naf_lr=0.0019133, naf_tv_weight=1.2237e-05, naf_outer_wall_s=2400
8		0.871209	0	discard	architecture	naf-search-tpe-calibrated-breast-ct	random-search	naf-search-tpe-calibrated-breast-ct: naf_n_freqs=14, naf_hidden=256, naf_layers=5, naf_n_iter=2290, naf_lr=0.00051045, naf_tv_weight=1.9188e-05, naf_outer_wall_s=2400
9		0.356799	0	discard	architecture	naf-search-tpe-calibrated-breast-ct	random-search	naf-search-tpe-calibrated-breast-ct: naf_n_freqs=10, naf_hidden=192, naf_layers=4, naf_n_iter=3424, naf_lr=0.0026402, naf_tv_weight=0.00097273, naf_outer_wall_s=2400
10		0.53969	0	discard	architecture	naf-search-tpe-calibrated-breast-ct	random-search	naf-search-tpe-calibrated-breast-ct: naf_n_freqs=12, naf_hidden=256, naf_layers=4, naf_n_iter=1512, naf_lr=0.0016026, naf_tv_weight=6.4073e-06, naf_outer_wall_s=2400
