iter	commit	val_score	headroom	status	change_class	agent	model	rationale
1		0.955278	0	discard	architecture	ram-zeroshot-search-tpe-calibrated-breast-ct	random-search	ram-zeroshot-search-tpe-calibrated-breast-ct: ram_ckpt_path=/cluster/maier/Agent4CT/checkpoints/ram.pth.tar, ram_input_norm=adjoint_max, ram_clamp_output=True, ram_finetune=False, ram_finetune_epochs=0, ram_finetune_lr=0.0001, ram_disable_multiscale=False, ram_disable_cudnn=False, ram_use_deepinv_tomo=False, ram_sigma=0.1, ram_factor=0.5, ram_post_fbp_blend=0
2		0.942213	0	discard	architecture	ram-zeroshot-search-tpe-calibrated-breast-ct	random-search	ram-zeroshot-search-tpe-calibrated-breast-ct: ram_ckpt_path=/cluster/maier/Agent4CT/checkpoints/ram.pth.tar, ram_input_norm=adjoint_max, ram_clamp_output=True, ram_finetune=False, ram_finetune_epochs=0, ram_finetune_lr=0.0001, ram_disable_multiscale=False, ram_disable_cudnn=False, ram_use_deepinv_tomo=False, ram_sigma=0.21102, ram_factor=0.35913, ram_post_fbp_blend=0.078208
3		0.958439	0	discard	architecture	ram-zeroshot-search-tpe-calibrated-breast-ct	random-search	ram-zeroshot-search-tpe-calibrated-breast-ct: ram_ckpt_path=/cluster/maier/Agent4CT/checkpoints/ram.pth.tar, ram_input_norm=adjoint_max, ram_clamp_output=True, ram_finetune=False, ram_finetune_epochs=0, ram_finetune_lr=0.0001, ram_disable_multiscale=False, ram_disable_cudnn=False, ram_use_deepinv_tomo=False, ram_sigma=0.22102, ram_factor=0.73269, ram_post_fbp_blend=0.0057979
4		0.959316	0	discard	architecture	ram-zeroshot-search-tpe-calibrated-breast-ct	random-search	ram-zeroshot-search-tpe-calibrated-breast-ct: ram_ckpt_path=/cluster/maier/Agent4CT/checkpoints/ram.pth.tar, ram_input_norm=adjoint_max, ram_clamp_output=True, ram_finetune=False, ram_finetune_epochs=0, ram_finetune_lr=0.0001, ram_disable_multiscale=False, ram_disable_cudnn=False, ram_use_deepinv_tomo=False, ram_sigma=0.085366, ram_factor=0.4834, ram_post_fbp_blend=0.041834
5		0.95324	0	discard	architecture	ram-zeroshot-search-tpe-calibrated-breast-ct	random-search	ram-zeroshot-search-tpe-calibrated-breast-ct: ram_ckpt_path=/cluster/maier/Agent4CT/checkpoints/ram.pth.tar, ram_input_norm=adjoint_max, ram_clamp_output=True, ram_finetune=False, ram_finetune_epochs=0, ram_finetune_lr=0.0001, ram_disable_multiscale=False, ram_disable_cudnn=False, ram_use_deepinv_tomo=False, ram_sigma=0.075342, ram_factor=0.341, ram_post_fbp_blend=0.041351
6		0.969175	0	discard	architecture	ram-zeroshot-search-tpe-calibrated-breast-ct	random-search	ram-zeroshot-search-tpe-calibrated-breast-ct: ram_ckpt_path=/cluster/maier/Agent4CT/checkpoints/ram.pth.tar, ram_input_norm=adjoint_max, ram_clamp_output=True, ram_finetune=False, ram_finetune_epochs=0, ram_finetune_lr=0.0001, ram_disable_multiscale=True, ram_disable_cudnn=False, ram_use_deepinv_tomo=False, ram_sigma=0.12905, ram_factor=0.61706, ram_post_fbp_blend=0.1848
7		0.97019	0	discard	architecture	ram-zeroshot-search-tpe-calibrated-breast-ct	random-search	ram-zeroshot-search-tpe-calibrated-breast-ct: ram_ckpt_path=/cluster/maier/Agent4CT/checkpoints/ram.pth.tar, ram_input_norm=adjoint_max, ram_clamp_output=True, ram_finetune=False, ram_finetune_epochs=0, ram_finetune_lr=0.0001, ram_disable_multiscale=True, ram_disable_cudnn=False, ram_use_deepinv_tomo=False, ram_sigma=0.056854, ram_factor=0.52479, ram_post_fbp_blend=0.14637
8		0.965844	0	discard	architecture	ram-zeroshot-search-tpe-calibrated-breast-ct	random-search	ram-zeroshot-search-tpe-calibrated-breast-ct: ram_ckpt_path=/cluster/maier/Agent4CT/checkpoints/ram.pth.tar, ram_input_norm=adjoint_max, ram_clamp_output=True, ram_finetune=False, ram_finetune_epochs=0, ram_finetune_lr=0.0001, ram_disable_multiscale=False, ram_disable_cudnn=False, ram_use_deepinv_tomo=False, ram_sigma=0.13114, ram_factor=0.65535, ram_post_fbp_blend=0.11617
9		0.954	0	discard	architecture	ram-zeroshot-search-tpe-calibrated-breast-ct	random-search	ram-zeroshot-search-tpe-calibrated-breast-ct: ram_ckpt_path=/cluster/maier/Agent4CT/checkpoints/ram.pth.tar, ram_input_norm=adjoint_max, ram_clamp_output=True, ram_finetune=False, ram_finetune_epochs=0, ram_finetune_lr=0.0001, ram_disable_multiscale=True, ram_disable_cudnn=False, ram_use_deepinv_tomo=False, ram_sigma=0.097808, ram_factor=0.44252, ram_post_fbp_blend=0.00060193
10		0.963128	0	discard	architecture	ram-zeroshot-search-tpe-calibrated-breast-ct	random-search	ram-zeroshot-search-tpe-calibrated-breast-ct: ram_ckpt_path=/cluster/maier/Agent4CT/checkpoints/ram.pth.tar, ram_input_norm=adjoint_max, ram_clamp_output=True, ram_finetune=False, ram_finetune_epochs=0, ram_finetune_lr=0.0001, ram_disable_multiscale=False, ram_disable_cudnn=False, ram_use_deepinv_tomo=False, ram_sigma=0.16355, ram_factor=0.79663, ram_post_fbp_blend=0.075039
