iter	commit	val_score	headroom	status	change_class	agent	model	rationale
1		0.365232	0.0397136	keep	architecture	tv-search-tpe-calibrated-breast-ct	random-search	tv-search-tpe-calibrated-breast-ct: tv_lambda=0.0017552, tv_iterations=214, tv_lr=0.040485, tv_clip_max=0.035913, tv_decay=0.019552
2		0.31869	0.0267359	keep	architecture	tv-search-tpe-calibrated-breast-ct	random-search	tv-search-tpe-calibrated-breast-ct: tv_lambda=0.001526, tv_iterations=90, tv_lr=0.0456, tv_clip_max=0.073269, tv_decay=0.0014495
3		0.297104	0.00912877	keep	architecture	tv-search-tpe-calibrated-breast-ct	random-search	tv-search-tpe-calibrated-breast-ct: tv_lambda=0.00066376, tv_iterations=166, tv_lr=0.0039546, tv_clip_max=0.04834, tv_decay=0.010459
4		0.33297	0.0179309	keep	architecture	tv-search-tpe-calibrated-breast-ct	random-search	tv-search-tpe-calibrated-breast-ct: tv_lambda=0.0021809, tv_iterations=311, tv_lr=0.0028686, tv_clip_max=0.0341, tv_decay=0.010338
5		0.261012	0.00416	keep	architecture	tv-search-tpe-calibrated-breast-ct	random-search	tv-search-tpe-calibrated-breast-ct: tv_lambda=0.0001565, tv_iterations=101, tv_lr=0.0087078, tv_clip_max=0.035484, tv_decay=0.021225
6		0.365076	0.0484139	keep	architecture	tv-search-tpe-calibrated-breast-ct	random-search	tv-search-tpe-calibrated-breast-ct: tv_lambda=0.0077003, tv_iterations=462, tv_lr=0.081192, tv_clip_max=0.056541, tv_decay=0.044912
7		0.364866	0.0494208	keep	architecture	tv-search-tpe-calibrated-breast-ct	random-search	tv-search-tpe-calibrated-breast-ct: tv_lambda=0.0093632, tv_iterations=500, tv_lr=0.080872, tv_clip_max=0.064751, tv_decay=0.04995
8		0.317736	0.0133641	keep	architecture	tv-search-tpe-calibrated-breast-ct	random-search	tv-search-tpe-calibrated-breast-ct: tv_lambda=0.0072701, tv_iterations=489, tv_lr=0.0010175, tv_clip_max=0.07885, tv_decay=0.04835
9		0.316391	0.0129742	keep	architecture	tv-search-tpe-calibrated-breast-ct	random-search	tv-search-tpe-calibrated-breast-ct: tv_lambda=0.00035031, tv_iterations=361, tv_lr=0.018599, tv_clip_max=0.064713, tv_decay=0.037054
10		0.364754	0.0390096	keep	architecture	tv-search-tpe-calibrated-breast-ct	random-search	tv-search-tpe-calibrated-breast-ct: tv_lambda=0.003763, tv_iterations=397, tv_lr=0.017787, tv_clip_max=0.063269, tv_decay=0.03522
11		0.299211	0.0318504	keep	architecture	tv-search-tpe-calibrated-breast-ct	random-search	tv-search-tpe-calibrated-breast-ct: tv_lambda=0.0095781, tv_iterations=251, tv_lr=0.092505, tv_clip_max=0.046719, tv_decay=0.033121
12		0.379509	0.0512958	keep	architecture	tv-search-tpe-calibrated-breast-ct	random-search	tv-search-tpe-calibrated-breast-ct: tv_lambda=0.0047434, tv_iterations=488, tv_lr=0.084787, tv_clip_max=0.059055, tv_decay=0.049999
13		0.37145	0.0448078	keep	architecture	tv-search-tpe-calibrated-breast-ct	random-search	tv-search-tpe-calibrated-breast-ct: tv_lambda=0.0038475, tv_iterations=434, tv_lr=0.035835, tv_clip_max=0.066238, tv_decay=0.043261
14		0.377239	0.049484	keep	architecture	tv-search-tpe-calibrated-breast-ct	random-search	tv-search-tpe-calibrated-breast-ct: tv_lambda=0.0038269, tv_iterations=493, tv_lr=0.067778, tv_clip_max=0.055982, tv_decay=0.049423
15		0.362543	0.037058	keep	architecture	tv-search-tpe-calibrated-breast-ct	random-search	tv-search-tpe-calibrated-breast-ct: tv_lambda=0.0032924, tv_iterations=344, tv_lr=0.020291, tv_clip_max=0.054414, tv_decay=0.039989
16		0.321538	0.0143135	keep	architecture	tv-search-tpe-calibrated-breast-ct	random-search	tv-search-tpe-calibrated-breast-ct: tv_lambda=0.00078492, tv_iterations=417, tv_lr=0.0080645, tv_clip_max=0.054922, tv_decay=0.029053
17		0.374941	0.0479842	keep	architecture	tv-search-tpe-calibrated-breast-ct	random-search	tv-search-tpe-calibrated-breast-ct: tv_lambda=0.0048021, tv_iterations=379, tv_lr=0.046434, tv_clip_max=0.044568, tv_decay=0.028038
18		0.350884	0.0271477	keep	architecture	tv-search-tpe-calibrated-breast-ct	random-search	tv-search-tpe-calibrated-breast-ct: tv_lambda=0.0010841, tv_iterations=440, tv_lr=0.027393, tv_clip_max=0.059013, tv_decay=0.041949
19		0.341758	0.0215668	keep	architecture	tv-search-tpe-calibrated-breast-ct	random-search	tv-search-tpe-calibrated-breast-ct: tv_lambda=0.00042139, tv_iterations=284, tv_lr=0.05572, tv_clip_max=0.072307, tv_decay=0.049656
20		0.37677	0.0489707	keep	architecture	tv-search-tpe-calibrated-breast-ct	random-search	tv-search-tpe-calibrated-breast-ct: tv_lambda=0.0022284, tv_iterations=500, tv_lr=0.098767, tv_clip_max=0.050337, tv_decay=0.045062
