iter	commit	val_score	headroom	status	change_class	agent	model	rationale
1		0.996357	0.698703	keep	architecture	uswin-search-tpe-calibrated-breast-ct	random-search	uswin-search-tpe-calibrated-breast-ct: epochs=11, lr=0.00023197, batch_size=2, uswin_c=32, swin_window=4, swin_heads=8
2		0.99496	0.647042	keep	architecture	uswin-search-tpe-calibrated-breast-ct	random-search	uswin-search-tpe-calibrated-breast-ct: epochs=7, lr=0.000467, batch_size=2, uswin_c=16, swin_window=4, swin_heads=8
3		0.988202	0.522003	keep	architecture	uswin-search-tpe-calibrated-breast-ct	random-search	uswin-search-tpe-calibrated-breast-ct: epochs=13, lr=0.00025237, batch_size=8, uswin_c=32, swin_window=16, swin_heads=4
4		0.986185	0.463185	keep	architecture	uswin-search-tpe-calibrated-breast-ct	random-search	uswin-search-tpe-calibrated-breast-ct: epochs=10, lr=0.00028119, batch_size=8, uswin_c=16, swin_window=4, swin_heads=8
5		0.995104	0.65393	keep	architecture	uswin-search-tpe-calibrated-breast-ct	random-search	uswin-search-tpe-calibrated-breast-ct: epochs=8, lr=0.00033666, batch_size=2, uswin_c=16, swin_window=8, swin_heads=4
6		0.993495	0.62972	keep	architecture	uswin-search-tpe-calibrated-breast-ct	random-search	uswin-search-tpe-calibrated-breast-ct: epochs=14, lr=0.00012265, batch_size=4, uswin_c=32, swin_window=4, swin_heads=2
7		0.997121	0.699434	keep	architecture	uswin-search-tpe-calibrated-breast-ct	random-search	uswin-search-tpe-calibrated-breast-ct: epochs=11, lr=0.00073463, batch_size=2, uswin_c=24, swin_window=16, swin_heads=8
8		0.992993	0.607208	keep	architecture	uswin-search-tpe-calibrated-breast-ct	random-search	uswin-search-tpe-calibrated-breast-ct: epochs=12, lr=0.0009674, batch_size=4, uswin_c=24, swin_window=16, swin_heads=2
9		0.995274	0.622743	keep	architecture	uswin-search-tpe-calibrated-breast-ct	random-search	uswin-search-tpe-calibrated-breast-ct: epochs=9, lr=0.00098994, batch_size=2, uswin_c=24, swin_window=16, swin_heads=8
10		0.994519	0.643044	keep	architecture	uswin-search-tpe-calibrated-breast-ct	random-search	uswin-search-tpe-calibrated-breast-ct: epochs=6, lr=0.00049039, batch_size=2, uswin_c=24, swin_window=8, swin_heads=8
11		0.992151	0.584734	keep	architecture	uswin-search-tpe-calibrated-breast-ct	random-search	uswin-search-tpe-calibrated-breast-ct: epochs=11, lr=0.00063897, batch_size=4, uswin_c=24, swin_window=16, swin_heads=2
12		0.994794	0.627818	keep	architecture	uswin-search-tpe-calibrated-breast-ct	random-search	uswin-search-tpe-calibrated-breast-ct: epochs=10, lr=0.00014755, batch_size=2, uswin_c=32, swin_window=4, swin_heads=8
13		0.99549	0.654938	keep	architecture	uswin-search-tpe-calibrated-breast-ct	random-search	uswin-search-tpe-calibrated-breast-ct: epochs=12, lr=0.00017737, batch_size=2, uswin_c=32, swin_window=16, swin_heads=8
14		0.996353	0.709957	keep	architecture	uswin-search-tpe-calibrated-breast-ct	random-search	uswin-search-tpe-calibrated-breast-ct: epochs=11, lr=0.00020579, batch_size=2, uswin_c=24, swin_window=4, swin_heads=8
15		0.994737	0.654739	keep	architecture	uswin-search-tpe-calibrated-breast-ct	random-search	uswin-search-tpe-calibrated-breast-ct: epochs=9, lr=0.00010606, batch_size=2, uswin_c=24, swin_window=8, swin_heads=8
16		0.986302	0.501486	keep	architecture	uswin-search-tpe-calibrated-breast-ct	random-search	uswin-search-tpe-calibrated-breast-ct: epochs=12, lr=0.00039202, batch_size=8, uswin_c=24, swin_window=4, swin_heads=4
17		0.994565	0.616419	keep	architecture	uswin-search-tpe-calibrated-breast-ct	random-search	uswin-search-tpe-calibrated-breast-ct: epochs=11, lr=0.00068612, batch_size=2, uswin_c=24, swin_window=16, swin_heads=8
18		0.996979	0.71738	keep	architecture	uswin-search-tpe-calibrated-breast-ct	random-search	uswin-search-tpe-calibrated-breast-ct: epochs=14, lr=0.00018046, batch_size=2, uswin_c=24, swin_window=16, swin_heads=8
19		0.991421	0.569615	keep	architecture	uswin-search-tpe-calibrated-breast-ct	random-search	uswin-search-tpe-calibrated-breast-ct: epochs=14, lr=0.00019178, batch_size=8, uswin_c=24, swin_window=4, swin_heads=4
20		0.995058	0.666493	keep	architecture	uswin-search-tpe-calibrated-breast-ct	random-search	uswin-search-tpe-calibrated-breast-ct: epochs=13, lr=0.0001846, batch_size=4, uswin_c=24, swin_window=8, swin_heads=2
