iter	commit	val_score	headroom	status	change_class	agent	model	rationale
1		0.18851	0	discard	architecture	wu-search-tpe-calibrated-breast-ct	random-search	wu-search-tpe-calibrated-breast-ct: wu_n_bands=8, wu_n_outer=2, wu_motion_range=5, wu_motion_window=4, wu_soft_thresh=0.00080936
2		0.205459	0.00662759	keep	architecture	wu-search-tpe-calibrated-breast-ct	random-search	wu-search-tpe-calibrated-breast-ct: wu_n_bands=4, wu_n_outer=1, wu_motion_range=12, wu_motion_window=2, wu_soft_thresh=0.0012618
3		0.136525	0	discard	architecture	wu-search-tpe-calibrated-breast-ct	random-search	wu-search-tpe-calibrated-breast-ct: wu_n_bands=12, wu_n_outer=2, wu_motion_range=12, wu_motion_window=2, wu_soft_thresh=0.00075748
4		0.145106	0	discard	architecture	wu-search-tpe-calibrated-breast-ct	random-search	wu-search-tpe-calibrated-breast-ct: wu_n_bands=6, wu_n_outer=2, wu_motion_range=12, wu_motion_window=4, wu_soft_thresh=0.00093529
5		0.173768	0	discard	architecture	wu-search-tpe-calibrated-breast-ct	random-search	wu-search-tpe-calibrated-breast-ct: wu_n_bands=4, wu_n_outer=2, wu_motion_range=5, wu_motion_window=4, wu_soft_thresh=0.0014634
6		0.215733	0.00710434	keep	architecture	wu-search-tpe-calibrated-breast-ct	random-search	wu-search-tpe-calibrated-breast-ct: wu_n_bands=4, wu_n_outer=1, wu_motion_range=8, wu_motion_window=2, wu_soft_thresh=0.0039556
7		0.217335	0	discard	architecture	wu-search-tpe-calibrated-breast-ct	random-search	wu-search-tpe-calibrated-breast-ct: wu_n_bands=4, wu_n_outer=3, wu_motion_range=8, wu_motion_window=1, wu_soft_thresh=0.0049884
8		0.237875	0.0107236	keep	architecture	wu-search-tpe-calibrated-breast-ct	random-search	wu-search-tpe-calibrated-breast-ct: wu_n_bands=8, wu_n_outer=1, wu_motion_range=8, wu_motion_window=2, wu_soft_thresh=0.0037388
9		0.262258	0.0117416	keep	architecture	wu-search-tpe-calibrated-breast-ct	random-search	wu-search-tpe-calibrated-breast-ct: wu_n_bands=8, wu_n_outer=1, wu_motion_range=3, wu_motion_window=1, wu_soft_thresh=0.0027545
10		0.175462	0	discard	architecture	wu-search-tpe-calibrated-breast-ct	random-search	wu-search-tpe-calibrated-breast-ct: wu_n_bands=8, wu_n_outer=3, wu_motion_range=3, wu_motion_window=1, wu_soft_thresh=0.0025314
11		0.264878	0.0128854	keep	architecture	wu-search-tpe-calibrated-breast-ct	random-search	wu-search-tpe-calibrated-breast-ct: wu_n_bands=12, wu_n_outer=1, wu_motion_range=3, wu_motion_window=1, wu_soft_thresh=0.0022852
12		0.264878	0.0128852	keep	architecture	wu-search-tpe-calibrated-breast-ct	random-search	wu-search-tpe-calibrated-breast-ct: wu_n_bands=12, wu_n_outer=1, wu_motion_range=3, wu_motion_window=1, wu_soft_thresh=0.0022711
13		0.264878	0.0128852	keep	architecture	wu-search-tpe-calibrated-breast-ct	random-search	wu-search-tpe-calibrated-breast-ct: wu_n_bands=12, wu_n_outer=1, wu_motion_range=3, wu_motion_window=1, wu_soft_thresh=0.0019299
14		0.264878	0.0128848	keep	architecture	wu-search-tpe-calibrated-breast-ct	random-search	wu-search-tpe-calibrated-breast-ct: wu_n_bands=12, wu_n_outer=1, wu_motion_range=3, wu_motion_window=1, wu_soft_thresh=0.00050126
15		0.264877	0.0128854	keep	architecture	wu-search-tpe-calibrated-breast-ct	random-search	wu-search-tpe-calibrated-breast-ct: wu_n_bands=12, wu_n_outer=1, wu_motion_range=3, wu_motion_window=1, wu_soft_thresh=0.0021635
16		0.264878	0.0128854	keep	architecture	wu-search-tpe-calibrated-breast-ct	random-search	wu-search-tpe-calibrated-breast-ct: wu_n_bands=12, wu_n_outer=1, wu_motion_range=3, wu_motion_window=1, wu_soft_thresh=0.0017817
17		0.172756	0	discard	architecture	wu-search-tpe-calibrated-breast-ct	random-search	wu-search-tpe-calibrated-breast-ct: wu_n_bands=6, wu_n_outer=3, wu_motion_range=3, wu_motion_window=1, wu_soft_thresh=0.0011853
18		0.264877	0.0128852	keep	architecture	wu-search-tpe-calibrated-breast-ct	random-search	wu-search-tpe-calibrated-breast-ct: wu_n_bands=12, wu_n_outer=1, wu_motion_range=3, wu_motion_window=1, wu_soft_thresh=0.0017319
19		0.251385	0.0122982	keep	architecture	wu-search-tpe-calibrated-breast-ct	random-search	wu-search-tpe-calibrated-breast-ct: wu_n_bands=12, wu_n_outer=1, wu_motion_range=5, wu_motion_window=1, wu_soft_thresh=0.003093
20		0.18428	0	discard	architecture	wu-search-tpe-calibrated-breast-ct	random-search	wu-search-tpe-calibrated-breast-ct: wu_n_bands=12, wu_n_outer=3, wu_motion_range=3, wu_motion_window=4, wu_soft_thresh=0.001504
