iter	commit	val_score	headroom	status	change_class	agent	model	rationale
1		0.972033	0	discard	architecture	dual_domain_bilateral_n2i-claude-agentic-breast-ct	claude-opus-4.7-1m	dual_domain_bilateral_n2i-claude-agentic: warm_start=True, pretrain_epochs=3, train_n=200, n_iter=300, val_n=16, batch_size=1, grad_clip=1.0, lr=0.005, proj_n_bf=1, img_n_bf=1, outer_wall_s=1500, seed=42, rationale=iter-1 feasibility, per-image N2I rewrite (commit 1f4c3394) on breast_ct (Sidky synthetic breast, 128-view sparse, real-mu range, 512^2) - BILATERAL variant. Short warm-start pre-pass (3 ep x 200 train, GT-free N2I self-sup loss) captures a generic BF-sigma init, then per-scene Adam (n_iter=300) on EACH of 16 val scans' own measurements, scored by evaluate_calibrated on the SAME val scenes as every other breast_ct method. Bilateral stack = 6 trainable params (proj_n_bf=img_n_bf=1, 3 sigma each); ~2x faster than the U-Net N2I. lr=5e-3 per Wagner-2022 BF recipe (solver CONFIG default); BF sigmas left at Wagner abdomen defaults for the iter-1 feasibility seed (the breast-tuned proj_sx=0.01/proj_sy=0.3/proj_sr=0.0005 from solver_dual_ddomain_bilateral_n2i.md hints is reserved as a clean iter-2 one-knob change). grad_clip=1.0 cheap insurance (breast 128-view adjoint is mild vs Mayo 2304-view). Sizing vs smoke: Mayo 2304-view BILATERAL smoke (job 764666) ran 6*... at ~0.125 s/(iter x scene); breast_ct is 128-view (18x fewer angles) so per-step is much cheaper. Steps = warm <=3x200=600 + per-image 16x300=4800 -> conservatively <700 s at Mayo's bilateral rate, far less on breast's lighter adjoint, well under the claude_agentic_one_iter.sbatch 00:30:00 (1800 s) wall. outer_wall_s=1500 is a hard internal guard on the per-image loop. Hypothesis: per-image bilateral N2I trains stably on breast_ct (finite val_score, comparison.png) and gives a usable per-scene recon; expect hr near the FBP baseline since N2I is structurally bounded by FBP on this dense-view substrate (the prior AMORTISED bilateral N2I was hr=0 / over-smoothing per solver_dual_ddomain_bilateral_n2i.md - the per-image rewrite is what is being tested here).
2		0.968014	0	discard	architecture	dual_domain_bilateral_n2i-claude-agentic-breast-ct	claude-opus-4.7-1m	dual_domain_bilateral_n2i-claude-agentic: warm_start=True, pretrain_epochs=3, train_n=200, n_iter=300, val_n=16, batch_size=1, grad_clip=1.0, lr=0.005, proj_n_bf=1, img_n_bf=1, proj_sx=0.01, proj_sy=0.3, proj_sr=0.0005, outer_wall_s=1500, seed=42, rationale=iter-2, ONE-KNOB change vs iter-1: projection-domain BF sigmas swapped from Wagner-abdomen defaults (proj_sx=1.0, proj_sy=2.0, proj_sr=0.02) to the breast-tuned (proj_sx=0.01, proj_sy=0.3, proj_sr=0.0005). EVERYTHING else identical to iter-1 (warm_start=True, pretrain_epochs=3, train_n=200, n_iter=300, val_n=16, grad_clip=1.0, lr=5e-3, proj_n_bf=img_n_bf=1, 6 trainable BF params, seed=42). FAILURE MODE addressed: iter-1 hr=0 (val_score 0.9720, PSNR 38.17 vs LD-FBP baseline 39.68 - UNDER baseline). solver_dual_ddomain_bilateral_n2i.md Weaknesses + Hints: the Wagner-abdomen proj sigmas (proj_sx=1.0 -> radial blur after FBP; proj_sy=2.0 -> angular over-smoothing) are TOO AGGRESSIVE for 128-view sparse breast-CT - they radially blur the sparse-view reconstruction on top of the existing streaks, smearing fibroglandular detail. The breast-tuned values (proven sensible from breast-ct-claude-agentic-dual-domain-bf-search-20260521-01) shrink proj_sx to near-identity (0.01, avoids radial blur), keep modest angular interpolation (proj_sy=0.3, mild help for sparse views), and tighten the range sigma (proj_sr=0.0005 << data range, preserves the breast/air attenuation edge in the sinogram). HYPOTHESIS: with the proj-domain BF near-identity + edge-preserving instead of radially blurring, per-image bilateral N2I stops smearing the FBP and recovers PSNR toward (ideally above) the 39.68 LD-FBP baseline, lifting hr off 0. WALL: identical step budget to iter-1 (warm <=3x200=600 + per-image 16x300=4800), which completed in 241 s - far under the 1800 s sbatch wall; outer_wall_s=1500 internal guard unchanged.
3		0.972288	0	discard	architecture	dual_domain_bilateral_n2i-claude-agentic-breast-ct	claude-opus-4.7-1m	dual_domain_bilateral_n2i-claude-agentic: warm_start=True, pretrain_epochs=3, train_n=200, n_iter=300, val_n=16, batch_size=1, grad_clip=1.0, lr=0.005, proj_n_bf=1, img_n_bf=1, img_sr=0.0005, outer_wall_s=1500, seed=42, rationale=iter-3, ONE-KNOB change vs iter-1 (the BEST base: PSNR 38.17 dB, SSIM 0.9720). Knob: image-domain BF range sigma img_sr 0.02 -> 0.0005. EVERYTHING else identical to iter-1 (warm_start=True, pretrain_epochs=3, train_n=200, n_iter=300, val_n=16, grad_clip=1.0, lr=5e-3, proj_n_bf=img_n_bf=1, 6 trainable BF params, seed=42, proj sigmas back at Wagner-abdomen solver defaults). NUMBERS / WHY NOT iter-2's base: iter-2 tuned the PROJECTION-domain sigmas (proj_sx=0.01/proj_sy=0.3/proj_sr=0.0005) and PSNR went DOWN 38.17->37.90 dB (SSIM 0.9720->0.9680, RMSE up). So the proj-domain BF is NOT the over-smoother to fix here; reverting proj sigmas to iter-1 defaults and keeping iter-1 as the base. FAILURE MODE: hr=0, recon below the 39.68 dB LD-FBP baseline because the 6-param BF degrades an already-decent 128-view FBP. The design doc (solver_dual_ddomain_bilateral_n2i.md Weaknesses) pinpoints the IMAGE-domain BF as the over-smoother on breast-CT: 'Image-domain sigma_x grew 0.5->1.08 in 2 epochs on breast-CT iter-1 - saturating the kernel'; and the doc's own rule 'sigma_r << data range preserves edges; sigma_r >> data range degenerates to a Gaussian'. The CONFIG default img_sr=0.02 is too loose for the breast mu-range, so the image-domain BF degenerates toward a plain Gaussian that smooths ACROSS fibroglandular edges. HYPOTHESIS: tightening img_sr to 0.0005 (<< breast attenuation range) makes the image-domain BF edge-preserving instead of a Gaussian blur, so it stops smearing fibroglandular detail in the FBP and recovers PSNR toward (ideally above) the 39.68 dB LD-FBP baseline, lifting hr off 0. This mirrors the tight range-sigma logic the doc recommends for proj_sr, applied to the image domain where the over-smoothing actually lives. WALL: identical step budget to iter-1/2 (warm <=3x200=600 + per-image 16x300=4800), which completed in 241 s / 261 s - far under the 1800 s sbatch wall; outer_wall_s=1500 internal guard unchanged.
4		0.973246	0	discard	architecture	dual_domain_bilateral_n2i-claude-agentic-breast-ct	claude-opus-4.7-1m	dual_domain_bilateral_n2i-claude-agentic: warm_start=True, pretrain_epochs=3, train_n=200, n_iter=300, val_n=16, batch_size=1, grad_clip=1.0, lr=0.005, proj_n_bf=1, img_n_bf=3, img_sr=0.0005, outer_wall_s=1500, seed=42, rationale=iter-4, ONE-KNOB change vs iter-3 (the BEST base: SSIM 0.9723, PSNR 38.19 dB). Knob: image-domain bilateral cascade DEPTH img_n_bf 1 -> 3 (6 -> 12 trainable BF params). EVERYTHING else identical to iter-3 (warm_start=True, pretrain_epochs=3, train_n=200, n_iter=300, val_n=16, grad_clip=1.0, lr=5e-3, proj_n_bf=1, img_sr=0.0005, seed=42, proj sigmas at Wagner-abdomen solver defaults). NUMBERS / TRAJECTORY: iter-1 (defaults) 0.9720 / 38.17 dB; iter-2 (proj sigmas tuned proj_sx=0.01/proj_sy=0.3/proj_sr=0.0005) 0.9680 / 37.90 dB -- proj-domain tuning HURT, reverted; iter-3 (img_sr 0.02->0.0005) 0.9723 / 38.19 dB -- marginal +0.02 dB. hr=0 throughout (all under the 39.68 dB LD-FBP baseline). FAILURE MODE: the 6-param single image-domain BF, even with img_sr now tightened for edge preservation, lacks the expressivity to add detail back to an already-decent 128-view FBP; it can only smooth, so PSNR stays pinned below baseline. WHY THIS KNOB NOW: the design doc (solver_dual_ddomain_bilateral_n2i.md Design considerations) states 'the image-domain stack readily differentiates into a multi-scale cascade (BF1 mild + tight sigma_r, BF2 wider, BF3 widest)' -- a genuine multi-scale denoiser, not just compounded blur. On demo_dl bilateral, img_n_bf is the confirmed working lever (1->3->5: hr 0.67->0.75->0.77, per mayo_campaign_state.md). The prior amortized img_n_bf attempts were at the LOOSE default img_sr=0.02 where the cascade just compounds a Gaussian blur across edges; now that img_sr is tightened to 0.0005 (iter-3), each BF in the stack is edge-preserving, so a 3-deep cascade should add multi-scale expressivity instead of compounding blur -- the one regime where deepening was previously inert/harmful is removed. HYPOTHESIS: with img_sr=0.0005 making each BF edge-preserving, deepening the image-domain stack 1->3 gives a multi-scale edge-preserving denoiser that recovers fine fibroglandular detail and lifts PSNR toward (ideally above) the 39.68 dB LD-FBP baseline, moving hr off 0. If FLAT (PSNR within +-0.05 dB of iter-3), this confirms breast bilateral N2I is converging to its 6-12-param structural ceiling (~0.972 SSIM), mirroring Mayo bilateral 0.9462 / dd-bf-supervised 0.9502 on their substrates -- the BF inductive bias simply cannot beat a clean dense-view FBP, only approach it. WALL: image-domain BF cost roughly triples (still a small fraction of the FBP-adjoint-dominated per-step cost); step budget unchanged (warm <=3x200=600 + per-image 16x300=4800), iter-3 ran 240 s, so well under the 1800 s sbatch wall; outer_wall_s=1500 internal guard unchanged.
5		0.972917	0	discard	architecture	dual_domain_bilateral_n2i-claude-agentic-breast-ct	claude-opus-4.7-1m	dual_domain_bilateral_n2i-claude-agentic: warm_start=True, pretrain_epochs=3, train_n=200, n_iter=300, val_n=16, batch_size=1, grad_clip=1.0, lr=0.005, proj_n_bf=1, img_n_bf=5, img_sr=0.0005, outer_wall_s=1500, seed=42, rationale=iter-5, ONE-KNOB change vs iter-4 (the BEST base: SSIM 0.9732, PSNR 38.21 dB). Knob: image-domain bilateral cascade DEPTH img_n_bf 3 -> 5 (12 -> 18 trainable BF params). EVERYTHING else identical to iter-4 (warm_start=True, pretrain_epochs=3, train_n=200, n_iter=300, val_n=16, batch_size=1, grad_clip=1.0, lr=5e-3, proj_n_bf=1, img_sr=0.0005 TIGHT, seed=42, proj sigmas at Wagner-abdomen solver defaults). NUMBERS / TRAJECTORY: iter-1 (defaults) 0.9720 / 38.17 dB; iter-2 (proj sigmas tuned) 0.9680 / 37.90 dB -- proj-domain tuning HURT, reverted; iter-3 (img_sr 0.02->0.0005 TIGHT) 0.9723 / 38.19 dB; iter-4 (img_n_bf 1->3 at tight img_sr) 0.9732 / 38.21 dB -- +0.0009 SSIM, DEPTH HELPS once sigma is tight. hr=0 throughout (all under the 39.68 dB LD-FBP / PSNR baseline). FAILURE MODE addressed: PSNR still pinned just below the LD-FBP baseline; the 12-param 3-deep edge-preserving image cascade lifted SSIM but is not yet expressive enough to push PSNR over baseline. WHY THIS KNOB NOW: img_n_bf is the CONFIRMED working lever once img_sr is tight (iter-4 proved 1->3 lifts +0.0009). The design doc (solver_dual_ddomain_bilateral_n2i.md Design considerations) states the image-domain stack 'readily differentiates into a multi-scale cascade (BF1 mild + tight sigma_r, BF2 wider, BF3 widest)' -- a genuine multi-scale denoiser. On demo_dl bilateral, img_n_bf 3->5 is a proven productive step (hr 0.7465->0.7705 / mayo_campaign_state.md demo-bilat 1->3->5: 0.67->0.75->0.77). At tight img_sr=0.0005 each BF in the stack is edge-preserving, so a 5-deep cascade adds finer multi-scale expressivity instead of compounding blur. HYPOTHESIS: deepening the edge-preserving image cascade 3->5 at tight img_sr=0.0005 lifts SSIM/PSNR above iter-4's 0.9732 toward the 39.68 dB LD-FBP baseline, mirroring the demo-bilat 3->5 gain (0.7465->0.7705). If it SATURATES (SSIM within +-0.0005 of iter-4, PSNR within +-0.05 dB), breast bilateral N2I is at its ~0.973 SSIM / 18-param structural ceiling -- the BF inductive bias approaches but cannot beat a clean 128-view FBP. WALL: image-domain BF cost scales ~5/3 vs iter-4 (still a small fraction of the FBP-adjoint-dominated per-step cost); step budget unchanged (warm <=3x200=600 + per-image 16x300=4800); iter-4 ran 448 s, so well under the 1800 s sbatch wall; outer_wall_s=1500 internal guard unchanged.
6		0.97312	0	discard	architecture	dual_domain_bilateral_n2i-claude-agentic-breast-ct	claude-opus-4.7-1m	dual_domain_bilateral_n2i-claude-agentic: warm_start=True, pretrain_epochs=3, train_n=200, n_iter=300, val_n=16, batch_size=1, grad_clip=1.0, lr=0.005, proj_n_bf=1, img_n_bf=3, img_sr=0.0005, img_kernel=9, outer_wall_s=1500, seed=42, rationale=iter-6, ONE-KNOB change vs iter-4 (the BEST base: SSIM 0.9732, PSNR 38.21 dB; img_n_bf=3, img_sr=0.0005). REVERTED depth img_n_bf 5->3 (iter-5 img_n_bf=5 SATURATED/DROPPED to 0.9729 / 38.18 dB -- image-cascade depth is past its peak on breast, unlike demo which climbs to img_n_bf=7). Now probing a DIFFERENT axis on the saturation-point base. KNOB: image-domain BF spatial KERNEL size img_kernel 7 -> 9 (odd; the receptive field of each TrainableBilateralFilter2d in the image stack). EVERYTHING else identical to iter-4 (warm_start=True, pretrain_epochs=3, train_n=200, n_iter=300, val_n=16, batch_size=1, grad_clip=1.0, lr=5e-3, proj_n_bf=1, img_n_bf=3, img_sr=0.0005 TIGHT, seed=42, proj sigmas at Wagner-abdomen solver defaults, proj_kernel=5 default). TRAJECTORY: iter-1 (defaults) 0.9720/38.17; iter-2 (proj sigmas tuned) 0.9680/37.90 -- proj HURT, reverted; iter-3 (img_sr 0.02->0.0005 TIGHT) 0.9723/38.19; iter-4 (img_n_bf 1->3) 0.9732/38.21 PEAK; iter-5 (img_n_bf 3->5) 0.9729/38.18 -- DEPTH SATURATED at 3. hr=0 throughout (all under 39.68 dB LD-FBP baseline). FAILURE MODE: near the breast bilateral ceiling (~0.973 SSIM); the 12-param 3-deep edge-preserving image cascade lifted SSIM but PSNR stays pinned just below baseline -- depth (img_n_bf) and range-sigma (img_sr) axes are now exhausted. WHY THIS KNOB NOW: img_kernel is the IMAGE-domain RECEPTIVE-FIELD axis, NOT yet touched on this run (only depth img_n_bf and range img_sr were). This mirrors the Mayo bilateral receptive-field probe (Mayo iter-10 img_kernel). The design doc lists proj_kernel/img_kernel (default 5/7) as the spatial kernel size; at tight img_sr=0.0005 each BF is edge-preserving in the RANGE domain, so widening the SPATIAL kernel 7->9 pulls in more same-tissue neighbours as denoising support for the sparse-view streaks WITHOUT crossing fibroglandular edges (the range sigma still gates cross-edge averaging). HYPOTHESIS: a 9x9 image BF kernel at tight img_sr gives more spatial support to suppress 128-view streak noise edge-preservingly, lifting PSNR toward (ideally above) the 39.68 dB LD-FBP baseline and SSIM above iter-4 0.9732. If FLAT (SSIM within +-0.0005 of iter-4, PSNR within +-0.05 dB), breast bilateral N2I is CONFIRMED at its ~0.973 SSIM structural ceiling across all three image-BF axes (depth, range-sigma, receptive field) -- the BF inductive bias approaches but cannot beat a clean 128-view FBP. WALL: a 9x9 vs 7x7 image kernel raises the image-BF spatial cost ~(81/49)x (still a small fraction of the FBP-adjoint-dominated per-step cost); step budget unchanged (warm <=3x200=600 + per-image 16x300=4800); iter-4 (img_n_bf=3) ran 448 s, so well under the 1800 s sbatch wall; outer_wall_s=1500 internal guard unchanged.
7		0.9732	0	discard	architecture	dual_domain_bilateral_n2i-claude-agentic-breast-ct	claude-opus-4.7-1m	dual_domain_bilateral_n2i-claude-agentic: warm_start=True, pretrain_epochs=3, train_n=200, n_iter=600, val_n=16, batch_size=1, grad_clip=1.0, lr=0.005, proj_n_bf=1, img_n_bf=3, img_sr=0.0005, outer_wall_s=1500, seed=42, rationale=iter-7, CEILING-CONFIRMATION PROBE. ONE-KNOB change vs iter-4 (the BEST base: SSIM 0.9732, PSNR 38.21 dB; img_n_bf=3, img_sr=0.0005). KNOB: per-image fit n_iter 300 -> 600 (per-scan Adam steps in _fit_one_scene). This is a NOT-YET-TRIED axis on this run: iters 1-6 only touched IMAGE-domain BF axes (proj sigmas iter-2 HURT and reverted; img_sr iter-3; img_n_bf depth iter-4/5 peaks at 3; img_kernel iter-6 flat) -- ALL three image-BF axes (depth, range-sigma, receptive-field) are now EXHAUSTED at the ~0.9732 SSIM ceiling, hr=0 throughout (all under the 39.68 dB LD-FBP baseline). EVERYTHING else identical to iter-4 (warm_start=True, pretrain_epochs=3, train_n=200, val_n=16, batch_size=1, grad_clip=1.0, lr=5e-3, proj_n_bf=1, img_n_bf=3, img_sr=0.0005 TIGHT, seed=42, proj sigmas at Wagner-abdomen solver defaults). TRAJECTORY: iter-1 0.9720/38.17; iter-2 (proj sigmas) 0.9680/37.90 HURT; iter-3 (img_sr tight) 0.9723/38.19; iter-4 (img_n_bf 1->3) 0.9732/38.21 PEAK; iter-5 (img_n_bf 3->5) 0.9729/38.18 SATURATED; iter-6 (img_kernel 7->9) 0.9731 FLAT. FAILURE MODE: near the breast bilateral 12-param structural ceiling (~0.973 SSIM); image-domain depth/kernel/sigma all tapped. WHY n_iter NOW (ceiling-confirmation logic): campaign-state knob insight warns U-Net N2I OVERFITS each scan with n_iter UP (no early-stop in _fit_one_scene: demo-n2i 0.4785->0.4293 @n_iter1200, breast-n2i 0.9553->0.9407 @n_iter600), BUT the 12-param bilateral PHYSICALLY CANNOT overfit one scan (only 12 sigma scalars, no pixel-wise memory). So n_iter is the decisive ceiling probe: if the BF is at its REPRESENTATIONAL ceiling (not under-fit), doubling per-scan Adam steps moves SSIM <+-0.0005 -- distinguishing 'ceiling' from 'under-converged'. HYPOTHESIS: n_iter 300->600 leaves SSIM within +-0.0005 of iter-4 0.9732 (the 12 BF sigmas already converged within 300 steps; extra steps just re-walk the same minimum), CONFIRMING the ~0.973 6-12-param structural ceiling is representational, not an optimization artefact -- the BF inductive bias approaches but cannot beat a clean 128-view FBP. If instead SSIM RISES, the BF was under-converged and n_iter becomes the next lever. WALL: per-image step budget doubles (warm <=3x200=600 + per-image 16x600=9600); iter-5 (img_n_bf=5, heavier per-step) ran 448 s and iter-4 ran 448 s at n_iter=300, so ~2x per-image -> est ~700-800 s, far under the 1800 s sbatch wall; outer_wall_s=1500 internal guard unchanged as the hard cap.
8		0.974749	0	discard	architecture	dual_domain_bilateral_n2i-claude-agentic-breast-ct	claude-opus-4.7-1m	dual_domain_bilateral_n2i-claude-agentic: warm_start=True, pretrain_epochs=3, train_n=200, n_iter=300, val_n=16, batch_size=1, grad_clip=1.0, lr=0.005, proj_n_bf=1, img_n_bf=3, img_sr=0.0005, proj_sr=0.0005, outer_wall_s=1500, seed=42, rationale=iter-8, ONE-KNOB change vs the iter-4 PEAK base (SSIM 0.9732, PSNR 38.21 dB; img_n_bf=3, img_sr=0.0005 tight, n_iter=300). KNOB: projection-domain BF range sigma proj_sr 0.02 -> 0.0005 (tight/edge-preserving in the sinogram). EVERYTHING else identical to iter-4 (warm_start=True, pretrain_epochs=3, train_n=200, n_iter=300 REVERTED from iter-7's 600 ceiling-probe, val_n=16, grad_clip=1.0, lr=5e-3, proj_n_bf=1, img_n_bf=3, img_sr=0.0005, seed=42; proj_sx/proj_sy left at Wagner-abdomen defaults). TRAJECTORY: iter-1 0.9720/38.17; iter-2 (ALL THREE proj sigmas tuned at once off the LOOSE iter-1 base proj_sx=0.01/proj_sy=0.3/proj_sr=0.0005) 0.9680/37.90 HURT; iter-3 (img_sr 0.02->0.0005) 0.9723/38.19; iter-4 (img_n_bf 1->3) 0.9732/38.21 PEAK; iter-5 (img_n_bf 3->5) 0.9729 SAT; iter-6 (img_kernel 7->9) 0.9731 FLAT; iter-7 (n_iter 300->600) 0.9732 FLAT -- BF converges in 300 steps (representational ceiling, NOT under-convergence). FAILURE MODE at 0.9732: ALL FOUR image-domain axes (depth img_n_bf, range img_sr, kernel img_kernel, optimization n_iter) are EXHAUSTED; PSNR pinned ~1.5 dB under the 39.68 dB LD-FBP baseline, hr=0. The PROJECTION domain is the one untested axis at the PEAK base -- iter-2's proj attempt swapped proj_sx AND proj_sy AND proj_sr SIMULTANEOUSLY off the loose-img_sr/img_n_bf=1 iter-1 base (confound: cannot tell which proj sigma hurt, and the base was 0.0012 SSIM below the peak). WHY proj_sr NOW (isolated, breast=tight direction per mayo_campaign_state.md): the campaign-state N2I knob insight records 128-view substrates respond to the IMAGE-domain img_sr (now exhausted) and that breast wants TIGHT range sigmas (img_sr->0.0005 worked, iter-3); the symmetric untested lever is the sinogram-domain range sigma proj_sr. At the loose default 0.02 (>> the breast sinogram value range) the projection BF degenerates toward an angular/radial Gaussian that smears sparse-view samples BEFORE FBP; tightening proj_sr to 0.0005 (<< data range) makes it edge-preserving on the air/breast attenuation boundary in the sinogram, denoising the 128-view streak source edge-preservingly instead of blurring it. This isolates proj_sr ONLY (proj_sx/proj_sy stay at defaults, unlike the confounded iter-2). HYPOTHESIS: tight proj_sr=0.0005 cleans the sinogram edge-preservingly before FBP, lifting PSNR toward the 39.68 dB baseline and SSIM above the 0.9732 peak. If FLAT (SSIM within +-0.0005 of iter-4), the projection-range axis is ALSO exhausted and the ~0.973 12-param structural ceiling is CONFIRMED across BOTH domains -- the BF inductive bias approaches but cannot beat a clean 128-view FBP (mirroring dd-bf-supervised 0.9502 on Mayo). WALL: step budget identical to iter-4 (n_iter back to 300; warm <=3x200=600 + per-image 16x300=4800); iter-4 ran 448 s, far under the 1800 s sbatch wall; outer_wall_s=1500 internal guard unchanged.
9		0.974746	0	discard	architecture	dual_domain_bilateral_n2i-claude-agentic-breast-ct	claude-opus-4.7-1m	dual_domain_bilateral_n2i-claude-agentic: warm_start=True, pretrain_epochs=3, train_n=200, n_iter=300, val_n=16, batch_size=1, grad_clip=1.0, lr=0.005, proj_n_bf=1, img_n_bf=3, img_sr=0.0005, proj_sr=0.0001, outer_wall_s=1500, seed=42, rationale=iter-9, ONE-KNOB change vs the iter-8 NEW PEAK base (SSIM 0.9747, PSNR 38.63 dB; img_n_bf=3, img_sr=0.0005, proj_sr=0.0005, n_iter=300). KNOB: projection-domain BF range sigma proj_sr 0.0005 -> 0.0001 (push the SAME winning tight/edge-preserving direction even tighter in the sinogram). EVERYTHING else identical to iter-8 (warm_start=True, pretrain_epochs=3, train_n=200, n_iter=300, val_n=16, batch_size=1, grad_clip=1.0, lr=5e-3, proj_n_bf=1, img_n_bf=3, img_sr=0.0005, seed=42; proj_sx/proj_sy left at Wagner-abdomen defaults). TRAJECTORY: iter-1 0.9720/38.17; iter-2 (ALL THREE proj sigmas at once off loose iter-1 base) 0.9680/37.90 HURT; iter-3 (img_sr 0.02->0.0005) 0.9723/38.19; iter-4 (img_n_bf 1->3) 0.9732/38.21 PEAK; iter-5 (img_n_bf 3->5) 0.9729 SAT; iter-6 (img_kernel 7->9) 0.9731 FLAT; iter-7 (n_iter 300->600) 0.9732 FLAT; iter-8 (proj_sr 0.02->0.0005, ISOLATED) 0.9747/38.63 NEW PEAK +0.0015 -- the projection-domain range sigma is the ACTIVE winning lever, breaking the prior ~0.973 ceiling. FAILURE MODE addressed: at the loose proj_sr the projection BF under-denoised / Gaussian-blurred the sinogram edge before FBP; tightening to 0.0005 made it edge-preserving on the air/breast attenuation boundary and lifted SSIM/PSNR. WHY proj_sr->0.0001 NOW: proj_sr is the only lever still actively improving (img depth/kernel/sigma/n_iter all exhausted; iter-8 just broke the ceiling by tightening it). img_sr already showed the breast substrate wants TIGHT range sigmas (mayo_campaign_state.md: 'breast wants img_sr->0.0005'); the symmetric proj_sr lever just proved the same direction in the sinogram. The natural one-knob continuation of a proven monotone win is to extend it: 5x tighter (0.0005->0.0001), <<< the breast sinogram value range, maximally edge-preserving on the attenuation boundary. proj_n_bf 1->2 (a 2nd projection BF) is the alternative adjacent knob but is a structural/capacity step (doubles the proj stack, more confounded); the trend says the tight-range DIRECTION produces the gain, so push it before changing structure. HYPOTHESIS: does the projection-domain range-tightening gain CONTINUE or SATURATE? If proj_sr=0.0001 lifts SSIM above iter-8's 0.9747, the projection BF still has edge-preserving headroom and proj_sr->even-tighter (or proj_n_bf 1->2) is the next iter; if FLAT (within +-0.0005 of 0.9747) or DROPS, proj_sr=0.0005 is the projection-range optimum and the next probe moves to the adjacent projection knob (proj_n_bf 1->2 to add a 2nd projection BF now that the tight-range regime is established). WALL: step budget IDENTICAL to iter-8 (n_iter=300, val_n=16; warm <=3x200=600 + per-image 16x300=4800); iter-8 ran 457 s, far under the 1800 s sbatch wall; outer_wall_s=1500 internal guard unchanged.
10		0.974748	0	discard	architecture	dual_domain_bilateral_n2i-claude-agentic-breast-ct	claude-opus-4.7-1m	dual_domain_bilateral_n2i-claude-agentic: warm_start=True, pretrain_epochs=3, train_n=200, n_iter=300, val_n=16, batch_size=1, grad_clip=1.0, lr=0.005, proj_n_bf=2, img_n_bf=3, img_sr=0.0005, proj_sr=0.0005, outer_wall_s=1500, seed=42, rationale=iter-10, ONE-KNOB change vs the iter-8 PEAK base (SSIM 0.9747, PSNR 38.63 dB; proj_n_bf=1, proj_sr=0.0005, img_n_bf=3, img_sr=0.0005, n_iter=300). KNOB: projection-domain bilateral cascade DEPTH proj_n_bf 1 -> 2 (adds a 2nd projection-domain TrainableBilateralFilter2d; 12 -> 18 trainable BF params). EVERYTHING else identical to iter-8 (warm_start=True, pretrain_epochs=3, train_n=200, n_iter=300, val_n=16, batch_size=1, grad_clip=1.0, lr=5e-3, img_n_bf=3, img_sr=0.0005, proj_sr=0.0005; proj_sx/proj_sy/proj_kernel left at Wagner-abdomen defaults; proj_sr applied to BOTH proj BFs via solver init). TRAJECTORY: iter-1 0.9720/38.17; iter-2 (all 3 proj sigmas at once off loose base) 0.9680 HURT; iter-3 (img_sr tight) 0.9723; iter-4 (img_n_bf 1->3) 0.9732 PEAK; iter-5 (img_n_bf 3->5) 0.9729 SAT; iter-6 (img_kernel 7->9) 0.9731 FLAT; iter-7 (n_iter 300->600) 0.9732 FLAT; iter-8 (proj_sr 0.02->0.0005 ISOLATED) 0.9747/38.63 NEW PEAK +0.0015; iter-9 (proj_sr 0.0005->0.0001) 0.97475 FLAT (delta < 3e-6 vs iter-8) -- the projection-RANGE lever is SATURATED at proj_sr=0.0005. FAILURE MODE at 0.9747: all four IMAGE-domain axes (depth/range/kernel/n_iter) exhausted at iter-4-7; the projection-RANGE sigma lever broke the ceiling at iter-8 but saturated at iter-9. The one UNTESTED projection-domain axis at the peak base is the projection cascade DEPTH proj_n_bf -- the RESERVED structural lever, now justified because the tight-range projection regime (proj_sr=0.0005) is established and a 2nd edge-preserving projection BF can stack additional sinogram denoising on the same tight-range basis instead of compounding a Gaussian blur. WHY proj_n_bf NOW: img_n_bf cascade depth was the active IMAGE-domain lever once img_sr was tight (iter-4 1->3 PEAK); by symmetry, now that proj_sr is tight a 2nd projection BF should add multi-scale edge-preserving sinogram denoising. The projection-range sigma is saturated (iter-9 flat), so the next move on the projection domain is structural depth, not a tighter sigma. HYPOTHESIS: does a 2nd projection BF stage (proj_n_bf 1->2) at tight proj_sr=0.0005 lift SSIM past iter-8 0.9747, or does the projection cascade saturate like img_n_bf saturated past 3? If SSIM > 0.9747 the projection cascade has depth headroom; if FLAT (within +-0.0005 of 0.9747) the projection domain is exhausted across BOTH range and depth, confirming the ~0.9747 12-18-param structural ceiling -- the BF inductive bias approaches but cannot beat a clean 128-view FBP. WALL: a 2nd projection BF adds one sinogram-domain BF pass per step (small vs the FBP-adjoint-dominated per-step cost); step budget IDENTICAL to iter-8 (n_iter=300, val_n=16; warm <=3x200=600 + per-image 16x300=4800); iter-8 ran 457 s, far under the 1800 s sbatch wall; outer_wall_s=1500 internal guard unchanged.
