iter	commit	val_score	headroom	status	change_class	agent	model	val_psnr	val_rmse	elapsed_s	params_M	rationale
1	671da566	0.956737	0	discard	architecture	dual_domain_bilateral_n2i-claude-agentic	claude-opus-4-8-1m	38.4379	9.803727e-04	1578.2	6e-06	dual_domain_bilateral_n2i-claude-agentic: warm_start=True, pretrain_epochs=2, train_n=400, n_iter=120, val_n=200, batch_size=1, grad_clip=1.0, lr=0.005, proj_n_bf=1, img_n_bf=1, outer_wall_s=1050, seed=42, rationale=iter-1 ONBOARDING dual_domain_bilateral_n2i (self-supervised Noise2Inverse, per-image: warm-start amortised N2I pre-pass on train, then per-scene Adam of the 2x64-view split-MSE self-sup loss on each val scan's own 128-view sinogram; 6 trainable BF params at proj_n_bf=img_n_bf=1) on the RE-SPLIT Breast-CT (train3600/val200/test200, seed20260703), scoring val=200. SIX-BOX: (1) PRIOR: none (first iter of this slug). Nearest reference = OLD-split breast N2I-BF which plateaued ~SSIM0.9748 and hr=0 (N2I over-smooths dense breast, docs/findings.md 2026-05-22: split-view FBP noise floor makes MSE-vs-half-view pull toward blur). (2) FAILURE MODE: N/A onboarding; goal = does per-image N2I-BF RUN on the new val=200 split under the HARD 20-min budget and produce finite val metrics + a comparison figure? Expect hr near 0 (structurally bounded on dense 128-view breast per the documented risk). (3) ONE KNOB: N/A baseline (solver near-defaults; only val_n set to the required 200 and n_iter sized for the wall). (4) HYPOTHESIS: per-image N2I-BF trains stably (grad_clip=1.0) and gives val_ssim ~0.95-0.97 but hr~=0 because minimising MSE against the noisy 64-view half-set FBP encourages over-smoothing on the already-clean dense breast FBP. (5) BUDGET: per-image N2I cost = warm(2 ep x 400) + val_n(200) x n_iter(120) inner steps on breast's LIGHT 128-view adjoint (18x fewer angles than Mayo 2304). outer_wall_s=1050 hard internal backstop keeps the per-image loop well under the 1800s sbatch wall; iter-1 measures the true per-scene rate so iters 2-5 can raise n_iter safely. (6) Loop continues; iter-2 dispatched on landing. Levers reserved for iters 2-20: img_n_bf/proj_n_bf (BF DEPTH), img_sx/sy/sr + proj_sx/sy/sr + kernels (BILATERAL params), n_iter + pretrain_epochs + lr (OPTIMIZATION), warm_start on/off, train_n. (NOTE: the brief's num_splits + consistency_weight are NOT wired in this solver -- the N2I split is a fixed 2-way odd/even with a fixed negativity weight in DualDomainPipeline.training_step; genuine levers are BF depth/params/optimization, which is what this campaign sweeps.)
2	671da566	0.955991	0	discard	architecture	dual_domain_bilateral_n2i-claude-agentic	claude-opus-4-8-1m	38.397	9.849939e-04	1481.7	1.2e-05	dual_domain_bilateral_n2i-claude-agentic: warm_start=True, pretrain_epochs=2, train_n=400, n_iter=120, val_n=200, batch_size=1, grad_clip=1.0, lr=0.005, proj_n_bf=1, img_n_bf=3, outer_wall_s=1050, seed=42, rationale=iter-2 dual_domain_bilateral_n2i, ONE-KNOB vs iter-1. PRIOR: iter-1 (img_n_bf=1, 6 params) hr=0.0, val_ssim=0.9567, val_psnr=38.44, recon_rmse 9.80e-4 slightly ABOVE baseline_rmse 9.65e-4 (recon marginally WORSE than the clean 128-view FBP -> hr floors at 0). This is the documented N2I-over-smooths-dense-breast failure (findings.md 2026-05-22). KNOB: image-domain BF DEPTH img_n_bf 1->3 (proj_n_bf held at 1). HYPOTHESIS: a deeper image-domain BF cascade (3 stacked TrainableBilateralFilter2d = 12 img params) gives the N2I loss more edge-preserving capacity, so it MIGHT recover fine detail rather than blur -- if hr climbs off 0, depth is a live lever; if it stays 0 (or SSIM/PSNR drop), deeper BF just compounds the over-smoothing and DEPTH is exhausted as an escape from the N2I ceiling. FAILURE MODE watched: over-smoothing (val_psnr drops below iter-1 38.44 / recon_rmse rises above baseline). BUDGET: img_n_bf 1->3 triples image-domain unfold cost but on breast's light 128-view adjoint iter-1 ran 1200s at depth1/n_iter120; depth3 image BF is cheap vs the FBP adjoints, expect <1300s; outer_wall_s=1050 internal backstop unchanged (it cut iter-1 at 195/200 scenes -> val_n effectively ~195, consistent across iters). ONE knob changed: img_n_bf 1->3.
3	671da566	0.956323	0	discard	architecture	dual_domain_bilateral_n2i-claude-agentic	claude-opus-4-8-1m	38.388	9.860207e-04	1463.1	6e-06	dual_domain_bilateral_n2i-claude-agentic: warm_start=True, pretrain_epochs=2, train_n=400, n_iter=30, val_n=200, batch_size=1, grad_clip=1.0, lr=0.005, proj_n_bf=1, img_n_bf=1, outer_wall_s=1050, seed=42, rationale=iter-3 dual_domain_bilateral_n2i, ONE-KNOB vs iter-1 (return to img_n_bf=1 baseline; iter-2 img_n_bf=3 was hr=0 SSIM0.9560, marginally WORSE than iter-1 0.9567 -> DEPTH compounds over-smoothing, exhausted). PRIOR: iter-1 (n_iter=120) hr=0 SSIM0.9567 PSNR38.44 recon_rmse 9.80e-4 > baseline 9.65e-4. KNOB: per-scene optimization steps n_iter 120->30 (EARLY-STOP the per-image N2I fit). HYPOTHESIS: the N2I split-MSE target is the noisy 64-view half FBP, so MORE steps pull the recon further BELOW the clean 128-view FBP (over-smooth). With the warm-start init + only 30 per-scene steps the recon stays CLOSER to the raw FBP, so recon_rmse should APPROACH baseline_rmse from above -- if hr ticks off 0, the ceiling is partly a CONVERGENCE artifact and there is an early-stop sweet spot (next: n_iter 10, 60); if hr stays 0, the N2I MSE floor is structural even at the warm-start-dominated regime. FAILURE watched: too few steps -> recon = warm-start-generic-BF (may be WORSE than a good FBP if the generic sigma over-blurs). BUDGET: n_iter 120->30 is ~4x FEWER inner steps -> expect ~350-450s, well under wall (iter-1 depth1/n_iter120 = 1200s). ONE knob: n_iter 120->30.
4	671da566	0.956293	0	discard	architecture	dual_domain_bilateral_n2i-claude-agentic	claude-opus-4-8-1m	38.3934	9.854020e-04	1523.0	9e-06	dual_domain_bilateral_n2i-claude-agentic: warm_start=True, pretrain_epochs=2, train_n=400, n_iter=30, val_n=200, batch_size=1, grad_clip=1.0, lr=0.005, proj_n_bf=2, img_n_bf=1, outer_wall_s=1050, seed=42, rationale=iter-4 dual_domain_bilateral_n2i, ONE-KNOB: projection-domain BF DEPTH proj_n_bf 1->2 (vs iter-3 base: proj_n_bf=1, img_n_bf=1, n_iter=30). PRIOR trajectory: iter-1 (n_iter120) SSIM0.9567 recon_rmse9.80e-4 > base9.65e-4; iter-2 (img depth3) SSIM0.9560 WORSE; iter-3 (n_iter30 early-stop) SSIM0.9563 recon_rmse9.86e-4 ~= base9.84e-4 (early-stop reaches FBP PARITY but never beats it). All hr=0. So image-domain BF + optimization steps are exhausted; recon asymptotes to FBP from ABOVE. NEW AXIS: the projection (sinogram) domain has only ever been at depth 1. KNOB: proj_n_bf 1->2 (2 stacked projection BFs = extra 3 proj params). HYPOTHESIS: denoising the 64-view half-sinogram MORE before FBP could suppress the sparse-view streak noise that the image-domain BF cannot reach, so the N2I recon might finally dip recon_rmse BELOW baseline (hr>0). If hr stays 0, the projection domain is ALSO bounded by FBP on dense breast and the N2I ceiling is confirmed to hold across BOTH domains. FAILURE watched: findings.md warns projection BF that is too strong -> view inconsistency -> new artifacts (PSNR/SSIM drop). BUDGET: proj depth2 adds one sinogram unfold per half-pass; cheap; n_iter=30 -> ~1000s (iter-3 ran 1047s). ONE knob: proj_n_bf 1->2.
5	671da566	0.960548	0.125654	keep	architecture	dual_domain_bilateral_n2i-claude-agentic	claude-opus-4-8-1m	39.5707	8.605005e-04	1381.7	6e-06	dual_domain_bilateral_n2i-claude-agentic: warm_start=True, pretrain_epochs=2, train_n=400, n_iter=30, val_n=200, batch_size=1, grad_clip=1.0, lr=0.005, proj_n_bf=1, img_n_bf=1, img_sr=0.0005, outer_wall_s=900, seed=42, rationale=iter-5 dual_domain_bilateral_n2i, ONE-KNOB: image-domain BF RANGE sigma img_sr 0.02->0.0005 (much tighter intensity bandwidth -> edge-preserving). Back to proj_n_bf=1/img_n_bf=1/n_iter=30 (iter-4 proj depth2 was hr=0 SSIM0.9563 recon_rmse9.85e-4 ~= base9.84e-4 -> projection axis also FBP-bounded). TRAJECTORY so far (all hr=0): depth (img & proj), n_iter/early-stop all asymptote to FBP from above, never below. HYPOTHESIS: the failure is edge-BLINDNESS -- a wide range sigma (0.02) lets the BF average across fibroglandular tissue edges (over-smooth). A TIGHT img_sr=0.0005 (the old-split breast N2I champion value) makes the range kernel edge-preserving: it smooths flat noise but STOPS at intensity edges, so the recon could retain detail AND denoise -> first real shot at recon_rmse < baseline (hr>0). If STILL hr=0, edge-preservation via range sigma does not unlock breast N2I either. FAILURE watched: too-tight img_sr -> BF becomes near-identity (no denoising) -> recon = raw noisy FBP (SSIM/PSNR ~ baseline, not below). BUDGET: img_sr is a VALUE change, same kernel/unfold cost as iter-3 (1047s); outer_wall_s tightened 1050->900 to keep total safely under the 30-min sbatch wall (iter-4 proj-depth2 ran 25 min). ONE knob: img_sr 0.02->0.0005.
6	671da566	0.958429	0.100282	keep	architecture	dual_domain_bilateral_n2i-claude-agentic	claude-opus-4-8-1m	39.3222	8.854702e-04	1311.1	6e-06	dual_domain_bilateral_n2i-claude-agentic: warm_start=True, pretrain_epochs=2, train_n=400, n_iter=30, val_n=200, batch_size=1, grad_clip=1.0, lr=0.005, proj_n_bf=1, img_n_bf=1, img_sr=0.0005, proj_sr=0.0005, outer_wall_s=900, seed=42, rationale=iter-6 dual_domain_bilateral_n2i, ONE-KNOB: projection-domain BF RANGE sigma proj_sr 0.02->0.0005 (edge-preserving), keeping the iter-5 WINNER img_sr=0.0005. BREAKTHROUGH PRIOR: iter-5 (img_sr 0.02->0.0005) hr=0.1257, SSIM0.9605, PSNR39.57, recon_rmse8.61e-4 < baseline9.84e-4 -- the FIRST recon to BEAT the 128-view FBP. Root cause: a TIGHT range sigma makes the image BF EDGE-PRESERVING (smooths flat noise, stops at fibroglandular edges) instead of over-smoothing. Iters 1-4 (wide sr=0.02, depth, n_iter) all floored at hr=0 = confirmed the wide-range BF was the over-smoothing culprit, not the N2I loss per se. HYPOTHESIS: the SAME edge-preserving fix in the PROJECTION domain (proj_sr 0.02->0.0005) suppresses sparse-view streak noise in the sinogram before FBP WITHOUT the view-inconsistency that a strong-but-wide proj filter causes (findings.md: keep proj filtering gentle/soft -- a tight RANGE sigma is soft-edged in intensity, exactly the recommended lever) -> hr climbs above 0.1257. If hr drops vs iter-5, proj-domain edge-preservation induces view inconsistency and the image domain alone is the safe lever. BUDGET: value change only, ~1020s like iter-5. ONE knob: proj_sr 0.02->0.0005.
7	671da566	0.960568	0.126072	keep	architecture	dual_domain_bilateral_n2i-claude-agentic	claude-opus-4-8-1m	39.5748	8.600884e-04	990.3	6e-06	dual_domain_bilateral_n2i-claude-agentic: warm_start=True, pretrain_epochs=2, train_n=400, n_iter=30, val_n=200, batch_size=1, grad_clip=1.0, lr=0.005, proj_n_bf=1, img_n_bf=1, img_sr=0.0002, outer_wall_s=900, seed=42, rationale=iter-7 dual_domain_bilateral_n2i, ONE-KNOB: image BF range sigma img_sr 0.0005->0.0002 (even tighter edge-preservation). proj_sr REVERTED to default 0.02 (iter-6 tightened proj_sr->0.0005 and hr DROPPED 0.1257->0.1003 = edge-hard projection filtering causes view inconsistency, findings.md confirmed; proj domain stays gentle). CHAMPION = iter-5 (img_sr=0.0005) hr=0.1257 SSIM0.9605 PSNR39.57. HYPOTHESIS: the image-domain range sigma is the live lever; 0.02->0.0005 gained +0.126 hr by making the BF stop at intensity edges. A yet-tighter 0.0002 preserves MORE fibroglandular edge detail -> hr climbs further, UNLESS the kernel becomes near-identity (range so tight the BF barely averages -> no denoising -> recon regresses toward the raw noisy FBP, hr back toward 0). This iter locates which side of the sweet spot 0.0005 is on: if hr>0.1257 keep tightening (0.0001); if hr<0.1257 the optimum is at/above 0.0005 (next: 0.001). BUDGET: value change, ~1000s. ONE knob: img_sr 0.0005->0.0002.
8	671da566	0.962024	0.115996	keep	architecture	dual_domain_bilateral_n2i-claude-agentic	claude-opus-4-8-1m	39.7246	8.453877e-04	1428.7	6e-06	dual_domain_bilateral_n2i-claude-agentic: warm_start=True, pretrain_epochs=2, train_n=400, n_iter=100, val_n=200, batch_size=1, grad_clip=1.0, lr=0.005, proj_n_bf=1, img_n_bf=1, img_sr=0.0002, outer_wall_s=900, seed=42, rationale=iter-8 dual_domain_bilateral_n2i, ONE-KNOB: per-scene steps n_iter 30->100, on the iter-7 CHAMPION base (img_sr=0.0002, img_n_bf=proj_n_bf=1). CHAMPION = iter-7 hr=0.1261 SSIM0.9606 PSNR39.57 (img_sr 0.0005->0.0002 marginal +0.0004 over iter-5's 0.1257; range-sigma optimum is flat ~2e-4..5e-4). HYPOTHESIS: iter-1/iter-3 showed n_iter did NOT help when img_sr was WIDE (0.02) -- more steps just pulled the over-smoothing BF further toward the blurry 64-view half-target. But now img_sr is TIGHT/edge-preserving, so additional per-scene N2I steps should refine the edge-preserving denoiser toward better noise suppression WITHOUT over-blurring (the tight range kernel structurally cannot cross edges regardless of step count) -> hr climbs above 0.1261. If hr FLAT/DROPS, the edge-preserving BF converges fast (30 steps already enough) and n_iter is saturated -> revert to 30 and move to spatial sigma. FAILURE watched: even edge-preserving, too many steps could still creep the recon toward the noisy half-target mean (mild PSNR drop). BUDGET: n_iter 30->100 ~3.3x inner steps; iter-7 ran 692s at n_iter30 on a fast node but iter-1 n_iter120 was 1200s -> n_iter100 ~1000-1100s; outer_wall_s=900 caps it (may trim a few scenes). ONE knob: n_iter 30->100.
9	671da566	0.961998	0.114028	keep	architecture	dual_domain_bilateral_n2i-claude-agentic	claude-opus-4-8-1m	39.7052	8.472704e-04	1401.2	6e-06	dual_domain_bilateral_n2i-claude-agentic: warm_start=True, pretrain_epochs=2, train_n=400, n_iter=30, val_n=200, batch_size=1, grad_clip=1.0, lr=0.005, proj_n_bf=1, img_n_bf=1, img_sr=0.0002, img_sx=2.5, img_sy=2.5, outer_wall_s=900, seed=42, rationale=iter-9 dual_domain_bilateral_n2i, ONE-KNOB: image BF SPATIAL sigma img_sx=img_sy 1.5->2.5 (isotropic widen), on iter-7 CHAMPION base (img_sr=0.0002, n_iter=30). n_iter REVERTED to 30 (iter-8 n_iter=100 gave hr=0.1160 on a wall-trimmed val_n=193/harder-baseline subset; SSIM/PSNR were actually higher 0.9620/39.72 but n_iter did not clearly help and it trims the val set -> keep 30 for a clean 200-scene comparison). CHAMPION = iter-7 hr=0.1261 (img_sr=0.0002). HYPOTHESIS: with the range kernel now EDGE-PRESERVING (tight img_sr), a WIDER spatial sigma lets each output pixel average over MORE same-tissue neighbours -> stronger flat-region noise suppression, while the tight range kernel still BLOCKS averaging across fibroglandular edges -> cleaner denoise WITHOUT new blur -> hr climbs above 0.1261. This is the direction that lifted the DEMO bilateral monotonically (1.5->2.5->3.5); the question is whether it transfers to breast NOW that range-edge-preservation is on (on the OLD-split breast it barely moved because range was not this tight). If hr FLAT/DROPS, breast's fine fibroglandular structure sits inside the widened window and even edge-guarded spatial widening blurs it -> spatial axis capped at 1.5. BUDGET: spatial-sigma cost is independent of VALUE (same 7x7 kernel unfold); ~700-1000s like iter-7. ONE knob: img_sx/img_sy 1.5->2.5.
10	671da566	0.960612	0.126006	keep	architecture	dual_domain_bilateral_n2i-claude-agentic	claude-opus-4-8-1m	39.5742	8.601538e-04	1316.9	6e-06	dual_domain_bilateral_n2i-claude-agentic: warm_start=True, pretrain_epochs=2, train_n=400, n_iter=30, val_n=200, batch_size=1, grad_clip=1.0, lr=0.005, proj_n_bf=1, img_n_bf=1, img_sr=0.0002, img_kernel=5, outer_wall_s=900, seed=42, rationale=iter-10 dual_domain_bilateral_n2i, ONE-KNOB: image BF KERNEL img_kernel 7->5 (tighter spatial window), on iter-7 CHAMPION base (img_sr=0.0002, img_sx=img_sy=1.5 default, n_iter=30). Spatial sigma REVERTED to default 1.5 (iter-9 widen 1.5->2.5 gave hr=0.1140 < champ 0.1261 -> widening blurs fibroglandular detail; spatial axis does NOT want to widen). CHAMPION = iter-7 hr=0.1261 SSIM0.9606 (val_n=200). HYPOTHESIS: iter-9 showed breast fine structure is DAMAGED by a wider spatial support -> the recon wants the SHARPEST possible spatial averaging. A 5x5 kernel (vs 7x7) confines the BF to immediate neighbours, denoising flat noise while preserving the finest fibroglandular edges better than 7x7 -> hr could edge above 0.1261. If FLAT/DROP, 7x7 is already fine (the tight range sigma, not the window, sets edge-preservation) and kernel is neutral. SECONDARY BENEFIT: 5x5 unfold is FASTER than 7x7 -> keeps the per-image loop under outer_wall_s=900 so val_n stays a clean 200 (iters 8/9 trimmed to 193 under heavier configs, confounding hr). BUDGET: smaller kernel -> ~700-900s, no wall trim expected. ONE knob: img_kernel 7->5.
