iter	commit	val_score	headroom	status	change_class	agent	model	val_psnr	val_rmse	elapsed_s	params_M	rationale
1	671da566	0.974182	0.215751	keep	architecture	dual_domain_bilateral_supervised-claude-agentic	claude-opus-4-8-1m	38.4351	4.089295e-03	92.6	6e-06	dual_domain_bilateral_supervised-claude-agentic: proj_n_bf=1, img_n_bf=1, proj_kernel=3, proj_sx=0.01, proj_sy=0.3, proj_sr=0.0005, img_kernel=5, img_sx=0.5, img_sy=0.5, img_sr=0.02, epochs=10, batch_size=1, lr=0.005, optimizer=adam, lambda_neg=1.0, grad_clip=1.0, train_n=400, val_n=200, val_chunk=10, seed=42, rationale=iter-1 ONBOARDING dual_domain_bilateral_supervised (DD trainable-bilateral supervised L2: proj_dn(BF) -> FBP(128 views) -> img_dn(BF), MSE-vs-clean-phantom + lambda_neg negativity penalty; 6 trainable params) on re-split Breast-CT (train3600/val200/test200, seed20260703), scoring val=200. SIX-BOX: (1) PRIOR: none (first iter of this slug); references = OLD-split breast TPE bilateral-supervised best hr=0.263 (img_n_bf=7/img_kernel=7/lr~5.9e-3, different scoring), and sibling DD-UNet-supervised onboarding hr=0.809. (2) Failure: N/A onboarding; goal = does DD-BF-supervised run on the new breast val=200 split under HARD 20-min budget and CLEAR the sparse-view FBP baseline (hr>0)? (3) ONE KNOB: N/A baseline (solver CONFIG defaults: 1 BF/domain, img_kernel=5, lr=5e-3, ep=10; only added train_n/val_n=200/seed/val_chunk per protocol). (4) HYPOTHESIS: minimal 6-param DD-BF at ep=10/lr=5e-3 trains stably (grad_clip=1.0) and CLEARS the breast FBP baseline (hr>0), though far below the DD-UNet ceiling because a single BF/domain has tiny capacity; expect hr ~0.2-0.5. (5) BUDGET: breast uses ONE shared PYRO-NN projector (FBP batched, val_chunk=10 fine); BF forward is cheap; ep=10 + val=200 forward + figure fits well inside 20 min (30-min sbatch wall). (6) Loop continues; iter-2 dispatched on landing. Knobs reserved 2-5: img_n_bf (BF stack depth), img_kernel, epochs, lr, lambda_neg.
2	671da566	0.981068	0.243076	keep	architecture	dual_domain_bilateral_supervised-claude-agentic	claude-opus-4-8-1m	38.7432	3.946817e-03	161.0	1.2e-05	dual_domain_bilateral_supervised-claude-agentic: proj_n_bf=1, img_n_bf=3, proj_kernel=3, proj_sx=0.01, proj_sy=0.3, proj_sr=0.0005, img_kernel=5, img_sx=0.5, img_sy=0.5, img_sr=0.02, epochs=10, batch_size=1, lr=0.005, optimizer=adam, lambda_neg=1.0, grad_clip=1.0, train_n=400, val_n=200, val_chunk=10, seed=42, rationale=iter-2 dual_domain_bilateral_supervised, re-split Breast-CT val=200. SIX-BOX vs iter-1 (1BF/domain, hr=0.2158, ssim=0.9742, 93s). (1) PRIOR: onboarding cleared FBP baseline at hr=0.2158 but only 6 trainable params and 93s used of 20-min budget -> heavily capacity-starved; the OLD-split TPE best used img_n_bf=7 (7 chained image BFs) and reached hr=0.263. (2) Failure mode: a SINGLE image-domain bilateral has too small an effective receptive field to remove sparse-view streaks. (3) ONE KNOB: img_n_bf 1 -> 3 (3 chained image BFs = larger effective RF at +6 params; proj side/kernels/lr/epochs unchanged). (4) HYPOTHESIS: chaining 3 image BFs (Wagner 2022 cascade) enlarges the effective receptive field and lifts hr above 0.2158 toward ~0.24-0.27, because the OLD-split TPE found deep image BF stacks strongly beneficial; params ~12 still tiny. (5) BUDGET: 3x image BF forward is still cheap (BF kernels 5x5); << 20 min. (6) Loop continues; iter-3 pivots to img_n_bf deeper (->7) if this helps, else to img_kernel. Artifacts recon_raw.npz + model_ckpt.pt saved.
3	671da566	0.981919	0.246572	keep	architecture	dual_domain_bilateral_supervised-claude-agentic	claude-opus-4-8-1m	38.7834	3.928586e-03	240.7	2.4e-05	dual_domain_bilateral_supervised-claude-agentic: proj_n_bf=1, img_n_bf=7, proj_kernel=3, proj_sx=0.01, proj_sy=0.3, proj_sr=0.0005, img_kernel=5, img_sx=0.5, img_sy=0.5, img_sr=0.02, epochs=10, batch_size=1, lr=0.005, optimizer=adam, lambda_neg=1.0, grad_clip=1.0, train_n=400, val_n=200, val_chunk=10, seed=42, rationale=iter-3 dual_domain_bilateral_supervised, re-split Breast-CT val=200. SIX-BOX vs BEST (iter-2 img_n_bf=3 hr=0.2431; iter-1 img_n_bf=1 hr=0.2158). (1) PRIOR: deepening the image BF stack is the lever -- 1->3 gave +0.027 hr; OLD-split TPE best used img_n_bf=7. (2) Failure: image effective RF still too small for sparse-view streaks at 3 BFs. (3) ONE KNOB: img_n_bf 3 -> 7 (proj/kernels/lr/epochs held). (4) HYPOTHESIS: 7 chained image BFs (TPE-favored depth) enlarge effective RF and lift hr above 0.2431 toward ~0.26; params ~24 still tiny. (5) BUDGET: 7 cheap 5x5 BF passes << 20 min. (6) iter-4 pivots to epochs/img_kernel if depth saturates. Artifacts saved.
4	671da566	0.981956	0.246163	keep	architecture	dual_domain_bilateral_supervised-claude-agentic	claude-opus-4-8-1m	38.7787	3.930719e-03	652.9	2.4e-05	dual_domain_bilateral_supervised-claude-agentic: proj_n_bf=1, img_n_bf=7, proj_kernel=3, proj_sx=0.01, proj_sy=0.3, proj_sr=0.0005, img_kernel=5, img_sx=0.5, img_sy=0.5, img_sr=0.02, epochs=30, batch_size=1, lr=0.005, optimizer=adam, lambda_neg=1.0, grad_clip=1.0, train_n=400, val_n=200, val_chunk=10, seed=42, rationale=iter-4 dual_domain_bilateral_supervised, re-split Breast-CT val=200. SIX-BOX vs BEST (iter-3 img_n_bf=7/ep10 hr=0.2466). (1) PRIOR: BF-depth is now saturating -- img_n_bf 1->3 gave +0.027, 3->7 only +0.0035; every iter used ep=10 and <=~120s of the 20-min budget. (2) Failure mode: with 6-24 params but only 10 epochs, the tiny BF sigmas are likely UNDER-trained (few gradient passes over 400 scenes), not capacity-bound. (3) ONE KNOB: epochs 10 -> 30 (img_n_bf=7 held at best; lr/kernels/lambda_neg unchanged). (4) HYPOTHESIS: tripling epochs lets the BF sigmas converge further and lifts hr above 0.2466 toward ~0.26-0.28, because the sibling DD-UNet showed epochs was its dominant monotone lever and budget is nearly untouched. If flat, BF fit is saturated and iter-5 pivots to lr or img_kernel. (5) BUDGET: 3x ep at ~93s/10ep base -> ~280s, well inside 20 min. (6) Loop continues. Artifacts saved.
5	671da566	0.982412	0.251537	keep	architecture	dual_domain_bilateral_supervised-claude-agentic	claude-opus-4-8-1m	38.8408	3.902696e-03	365.0	2.4e-05	dual_domain_bilateral_supervised-claude-agentic: proj_n_bf=1, img_n_bf=7, proj_kernel=3, proj_sx=0.01, proj_sy=0.3, proj_sr=0.0005, img_kernel=7, img_sx=0.5, img_sy=0.5, img_sr=0.02, epochs=10, batch_size=1, lr=0.005, optimizer=adam, lambda_neg=1.0, grad_clip=1.0, train_n=400, val_n=200, val_chunk=10, seed=42, rationale=iter-5 dual_domain_bilateral_supervised, re-split Breast-CT val=200. SIX-BOX vs BEST (iter-3 img_n_bf=7/img_kernel5/ep10 hr=0.2466). (1) PRIOR: BF-depth saturated (7 BFs = 0.2466); epochs is NOT a lever (iter-4 ep30 = 0.2462, flat) -> the 6-24-param BF fit converges by ep10. OLD-split TPE best used img_kernel=7. (2) Failure mode: the 5x5 image BF footprint is too small to span sparse-view streak spacing; deeper stacks help only marginally because each filter is spatially narrow. (3) ONE KNOB: img_kernel 5 -> 7 (img_n_bf=7 held; epochs reverted 30->10 since ep30 wasted budget with no gain; lr/lambda_neg unchanged). (4) HYPOTHESIS: a 7x7 image BF kernel enlarges each filters spatial footprint and lifts hr above 0.2466 toward ~0.26-0.28, matching the TPE-favored img_kernel=7. If flat/down, spatial footprint is not the lever and iter-6 pivots to lr. (5) BUDGET: 7x7 vs 5x5 BF ~2x per-filter cost but still cheap; ep10 -> ~120s, well inside 20 min. (6) Loop continues. Artifacts saved.
6	671da566	0.983404	0.255499	keep	architecture	dual_domain_bilateral_supervised-claude-agentic	claude-opus-4-8-1m	38.8869	3.882038e-03	368.1	2.4e-05	dual_domain_bilateral_supervised-claude-agentic: proj_n_bf=1, img_n_bf=7, proj_kernel=3, proj_sx=0.01, proj_sy=0.3, proj_sr=0.0005, img_kernel=7, img_sx=0.5, img_sy=0.5, img_sr=0.02, epochs=10, batch_size=1, lr=0.01, optimizer=adam, lambda_neg=1.0, grad_clip=1.0, train_n=400, val_n=200, val_chunk=10, seed=42, rationale=iter-6 dual_domain_bilateral_supervised, re-split Breast-CT val=200. SIX-BOX vs BEST (iter-5 img_kernel=7/lr5e-3/ep10 hr=0.2515). (1) PRIOR: img_kernel 5->7 gave +0.005 (new best 0.2515); depth saturated at 7 BFs; epochs flat. All iters used Wagner default lr=5e-3. (2) Failure mode: with only ~24 params and 10 epochs, lr=5e-3 may leave the BF sigmas short of their optimum (under-stepped). (3) ONE KNOB: lr 5e-3 -> 1e-2 (img_kernel=7/img_n_bf=7/ep10 held; grad_clip=1.0 guards instability). (4) HYPOTHESIS: doubling lr reaches a lower L2 minimum within 10 epochs and lifts hr above 0.2515 toward ~0.26; if hr DROPS (too aggressive), 5e-3 is the lr optimum and iter-7 pivots to img_sr (range bandwidth) or lambda_neg. (5) BUDGET: same ep10 -> ~120s, inside 20 min. (6) Loop continues. Artifacts saved.
7	671da566	0.983531	0.249219	keep	architecture	dual_domain_bilateral_supervised-claude-agentic	claude-opus-4-8-1m	38.8139	3.914783e-03	364.3	2.4e-05	dual_domain_bilateral_supervised-claude-agentic: proj_n_bf=1, img_n_bf=7, proj_kernel=3, proj_sx=0.01, proj_sy=0.3, proj_sr=0.0005, img_kernel=7, img_sx=0.5, img_sy=0.5, img_sr=0.02, epochs=10, batch_size=1, lr=0.02, optimizer=adam, lambda_neg=1.0, grad_clip=1.0, train_n=400, val_n=200, val_chunk=10, seed=42, rationale=iter-7 dual_domain_bilateral_supervised, re-split Breast-CT val=200. SIX-BOX vs BEST (iter-6 lr=1e-2 hr=0.2555). (1) PRIOR: lr sweep rising -- 5e-3(0.2515)->1e-2(0.2555, +0.004). Under-stepping was real; the BF fit wants a faster lr within 10 epochs. (2) Failure mode: lr=1e-2 may still under-step the ~24-param BF within 10 epochs. (3) ONE KNOB: lr 1e-2 -> 2e-2 (img_kernel=7/img_n_bf=7/ep10 held; grad_clip=1.0 guards blow-up). (4) HYPOTHESIS: 2e-2 continues the rising lr trend and lifts hr above 0.2555 toward ~0.26; if hr DROPS (unstable/overshoot), 1e-2 is the lr optimum and iter-8 pivots to img_sr (BF range bandwidth). Expect ~0.256-0.26. (5) BUDGET: same ep10 -> ~120s. (6) Loop continues. Artifacts saved.
8	671da566	0.981725	0.249326	keep	architecture	dual_domain_bilateral_supervised-claude-agentic	claude-opus-4-8-1m	38.8152	3.914228e-03	390.9	2.4e-05	dual_domain_bilateral_supervised-claude-agentic: proj_n_bf=1, img_n_bf=7, proj_kernel=3, proj_sx=0.01, proj_sy=0.3, proj_sr=0.0005, img_kernel=7, img_sx=0.5, img_sy=0.5, img_sr=0.05, epochs=10, batch_size=1, lr=0.01, optimizer=adam, lambda_neg=1.0, grad_clip=1.0, train_n=400, val_n=200, val_chunk=10, seed=42, rationale=iter-8 dual_domain_bilateral_supervised, re-split Breast-CT val=200. SIX-BOX vs BEST (iter-6 lr=1e-2/img_sr0.02 hr=0.2555). (1) PRIOR: lr BRACKETED -- 5e-3(0.2515)<1e-2(0.2555,best)>2e-2(0.2492,iter-7 dropped) => lr=1e-2 optimal, reverted. Depth+kernel+epochs already mapped. (2) Failure mode: img_sr=0.02 (BF range/intensity bandwidth INIT) may be too narrow -- the BF only averages near-identical-intensity pixels, limiting streak suppression in smooth breast tissue. (3) ONE KNOB: img_sr 0.02 -> 0.05 (best config otherwise: lr=1e-2/img_kernel=7/img_n_bf=7; note sigmas are TRAINABLE so this only moves the INIT). (4) HYPOTHESIS: a wider range-sigma init lets each image BF average over broader intensity neighborhoods from the start -> better streak suppression in smooth tissue -> hr above 0.2555 toward ~0.26; if flat/down, the trainable sigma already finds its own optimum regardless of init and iter-9 pivots to lambda_neg. (5) BUDGET: same ep10 -> ~120s. (6) Loop continues. Artifacts saved.
9	671da566	0.981606	0.248729	keep	architecture	dual_domain_bilateral_supervised-claude-agentic	claude-opus-4-8-1m	38.8083	3.917343e-03	266.0	2.4e-05	dual_domain_bilateral_supervised-claude-agentic: proj_n_bf=1, img_n_bf=7, proj_kernel=3, proj_sx=0.01, proj_sy=0.3, proj_sr=0.0005, img_kernel=7, img_sx=0.5, img_sy=0.5, img_sr=0.02, epochs=10, batch_size=1, lr=0.01, optimizer=adam, lambda_neg=0.1, grad_clip=1.0, train_n=400, val_n=200, val_chunk=10, seed=42, rationale=iter-9 dual_domain_bilateral_supervised, re-split Breast-CT val=200. SIX-BOX vs BEST (iter-6 lr=1e-2/img_sr0.02/lneg1.0 hr=0.2555). (1) PRIOR: img_sr init widening HURT (iter-8 img_sr0.05=0.2493) -> trainable sigma finds its own optimum, reverted to 0.02; lr bracketed at 1e-2. (2) Failure mode: lambda_neg=1.0 may over-suppress the low-mu breast background, biasing the L2 fit away from true attenuation (the sibling DD-UNet gained by lowering it 1.0->0.03). (3) ONE KNOB: lambda_neg 1.0 -> 0.1 (best config otherwise). (4) HYPOTHESIS: lowering the negativity-penalty weight lets the supervised L2 term dominate and fit breast attenuation more faithfully -> hr above 0.2555 toward ~0.26; if hr DROPS, the penalty is load-bearing for the BF (which cannot clamp negatives itself) and iter-10 reverts to 1.0 and pivots to proj-side BF (proj_n_bf). (5) BUDGET: same ep10 -> ~120s. (6) Loop continues to iter-20. Artifacts saved.
10	671da566	0.983404	0.255499	keep	architecture	dual_domain_bilateral_supervised-claude-agentic	claude-opus-4-8-1m	38.8869	3.882039e-03	284.2	3e-05	dual_domain_bilateral_supervised-claude-agentic: proj_n_bf=3, img_n_bf=7, proj_kernel=3, proj_sx=0.01, proj_sy=0.3, proj_sr=0.0005, img_kernel=7, img_sx=0.5, img_sy=0.5, img_sr=0.02, epochs=10, batch_size=1, lr=0.01, optimizer=adam, lambda_neg=1.0, grad_clip=1.0, train_n=400, val_n=200, val_chunk=10, seed=42, rationale=iter-10 dual_domain_bilateral_supervised, re-split Breast-CT val=200. SIX-BOX vs BEST (iter-6 proj_n_bf=1/img_n_bf=7/lr1e-2/lneg1.0 hr=0.2555). (1) PRIOR: lambda_neg lowering HURT (iter-9 lneg0.1=0.2487) -> the negativity penalty is LOAD-BEARING for BFs (a bilateral cannot clamp negatives itself, unlike the DD-UNet); reverted to 1.0. img side fully mapped (depth7, kernel7, lr1e-2 all optimal). The PROJECTION-domain BF is still at its minimal proj_n_bf=1. (2) Failure mode: a single sinogram BF barely denoises the sparse-view sinogram before FBP; streaks that a deeper proj stack could suppress pre-reconstruction survive into the image. (3) ONE KNOB: proj_n_bf 1 -> 3 (best config otherwise). (4) HYPOTHESIS: 3 chained projection BFs denoise the sinogram more before FBP -> fewer streaks -> hr above 0.2555 toward ~0.26-0.27; if flat/down, proj-domain denoising is not the lever (image-domain dominates) and iter-11 pushes proj_kernel or reverts. (5) BUDGET: proj BFs act on the sinogram (smaller than 512x512 image); 3x cheap -> ~130s. (6) Loop continues. Artifacts saved.
