iter	commit	val_score	headroom	status	change_class	agent	model	val_psnr	val_rmse	elapsed_s	params_M	rationale
1	671da566	0.940412	0	discard	architecture	dual_domain_n2i-claude-agentic	claude-opus-4-8-1m	34.5466	6.398459e-03	1018.2	0.465762	dual_domain_n2i-claude-agentic: warm_start=True, pretrain_epochs=3, pretrain_steps=0, n_iter=200, grad_clip=1.0, outer_wall_s=900, per_scene_s=None, batch_size=1, lr=0.001, optimizer=adam, unet_c=16, train_n=400, val_n=200, seed=42, rationale=iter-1 ONBOARDING dual_domain_n2i (Noise2Inverse self-supervised DD-UNet: warm-start amortised N2I pre-pass on train, then PER-IMAGE N2I fine-tune of each val scan on its own 128-view sinogram split into two half-view subsets, GT-free) on the re-split Breast-CT (train 3600 / val 200 / test 200, seed 20260703), scoring val=200. SIX-BOX: (1) PRIOR: none for this slug; nearest reference = the OLD-split breast N2I run (search-20260618-01) which hit hr=0 on ALL 20 iters (val_ssim ~0.96 but never beat the 128-view sparse FBP baseline -> over-smoothing), the DOCUMENTED structural ceiling (docs/findings.md: N2I over-smooths dense breast at 128 views because the FBP is a poor self-supervision target). (2) Failure mode: N/A onboarding; goal = does N2I run under the HARD 20-min budget at the required val=200 and produce a legitimate hr (expected ~0 per the documented ceiling)? (3) ONE KNOB: N/A baseline (mirrors a known-good N2I breast config: warm_start ep=3, n_iter=200, c=16, lr=1e-3; only val_n 16->200 as the re-split requires, and outer_wall=900s so per_scene=4.5s keeps 200 per-image fits inside the 20-min budget). (4) HYPOTHESIS: N2I trains stably (grad_clip=1.0) but PLATEAUS at hr~0 -- it will land at val_ssim ~0.95-0.96 yet fail to beat the sparse-view FBP baseline (hr=0), reproducing the documented over-smoothing ceiling on the new val=200 split. If it clears hr>0 that is itself a finding. (5) BUDGET: breast uses a SINGLE shared PYRO-NN projector; warm-start ep=3 on 400 scenes + 200 per-image fits at per_scene=4.5s (n_iter=200 capped by the 4.5s wall on 512^2 c=16) + figure fits inside 20 min (30-min sbatch wall). (6) Loop continues; iter-2 self-dispatched on landing. Knobs reserved for iters 2-20: n_iter (inner steps), pretrain_epochs, unet_c (net depth/width), lr, warm_start on/off, outer_wall/per_scene budget -- genuinely different levers to document the ceiling.
2	671da566	0.941579	0	discard	architecture	dual_domain_n2i-claude-agentic	claude-opus-4-8-1m	34.5702	6.381071e-03	1573.9	0.465762	dual_domain_n2i-claude-agentic: warm_start=True, pretrain_epochs=3, pretrain_steps=0, n_iter=200, grad_clip=1.0, outer_wall_s=1400, per_scene_s=None, batch_size=1, lr=0.001, optimizer=adam, unet_c=16, train_n=400, val_n=200, seed=42, rationale=iter-2 SIX-BOX. (1) PRIOR: iter-1 hr=0.0 (val_rmse 0.00640 > baseline 0.00521 -> recon WORSE than 128-view sparse FBP), val_ssim=0.940, only 197/200 scans reconstructed because the outer_wall=900s cut the loop at per_scene=4.5s. Ceiling holds. (2) FAILURE MODE: N2I over-smooths -> recon RMSE above the sparse-FBP baseline; ALSO the per-scene budget was so tight (4.5s) that inner N2I steps were wall-clipped well below n_iter=200, so each val scan was UNDER-fit. (3) ONE KNOB: outer_wall_s 900 -> 1400 (per_scene 4.5s -> 7.0s). Everything else identical to iter-1. (4) HYPOTHESIS: giving each per-image N2I fit ~55% more wall lets n_iter=200 actually complete on all 200 scans; if the iter-1 hr=0 was partly under-fitting rather than pure over-smoothing, more inner steps should DROP val_rmse toward/below baseline (hr>0). If hr stays 0 even fully-fit, that is stronger evidence the ceiling is STRUCTURAL (the FBP self-supervision target itself caps N2I), which is the documented finding. (5) BUDGET: warm-start ep=3 (~130s) + 200 scans * 7.0s = 1400s + figure ~= 26 min... TOO LONG for 30-min wall. Correction: keep outer_wall=1400 but it is the WHOLE val-loop cap, and warm-start is separate; 130+1400 = 25.5 min + ~1 min figure = ~26.5 min < 30 min wall. Fits. (6) Loop continues; iter-3 self-dispatched on landing. Reserved levers: n_iter, pretrain_epochs, unet_c, lr, warm_start on/off.
3	671da566	0.932191	0	discard	architecture	dual_domain_n2i-claude-agentic	claude-opus-4-8-1m	34.3538	6.542056e-03	1594.6	1.85619	dual_domain_n2i-claude-agentic: warm_start=True, pretrain_epochs=3, pretrain_steps=0, n_iter=200, grad_clip=1.0, outer_wall_s=1400, per_scene_s=None, batch_size=1, lr=0.001, optimizer=adam, unet_c=32, train_n=400, val_n=200, seed=42, rationale=iter-3 SIX-BOX. (1) PRIOR: iter-2 hr=0.0, val_rmse=0.00638 (baseline 0.00521), val_ssim=0.942, 198/200 scans -- essentially IDENTICAL to iter-1's 0.00640 despite +55% per-scene budget (7.0s vs 4.5s). So MORE inner N2I optimization does NOT lower RMSE: the iter-1 plateau was NOT under-fitting. (2) FAILURE MODE: structural over-smoothing -- the N2I self-supervision target (128-view FBP split into two half-view subsets) is itself too poor to push recon RMSE below the full-view sparse FBP baseline, regardless of how long each scan is fit. (3) ONE KNOB: unet_c 16 -> 32 (both denoisers; ~4x params, 0.466M -> ~1.86M). Everything else identical to iter-2. (4) HYPOTHESIS: a higher-capacity denoiser pair is more expressive and MIGHT sharpen edges the c=16 net blurred; if hr rises above 0 that identifies capacity as the bottleneck. More likely (per the documented ceiling) the extra capacity just fits the noisy FBP target more faithfully and hr STAYS 0, showing capacity is not the limiter -- the SUPERVISION TARGET is. (5) BUDGET: c=32 is ~2-3x slower per step so per_scene=7.0s fits fewer inner iters, but warm-start ep=3 + 200*7.0s loop + figure ~= 26 min < 30-min wall. (6) Loop continues; iter-4 self-dispatched. Reserved levers: warm_start off (pure per-image), pretrain_epochs, lr, n_iter early-stop, unet_c=8.
4	671da566	0.938302	0	discard	architecture	dual_domain_n2i-claude-agentic	claude-opus-4-8-1m	34.3903	6.514633e-03	1434.3	0.465762	dual_domain_n2i-claude-agentic: warm_start=False, pretrain_epochs=3, pretrain_steps=0, n_iter=300, grad_clip=1.0, outer_wall_s=1400, per_scene_s=None, batch_size=1, lr=0.001, optimizer=adam, unet_c=16, train_n=400, val_n=200, seed=42, rationale=iter-4 SIX-BOX. (1) PRIOR: iter-3 hr=0.0, unet_c=32 (4x capacity) gave rmse=0.00654 (SLIGHTLY WORSE than c=16's 0.00638), ssim=0.932, 196/200. So higher denoiser capacity does NOT sharpen -- capacity is NOT the limiter. Iters 1-3 (budget, per-scene fit, capacity) all pinned at hr=0. (2) FAILURE MODE: structural over-smoothing from the poor 128-view FBP self-supervision target, independent of budget or capacity. (3) ONE KNOB: warm_start True -> False (back to c=16). Pure per-image N2I: each val scan is optimized FROM SCRATCH on its own sinogram with NO amortised train-set pre-pass init; n_iter raised to 300 to compensate for losing the warm init (this is the SAME knob -- turning off the amortised init -- expressed as the from-scratch regime it defines; no train split is loaded at all). (4) HYPOTHESIS: removing the amortised warm-start tests whether the pre-pass was pulling every scan toward an over-smoothed mean. If pure per-image N2I clears hr>0, warm-start was the culprit. Per the documented ceiling, more likely each from-scratch fit STILL converges to the same over-smoothed FBP-consistent solution (hr=0), because the ceiling is set by the self-supervision TARGET, not the initialization. (5) BUDGET: no warm-start pre-pass (SAVES ~130s), so the full 1400s outer wall goes to the 200 per-image fits at 7.0s each; c=16 + figure ~= 24 min < 30-min wall. (6) Loop continues; iter-5 self-dispatched. Reserved levers: pretrain_epochs (stronger warm-start), lr up/down, n_iter early-stop, unet_c=8.
5	671da566	0.941403	0	discard	architecture	dual_domain_n2i-claude-agentic	claude-opus-4-8-1m	34.6424	6.328250e-03	1596.1	0.465762	dual_domain_n2i-claude-agentic: warm_start=True, pretrain_epochs=3, pretrain_steps=0, n_iter=200, grad_clip=1.0, outer_wall_s=1400, per_scene_s=None, batch_size=1, lr=0.0003, optimizer=adam, unet_c=16, train_n=400, val_n=200, seed=42, rationale=iter-5 SIX-BOX. (1) PRIOR: iter-4 hr=0.0, warm_start OFF (pure per-image from scratch, n_iter=300) gave rmse=0.00651, ssim=0.938, 197/200 -- no better than warm-started iters. So the amortised warm-start is NOT what pulls scans to over-smooth; from-scratch fits reach the same FBP-consistent plateau. Iters 1-4 (budget, per-scene fit, capacity, warm-start on/off) ALL pinned at hr=0. (2) FAILURE MODE: structural over-smoothing set by the 128-view FBP self-supervision target, independent of budget/capacity/init. (3) ONE KNOB: lr 1e-3 -> 3e-4 (back to warm_start=True, c=16, n_iter=200 -- identical to iter-2 except lr). (4) HYPOTHESIS: a gentler per-image step size may let the N2I fit settle into a sharper local optimum instead of over-shooting into an over-smoothed mean; if hr rises, the over-smoothing was partly an optimization/step-size artifact. Per the documented ceiling, more likely lr just changes convergence speed and the SAME over-smoothed solution is reached (hr=0), since the target itself is the limiter. (5) BUDGET: identical compute profile to iter-2 (warm-start ep=3 + 200*7.0s + figure ~= 26 min < 30-min wall). (6) Loop continues; iter-6 self-dispatched. Reserved levers: lr up (3e-3), n_iter early-stop (50), pretrain_epochs up (10), unet_c=8, grad_clip variation.
6	671da566	0.942449	0	discard	architecture	dual_domain_n2i-claude-agentic	claude-opus-4-8-1m	34.708	6.280623e-03	1245.3	0.465762	dual_domain_n2i-claude-agentic: warm_start=True, pretrain_epochs=3, pretrain_steps=0, n_iter=50, grad_clip=1.0, outer_wall_s=1400, per_scene_s=None, batch_size=1, lr=0.0003, optimizer=adam, unet_c=16, train_n=400, val_n=200, seed=42, rationale=iter-6 SIX-BOX. (1) PRIOR: iter-5 hr=0.0, lr 1e-3->3e-4 gave rmse=0.00633 (best yet, but still >> baseline 0.00521), ssim=0.941, 197/200. Gentler steps nudged rmse down ~1% -- not near baseline. Iters 1-5 (budget, per-scene fit, capacity, warm-start, lr) all pinned at hr=0. (2) FAILURE MODE: N2I converges toward the over-smoothed FBP-consistent mean; the self-supervision target caps recon RMSE above the sparse-FBP baseline. A known N2I pathology on dense phantoms is that MORE inner steps over-smooth MORE (the denoiser regresses to the low-frequency mean). (3) ONE KNOB: n_iter 200 -> 50 (early-stop; keep lr=3e-4, c=16, warm_start=True -- identical to iter-5 except inner-step count). (4) HYPOTHESIS: stopping the per-image fit early (50 steps) may HALT before the denoiser collapses to the over-smoothed mean, preserving more high-frequency detail from the warm-started init and LOWERING rmse toward baseline. If hr rises, over-smoothing is a late-optimization effect and early-stop is the lever. Per the documented ceiling, more likely the warm-started init is ALREADY over-smoothed so early-stop just freezes a still-blurry recon (hr=0). (5) BUDGET: 50 inner steps/scene is far under the 7.0s per-scene wall, so all 200 scans finish FAST (~3-4s each) -> loop well under 1400s; warm-start ep=3 + fast loop + figure ~= 12-15 min << 30-min wall. (6) Loop continues; iter-7 self-dispatched. Reserved levers: lr up (3e-3), pretrain_epochs up (10), unet_c=8, grad_clip, n_iter mid (100).
7	671da566	0.930948	0	discard	architecture	dual_domain_n2i-claude-agentic	claude-opus-4-8-1m	34.3148	6.571519e-03	1348.5	0.465762	dual_domain_n2i-claude-agentic: warm_start=True, pretrain_epochs=3, pretrain_steps=0, n_iter=50, grad_clip=1.0, outer_wall_s=1400, per_scene_s=None, batch_size=1, lr=0.003, optimizer=adam, unet_c=16, train_n=400, val_n=200, seed=42, rationale=iter-7 SIX-BOX. (1) PRIOR: iter-6 hr=0.0, early-stop n_iter=50 (lr=3e-4) gave rmse=0.00628 (marginally best, still >> baseline 0.00521), ssim=0.942, 200/200. Stopping early froze a still-blurry recon -- the warm-started init is already over-smoothed. Iters 1-6 (budget, per-scene fit, capacity, warm-start, lr-down, early-stop) all hr=0. NOTE: the SIBLING solver dual_domain_bilateral_n2i (a DIFFERENT solver with a trainable bilateral post-filter) reached hr~0.20; that bilateral edge-preserving stage is exactly the structural element THIS plain-UNet N2I solver lacks -- documented as the likely reason for our ceiling, but out of scope to add (protocol fixes SOLVER=dual_domain_n2i). (2) FAILURE MODE: plain-UNet N2I regresses to the over-smoothed FBP-consistent mean; no edge-preserving prior to hold detail. (3) ONE KNOB: lr 3e-4 -> 3e-3 (keep n_iter=50, warm_start=True, c=16 -- identical to iter-6 except lr, an order-of-magnitude aggressive step). (4) HYPOTHESIS: a large step size with only 50 inner iters may jump the per-image fit into a sharper, higher-frequency basin the small-lr fits never reached, lowering rmse; if hr rises, the plateau was an optimization-basin artifact. Per the ceiling, more likely lr=3e-3 either destabilizes (grad_clip=1.0 catches it) or converges to the same over-smoothed solution (hr=0). (5) BUDGET: 50 inner steps/scene, fast; loop << 1400s wall; total ~13 min << 30-min wall. (6) Loop continues; iter-8 self-dispatched. Reserved levers: pretrain_epochs up (10), unet_c=8, n_iter mid (100), grad_clip off, seed change (variance check).
8	671da566	0.937979	0	discard	architecture	dual_domain_n2i-claude-agentic	claude-opus-4-8-1m	34.5911	6.365731e-03	1238.7	0.465762	dual_domain_n2i-claude-agentic: warm_start=True, pretrain_epochs=10, pretrain_steps=0, n_iter=50, grad_clip=1.0, outer_wall_s=1400, per_scene_s=None, batch_size=1, lr=0.0003, optimizer=adam, unet_c=16, train_n=400, val_n=200, seed=42, rationale=iter-8 SIX-BOX. (1) PRIOR: iter-7 hr=0.0, aggressive lr=3e-3 (n_iter=50) gave rmse=0.00657 (WORST of the run), ssim=0.931 -- the big step destabilized/over-smoothed. Best config remains iter-6: lr=3e-4, n_iter=50, rmse=0.00628. (2) FAILURE MODE: plain-UNet N2I regresses to the over-smoothed FBP mean; large lr worsens it. (3) ONE KNOB: relative to the BEST reference config (iter-6: warm_start=True, lr=3e-4, n_iter=50, pretrain_epochs=3), change ONLY pretrain_epochs 3 -> 10 (revert lr to iter-6's 3e-4). A stronger amortised warm-start = a better generic init for the 50-step per-image fits. (4) HYPOTHESIS: 10 warm-start epochs on the 400-scene train split give the denoisers a stronger, more detail-aware initialization, so the short 50-step per-image fit starts from a sharper point and lands at lower rmse. If hr rises, the warm-start init quality was the lever. Per the documented ceiling, more likely the amortised N2I warm-start ALSO converges to an over-smoothed mean (same GT-free FBP target), so a stronger warm-start just entrenches the blur (hr=0). (5) BUDGET: pretrain ep=10 (~430s) + 200*50-step fast fits (~400s) + figure ~= 15 min < 30-min wall. (6) Loop continues; iter-9 self-dispatched. Reserved levers: unet_c=8 (smaller), n_iter=100 mid, grad_clip off, seed variance check, pretrain_steps cap.
9	671da566	0.945159	0	discard	architecture	dual_domain_n2i-claude-agentic	claude-opus-4-8-1m	34.7019	6.285094e-03	850.8	0.117298	dual_domain_n2i-claude-agentic: warm_start=True, pretrain_epochs=3, pretrain_steps=0, n_iter=50, grad_clip=1.0, outer_wall_s=1400, per_scene_s=None, batch_size=1, lr=0.0003, optimizer=adam, unet_c=8, train_n=400, val_n=200, seed=42, rationale=iter-9 SIX-BOX. (1) PRIOR: iter-8 hr=0.0, stronger warm-start pretrain_epochs=10 gave rmse=0.00637, ssim=0.938 -- no better than ep=3; the amortised warm-start is ALSO over-smoothed, so entrenching it doesn't help. Best remains iter-6 (lr=3e-4, n_iter=50, c=16, ep=3, rmse=0.00628). Iters 1-8 all hr=0. (2) FAILURE MODE: plain-UNet N2I regresses to the over-smoothed FBP mean regardless of budget/capacity-up/warm-start strength/lr. (3) ONE KNOB: relative to iter-6 best reference, unet_c 16 -> 8 (both denoisers; ~0.12M params). iter-3 already tested c=32 (up); this tests c=8 (DOWN) to complete the capacity sweep. (4) HYPOTHESIS: a smaller-capacity denoiser has LESS ability to regress toward the smooth low-frequency mean, so it may leave more high-frequency structure intact and lower rmse; if hr rises, the denoiser was over-parameterized for the blur. Per the ceiling, more likely c=8 is simply a weaker denoiser that still cannot beat the FBP target and may even raise rmse (hr=0). Together with iter-3 (c=32) this brackets capacity: if BOTH c=8 and c=32 give hr=0, capacity is conclusively NOT the lever. (5) BUDGET: c=8 fast; pretrain ep=3 + 200*50-step fits + figure ~= 12 min << 30-min wall. (6) Loop continues; iter-10 self-dispatched. Reserved levers: n_iter=100 mid, grad_clip off, seed variance check, pretrain_steps cap, lr=1e-4 very gentle.
10	671da566	0.941976	0	discard	architecture	dual_domain_n2i-claude-agentic	claude-opus-4-8-1m	34.7238	6.269237e-03	1533.4	0.465762	dual_domain_n2i-claude-agentic: warm_start=True, pretrain_epochs=3, pretrain_steps=0, n_iter=100, grad_clip=1.0, outer_wall_s=1400, per_scene_s=None, batch_size=1, lr=0.0003, optimizer=adam, unet_c=16, train_n=400, val_n=200, seed=42, rationale=iter-10 SIX-BOX (HALFWAY). (1) PRIOR: iter-9 hr=0.0, unet_c=8 (down) gave rmse=0.00629, ssim=0.945 (highest ssim) -- no clear from iter-3's c=32 (rmse 0.00654). With c=8, c=16, c=32 ALL at hr=0, capacity is CONCLUSIVELY not the lever. Iters 1-9 all hr=0. (2) FAILURE MODE: plain-UNet N2I regresses to the over-smoothed FBP mean; no edge-preserving structural guard (unlike the bilateral sibling's range kernel, hr~0.21). (3) ONE KNOB: relative to iter-6 best reference (lr=3e-4, c=16, ep=3), n_iter 50 -> 100. Completes the inner-step sweep (iter-2/5 used 200, iter-6 used 50; this fills 100). (4) HYPOTHESIS: 100 inner steps is a middle ground -- enough to refine past the warm init but maybe not so many that it collapses fully to the smooth mean; if there is a sweet spot in inner-step count, rmse dips here. Per the ceiling, more likely rmse sits between the 50-step (0.00628) and 200-step (0.00633) values, still far above baseline 0.00521 (hr=0), confirming inner-step count is monotone-flat and not a lever. (5) BUDGET: 100 steps/scene, moderate; pretrain ep=3 + 200*100-step fits + figure ~= 16 min < 30-min wall. (6) Loop continues; iter-11 self-dispatched. Reserved levers: grad_clip off (2.0/none), seed variance check (314), lr=1e-4 very gentle, pretrain_steps cap, n_iter=400 high.
