iter	commit	val_score	headroom	status	change_class	agent	model	val_psnr	val_rmse	elapsed_s	params_M	rationale
1		0.99747	0.809481	keep	architecture	dual_domain_supervised-claude-agentic	claude-opus-4-8-1m	50.7254	9.934214e-04	226.5	0.465762	dual_domain_supervised-claude-agentic: unet_c=16, epochs=10, batch_size=1, lr=0.0005, optimizer=adam, lambda_neg=1.0, grad_clip=1.0, train_n=400, val_n=200, val_chunk=10, seed=42, rationale=iter-1 ONBOARDING dual_domain_supervised (DD-UNet supervised L2: proj_dn -> FBP(128 views) -> img_dn, MSE-vs-clean-phantom + lambda_neg negativity penalty) on the re-split Breast-CT (train 3600 / val 200 / test 200, seed 20260703), scoring val=200. SIX-BOX: (1) PRIOR: none (first iter of this slug); nearest reference = the OLD-split breast DD-UNet-L2 run which hit hr=0.812 at c=16/lr=5e-4/ep=10/val_n=20. (2) Failure mode: N/A onboarding; goal = does DD-supervised run on the new breast val=200 split under the HARD 20-min budget and clear the sparse-view FBP baseline (hr>0)? (3) ONE KNOB: N/A baseline (mirrors the prior known-good breast config, only val_n 20->200 as required by the re-split cap). (4) HYPOTHESIS: DD-UNet-L2 at c=16/lr=5e-4/ep=10 on 400 train scenes trains stably (grad_clip=1.0 safety) and CLEARS the breast FBP baseline (hr>0) at val_ssim ~0.99, because the identical config on the old-split breast val hit hr=0.812 and breast is synthetic/clean; the new val=200 is just a larger, tighter-spread val pool. (5) BUDGET: breast uses a SINGLE shared PYRO-NN projector (no per-sample-ps swap, unlike Mayo), so FBP is batched and val_chunk=10 is fine; prior run trained ep=10 + scored val=20 + figure in ~151s -> ep=10 + batched val=200 forward + figure fits comfortably in 20 min (30-min sbatch wall). (6) Loop continues; iter-2 dispatched on landing. Knobs reserved for iters 2-5: unet_c, epochs, lr, lambda_neg (sino-vs-image loss balance is implicit in the single MSE).
2		0.99825	0.837207	keep	architecture	dual_domain_supervised-claude-agentic	claude-opus-4-8-1m	52.0915	8.488508e-04	440.2	0.465762	dual_domain_supervised-claude-agentic: unet_c=16, epochs=20, batch_size=1, lr=0.0005, optimizer=adam, lambda_neg=1.0, grad_clip=1.0, train_n=400, val_n=200, val_chunk=10, seed=42, rationale=iter-2 dual_domain_supervised on re-split Breast-CT (train3600/val200/test200, seed20260703), val=200. SIX-BOX: (1) PRIOR: iter-1 hr=0.8095, val_ssim=0.9975, elapsed=227s at c=16/lr=5e-4/ep=10. Only ~4 of 20 budget-min used. (2) Failure mode: not a failure, but hr=0.8095 sits below the breast DD-supervised prior ceiling (~0.836); with 227s spent the L2 fit is likely still descending -> mild undertraining. (3) ONE KNOB: epochs 10 -> 20 (double training steps; unet_c/lr/lambda_neg/grad_clip all unchanged). (4) HYPOTHESIS: doubling epochs to 20 lifts val headroom above 0.8095 because iter-1 used only ~4 min and the supervised MSE was still improving with more gradient passes over the 400 train scenes; expect hr toward ~0.82-0.84. (5) BUDGET: projected ~450s (2x iter-1 train + same val + figure) << 20 min (30-min sbatch wall). (6) Loop continues; iter-3 dispatched on landing. If hr plateaus/drops, epochs is not the lever -> pivot to capacity (unet_c) at iter-3.
3		0.997941	0.824325	keep	architecture	dual_domain_supervised-claude-agentic	claude-opus-4-8-1m	51.43	9.160219e-04	668.0	1.85619	dual_domain_supervised-claude-agentic: unet_c=32, epochs=20, batch_size=1, lr=0.0005, optimizer=adam, lambda_neg=1.0, grad_clip=1.0, train_n=400, val_n=200, val_chunk=10, seed=42, rationale=iter-3 dual_domain_supervised on re-split Breast-CT (train3600/val200/test200, seed20260703), val=200. SIX-BOX: (1) PRIOR: iter-1 hr=0.8095 (ep10,227s); iter-2 hr=0.8372 (ep20,440s). Doubling epochs gave +0.028 hr -> the c=16 fit was undertrained. 440s used, ~13 min budget still free. (2) Failure mode: unknown whether hr is now epochs-limited or CAPACITY-limited; since more training clearly helped and budget remains, the c=16 dual U-Net may be capacity-bound on the sino+image denoising. (3) ONE KNOB: unet_c 16 -> 32 (both proj_dn and img_dn SmallUNet widths double; epochs=20/lr=5e-4/lambda_neg=1.0/grad_clip=1.0 all unchanged). (4) HYPOTHESIS: doubling channels to 32 raises val headroom above 0.8372 because iter-2 still had ample budget and a wider network can fit finer breast detail if the c=16 model was capacity-limited; expect hr ~0.85. Params ~0.47M -> ~1.85M. (5) BUDGET: wider net ~1.5-2x iter-2 step cost -> projected ~700-900s << 20 min (breast uses one shared PYRO-NN projector, FBP batched; 30-min sbatch wall). (6) Loop continues; iter-4 on landing. If wider net does NOT beat 0.8372, capacity is not the lever -> iter-4 pivots to lr.
4		0.998743	0.861162	keep	architecture	dual_domain_supervised-claude-agentic	claude-opus-4-8-1m	53.474	7.239425e-04	838.2	0.465762	dual_domain_supervised-claude-agentic: unet_c=16, epochs=32, batch_size=1, lr=0.0005, optimizer=adam, lambda_neg=1.0, grad_clip=1.0, train_n=400, val_n=200, val_chunk=10, seed=42, rationale=iter-4 dual_domain_supervised on re-split Breast-CT (train3600/val200/test200, seed20260703), val=200. SIX-BOX vs the BEST config (iter-2 c16/ep20 hr=0.8372): (1) PRIOR: iter-1 hr=0.8095 (c16/ep10), iter-2 hr=0.8372 (c16/ep20, BEST), iter-3 hr=0.8243 (c32/ep20 — REGRESSED, 3x params no gain). (2) Failure mode: c=32 was over-parameterized (capacity is NOT the lever); revert to the winning c=16. Open question: is c16 still EPOCHS-limited beyond 20? The 10->20 step gave +0.028 hr. (3) ONE KNOB vs the best config: epochs 20 -> 32 (unet_c=16 is iter-2 value, lr/lambda_neg/grad_clip unchanged). (4) HYPOTHESIS: at c=16, raising epochs 20->32 lifts hr above 0.8372 because the 10->20 doubling was still improving and the supervised MSE likely keeps descending; expect hr ~0.84-0.85. If it plateaus, epochs is saturated and iter-5 pivots to lr. (5) BUDGET: iter-2 ep20=440s -> ep32 ~ 700s << 20 min (30-min sbatch wall; breast single shared projector). (6) iter-5 dispatched on landing. Artifacts (recon_raw.npz + model_ckpt.pt) saved via AGENT4CT_SAVE_RECON / AGENT4CT_MODEL_CKPT to this iter dir.
5		0.998969	0.879765	keep	architecture	dual_domain_supervised-claude-agentic	claude-opus-4-8-1m	54.7236	6.269396e-04	1107.7	0.465762	dual_domain_supervised-claude-agentic: unet_c=16, epochs=44, batch_size=1, lr=0.0005, optimizer=adam, lambda_neg=1.0, grad_clip=1.0, train_n=400, val_n=200, val_chunk=10, seed=42, rationale=iter-5 dual_domain_supervised on re-split Breast-CT (train3600/val200/test200, seed20260703), val=200. SIX-BOX vs BEST (iter-4 c16/ep32/lr5e-4 hr=0.8612): (1) PRIOR: hr vs epochs at c=16 is monotone rising -- ep10=0.8095, ep20=0.8372, ep32=0.8612 (+0.028 then +0.024, still climbing); c=32 (iter-3) REGRESSED to 0.8243 so capacity is not the lever. (2) Failure mode: none; the epochs trend has NOT plateaued at ep32 (per-epoch gain still ~healthy), so the supervised L2 fit is likely still improving. (3) ONE KNOB: epochs 32 -> 44 (c=16/lr=5e-4/lambda_neg=1.0/grad_clip=1.0 all held at the iter-4 winning values). (4) HYPOTHESIS: raising epochs 32->44 lifts val headroom above 0.8612 because the hr-vs-epochs curve is still rising at ep32 with no plateau; expect hr ~0.87. (5) BUDGET: iter-4 ep32=838s -> ep44 ~ 1150s ~ 19 min compute, safely inside the HARD 20-min budget and the 30-min sbatch wall (chose 44 not 48 to keep margin; ep48 would risk ~21 min). breast uses one shared PYRO-NN projector, FBP batched. (6) FINAL iter of this 5-iter search. Artifacts recon_raw.npz + model_ckpt.pt saved to this iter dir via AGENT4CT_SAVE_RECON / AGENT4CT_MODEL_CKPT.
6		0.999078	0.884329	keep	architecture	dual_domain_supervised-claude-agentic	claude-opus-4-8-1m	55.0597	6.031435e-04	1022.6	0.465762	dual_domain_supervised-claude-agentic: unet_c=16, epochs=44, batch_size=1, lr=0.001, optimizer=adam, lambda_neg=1.0, grad_clip=1.0, train_n=400, val_n=200, val_chunk=10, seed=42, rationale=iter-6 dual_domain_supervised, re-split Breast-CT val=200. SIX-BOX vs BEST (iter-5 c16/ep44/lr5e-4 hr=0.8798): (1) PRIOR: epochs is the monotone lever (ep10=0.8095,ep20=0.8372,ep32=0.8612,ep44=0.8798 at c=16); c=32 REGRESSED (0.8243). iter-5 used 1108s (~18.5 min) so simply adding epochs would breach the 20-min budget. (2) Failure mode: the still-rising hr-vs-epochs curve indicates the Adam optimizer has NOT converged within the epoch budget -- an optimization-SPEED limit (not capacity: c=32 hurt). Need more loss-descent per epoch at fixed wall time. (3) ONE KNOB: lr 5e-4 -> 1e-3 (c=16, epochs=44, lambda_neg=1.0, grad_clip=1.0 all held at iter-5 winning values). (4) HYPOTHESIS: doubling lr to 1e-3 reaches a lower L2 minimum within the same 44 epochs (faster descent on the not-yet-converged curve) -> hr above 0.8798; grad_clip=1.0 + nonfinite-skip guard instability. Expect ~0.88-0.89. If hr DROPS (lr too high/unstable), revert lr and pivot iter-7 to train_n 400->800. (5) BUDGET: same ep=44 -> ~1108s, inside the HARD 20-min budget (30-min sbatch wall). (6) Loop continues to iter-20 target. Artifacts recon_raw.npz + model_ckpt.pt saved to this iter dir.
7		0.999062	0.886919	keep	architecture	dual_domain_supervised-claude-agentic	claude-opus-4-8-1m	55.2564	5.896345e-04	1029.9	0.465762	dual_domain_supervised-claude-agentic: unet_c=16, epochs=44, batch_size=1, lr=0.001, optimizer=adam, lambda_neg=0.1, grad_clip=1.0, train_n=400, val_n=200, val_chunk=10, seed=42, rationale=iter-7 dual_domain_supervised, re-split Breast-CT val=200. SIX-BOX vs BEST (iter-6 c16/ep44/lr1e-3/lambda_neg1.0 hr=0.8843): (1) PRIOR: epochs lever tapering (ep32->44 +0.0186, lr5e-4->1e-3 +0.0045 -- diminishing); c=32 REGRESSED. iter-6 elapsed 1023s (~17 min, room but data-scaling at fixed epochs would breach 20-min). (2) Failure mode: hr gains flattening toward ~0.88 with epochs+lr near-tapped; a still-UNTESTED axis is the LOSS weighting -- lambda_neg=1.0 may over-suppress low-mu breast regions. (3) ONE KNOB: lambda_neg 1.0 -> 0.1 (c=16, epochs=44, lr=1e-3 all held at iter-6 winning values). Budget-neutral (same compute). (4) HYPOTHESIS: lowering the negativity-penalty weight to 0.1 lets the supervised L2 term dominate and fit true breast attenuation more faithfully -> hr above 0.8843; a cross-dataset Mayo hint flagged lambda_neg~0.1 as favorable. Expect ~0.885-0.89. If hr DROPS, the penalty was load-bearing -> revert to 1.0 and iter-8 pivots to an architecture knob (sino-branch depth). (5) BUDGET: same ep=44 -> ~1023s, inside the HARD 20-min budget (30-min wall). (6) Loop continues to iter-20. Artifacts saved to this iter dir.
8		0.999138	0.891544	keep	architecture	dual_domain_supervised-claude-agentic	claude-opus-4-8-1m	55.6191	5.655210e-04	941.1	0.465762	dual_domain_supervised-claude-agentic: unet_c=16, epochs=44, batch_size=1, lr=0.001, optimizer=adam, lambda_neg=0.03, grad_clip=1.0, train_n=400, val_n=200, val_chunk=10, seed=42, rationale=iter-8 dual_domain_supervised, re-split Breast-CT val=200. SIX-BOX vs BEST (iter-7 c16/ep44/lr1e-3/lneg0.1 hr=0.8869): (1) PRIOR: lambda_neg 1.0->0.1 gave +0.0026 (iter-6 0.8843 -> iter-7 0.8869); loss-weighting is a live lever, plateau forming ~0.887. (2) Failure mode: penalty still mildly active at 0.1; unclear if the L2 fit wants it near-zero. (3) ONE KNOB: lambda_neg 0.1 -> 0.03 (c=16, ep=44, lr=1e-3 held). Budget-neutral. (4) HYPOTHESIS: lowering the negativity penalty to 0.03 further frees the supervised L2 fit -> hr above 0.8869; if it flattens/drops, the penalty is effectively off and iter-9 stops tuning it and pivots to train_n (data lever). Expect ~0.887-0.89. (5) BUDGET: same ep=44 -> ~1030s, inside 20-min budget. (6) Loop to iter-20. Artifacts saved.
9		0.998943	0.873126	keep	architecture	dual_domain_supervised-claude-agentic	claude-opus-4-8-1m	54.2568	6.615561e-04	830.5	0.465762	dual_domain_supervised-claude-agentic: unet_c=16, epochs=44, batch_size=1, lr=0.001, optimizer=adam, lambda_neg=0.0, grad_clip=1.0, train_n=400, val_n=200, val_chunk=10, seed=42, rationale=iter-9 dual_domain_supervised, re-split Breast-CT val=200. SIX-BOX vs BEST (iter-8 c16/ep44/lr1e-3/lneg0.03 hr=0.8915): (1) PRIOR: lambda_neg sweep monotone improving 1.0(0.8843)->0.1(0.8869)->0.03(0.8915); latest step +0.0046 = largest recent gain -> the negativity penalty was load-bearing against the supervised L2 fit. (2) Failure mode: none; penalty at 0.03 still constrains the fit and hr keeps rising as it relaxes. (3) ONE KNOB: lambda_neg 0.03 -> 0.0 (fully off; c=16, ep=44, lr=1e-3 held) -- the sweep endpoint. (4) HYPOTHESIS: lambda_neg=0.0 gives pure supervised L2 its best fit -> hr above 0.8915; if hr DROPS vs 0.03 a tiny penalty is protective and 0.03 is the optimum. Either way the loss-weighting sweep resolves and iter-10 pivots to the DATA lever (train_n 400->higher, still <=2400). Expect ~0.89-0.895. (5) BUDGET: same ep=44 -> ~940s, inside 20-min budget. (6) Loop to iter-20. Artifacts saved.
10	1176d9f5	0.998938	0.878548	keep	architecture	dual_domain_supervised-claude-agentic	claude-opus-4-8-1m	54.6361	6.332844e-04	774.0	0.465762	dual_domain_supervised-claude-agentic: unet_c=16, epochs=22, batch_size=1, lr=0.001, optimizer=adam, lambda_neg=0.03, grad_clip=1.0, train_n=800, val_n=200, val_chunk=10, seed=42, rationale=iter-10 dual_domain_supervised, re-split Breast-CT val=200. SIX-BOX vs BEST (iter-8 c16/ep44/lr1e-3/lneg0.03/train_n400 hr=0.8915): (1) PRIOR: loss-weighting sweep RESOLVED -- lneg 1.0(0.8843)/0.1(0.8869)/0.03(0.8915 BEST)/0.0(0.8731, iter-9 DROPPED) => 0.03 is the optimum, a tiny penalty is protective. All 9 iters used only train_n=400 of the 3600-scene pool. (2) Failure mode: possible DATA limitation -- 400 scenes repeated 44x may memorize rather than generalize; more UNIQUE scenes at the same gradient budget could lift val hr. (3) ONE KNOB (constant-compute data swap): train_n 400->800 WITH epochs 44->22 to hold total gradient steps fixed at 17600 (= 400x44 = 800x22); same wall time + same optimizer budget, so the single EFFECTIVE lever is 2x unique training scenes per step. lneg=0.03/c=16/lr=1e-3 held at iter-8 winners. (4) HYPOTHESIS: 2x more distinct breast scenes at identical total steps improves val generalization -> hr above 0.8915; if it DROPS, 400 scenes already saturated the val distribution and iter-11 reverts to train_n=400 and instead spends budget on more steps (train_n=800 ep=44, if it fits). Expect ~0.89-0.90. (5) BUDGET: 17600 steps = iter-8 step count -> ~941s, inside 20-min budget (train_n=800 <= 2400 cap, OOM-fixed sbatch). (6) Loop to iter-20. Artifacts saved.
