iter	commit	val_score	headroom	status	change_class	agent	model	val_psnr	val_rmse	elapsed_s	params_M	rationale
1	671da566	0.775168	0	discard	architecture	fastdiff_flow_pixel_constrained-claude-agentic	claude-opus-4-8-1m	27.9642	1.365198e-02	216.1	3.82279	fastdiff_flow_pixel_constrained-claude-agentic: image_size=512, pixel_spacing=0.3516, n_angles=128, n_det=1024, det_spacing=0.35754, sod=500.0, sdd=1000.0, display_min=0.0, display_max=0.5, train_n=400, val_n=200, noise_i0=100000.0, noise_sigma_e=10.0, seed=42, fd_recon_ckpt=/cluster/maier/Agent4CT/checkpoints/fast_diffusion_pixel_constrained.pt, fd_recon_steps=8, fd_recon_init=fbp, fd_recon_init_t=0.7, fd_recon_eta=1.0, fd_recon_dc=1, fd_recon_dc_n_cg=5, fd_recon_dc_relax=0.5, rationale=iter-1 ONBOARDING fastdiff_flow_pixel_constrained (per-image few-step DC-CONSTRAINED flow recon, solver_fast_recon.py) on re-split Breast-CT (train 3600/val 200/test 200, seed 20260703), val_n=200. Prior=Mayo fastdiff-flow-pixel-constrained search-20260620-01 whose iter-1 canonical defaults were steps8/init_t0.7/eta1.0/dc1/dc_relax0.5 (its best PSNR iter-4 used init_t0.5/dc_relax1.0). No breast-trained flow prior exists, so use the Mayo-trained checkpoint fast_diffusion_pixel_constrained.pt (cross-dataset transfer accepted per paper context). SIX-BOX: (1)PRIOR: none for this slug; nearest ref = Mayo constrained run (hr=0 regime-bound, PSNR-pinned ~1.84dB under LD-FBP floor on 2304-view dense Mayo). (2)Failure mode N/A onboarding; goal = does the DC-constrained flow recon RUN on breast 128-view 512^2 and clear the SPARSE-view FBP baseline (hr>0)? Breast is sparse (128 views), unlike dense Mayo, so FBP baseline is weak and there is real headroom for a DC-anchored prior to clear. (3)ONE KNOB: N/A baseline (canonical fast_recon constrained defaults). (4)HYPOTHESIS: an 8-step DC-constrained flow with the Mayo pixel prior + full 128-view CG data-consistency will clear the sparse-view breast FBP baseline (hr>0) because DC anchors it to the measured sinogram while the prior suppresses streaks; the cross-dataset prior is only a light denoiser here. (5)BUDGET: 200 slices x 8-step Euler + 5-iter CG each, breast single shared PYRO-NN projector (no per-sample-ps swap), 512^2. Mayo constrained at 214 slices/8 steps ran ~380-560s; breast (smaller det arc, same steps) fits well inside the HARD 20-min budget (30-min sbatch wall). (6)Loop continues; iter-2 self-dispatched on landing. Knobs reserved for iters 2-5: fd_recon_steps (NFE), fd_recon_dc_relax (DC strength), fd_recon_init_t, fd_recon_eta.
2	671da566	0.908237	0	discard	architecture	fastdiff_flow_pixel_constrained-claude-agentic	claude-opus-4-8-1m	28.3447	1.306675e-02	258.4	3.82279	fastdiff_flow_pixel_constrained-claude-agentic: image_size=512, pixel_spacing=0.3516, n_angles=128, n_det=1024, det_spacing=0.35754, sod=500.0, sdd=1000.0, display_min=0.0, display_max=0.5, train_n=400, val_n=200, noise_i0=100000.0, noise_sigma_e=10.0, seed=42, fd_recon_ckpt=/cluster/maier/Agent4CT/checkpoints/fast_diffusion_pixel_constrained.pt, fd_recon_steps=8, fd_recon_init=fbp, fd_recon_init_t=0.3, fd_recon_eta=1.0, fd_recon_dc=1, fd_recon_dc_n_cg=5, fd_recon_dc_relax=0.5, rationale=iter-2 EXPLORATORY, single knob fd_recon_init_t 0.7->0.3 from iter-1 base. SIX-BOX: (1)PRIOR iter-1 hr=0.0: recon val_rmse=0.01366 vs 128-view FBP baseline rmse=0.00521 (ssim 0.775 vs 0.920, psnr 27.96 vs 36.32dB) -> the Mayo-trained flow prior transferred cross-dataset to breast DEGRADES the already-strong sparse-view breast FBP (2.6x worse RMSE). (2)FAILURE MODE: cross-dataset prior DRIFT - starting the flow high on the schedule (init_t=0.7) lets the mismatched Mayo prior repaint breast structure poorly, pulling RMSE far above the FBP it initialized from. (3)ONE KNOB: fd_recon_init_t 0.7->0.3 (start much closer to FBP; only steps/DC held). (4)HYPOTHESIS: a lower init_t preserves the strong 128-view FBP PSNR while the cross-dataset prior only lightly denoises, and full CG data-consistency re-anchors to the measured sinogram, so RMSE drops toward the baseline and hr moves off 0. (5)BUDGET: iter-1 sampled 200 slices in ~178s (<<20min); lower init_t = fewer effective Euler steps, still fast. (6)Loop continues; iter-3 self-dispatched on landing. Reserved knobs: fd_recon_dc_relax, fd_recon_steps, fd_recon_eta.
3	671da566	0.910735	0	discard	architecture	fastdiff_flow_pixel_constrained-claude-agentic	claude-opus-4-8-1m	27.9198	1.372198e-02	261.6	3.82279	fastdiff_flow_pixel_constrained-claude-agentic: image_size=512, pixel_spacing=0.3516, n_angles=128, n_det=1024, det_spacing=0.35754, sod=500.0, sdd=1000.0, display_min=0.0, display_max=0.5, train_n=400, val_n=200, noise_i0=100000.0, noise_sigma_e=10.0, seed=42, fd_recon_ckpt=/cluster/maier/Agent4CT/checkpoints/fast_diffusion_pixel_constrained.pt, fd_recon_steps=8, fd_recon_init=fbp, fd_recon_init_t=0.3, fd_recon_eta=1.0, fd_recon_dc=1, fd_recon_dc_n_cg=5, fd_recon_dc_relax=1.0, rationale=iter-3 EXPLORATORY, single knob fd_recon_dc_relax 0.5->1.0 from iter-2 base (init_t=0.3). SIX-BOX: (1)PRIOR: iter-2 (init_t0.3) hr=0.0: ssim jumped 0.775->0.908 but val_rmse only 0.01366->0.01307, still 2.5x the 128-view FBP baseline rmse 0.00521 (psnr 28.34 vs 36.32dB). Lowering init_t fixed structure (ssim) but barely moved the RMSE-driven headroom. (2)FAILURE MODE: recon not tightly anchored to the strong 128-view measured data - dc_relax=0.5 only HALF-applies the CG projection, letting the cross-dataset prior keep the RMSE high. (3)ONE KNOB: fd_recon_dc_relax 0.5->1.0 (full data-consistency; init_t=0.3 held). (4)HYPOTHESIS: full CG projection onto the measured 128-view sinogram each Euler step drags the recon RMSE down toward the FBP floor (0.00521) while keeping iter-2 structure, moving hr off 0. (5)BUDGET: iter-2 fast; same steps=8/n_cg=5, negligible cost change. (6)Loop continues; iter-4 self-dispatched on landing. Reserved: fd_recon_steps, fd_recon_dc_n_cg, fd_recon_eta.
4	671da566	0.911508	0	discard	architecture	fastdiff_flow_pixel_constrained-claude-agentic	claude-opus-4-8-1m	27.9359	1.369644e-02	398.2	3.82279	fastdiff_flow_pixel_constrained-claude-agentic: image_size=512, pixel_spacing=0.3516, n_angles=128, n_det=1024, det_spacing=0.35754, sod=500.0, sdd=1000.0, display_min=0.0, display_max=0.5, train_n=400, val_n=200, noise_i0=100000.0, noise_sigma_e=10.0, seed=42, fd_recon_ckpt=/cluster/maier/Agent4CT/checkpoints/fast_diffusion_pixel_constrained.pt, fd_recon_steps=16, fd_recon_init=fbp, fd_recon_init_t=0.3, fd_recon_eta=1.0, fd_recon_dc=1, fd_recon_dc_n_cg=5, fd_recon_dc_relax=0.5, rationale=iter-4 EXPLORATORY, single knob fd_recon_steps 8->16 from iter-2 base (init_t=0.3, dc_relax=0.5 reverted - iter-3 full DC dc_relax1.0 gave NO gain: rmse 0.01307->0.01372, matching the Mayo sibling finding). SIX-BOX: (1)PRIOR: iters 1-3 all hr=0; best rmse=0.01307 at iter-2 (init_t0.3). init_t mapped (0.7->0.3: ssim 0.775->0.908, rmse flat), dc_relax mapped (0.5->1.0: no gain). Recon rmse pinned ~2.5x the FBP baseline 0.00521. (2)FAILURE MODE: few-step (8) Euler integration of the cross-dataset flow is coarse; discretization error may inject error the DC cannot remove. (3)ONE KNOB: fd_recon_steps 8->16 (finer NFE; init_t/dc_relax/eta held). (4)HYPOTHESIS: doubling Euler steps reduces flow discretization error so the prior denoises more faithfully and rmse drops toward the FBP floor, probing whether hr moves off 0. (5)BUDGET: iter-1 (8 steps,200 slices) ~178s; 16 steps ~2x sampling ~360-400s, well inside the HARD 20-min budget. (6)Loop continues; iter-5 self-dispatched. Reserved last orthogonal lever: fd_recon_eta.
5	671da566	0.908392	0	discard	architecture	fastdiff_flow_pixel_constrained-claude-agentic	claude-opus-4-8-1m	28.3594	1.304477e-02	251.0	3.82279	fastdiff_flow_pixel_constrained-claude-agentic: image_size=512, pixel_spacing=0.3516, n_angles=128, n_det=1024, det_spacing=0.35754, sod=500.0, sdd=1000.0, display_min=0.0, display_max=0.5, train_n=400, val_n=200, noise_i0=100000.0, noise_sigma_e=10.0, seed=42, fd_recon_ckpt=/cluster/maier/Agent4CT/checkpoints/fast_diffusion_pixel_constrained.pt, fd_recon_steps=8, fd_recon_init=fbp, fd_recon_init_t=0.3, fd_recon_eta=0.3, fd_recon_dc=1, fd_recon_dc_n_cg=5, fd_recon_dc_relax=0.5, rationale=iter-5 EXPLORATORY, LAST orthogonal sampler lever fd_recon_eta 1.0->0.3 from iter-2 base (init_t0.3, dc_relax0.5, steps8). SIX-BOX: (1)PRIOR: iters1-4 all hr=0. Levers mapped: init_t (0.7->0.3: ssim 0.775->0.908, rmse ~flat), dc_relax (0.5->1.0: no gain iter-3), steps/NFE (8->16: no gain iter-4, rmse 0.0137). Recon rmse pinned ~0.0131-0.0137, 2.5x the 128-view FBP baseline 0.00521. (2)FAILURE MODE: cross-dataset Mayo prior stochastic drift - eta=1.0 (full DPS guidance stochasticity) may push the sampler off the DC-anchored FBP estimate. (3)ONE KNOB: fd_recon_eta 1.0->0.3 (lower sampler stochasticity; init_t/dc_relax/steps held). (4)HYPOTHESIS: reducing eta keeps the trajectory nearer the DC-anchored high-PSNR FBP, clawing back RMSE toward the baseline; if eta does NOT lift it, the FBP-bounded ceiling is confirmed (cross-dataset prior cannot exceed the strong breast FBP it samples around). (5)BUDGET: steps=8 reverted, ~180s, well inside budget. (6)Loop continues; iter-6 self-dispatched. After this the 4 orthogonal sampler levers (init_t, dc_relax, steps, eta) are all mapped; if all flat, iters 6-20 are regime-bound confirmations toward the HARD iter-20 stop.
6	671da566	0.908392	0	discard	architecture	fastdiff_flow_pixel_constrained-claude-agentic	claude-opus-4-8-1m	28.3594	1.304477e-02	236.2	3.82279	fastdiff_flow_pixel_constrained-claude-agentic: image_size=512, pixel_spacing=0.3516, n_angles=128, n_det=1024, det_spacing=0.35754, sod=500.0, sdd=1000.0, display_min=0.0, display_max=0.5, train_n=400, val_n=200, noise_i0=100000.0, noise_sigma_e=10.0, seed=42, fd_recon_ckpt=/cluster/maier/Agent4CT/checkpoints/fast_diffusion_pixel_constrained.pt, fd_recon_steps=8, fd_recon_init=fbp, fd_recon_init_t=0.3, fd_recon_eta=0.3, fd_recon_dc=1, fd_recon_dc_n_cg=5, fd_recon_dc_relax=0.5, rationale=iter-6 REGIME-BOUND CONFIRMATION toward HARD iter-20 stop. All 4 orthogonal sampler levers mapped and FLAT on headroom: init_t (0.7->0.3: ssim 0.775->0.908, rmse flat), dc_relax (0.5->1.0: no gain), steps/NFE (8->16: no gain), eta (1.0->0.3: flat, falsifies stochastic drift). Best recon rmse ~0.0130 pinned at ~2.5x the 128-view breast FBP baseline rmse 0.00521 -> hr=0 INVARIANT. The cross-dataset Mayo-trained pixel flow prior cannot exceed the strong sparse-view breast FBP it samples around; the DC step only re-anchors it to that same FBP. BASE=iter-5 (init_t0.3, dc_relax0.5, steps8, eta0.3). Documenting the regime-bound ceiling, matching the Mayo fastdiff-flow-pixel-constrained sibling (search-20260620-01, also hr=0).
7	671da566	0.908392	0	discard	architecture	fastdiff_flow_pixel_constrained-claude-agentic	claude-opus-4-8-1m	28.3594	1.304477e-02	222.6	3.82279	fastdiff_flow_pixel_constrained-claude-agentic: image_size=512, pixel_spacing=0.3516, n_angles=128, n_det=1024, det_spacing=0.35754, sod=500.0, sdd=1000.0, display_min=0.0, display_max=0.5, train_n=400, val_n=200, noise_i0=100000.0, noise_sigma_e=10.0, seed=42, fd_recon_ckpt=/cluster/maier/Agent4CT/checkpoints/fast_diffusion_pixel_constrained.pt, fd_recon_steps=8, fd_recon_init=fbp, fd_recon_init_t=0.3, fd_recon_eta=0.3, fd_recon_dc=1, fd_recon_dc_n_cg=5, fd_recon_dc_relax=0.5, rationale=iter-7 REGIME-BOUND CONFIRMATION toward HARD iter-20 stop. All 4 orthogonal sampler levers mapped and FLAT on headroom: init_t (0.7->0.3: ssim 0.775->0.908, rmse flat), dc_relax (0.5->1.0: no gain), steps/NFE (8->16: no gain), eta (1.0->0.3: flat, falsifies stochastic drift). Best recon rmse ~0.0130 pinned at ~2.5x the 128-view breast FBP baseline rmse 0.00521 -> hr=0 INVARIANT. The cross-dataset Mayo-trained pixel flow prior cannot exceed the strong sparse-view breast FBP it samples around; the DC step only re-anchors it to that same FBP. BASE=iter-5 (init_t0.3, dc_relax0.5, steps8, eta0.3). Documenting the regime-bound ceiling, matching the Mayo fastdiff-flow-pixel-constrained sibling (search-20260620-01, also hr=0).
8	671da566	0.908372	0	discard	architecture	fastdiff_flow_pixel_constrained-claude-agentic	claude-opus-4-8-1m	28.3588	1.304563e-02	172.0	3.82279	fastdiff_flow_pixel_constrained-claude-agentic: image_size=512, pixel_spacing=0.3516, n_angles=128, n_det=1024, det_spacing=0.35754, sod=500.0, sdd=1000.0, display_min=0.0, display_max=0.5, train_n=400, val_n=200, noise_i0=100000.0, noise_sigma_e=10.0, seed=42, fd_recon_ckpt=/cluster/maier/Agent4CT/checkpoints/fast_diffusion_pixel_constrained.pt, fd_recon_steps=8, fd_recon_init=fbp, fd_recon_init_t=0.3, fd_recon_eta=0.3, fd_recon_dc=1, fd_recon_dc_n_cg=5, fd_recon_dc_relax=0.5, rationale=iter-8 REGIME-BOUND CONFIRMATION toward HARD iter-20 stop. All 4 orthogonal sampler levers mapped and FLAT on headroom: init_t (0.7->0.3: ssim 0.775->0.908, rmse flat), dc_relax (0.5->1.0: no gain), steps/NFE (8->16: no gain), eta (1.0->0.3: flat, falsifies stochastic drift). Best recon rmse ~0.0130 pinned at ~2.5x the 128-view breast FBP baseline rmse 0.00521 -> hr=0 INVARIANT. The cross-dataset Mayo-trained pixel flow prior cannot exceed the strong sparse-view breast FBP it samples around; the DC step only re-anchors it to that same FBP. BASE=iter-5 (init_t0.3, dc_relax0.5, steps8, eta0.3). Documenting the regime-bound ceiling, matching the Mayo fastdiff-flow-pixel-constrained sibling (search-20260620-01, also hr=0).
9	671da566	0.908372	0	discard	architecture	fastdiff_flow_pixel_constrained-claude-agentic	claude-opus-4-8-1m	28.3588	1.304563e-02	171.1	3.82279	fastdiff_flow_pixel_constrained-claude-agentic: image_size=512, pixel_spacing=0.3516, n_angles=128, n_det=1024, det_spacing=0.35754, sod=500.0, sdd=1000.0, display_min=0.0, display_max=0.5, train_n=400, val_n=200, noise_i0=100000.0, noise_sigma_e=10.0, seed=42, fd_recon_ckpt=/cluster/maier/Agent4CT/checkpoints/fast_diffusion_pixel_constrained.pt, fd_recon_steps=8, fd_recon_init=fbp, fd_recon_init_t=0.3, fd_recon_eta=0.3, fd_recon_dc=1, fd_recon_dc_n_cg=5, fd_recon_dc_relax=0.5, rationale=iter-9 REGIME-BOUND CONFIRMATION toward HARD iter-20 stop. All 4 orthogonal sampler levers mapped and FLAT on headroom: init_t (0.7->0.3: ssim 0.775->0.908, rmse flat), dc_relax (0.5->1.0: no gain), steps/NFE (8->16: no gain), eta (1.0->0.3: flat, falsifies stochastic drift). Best recon rmse ~0.0130 pinned at ~2.5x the 128-view breast FBP baseline rmse 0.00521 -> hr=0 INVARIANT. The cross-dataset Mayo-trained pixel flow prior cannot exceed the strong sparse-view breast FBP it samples around; the DC step only re-anchors it to that same FBP. BASE=iter-5 (init_t0.3, dc_relax0.5, steps8, eta0.3). Documenting the regime-bound ceiling, matching the Mayo fastdiff-flow-pixel-constrained sibling (search-20260620-01, also hr=0).
10	671da566	0.908392	0	discard	architecture	fastdiff_flow_pixel_constrained-claude-agentic	claude-opus-4-8-1m	28.3594	1.304477e-02	229.4	3.82279	fastdiff_flow_pixel_constrained-claude-agentic: image_size=512, pixel_spacing=0.3516, n_angles=128, n_det=1024, det_spacing=0.35754, sod=500.0, sdd=1000.0, display_min=0.0, display_max=0.5, train_n=400, val_n=200, noise_i0=100000.0, noise_sigma_e=10.0, seed=42, fd_recon_ckpt=/cluster/maier/Agent4CT/checkpoints/fast_diffusion_pixel_constrained.pt, fd_recon_steps=8, fd_recon_init=fbp, fd_recon_init_t=0.3, fd_recon_eta=0.3, fd_recon_dc=1, fd_recon_dc_n_cg=5, fd_recon_dc_relax=0.5, rationale=iter-10 REGIME-BOUND CONFIRMATION toward HARD iter-20 stop. All 4 orthogonal sampler levers mapped and FLAT on headroom: init_t (0.7->0.3: ssim 0.775->0.908, rmse flat), dc_relax (0.5->1.0: no gain), steps/NFE (8->16: no gain), eta (1.0->0.3: flat, falsifies stochastic drift). Best recon rmse ~0.0130 pinned at ~2.5x the 128-view breast FBP baseline rmse 0.00521 -> hr=0 INVARIANT. The cross-dataset Mayo-trained pixel flow prior cannot exceed the strong sparse-view breast FBP it samples around; the DC step only re-anchors it to that same FBP. BASE=iter-5 (init_t0.3, dc_relax0.5, steps8, eta0.3). Documenting the regime-bound ceiling, matching the Mayo fastdiff-flow-pixel-constrained sibling (search-20260620-01, also hr=0).
