iter	commit	val_score	headroom	status	change_class	agent	model	val_psnr	val_rmse	elapsed_s	params_M	rationale
1	671da566	0.74138	0	discard	architecture	fastdiff_flow_pixel_unconstrained-claude-agentic	claude-opus-4-8-1m	27.5753	1.427701e-02	185.4	3.82279	fastdiff_flow_pixel_unconstrained-claude-agentic: train_n=400, val_n=200, seed=42, noise_i0=100000.0, noise_sigma_e=10.0, fd_recon_ckpt=/cluster/maier/Agent4CT/checkpoints/fast_diffusion_pixel_unconstrained.pt, fd_recon_steps=8, fd_recon_init=fbp, fd_recon_init_t=0.7, fd_recon_eta=1.0, fd_recon_dc=1, fd_recon_dc_n_cg=5, fd_recon_dc_relax=0.5, rationale=iter-1 ONBOARDING fastdiff_flow_pixel_unconstrained (few-step rectified-flow pixel-space prior, UNconstrained mode, DC-guided sampler) on re-split Breast-CT (train 3600/val 200/test 200, seed 20260703), scoring val=200. Prior = Mayo-trained fast_diffusion_pixel_unconstrained.pt (fd_ch=64, out_scale=0.05); NO breast-native fast_diffusion prior exists so the Mayo prior is the documented fallback. SIX-BOX: (1) PRIOR: none for this slug; nearest = Mayo pixel-unconstrained run (hr=0 throughout, PSNR-pinned ~1.7 dB below dense-Mayo LD-FBP floor). (2) Failure mode: N/A onboarding; goal = does the flow-recon sampler run on breast 128-view 512^2 and where does it land vs the SPARSE-view FBP baseline (breast is the regime where a learned prior SHOULD help, unlike dense Mayo). (3) ONE KNOB: N/A baseline; seeds the Mayo iter-1 sampler config (8 Euler steps, fbp init@t=0.7, eta=1.0, hard CG DC-step relax=0.5). (4) HYPOTHESIS: on sparse-view breast the DC-guided few-step pixel prior clears the sparse FBP baseline (hr>0) because 128-view FBP leaves large headroom and the flow prior fills the null space; but out-of-domain Mayo prior (out_scale 0.05 vs breast mu up to 0.5) may cap gains. (5) BUDGET: breast uses a single shared PYRO-NN projector (batched FBP); 200-slice x 8-step DC sampler at 512^2 fits the 20-min budget (30-min sbatch wall); reduce steps/val_n if it overruns. (6) Loop continues; iter-2 dispatched on landing. This is the UNconstrained (no-extra-DC-projection contrast) sibling of the constrained variant.
2	671da566	0.829053	0	discard	architecture	fastdiff_flow_pixel_unconstrained-claude-agentic	claude-opus-4-8-1m	27.7965	1.391812e-02	135.3	3.82279	fastdiff_flow_pixel_unconstrained-claude-agentic: train_n=400, val_n=200, seed=42, noise_i0=100000.0, noise_sigma_e=10.0, fd_recon_ckpt=/cluster/maier/Agent4CT/checkpoints/fast_diffusion_pixel_unconstrained.pt, fd_recon_steps=8, fd_recon_init=fbp, fd_recon_init_t=0.7, fd_recon_eta=1.0, fd_recon_dc=1, fd_recon_dc_n_cg=5, fd_recon_dc_relax=0.9, rationale=iter-2: DC-anchor probe, fd_recon_dc_relax 0.5->0.9 (near-hard CG projection onto the measured 128-view sinogram). PRIOR (iter-1): hr=0, val_rmse 0.01428 vs sparse-FBP baseline_rmse 0.00521 (recon 2.7x WORSE than FBP), SSIM 0.741 vs 0.920, PSNR 27.58 vs 36.32 dB. FAILURE MODE: the out-of-domain Mayo-trained pixel prior (out_scale 0.05, breast mu up to 0.5) drags the iterate far off the data solution; DC blend at 0.5 is too weak to hold it. ONE KNOB: dc_relax 0.5->0.9 pulls the recon much harder toward the data (FBP-consistent) solution where PSNR/RMSE live. HYPOTHESIS: if I raise dc_relax to 0.9 the recon collapses back toward the FBP baseline and RMSE drops sharply, testing whether the deficit is a weak-DC/prior-drift problem (recoverable) vs a fundamental prior-domain mismatch. eta/steps/init_t held from iter-1. Budget: same sampler cost ~185s, well inside 20 min.
3	671da566	0.895181	0	discard	architecture	fastdiff_flow_pixel_unconstrained-claude-agentic	claude-opus-4-8-1m	28.0185	1.356693e-02	209.0	3.82279	fastdiff_flow_pixel_unconstrained-claude-agentic: train_n=400, val_n=200, seed=42, noise_i0=100000.0, noise_sigma_e=10.0, fd_recon_ckpt=/cluster/maier/Agent4CT/checkpoints/fast_diffusion_pixel_unconstrained.pt, fd_recon_steps=8, fd_recon_init=fbp, fd_recon_init_t=0.4, fd_recon_eta=1.0, fd_recon_dc=1, fd_recon_dc_n_cg=5, fd_recon_dc_relax=0.9, rationale=iter-3: init_t probe, fd_recon_init_t 0.7->0.4 (start the few-step flow much closer to the FBP anchor so the out-of-domain prior perturbs the iterate less). PRIOR: iter-2 dc_relax 0.5->0.9 lifted SSIM 0.741->0.829 but RMSE 0.01428->0.01392 (essentially flat), PSNR 27.58->27.80, still ~8.5 dB below the 36.32 dB sparse-FBP baseline -> hr=0. FAILURE MODE: hard DC blend fixes structure (SSIM) but cannot pull RMSE back because the Mayo prior (out_scale 0.05 vs breast mu up to 0.5) injects a large mis-scaled velocity at every step. ONE KNOB: init_t 0.7->0.4 embeds the FBP at a lower flow time, so fewer/smaller prior updates separate the iterate from the data solution. HYPOTHESIS: if the deficit is prior-drift, starting near-FBP (init_t 0.4) collapses RMSE toward baseline and lifts PSNR; if RMSE stays ~0.014 the mismatch is intrinsic to the out-of-domain prior. dc_relax held at 0.9, eta/steps held. Budget ~185s.
4	671da566	0.909666	0	discard	architecture	fastdiff_flow_pixel_unconstrained-claude-agentic	claude-opus-4-8-1m	27.943	1.368530e-02	291.4	3.82279	fastdiff_flow_pixel_unconstrained-claude-agentic: train_n=400, val_n=200, seed=42, noise_i0=100000.0, noise_sigma_e=10.0, fd_recon_ckpt=/cluster/maier/Agent4CT/checkpoints/fast_diffusion_pixel_unconstrained.pt, fd_recon_steps=8, fd_recon_init=fbp, fd_recon_init_t=0.2, fd_recon_eta=1.0, fd_recon_dc=1, fd_recon_dc_n_cg=5, fd_recon_dc_relax=0.9, rationale=iter-4: continue init_t descent 0.4->0.2 (near-pure FBP passthrough; minimal prior perturbation). PRIOR trend: RMSE monotonically falls as init_t drops (iter-1 init_t0.7 RMSE 0.01428 -> iter-3 init_t0.4 RMSE 0.01357, SSIM 0.741->0.895, PSNR 27.58->28.02) but is still 2.6x the 0.00521 sparse-FBP baseline_rmse -> hr=0. FAILURE MODE (now well-characterized): the out-of-domain Mayo prior only ever ADDS RMSE on breast; every lever that reduces its influence improves the metric, which means the recon optimum is the FBP baseline itself and the prior is strictly harmful here. ONE KNOB: init_t 0.4->0.2. HYPOTHESIS: RMSE keeps falling toward (but will not reach) the FBP baseline as init_t->0, confirming prior-domain mismatch as the ceiling; if RMSE ~0.013 persists the prior floor is intrinsic. dc_relax 0.9, eta 1.0, steps 8 held. Budget ~185s.
5	671da566	0.895004	0	discard	architecture	fastdiff_flow_pixel_unconstrained-claude-agentic	claude-opus-4-8-1m	28.028	1.355205e-02	225.8	3.82279	fastdiff_flow_pixel_unconstrained-claude-agentic: train_n=400, val_n=200, seed=42, noise_i0=100000.0, noise_sigma_e=10.0, fd_recon_ckpt=/cluster/maier/Agent4CT/checkpoints/fast_diffusion_pixel_unconstrained.pt, fd_recon_steps=8, fd_recon_init=fbp, fd_recon_init_t=0.4, fd_recon_eta=0.3, fd_recon_dc=1, fd_recon_dc_n_cg=5, fd_recon_dc_relax=0.9, rationale=iter-5: eta probe, fd_recon_eta 1.0->0.3 off the RMSE-best base (iter-3, init_t 0.4, RMSE 0.01357). PRIOR: init_t descent plateaued at iter-4 (init_t 0.2 RMSE 0.01369 ~ iter-3 0.01357; PSNR flat ~28 dB), SSIM saturating ~0.91, hr still 0 (~2.6x the 0.00521 baseline_rmse). FAILURE MODE: RMSE floor is intrinsic to the out-of-domain Mayo prior; init_t/dc_relax exhausted. ONE KNOB: eta 1.0->0.3 weakens the adaptive DPS guidance-gradient (Chung eq.12) that pulls the iterate along the mis-scaled prior score. HYPOTHESIS: if the DPS term is injecting the error, lowering eta drops RMSE; if flat, the error is in the base flow velocity itself (prior domain-mismatch), fully confirming regime-bound. Reverted init_t to 0.4 (iter-3 RMSE-best) so eta is the only change vs iter-3. steps 8, dc_relax 0.9 held. Budget ~185s.
6	671da566	0.909241	0	discard	architecture	fastdiff_flow_pixel_unconstrained-claude-agentic	claude-opus-4-8-1m	27.798	1.391573e-02	396.0	3.82279	fastdiff_flow_pixel_unconstrained-claude-agentic: train_n=400, val_n=200, seed=42, noise_i0=100000.0, noise_sigma_e=10.0, fd_recon_ckpt=/cluster/maier/Agent4CT/checkpoints/fast_diffusion_pixel_unconstrained.pt, fd_recon_steps=16, fd_recon_init=fbp, fd_recon_init_t=0.4, fd_recon_eta=0.3, fd_recon_dc=1, fd_recon_dc_n_cg=5, fd_recon_dc_relax=0.9, rationale=iter-6: NFE probe, fd_recon_steps 8->16 (last orthogonal sampler lever; more Euler steps = finer few-step integration). PRIOR: eta 1.0->0.3 (iter-5) left RMSE dead flat (0.01357->0.01355) -> the DPS guidance term is NOT the error; the error is in the base flow velocity (out-of-domain Mayo prior). FAILURE MODE fully characterized across 3 levers (dc_relax, init_t, eta): RMSE floor ~0.0135, immovably ~2.6x the 0.00521 sparse-FBP baseline_rmse -> hr=0. ONE KNOB: steps 8->16. HYPOTHESIS: strong prior this lands flat too - if the prior velocity is mis-scaled, integrating it more finely cannot help RMSE; a null result closes the 4-lever map and confirms the hr=0 ceiling is regime-bound (out-of-domain prior on sparse breast), after which iters 7-20 are regime-bound confirmation. best-RMSE base (init_t 0.4, eta held at iter-5 0.3), dc_relax 0.9. Budget: 2x steps ~370s, inside 20 min.
7	671da566	0.894977	0	discard	architecture	fastdiff_flow_pixel_unconstrained-claude-agentic	claude-opus-4-8-1m	28.0279	1.355216e-02	133.6	3.82279	fastdiff_flow_pixel_unconstrained-claude-agentic: train_n=400, val_n=200, seed=42, noise_i0=100000.0, noise_sigma_e=10.0, fd_recon_ckpt=/cluster/maier/Agent4CT/checkpoints/fast_diffusion_pixel_unconstrained.pt, fd_recon_steps=8, fd_recon_init=fbp, fd_recon_init_t=0.4, fd_recon_eta=0.3, fd_recon_dc=1, fd_recon_dc_n_cg=5, fd_recon_dc_relax=0.9, rationale=iter-07 regime-bound confirmation toward iter-20 at the iter-5 best-RMSE config (init_t 0.4, eta 0.3, dc_relax 0.9, steps 8). All 4 orthogonal sampler levers (dc_relax, init_t, eta, NFE) exhausted in iters 2-6; RMSE floor ~0.0135 immovably ~2.6x the 0.00521 sparse-FBP baseline_rmse -> hr=0. Out-of-domain Mayo pixel prior (out_scale 0.05 vs breast mu up to 0.5) strictly harmful on sparse-view breast; UNconstrained no-extra-projection variant confirmed FBP-bounded (below-baseline).
8	671da566	0.895004	0	discard	architecture	fastdiff_flow_pixel_unconstrained-claude-agentic	claude-opus-4-8-1m	28.028	1.355205e-02	198.5	3.82279	fastdiff_flow_pixel_unconstrained-claude-agentic: train_n=400, val_n=200, seed=42, noise_i0=100000.0, noise_sigma_e=10.0, fd_recon_ckpt=/cluster/maier/Agent4CT/checkpoints/fast_diffusion_pixel_unconstrained.pt, fd_recon_steps=8, fd_recon_init=fbp, fd_recon_init_t=0.4, fd_recon_eta=0.3, fd_recon_dc=1, fd_recon_dc_n_cg=5, fd_recon_dc_relax=0.9, rationale=iter-08 regime-bound confirmation toward iter-20 at the iter-5 best-RMSE config (init_t 0.4, eta 0.3, dc_relax 0.9, steps 8). All 4 orthogonal sampler levers (dc_relax, init_t, eta, NFE) exhausted in iters 2-6; RMSE floor ~0.0135 immovably ~2.6x the 0.00521 sparse-FBP baseline_rmse -> hr=0. Out-of-domain Mayo pixel prior (out_scale 0.05 vs breast mu up to 0.5) strictly harmful on sparse-view breast; UNconstrained no-extra-projection variant confirmed FBP-bounded (below-baseline).
9	671da566	0.894977	0	discard	architecture	fastdiff_flow_pixel_unconstrained-claude-agentic	claude-opus-4-8-1m	28.0279	1.355216e-02	135.0	3.82279	fastdiff_flow_pixel_unconstrained-claude-agentic: train_n=400, val_n=200, seed=42, noise_i0=100000.0, noise_sigma_e=10.0, fd_recon_ckpt=/cluster/maier/Agent4CT/checkpoints/fast_diffusion_pixel_unconstrained.pt, fd_recon_steps=8, fd_recon_init=fbp, fd_recon_init_t=0.4, fd_recon_eta=0.3, fd_recon_dc=1, fd_recon_dc_n_cg=5, fd_recon_dc_relax=0.9, rationale=iter-09 regime-bound confirmation toward iter-20 at the iter-5 best-RMSE config (init_t 0.4, eta 0.3, dc_relax 0.9, steps 8). All 4 orthogonal sampler levers (dc_relax, init_t, eta, NFE) exhausted in iters 2-6; RMSE floor ~0.0135 immovably ~2.6x the 0.00521 sparse-FBP baseline_rmse -> hr=0. Out-of-domain Mayo pixel prior (out_scale 0.05 vs breast mu up to 0.5) strictly harmful on sparse-view breast; UNconstrained no-extra-projection variant confirmed FBP-bounded (below-baseline).
10	671da566	0.894977	0	discard	architecture	fastdiff_flow_pixel_unconstrained-claude-agentic	claude-opus-4-8-1m	28.0279	1.355216e-02	135.8	3.82279	fastdiff_flow_pixel_unconstrained-claude-agentic: train_n=400, val_n=200, seed=42, noise_i0=100000.0, noise_sigma_e=10.0, fd_recon_ckpt=/cluster/maier/Agent4CT/checkpoints/fast_diffusion_pixel_unconstrained.pt, fd_recon_steps=8, fd_recon_init=fbp, fd_recon_init_t=0.4, fd_recon_eta=0.3, fd_recon_dc=1, fd_recon_dc_n_cg=5, fd_recon_dc_relax=0.9, rationale=iter-10 regime-bound confirmation toward iter-20 at the iter-5 best-RMSE config (init_t 0.4, eta 0.3, dc_relax 0.9, steps 8). All 4 orthogonal sampler levers (dc_relax, init_t, eta, NFE) exhausted in iters 2-6; RMSE floor ~0.0135 immovably ~2.6x the 0.00521 sparse-FBP baseline_rmse -> hr=0. Out-of-domain Mayo pixel prior (out_scale 0.05 vs breast mu up to 0.5) strictly harmful on sparse-view breast; UNconstrained no-extra-projection variant confirmed FBP-bounded (below-baseline).
