iter	commit	val_score	headroom	status	change_class	agent	model	val_psnr	val_rmse	elapsed_s	params_M	rationale
1	671da566	0.325907	0	discard	architecture	fastdiff_wdm_wavelet_constrained-claude-agentic	claude-opus-4-8-1m	17.1353	4.749400e-02	136.4	3.82491	fastdiff_wdm_wavelet_constrained-claude-agentic: val_n=200, seed=42, fd_recon_ckpt=/cluster/maier/Agent4CT/checkpoints/fast_diffusion_wavelet_breast.pt, fd_recon_steps=8, fd_recon_init=fbp, fd_recon_init_t=0.7, fd_recon_eta=1.0, fd_recon_dc=1, fd_recon_dc_n_cg=5, fd_recon_dc_relax=0.5, dataset_kind=breast_ct, rationale=iter-1 ONBOARDING/FEASIBILITY fastdiff_wdm_wavelet_CONSTRAINED (per-image few-step DC-CONSTRAINED Haar-wavelet flow recon, solver_fast_recon.py) on re-split Breast-CT (train 3600/val 200/test 200, seed 20260703), val_n=200. RE-RUN with the BREAST-NATIVE wavelet prior fast_diffusion_wavelet_breast.pt (out_scale=0.5, n_train=3600, val_flow_loss 0.0031) -- the FAIR test replacing the earlier Mayo-prior fallback (out_scale 0.05, 10x mu mismatch, all 20 iters hr=0). DC ON (constrained): fd_recon_dc=1 enables the hard CG data-consistency projection each Euler step (dc_relax=0.5, n_cg=5) -- this is what makes constrained genuine (a real min||Ax-y||^2 CG solve onto the measured 128-view sinogram), vs the unconstrained sibling which sets dc=0. SIX-BOX: (1) PRIOR: none for the breast-native prior yet; nearest = the archived Mayo-prior wdm-constrained curve (all hr=0, out_scale mismatch). (2) FAILURE MODE: N/A onboarding; goal = does the breast-native DC-constrained wavelet recon clear the 128-view sparse-FBP baseline (breast baseline_PSNR ~36.3) with hr>0, confirming the recon is no longer FBP-bounded? (3) ONE KNOB: N/A baseline -- canonical fast_recon constrained defaults (8-step Euler, FBP init t=0.7, eta=1.0, DC on CG=5 relax=0.5). (4) HYPOTHESIS: with a breast-native prior (out_scale matched at 0.5) the wavelet flow now injects CORRECTLY-scaled structure and DPS+hard-CG DC anchors it to the measured sparse sinogram, so hr should clear 0 (unlike the Mayo-prior run). FALSIFIER: if hr=0 still, the sparse-view wavelet prior is over-smoothing/mis-aligned -> iters raise dc_relax toward 1.0 and lower init_t (less prior drift). (5) BUDGET: 200 slices x 8-step Euler + 5-iter CG, breast single shared PYRO-NN projector, 512^2 -- well inside HARD 20-min (30-min sbatch wall). val = ALL 200 fixed seed-20260703 val cases. (6) Loop continues; iter-2 self-dispatched on landing. Reserved levers iters 2-20: fd_recon_dc_relax, fd_recon_init_t, fd_recon_steps, fd_recon_eta, fd_recon_dc_n_cg.
2	671da566	0.353979	0	discard	architecture	fastdiff_wdm_wavelet_constrained-claude-agentic	claude-opus-4-8-1m	16.4905	5.115381e-02	101.3	3.82491	fastdiff_wdm_wavelet_constrained-claude-agentic: val_n=200, seed=42, fd_recon_ckpt=/cluster/maier/Agent4CT/checkpoints/fast_diffusion_wavelet_breast.pt, fd_recon_steps=8, fd_recon_init=fbp, fd_recon_init_t=0.7, fd_recon_eta=1.0, fd_recon_dc=1, fd_recon_dc_n_cg=5, fd_recon_dc_relax=1.0, dataset_kind=breast_ct, rationale=iter-2 DC-STRENGTH lever, breast-native wavelet CONSTRAINED, val=200. SIX-BOX: (1) PRIOR: iter-1 (breast prior, init_t0.7/dc_relax0.5) scored SSIM 0.326 / PSNR 17.1 / RMSE 4.75e-2 vs 128-view sparse-FBP baseline PSNR 36.3 / RMSE 5.21e-3 -> ~9x worse, hr=0, FAR below floor and much worse than the archived Mayo-prior iter-1 (SSIM 0.72). (2) FAILURE MODE: with the CORRECTLY-scaled breast prior (out_scale 0.5), embedding the FBP at init_t=0.7 injects a large amount of prior structure that the half-strength CG DC (relax=0.5) only half-corrects back onto the measured sparse sinogram -> the strong prior at high flow-time dominates and corrupts HU. The prior is now impactful (unlike the mis-scaled Mayo prior), so weak DC is decisively wrong. (3) ONE KNOB: fd_recon_dc_relax 0.5 -> 1.0 (full CG-projected-image blend), all else identical to iter-1. (4) HYPOTHESIS: at dc_relax=1.0 the recon leans fully on the CG solve of min||Ax-y||^2 onto the measured sinogram each step, so RMSE drops sharply toward the sparse-FBP floor (the archived Mayo-prior curve gained SSIM 0.72->0.82 on exactly this knob at iter-2, and dc_relax=1.0 was best throughout). FALSIFIER: if RMSE stays >>baseline, the high init_t is the dominant problem -> iter-3 lowers init_t to 0.4 (the archived best region). (5) BUDGET: iter-1 ran ~90s for 200 slices; dc_relax is free. (6) Loop continues; iter-3 self-dispatched on landing.
3	671da566	0.402486	0	discard	architecture	fastdiff_wdm_wavelet_constrained-claude-agentic	claude-opus-4-8-1m	19.3875	3.664637e-02	99.2	3.82491	fastdiff_wdm_wavelet_constrained-claude-agentic: val_n=200, seed=42, fd_recon_ckpt=/cluster/maier/Agent4CT/checkpoints/fast_diffusion_wavelet_breast.pt, fd_recon_steps=8, fd_recon_init=fbp, fd_recon_init_t=0.4, fd_recon_eta=1.0, fd_recon_dc=1, fd_recon_dc_n_cg=5, fd_recon_dc_relax=1.0, dataset_kind=breast_ct, rationale=iter-3 INIT_T lever, breast-native wavelet CONSTRAINED, val=200. SIX-BOX: (1) PRIOR: iter-1 (init_t0.7/relax0.5) SSIM 0.326/PSNR 17.1/RMSE 4.75e-2; iter-2 (init_t0.7/relax1.0) SSIM 0.354/PSNR 16.5/RMSE 5.12e-2 -- full DC did NOT rescue, both ~9x worse than baseline (PSNR 36.3/RMSE 5.21e-3), hr=0. (2) FAILURE MODE: init_t=0.7 embeds the FBP at high flow-time where most FBP structure is replaced by noise; 8 Euler steps of the 512^2 wavelet prior cannot rebuild breast detail from that, and even full CG DC can't fix a trajectory that started from mostly-noise. The dominant lever is init_t, not dc_relax (the archived Mayo-prior curve's big SSIM gains 0.82->0.91 came from lowering init_t 0.7->0.2). (3) ONE KNOB: fd_recon_init_t 0.7 -> 0.4 (embed FBP closer to clean, far less prior drift), keeping dc_relax=1.0 from iter-2. (4) HYPOTHESIS: at init_t=0.4 the FBP is embedded near-clean so the wavelet prior only lightly denoises the sparse-view streaks while full CG DC pins the measured rays -> RMSE drops sharply toward the sparse-FBP floor and may clear hr>0 (this is the archived best region). FALSIFIER: if still PSNR<<36, even light prior injection + DC can't beat the strong 128-view FBP baseline here -> iter-4 pushes init_t lower (0.2) and/or raises dc_n_cg. (5) BUDGET: ~90s/iter, init_t is free. (6) Loop continues; iter-4 self-dispatched on landing.
4	671da566	0.460558	0	discard	architecture	fastdiff_wdm_wavelet_constrained-claude-agentic	claude-opus-4-8-1m	22.0415	2.699793e-02	138.9	3.82491	fastdiff_wdm_wavelet_constrained-claude-agentic: val_n=200, seed=42, fd_recon_ckpt=/cluster/maier/Agent4CT/checkpoints/fast_diffusion_wavelet_breast.pt, fd_recon_steps=8, fd_recon_init=fbp, fd_recon_init_t=0.2, fd_recon_eta=1.0, fd_recon_dc=1, fd_recon_dc_n_cg=5, fd_recon_dc_relax=1.0, dataset_kind=breast_ct, rationale=iter-4 INIT_T lever (continue lowering), breast-native wavelet CONSTRAINED, val=200. SIX-BOX: (1) PRIOR: init_t sweep at relax1.0: iter-2 init_t0.7 PSNR 16.5/RMSE 5.12e-2; iter-3 init_t0.4 PSNR 19.4/RMSE 3.66e-2 -- MONOTONIC improvement as init_t drops (prior over-injection is the failure). All hr=0, baseline PSNR 36.3/RMSE 5.21e-3. (2) FAILURE MODE: at init_t=0.4 the FBP embed still carries enough flow-time noise that the 8-step wavelet prior degrades detail relative to the strong 128-view FBP. (3) ONE KNOB: fd_recon_init_t 0.4 -> 0.2 (embed FBP even closer to clean; minimal prior drift), relax1.0 fixed. (4) HYPOTHESIS: init_t=0.2 continues the RMSE-down trend (archived Mayo-prior best SSIM was at init_t0.2) toward the FBP floor; the prior becomes a very light streak-denoiser. FALSIFIER: if PSNR still <<36, the wavelet flow prior fundamentally cannot improve on the 128-view breast FBP even as a light denoiser -> pivot to dc_n_cg (stronger DC) and steps, then conclude the prior is FBP-bounded here. (5) BUDGET: ~90s/iter. (6) Loop continues; iter-5 on landing.
5	671da566	0.527628	0	discard	architecture	fastdiff_wdm_wavelet_constrained-claude-agentic	claude-opus-4-8-1m	25.1999	1.876767e-02	126.2	3.82491	fastdiff_wdm_wavelet_constrained-claude-agentic: val_n=200, seed=42, fd_recon_ckpt=/cluster/maier/Agent4CT/checkpoints/fast_diffusion_wavelet_breast.pt, fd_recon_steps=8, fd_recon_init=fbp, fd_recon_init_t=0.1, fd_recon_eta=1.0, fd_recon_dc=1, fd_recon_dc_n_cg=5, fd_recon_dc_relax=1.0, dataset_kind=breast_ct, rationale=iter-5 INIT_T lever (push lower), breast-native wavelet CONSTRAINED, val=200. SIX-BOX: (1) PRIOR: init_t sweep at relax1.0: 0.7->PSNR16.5, 0.4->19.4, 0.2->22.0, RMSE 5.12e-2->3.66e-2->2.70e-2. STRICTLY MONOTONIC: every init_t drop helps. baseline PSNR36.3/RMSE5.21e-3, hr=0 so far. (2) FAILURE MODE: even at init_t=0.2 the wavelet-prior embed still degrades the strong 128-view breast FBP; the prior is not yet a near-identity light denoiser. (3) ONE KNOB: fd_recon_init_t 0.2 -> 0.1 (FBP embedded very close to clean; prior barely perturbs it). (4) HYPOTHESIS: init_t=0.1 continues the RMSE-down trend toward the FBP floor; at very low init_t the recon approaches (light-denoised FBP -> CG-DC), which should approach or clear the baseline. FALSIFIER: if PSNR still <<36 even at init_t=0.1, the 8-step wavelet prior CANNOT match the 128-view breast FBP (it always injects net-harmful structure), meaning this DC-on wavelet variant is FBP-bounded here regardless of init_t -> pivot iters to steps/n_cg and then conclude. (5) BUDGET: ~90s/iter. (6) Loop continues; iter-6 on landing.
6	671da566	0.647482	0	discard	architecture	fastdiff_wdm_wavelet_constrained-claude-agentic	claude-opus-4-8-1m	28.9006	1.225671e-02	98.4	3.82491	fastdiff_wdm_wavelet_constrained-claude-agentic: val_n=200, seed=42, fd_recon_ckpt=/cluster/maier/Agent4CT/checkpoints/fast_diffusion_wavelet_breast.pt, fd_recon_steps=8, fd_recon_init=fbp, fd_recon_init_t=0.05, fd_recon_eta=1.0, fd_recon_dc=1, fd_recon_dc_n_cg=5, fd_recon_dc_relax=1.0, dataset_kind=breast_ct, rationale=iter-6 INIT_T limit probe, breast-native wavelet CONSTRAINED, val=200. SIX-BOX: (1) PRIOR: init_t@relax1.0: 0.7->PSNR16.5, 0.4->19.4, 0.2->22.0, 0.1->25.2 (RMSE 1.88e-2). MONOTONIC toward baseline PSNR36.3/RMSE5.21e-3 as init_t->0. hr=0 throughout. (2) FAILURE MODE: the wavelet prior injects net-harmful structure; the recon improves as prior influence shrinks. (3) ONE KNOB: fd_recon_init_t 0.1 -> 0.05 (near prior-off; recon ~ light-denoised FBP + full CG-DC). (4) HYPOTHESIS: continues the trend; establishes the init_t->0 asymptote (does DC-anchored near-FBP clear the baseline, or is even the CG-DC-projected FBP below the plain Hann FBP baseline?). This localizes whether ANY init_t can clear hr>0. FALSIFIER: if PSNR plateaus below 36 as init_t->0, the DC-on wavelet recon is structurally FBP-bounded on sparse breast (the CG-DC/prior chain never beats the plain FBP baseline) -> spend remaining iters confirming via steps/n_cg then conclude. (5) BUDGET ~90s. (6) iter-7 on landing.
7	671da566	0.836207	0	discard	architecture	fastdiff_wdm_wavelet_constrained-claude-agentic	claude-opus-4-8-1m	33.6929	7.059256e-03	153.1	3.82491	fastdiff_wdm_wavelet_constrained-claude-agentic: val_n=200, seed=42, fd_recon_ckpt=/cluster/maier/Agent4CT/checkpoints/fast_diffusion_wavelet_breast.pt, fd_recon_steps=8, fd_recon_init=fbp, fd_recon_init_t=0.02, fd_recon_eta=1.0, fd_recon_dc=1, fd_recon_dc_n_cg=5, fd_recon_dc_relax=1.0, dataset_kind=breast_ct, rationale=iter-7 INIT_T asymptote pin, breast-native wavelet CONSTRAINED, val=200. SIX-BOX: (1) PRIOR: init_t@relax1.0: 0.7->16.5,0.4->19.4,0.2->22.0,0.1->25.2,0.05->28.9dB (RMSE 1.23e-2). Monotonic, still below baseline 36.3dB/5.21e-3. hr=0. (2) FAILURE MODE: prior net-harmful; recon = light-denoised-FBP+CG-DC and rises toward but has not reached baseline. (3) ONE KNOB: init_t 0.05->0.02 (essentially prior-off). (4) HYPOTHESIS: near-flat vs iter-6 -> pins the init_t->0 asymptote. If PSNR ~29-31 and still <36, confirms the DC-on wavelet recon at NFE8/CG5 is FBP-bounded on sparse breast. (5) BUDGET ~90s. (6) iter-8 pivots to the OTHER DC lever (dc_n_cg up: does a stronger least-squares CG solve at this low init_t finally reach/beat FBP?).
8	671da566	0.876015	0	discard	architecture	fastdiff_wdm_wavelet_constrained-claude-agentic	claude-opus-4-8-1m	35.192	5.940217e-03	141.6	3.82491	fastdiff_wdm_wavelet_constrained-claude-agentic: val_n=200, seed=42, fd_recon_ckpt=/cluster/maier/Agent4CT/checkpoints/fast_diffusion_wavelet_breast.pt, fd_recon_steps=8, fd_recon_init=fbp, fd_recon_init_t=0.005, fd_recon_eta=1.0, fd_recon_dc=1, fd_recon_dc_n_cg=5, fd_recon_dc_relax=1.0, dataset_kind=breast_ct, rationale=iter-8 INIT_T asymptote pin (near prior-off), breast-native wavelet CONSTRAINED, val=200. SIX-BOX: (1) PRIOR: init_t@relax1.0: 0.1->25.2,0.05->28.9,0.02->33.7dB/RMSE7.06e-3. Still climbing, now only ~2.6dB below baseline 36.3dB/5.21e-3. hr=0. (2) FAILURE MODE: the recon asymptotes to (near-clean FBP embed + full CG-DC) as init_t->0; it approaches but has not crossed the plain-Hann-FBP baseline. (3) ONE KNOB: init_t 0.02->0.005 (essentially prior-off; FBP embedded almost clean). (4) HYPOTHESIS: near-flat vs iter-7 or a small further gain -> pins the true init_t->0 asymptote. If it saturates at ~34-35dB just under 36.3, the DC-on wavelet recon is FBP-bounded (the CG-DC-projected near-FBP never beats the plain FBP baseline; the wavelet prior adds no value on sparse breast). (5) BUDGET ~90s. (6) iter-9 tests dc_n_cg-up at this init_t (does a stronger LSQ CG solve finally cross the baseline?).
9	671da566	0.882716	0.069476	keep	architecture	fastdiff_wdm_wavelet_constrained-claude-agentic	claude-opus-4-8-1m	36.9496	4.852016e-03	270.8	3.82491	fastdiff_wdm_wavelet_constrained-claude-agentic: val_n=200, seed=42, fd_recon_ckpt=/cluster/maier/Agent4CT/checkpoints/fast_diffusion_wavelet_breast.pt, fd_recon_steps=8, fd_recon_init=fbp, fd_recon_init_t=0.005, fd_recon_eta=1.0, fd_recon_dc=1, fd_recon_dc_n_cg=15, fd_recon_dc_relax=1.0, dataset_kind=breast_ct, rationale=iter-9 DC-STRENGTH (n_cg up) at near-prior-off init_t, breast-native wavelet CONSTRAINED, val=200. SIX-BOX: (1) PRIOR: init_t->0 asymptote pinned: init_t0.02->PSNR33.7, 0.05->28.9... 0.005->35.19dB/RMSE5.94e-3 (iter-8), converging to JUST UNDER baseline 36.32dB/RMSE5.21e-3. hr=0 throughout; the CG-DC-projected near-FBP is marginally WORSE than the plain Hann FBP. (2) FAILURE MODE: at n_cg=5 the CG least-squares solve of min||Ax-y||^2 on the 128-view system is UNDER-converged, leaving residual streaks -> RMSE just above the plain FBP. (3) ONE KNOB: fd_recon_dc_n_cg 5 -> 15 (stronger LSQ CG solve), init_t=0.005 fixed. (4) HYPOTHESIS: more CG iters drive the recon closer to the exact 128-view least-squares solution; IF that LSQ solution beats the plain Hann FBP, hr crosses 0. FALSIFIER: if RMSE stays >=baseline even at n_cg=15, the CG-DC/wavelet recon is genuinely FBP-bounded on sparse breast (the plain regularized-FBP baseline is at/above the unregularized LSQ solution) -> the wavelet prior + DC cannot clear it; conclude. (5) BUDGET: n_cg=15 ~2-3x CG cost, still well inside 20min at ~90s base. (6) iter-10 on landing.
10	671da566	0.870701	0.0431566	keep	architecture	fastdiff_wdm_wavelet_constrained-claude-agentic	claude-opus-4-8-1m	36.7074	4.989253e-03	254.6	3.82491	fastdiff_wdm_wavelet_constrained-claude-agentic: val_n=200, seed=42, fd_recon_ckpt=/cluster/maier/Agent4CT/checkpoints/fast_diffusion_wavelet_breast.pt, fd_recon_steps=8, fd_recon_init=fbp, fd_recon_init_t=0.005, fd_recon_eta=1.0, fd_recon_dc=1, fd_recon_dc_n_cg=25, fd_recon_dc_relax=1.0, dataset_kind=breast_ct, rationale=iter-10 DC-STRENGTH (n_cg up further), breast-native wavelet CONSTRAINED, val=200. SIX-BOX: (1) PRIOR: BREAKTHROUGH iter-9 (init_t0.005/n_cg15) hr=0.0695 (PSNR 36.95/RMSE 4.85e-3) CLEARED baseline 36.32/5.21e-3 -- more CG iters crossed it (iter-8 n_cg5 was RMSE 5.94e-3, hr=0). Direction confirmed: low init_t (prior-light) + strong CG-DC. (2) FAILURE MODE at iter-8: under-converged CG (n_cg5) left the recon just below the FBP; n_cg15 converged enough to beat it. (3) ONE KNOB: fd_recon_dc_n_cg 15 -> 25 (drive CG closer to the exact 128-view LSQ solution). (4) HYPOTHESIS: more CG iters lower RMSE further (the LSQ solution beats the regularized FBP) -> hr rises above 0.0695. FALSIFIER: if hr plateaus/drops, the CG has converged and 128-view LSQ noise amplification caps the gain -> pivot to raising init_t slightly so the wavelet prior can regularize the LSQ noise (prior+DC synergy). (5) BUDGET: n_cg25 ~4x CG cost of base, still well inside 20min. (6) iter-11 on landing.
