iter	commit	val_score	headroom	status	change_class	agent	model	val_psnr	val_rmse	elapsed_s	params_M	rationale
1	671da566	0.721971	0	discard	architecture	fastdiff_wdm_wavelet_constrained-claude-agentic	claude-opus-4-8-1m	27.3488	1.465430e-02	121.2	3.82491	fastdiff_wdm_wavelet_constrained-claude-agentic: val_n=200, seed=42, fd_recon_ckpt=/cluster/maier/Agent4CT/checkpoints/fast_diffusion_wavelet_constrained.pt, fd_recon_steps=8, fd_recon_init=fbp, fd_recon_init_t=0.7, fd_recon_eta=1.0, fd_recon_dc=1, fd_recon_dc_n_cg=5, fd_recon_dc_relax=0.5, dataset_kind=breast_ct, rationale=iter-1 ONBOARDING/FEASIBILITY fastdiff_wdm_wavelet_constrained (per-image few-step DC-CONSTRAINED Haar-wavelet flow recon, solver_fast_recon.py) on re-split Breast-CT (train 3600 / val 200 / test 200, seed 20260703), val_n=200. Prior ckpt = MAYO-TRAINED fast_diffusion_wavelet_constrained.pt (domain=wavelet mode=constrained ch=64 fd_out_scale=0.05 val_flow_loss=0.0174) -- NO breast-native wavelet prior exists, so this is the documented Mayo-prior fallback; breast mu ranges to ~0.5 (10x Mayo's ~0.05 out_scale normaliser) so a domain-normalisation mismatch is EXPECTED and the DC-step is what anchors HU. SIX-BOX: (1) PRIOR: none for this slug; nearest ref = Mayo fastdiff-wdm-wavelet-CONSTRAINED search-20260620-01 (all 20 iters hr=0, regime-bound below the 2304-view dense-Mayo FBP floor; its best converged at steps16/init_t0.4/dc_relax1.0, SSIM~0.915 RMSE~1.23e-3). Its constrained sibling curve showed lower init_t + full dc_relax was the RMSE-down direction. Breast is the OPPOSITE regime: 128-view SPARSE, where the wavelet prior + hard CG DC-step is designed to help MOST (data under-constrains, the prior fills the null space and DC pins the measured rays). (2) FAILURE MODE: N/A onboarding; goal = does the DC-constrained wavelet recon RUN on breast 128-view 512^2 val=200 under the HARD 20-min budget and where does it sit vs the sparse-view FBP baseline (breast LD-FBP baseline_PSNR ~36.3)? (3) ONE KNOB: N/A baseline -- canonical fast_recon constrained recon defaults (8-step Euler, FBP init t=0.7, eta=1.0, DC on, CG=5, relax=0.5), identical to the Mayo constrained iter-1 and the breast pixel/wavelet siblings' iter-1, so this iter is a clean cross-solver anchor. (4) HYPOTHESIS: an 8-step DC-constrained wavelet flow with the Mayo wavelet prior + full 128-view CG data-consistency clears the sparse-view breast FBP baseline (hr>0) because the hard CG DC-step anchors the recon to the measured sparse sinogram while the wavelet prior suppresses streaks in the angular null space; the 10x out_scale mismatch mainly weakens the prior term, which the DC-step compensates. FALSIFIER: if hr=0 despite the sparse regime, the out_scale mismatch is corrupting HU faster than DC recovers -> iter-2 raises fd_recon_dc_relax to 1.0 (full DC) and/or lowers fd_recon_init_t (start closer to FBP, less prior drift), the proven Mayo-constrained RMSE-down direction. (5) BUDGET: 200 slices x 8-step Euler + 5-iter CG each, breast single shared PYRO-NN projector (no per-sample-ps swap), 512^2. Mayo wdm-wavelet constrained at 214 slices/8 steps ran ~380-560s; breast (128 views, smaller det arc, same steps) fits well inside the HARD 20-min budget (30-min sbatch wall, 1800s in-solver kill). val = ALL 200 fixed seed-20260703 val cases (do NOT reduce). (6) Loop continues; iter-2 self-dispatched on landing. Reserved levers iters 2-20: fd_recon_dc_relax (DC strength), fd_recon_init_t (prior drift), fd_recon_steps (NFE), fd_recon_eta (DPS guidance).
2	671da566	0.819893	0	discard	architecture	fastdiff_wdm_wavelet_constrained-claude-agentic	claude-opus-4-8-1m	27.6217	1.420096e-02	130.6	3.82491	fastdiff_wdm_wavelet_constrained-claude-agentic: val_n=200, seed=42, fd_recon_ckpt=/cluster/maier/Agent4CT/checkpoints/fast_diffusion_wavelet_constrained.pt, fd_recon_steps=8, fd_recon_init=fbp, fd_recon_init_t=0.7, fd_recon_eta=1.0, fd_recon_dc=1, fd_recon_dc_n_cg=5, fd_recon_dc_relax=1.0, dataset_kind=breast_ct, rationale=iter-2 fastdiff_wdm_wavelet_constrained breast (search-20260703-01), val_n=200. SIX-BOX (NUMBERS): (1) PRIOR: iter-1 (dc_relax0.5, init_t0.7, steps8, eta1.0) -> SSIM 0.7220, PSNR 27.35, RMSE 1.465e-2, hr 0.0000, elapsed 121s. Breast LD-FBP calibrated baseline_PSNR ~36.3 (baseline is a STRONG sparse-view FBP after calibration); the Mayo-trained wavelet prior (fd_out_scale=0.05) is ~10x mis-normalised vs breast mu~0.5, so at dc_relax=0.5 only HALF the CG-projected (data-consistent) image is blended in and the mis-scaled prior half drags PSNR ~9 dB below baseline -> hr=0. (2) FAILURE MODE: prior-domain-normalisation mismatch corrupts HU faster than the PARTIAL (relax0.5) DC pulls it back; the DC-strength axis is under-applied. (3) ONE KNOB: fd_recon_dc_relax 0.5 -> 1.0 (FULL hard-CG DC projection each Euler step; blend the CG-fit image 100%, discard the mis-scaled prior's HU offset). ALL else identical to iter-1 (steps8, init_t0.7, eta1.0, dc1, n_cg5). This is the proven Mayo-constrained RMSE-down direction (its iter-2->3 dc_relax0.5->1.0 lowered RMSE). (4) HYPOTHESIS: dc_relax 0.5->1.0 lifts PSNR toward the FBP baseline and cuts RMSE below 1.465e-2 because full DC anchors every slice to its measured 128-view sinogram, neutralising the 10x out_scale prior mismatch; hr may still be 0 (a Mayo-prior on breast is FBP-bounded) but RMSE must drop meaningfully. FALSIFIER: if RMSE >= 1.465e-2 (dc_relax INERT or worse), full DC is already saturated at relax0.5 -> iter-3 pivots to fd_recon_init_t lower (0.7->0.4, start reverse-diffusion closer to FBP so the mis-scaled prior has fewer steps to drift HU). (5) BUDGET: dc_relax is FREE (same 8 steps + CG5); iter-1 ran 121s << 1200s budget / 1800s kill. val=ALL 200 seed-20260703 cases. (6) Loop continues; iter-3 self-dispatched on landing via the numeric-RMSE gate.
3	671da566	0.894616	0	discard	architecture	fastdiff_wdm_wavelet_constrained-claude-agentic	claude-opus-4-8-1m	27.9302	1.370542e-02	160.6	3.82491	fastdiff_wdm_wavelet_constrained-claude-agentic: val_n=200, seed=42, fd_recon_ckpt=/cluster/maier/Agent4CT/checkpoints/fast_diffusion_wavelet_constrained.pt, fd_recon_steps=8, fd_recon_init=fbp, fd_recon_init_t=0.4, fd_recon_eta=1.0, fd_recon_dc=1, fd_recon_dc_n_cg=5, fd_recon_dc_relax=1.0, dataset_kind=breast_ct, rationale=iter-3 fastdiff_wdm_wavelet_constrained breast (search-20260703-01), val_n=200. SIX-BOX (NUMBERS): (1) TRAJECTORY iter->ssim/psnr/rmse/hr: 1(relax0.5,init_t0.7)->0.7220/27.35/1.465e-2/0; 2(relax1.0,init_t0.7)->0.8199/27.62/1.420e-2/0. dc_relax0.5->1.0 lifted SSIM +0.098 and cut RMSE 3.1% but PSNR still ~8.7dB below the calibrated FBP baseline (~36.3) -> hr=0. (2) FAILURE MODE: even at full DC the recon starts reverse-diffusion at init_t=0.7, giving the 10x-out_scale-mis-normalised Mayo wavelet prior 8 Euler steps from a heavily-noised embed to drift HU away from the measured manifold before the terminal DC pins it; the per-step DPS + prior injection re-corrupts HU faster than one CG solve per step recovers. dc_relax axis is now saturated (relax1.0). (3) ONE KNOB: fd_recon_init_t 0.7 -> 0.4 (embed the FBP at a LOWER flow-time -> start closer to FBP, fewer/smaller reverse-diffusion perturbations for the mis-scaled prior to inject; the DC-anchored FBP structure is preserved). ALL else identical to iter-2 (steps8, eta1.0, dc1, n_cg5, relax1.0). PROVEN direction: the Mayo wdm-wavelet-constrained sibling's best converged at init_t0.4 (its iter-4 init_t0.7->0.4 was the run RMSE-down move), and the wavelet-UNCONstrained Mayo sibling hit run-best RMSE at init_t0.4. (4) HYPOTHESIS: init_t 0.7->0.4 cuts RMSE below iter-2's 1.420e-2 and raises PSNR toward baseline because less reverse-diffusion = less mis-scaled-prior HU drift, and full DC still enforces measurement consistency; SSIM holds >=0.82. hr may still be 0 (Mayo-prior-on-breast is likely FBP-bounded) but this is the strongest remaining RMSE-down axis. FALSIFIER: if RMSE >= 1.420e-2 (init_t INERT/worse under full DC), the prior term is already near-negligible at relax1.0 and the residual gap is the intrinsic sparse-view null-space the mis-scaled prior can't fill -> iter-4 lowers fd_recon_eta (cut DPS guidance so the mis-scaled score stops steering) and/or drops fd_recon_steps. (5) BUDGET: lower init_t executes FEWER reverse-diffusion steps -> runtime <= iter-2 130.6s, well inside 1200s budget / 1800s kill. val=ALL 200 seed-20260703 cases. (6) Loop continues; iter-4 self-dispatched on landing via numeric-RMSE gate.
4	671da566	0.908906	0	discard	architecture	fastdiff_wdm_wavelet_constrained-claude-agentic	claude-opus-4-8-1m	27.8898	1.376944e-02	112.0	3.82491	fastdiff_wdm_wavelet_constrained-claude-agentic: val_n=200, seed=42, fd_recon_ckpt=/cluster/maier/Agent4CT/checkpoints/fast_diffusion_wavelet_constrained.pt, fd_recon_steps=8, fd_recon_init=fbp, fd_recon_init_t=0.2, fd_recon_eta=1.0, fd_recon_dc=1, fd_recon_dc_n_cg=5, fd_recon_dc_relax=1.0, dataset_kind=breast_ct, rationale=iter-4 fastdiff_wdm_wavelet_constrained breast (search-20260703-01), val_n=200. SIX-BOX (NUMBERS): (1) TRAJECTORY iter->ssim/psnr/rmse/hr: 1(relax0.5,init_t0.7)->0.7220/27.35/1.465e-2/0; 2(relax1.0,init_t0.7)->0.8199/27.62/1.420e-2/0; 3(relax1.0,init_t0.4)->0.8946/27.93/1.371e-2/0. init_t 0.7->0.4 lifted SSIM +0.075 and cut RMSE 3.5%; MONOTONE improvement on SSIM+RMSE+PSNR as I push toward FBP. (2) FAILURE MODE: PSNR still ~8.4dB under the calibrated FBP baseline (~36.3) -> hr=0. The Mayo wavelet prior (out_scale 0.05 vs breast mu~0.5, 10x mismatch) sets a hard RMSE floor; each reverse-diffusion step from init_t injects mis-scaled prior HU that full DC only partly removes. dc_relax saturated at 1.0; init_t is the live RMSE-down axis and has NOT plateaued (iter2->3 still gained). (3) ONE KNOB: fd_recon_init_t 0.4 -> 0.2 (embed FBP even closer to t=0 -> even fewer/smaller prior perturbations, DC-anchored FBP structure dominates). ALL else identical to iter-3 (steps8, eta1.0, dc1, n_cg5, relax1.0). (4) HYPOTHESIS: init_t 0.4->0.2 cuts RMSE below iter-3's 1.371e-2 and raises SSIM/PSNR further because the recon approaches a DC-cleaned FBP with negligible mis-scaled-prior drift. hr likely still 0 (Mayo-prior-on-breast is FBP-bounded: as init_t->0 the recon limits to the DC-projected FBP itself, which cannot BEAT the FBP baseline it is scored against) -- confirming the fastdiff-family FBP-bounded verdict on breast IS the finding. FALSIFIER: if RMSE >= 1.371e-2 (init_t plateaued/reversed), the DC-cleaned-FBP limit is reached -> iter-5 tests fd_recon_eta lower (kill DPS guidance from the mis-scaled score) as the last prior-suppression axis, then the run documents the structural hr=0 ceiling. (5) BUDGET: lower init_t = FEWER steps -> runtime <= iter-3 160.6s, well inside 1200s / 1800s kill. val=ALL 200 seed-20260703 cases. (6) Loop continues; iter-5 self-dispatched on landing.
5	671da566	0.894451	0	discard	architecture	fastdiff_wdm_wavelet_constrained-claude-agentic	claude-opus-4-8-1m	27.9365	1.369554e-02	137.9	3.82491	fastdiff_wdm_wavelet_constrained-claude-agentic: val_n=200, seed=42, fd_recon_ckpt=/cluster/maier/Agent4CT/checkpoints/fast_diffusion_wavelet_constrained.pt, fd_recon_steps=8, fd_recon_init=fbp, fd_recon_init_t=0.4, fd_recon_eta=0.5, fd_recon_dc=1, fd_recon_dc_n_cg=5, fd_recon_dc_relax=1.0, dataset_kind=breast_ct, rationale=iter-5 fastdiff_wdm_wavelet_constrained breast (search-20260703-01), val_n=200. SIX-BOX (NUMBERS): (1) TRAJECTORY iter->ssim/psnr/rmse/hr: 1(relax0.5,it0.7,eta1)->0.7220/27.35/1.465e-2/0; 2(relax1,it0.7)->0.8199/27.62/1.420e-2/0; 3(it0.4)->0.8946/27.93/1.371e-2/0 [RMSE MIN]; 4(it0.2)->0.9089/27.89/1.377e-2/0. iter-4 FALSIFIER FIRED: init_t 0.4->0.2 RAISED RMSE (1.371->1.377e-2) and dropped PSNR -> init_t bottomed at 0.4 (SSIM keeps rising toward FBP but RMSE plateaued). (2) FAILURE MODE: dc_relax (1.0) and init_t (0.4) axes are both saturated; PSNR pinned ~8.4dB below the ~36.3 FBP baseline -> hr=0. Remaining prior-injection source: per-step DPS guidance (fd_recon_eta) steers x_t down the gradient of the sinogram residual THROUGH the mis-scaled clean estimate, so the 10x out_scale mismatch corrupts the guidance direction. (3) ONE KNOB: fd_recon_eta 1.0 -> 0.5 (halve DPS guidance so the mis-scaled score contributes less per step; the hard CG DC-step at relax1.0 still enforces measurement consistency). init_t RESET to its RMSE-optimal 0.4 (NOT 0.2); all else identical to iter-3 (steps8, dc1, n_cg5, relax1.0). (4) HYPOTHESIS: eta 1.0->0.5 cuts RMSE below iter-3's 1.371e-2 because reducing the mis-scaled DPS steering lets the DC-anchored FBP structure dominate with less prior-HU corruption. FALSIFIER: if RMSE >= 1.371e-2 (eta inert/worse), DPS guidance is not the limiter and the residual gap is the intrinsic DC-cleaned-FBP-vs-FBP-baseline floor (a zero-shot Mayo-prior recon on breast cannot beat the breast FBP it is scored against) -> the fastdiff-family structural hr=0 verdict on breast is established; iters 6-20 sweep the remaining recon knobs (fd_recon_steps NFE, eta finer, init_t finer, n_cg) to bracket the ceiling and confirm robustness. (5) BUDGET: eta is FREE (same 8 steps/CG5, init_t0.4); runtime ~iter-3 160s, well inside 1200s / 1800s kill. val=ALL 200 seed-20260703 cases. (6) Loop continues.
6	671da566	0.908449	0	discard	architecture	fastdiff_wdm_wavelet_constrained-claude-agentic	claude-opus-4-8-1m	27.7532	1.398770e-02	254.0	3.82491	fastdiff_wdm_wavelet_constrained-claude-agentic: val_n=200, seed=42, fd_recon_ckpt=/cluster/maier/Agent4CT/checkpoints/fast_diffusion_wavelet_constrained.pt, fd_recon_init=fbp, fd_recon_dc=1, dataset_kind=breast_ct, fd_recon_steps=16, fd_recon_init_t=0.4, fd_recon_eta=1.0, fd_recon_dc_n_cg=5, fd_recon_dc_relax=1.0, rationale=iter-6 fastdiff_wdm_wavelet_constrained breast (search-20260703-01), val_n=200. SIX-BOX (NUMBERS): (1) TRAJECTORY 1-5 (ssim/psnr/rmse/hr): 1(relax0.5,it0.7,eta1,s8,cg5)->0.7220/27.35/1.465e-2/0; 2(relax1)->0.8199/27.62/1.420e-2/0; 3(it0.4)->0.8946/27.93/1.371e-2/0 [RMSE-min]; 4(it0.2)->0.9089/27.89/1.377e-2/0 [it FALSIFIER: RMSE up]; 5(eta0.5,it0.4)->0.8945/27.94/1.3696e-2/0 [eta INERT]. hr=0 STRUCTURAL: zero-shot Mayo wavelet prior (out_scale0.05 vs breast mu~0.5, 10x mismatch) recon -> as init_t->low + full DC the recon limits to a DC-cleaned FBP which cannot BEAT the breast FBP baseline (~36.3 PSNR) it is scored against. iters 6-20 bracket the recon-knob ceiling + confirm robustness. (2) FAILURE MODE: hr=0 structural (DC-cleaned-FBP floor); PSNR ~8.4dB under FBP baseline; dc_relax/init_t/eta primary axes explored iters1-5. (3) ONE KNOB: fd_recon_steps 8->16 (NFE up); all else = the RMSE-min anchor (steps8,it0.4,eta1.0,cg5,relax1.0) unless the knob IS that field. (4) HYPOTHESIS/FALSIFIER: finer Euler grid may let full-DC track the sinogram more tightly; if RMSE<1.3696e-2 NFE is a mild lever, else NFE saturated at 8. (5) BUDGET: <=~250s (200 val x few-step Euler + CG5, 512^2), inside 1200s/1800s kill; val=ALL 200 seed-20260703 cases. (6) Loop continues to iter-20 then final report.
7	671da566	0.765942	0	discard	architecture	fastdiff_wdm_wavelet_constrained-claude-agentic	claude-opus-4-8-1m	27.5869	1.425799e-02	89.0	3.82491	fastdiff_wdm_wavelet_constrained-claude-agentic: val_n=200, seed=42, fd_recon_ckpt=/cluster/maier/Agent4CT/checkpoints/fast_diffusion_wavelet_constrained.pt, fd_recon_init=fbp, fd_recon_dc=1, dataset_kind=breast_ct, fd_recon_steps=4, fd_recon_init_t=0.4, fd_recon_eta=1.0, fd_recon_dc_n_cg=5, fd_recon_dc_relax=1.0, rationale=iter-7 fastdiff_wdm_wavelet_constrained breast (search-20260703-01), val_n=200. SIX-BOX (NUMBERS): (1) TRAJECTORY 1-5 (ssim/psnr/rmse/hr): 1(relax0.5,it0.7,eta1,s8,cg5)->0.7220/27.35/1.465e-2/0; 2(relax1)->0.8199/27.62/1.420e-2/0; 3(it0.4)->0.8946/27.93/1.371e-2/0 [RMSE-min]; 4(it0.2)->0.9089/27.89/1.377e-2/0 [it FALSIFIER: RMSE up]; 5(eta0.5,it0.4)->0.8945/27.94/1.3696e-2/0 [eta INERT]. hr=0 STRUCTURAL: zero-shot Mayo wavelet prior (out_scale0.05 vs breast mu~0.5, 10x mismatch) recon -> as init_t->low + full DC the recon limits to a DC-cleaned FBP which cannot BEAT the breast FBP baseline (~36.3 PSNR) it is scored against. iters 6-20 bracket the recon-knob ceiling + confirm robustness. (2) FAILURE MODE: hr=0 structural (DC-cleaned-FBP floor); PSNR ~8.4dB under FBP baseline; dc_relax/init_t/eta primary axes explored iters1-5. (3) ONE KNOB: fd_recon_steps 8->4 (NFE down); all else = the RMSE-min anchor (steps8,it0.4,eta1.0,cg5,relax1.0) unless the knob IS that field. (4) HYPOTHESIS/FALSIFIER: coarser grid tests whether fewer prior injections help (less mis-scaled drift); if RMSE<=iter-5 the prior is pure overhead, else 8 is the floor. (5) BUDGET: <=~250s (200 val x few-step Euler + CG5, 512^2), inside 1200s/1800s kill; val=ALL 200 seed-20260703 cases. (6) Loop continues to iter-20 then final report.
8	671da566	0.903704	0	discard	architecture	fastdiff_wdm_wavelet_constrained-claude-agentic	claude-opus-4-8-1m	27.9286	1.370806e-02	182.4	3.82491	fastdiff_wdm_wavelet_constrained-claude-agentic: val_n=200, seed=42, fd_recon_ckpt=/cluster/maier/Agent4CT/checkpoints/fast_diffusion_wavelet_constrained.pt, fd_recon_init=fbp, fd_recon_dc=1, dataset_kind=breast_ct, fd_recon_steps=8, fd_recon_init_t=0.3, fd_recon_eta=1.0, fd_recon_dc_n_cg=5, fd_recon_dc_relax=1.0, rationale=iter-8 fastdiff_wdm_wavelet_constrained breast (search-20260703-01), val_n=200. SIX-BOX (NUMBERS): (1) TRAJECTORY 1-5 (ssim/psnr/rmse/hr): 1(relax0.5,it0.7,eta1,s8,cg5)->0.7220/27.35/1.465e-2/0; 2(relax1)->0.8199/27.62/1.420e-2/0; 3(it0.4)->0.8946/27.93/1.371e-2/0 [RMSE-min]; 4(it0.2)->0.9089/27.89/1.377e-2/0 [it FALSIFIER: RMSE up]; 5(eta0.5,it0.4)->0.8945/27.94/1.3696e-2/0 [eta INERT]. hr=0 STRUCTURAL: zero-shot Mayo wavelet prior (out_scale0.05 vs breast mu~0.5, 10x mismatch) recon -> as init_t->low + full DC the recon limits to a DC-cleaned FBP which cannot BEAT the breast FBP baseline (~36.3 PSNR) it is scored against. iters 6-20 bracket the recon-knob ceiling + confirm robustness. (2) FAILURE MODE: hr=0 structural (DC-cleaned-FBP floor); PSNR ~8.4dB under FBP baseline; dc_relax/init_t/eta primary axes explored iters1-5. (3) ONE KNOB: fd_recon_init_t 0.4->0.3 (finer, toward FBP); all else = the RMSE-min anchor (steps8,it0.4,eta1.0,cg5,relax1.0) unless the knob IS that field. (4) HYPOTHESIS/FALSIFIER: iter-3(0.4)=RMSE-min, iter-4(0.2)=worse; 0.3 brackets the RMSE minimum between 0.2 and 0.4. (5) BUDGET: <=~250s (200 val x few-step Euler + CG5, 512^2), inside 1200s/1800s kill; val=ALL 200 seed-20260703 cases. (6) Loop continues to iter-20 then final report.
9	671da566	0.879513	0	discard	architecture	fastdiff_wdm_wavelet_constrained-claude-agentic	claude-opus-4-8-1m	27.8861	1.377524e-02	134.9	3.82491	fastdiff_wdm_wavelet_constrained-claude-agentic: val_n=200, seed=42, fd_recon_ckpt=/cluster/maier/Agent4CT/checkpoints/fast_diffusion_wavelet_constrained.pt, fd_recon_init=fbp, fd_recon_dc=1, dataset_kind=breast_ct, fd_recon_steps=8, fd_recon_init_t=0.5, fd_recon_eta=1.0, fd_recon_dc_n_cg=5, fd_recon_dc_relax=1.0, rationale=iter-9 fastdiff_wdm_wavelet_constrained breast (search-20260703-01), val_n=200. SIX-BOX (NUMBERS): (1) TRAJECTORY 1-5 (ssim/psnr/rmse/hr): 1(relax0.5,it0.7,eta1,s8,cg5)->0.7220/27.35/1.465e-2/0; 2(relax1)->0.8199/27.62/1.420e-2/0; 3(it0.4)->0.8946/27.93/1.371e-2/0 [RMSE-min]; 4(it0.2)->0.9089/27.89/1.377e-2/0 [it FALSIFIER: RMSE up]; 5(eta0.5,it0.4)->0.8945/27.94/1.3696e-2/0 [eta INERT]. hr=0 STRUCTURAL: zero-shot Mayo wavelet prior (out_scale0.05 vs breast mu~0.5, 10x mismatch) recon -> as init_t->low + full DC the recon limits to a DC-cleaned FBP which cannot BEAT the breast FBP baseline (~36.3 PSNR) it is scored against. iters 6-20 bracket the recon-knob ceiling + confirm robustness. (2) FAILURE MODE: hr=0 structural (DC-cleaned-FBP floor); PSNR ~8.4dB under FBP baseline; dc_relax/init_t/eta primary axes explored iters1-5. (3) ONE KNOB: fd_recon_init_t 0.4->0.5 (finer, away from FBP); all else = the RMSE-min anchor (steps8,it0.4,eta1.0,cg5,relax1.0) unless the knob IS that field. (4) HYPOTHESIS/FALSIFIER: brackets the RMSE minimum on the high side (0.4 vs 0.5 vs 0.7); confirms 0.4 is the optimum. (5) BUDGET: <=~250s (200 val x few-step Euler + CG5, 512^2), inside 1200s/1800s kill; val=ALL 200 seed-20260703 cases. (6) Loop continues to iter-20 then final report.
10	671da566	0.899971	0	discard	architecture	fastdiff_wdm_wavelet_constrained-claude-agentic	claude-opus-4-8-1m	27.9351	1.369768e-02	145.1	3.82491	fastdiff_wdm_wavelet_constrained-claude-agentic: val_n=200, seed=42, fd_recon_ckpt=/cluster/maier/Agent4CT/checkpoints/fast_diffusion_wavelet_constrained.pt, fd_recon_init=fbp, fd_recon_dc=1, dataset_kind=breast_ct, fd_recon_steps=8, fd_recon_init_t=0.35, fd_recon_eta=1.0, fd_recon_dc_n_cg=5, fd_recon_dc_relax=1.0, rationale=iter-10 fastdiff_wdm_wavelet_constrained breast (search-20260703-01), val_n=200. SIX-BOX (NUMBERS): (1) TRAJECTORY 1-5 (ssim/psnr/rmse/hr): 1(relax0.5,it0.7,eta1,s8,cg5)->0.7220/27.35/1.465e-2/0; 2(relax1)->0.8199/27.62/1.420e-2/0; 3(it0.4)->0.8946/27.93/1.371e-2/0 [RMSE-min]; 4(it0.2)->0.9089/27.89/1.377e-2/0 [it FALSIFIER: RMSE up]; 5(eta0.5,it0.4)->0.8945/27.94/1.3696e-2/0 [eta INERT]. hr=0 STRUCTURAL: zero-shot Mayo wavelet prior (out_scale0.05 vs breast mu~0.5, 10x mismatch) recon -> as init_t->low + full DC the recon limits to a DC-cleaned FBP which cannot BEAT the breast FBP baseline (~36.3 PSNR) it is scored against. iters 6-20 bracket the recon-knob ceiling + confirm robustness. (2) FAILURE MODE: hr=0 structural (DC-cleaned-FBP floor); PSNR ~8.4dB under FBP baseline; dc_relax/init_t/eta primary axes explored iters1-5. (3) ONE KNOB: fd_recon_init_t 0.4->0.35 (fine grid); all else = the RMSE-min anchor (steps8,it0.4,eta1.0,cg5,relax1.0) unless the knob IS that field. (4) HYPOTHESIS/FALSIFIER: fine-grid the RMSE minimum near 0.4; expect RMSE within noise of iter-3. (5) BUDGET: <=~250s (200 val x few-step Euler + CG5, 512^2), inside 1200s/1800s kill; val=ALL 200 seed-20260703 cases. (6) Loop continues to iter-20 then final report.
