iter	commit	val_score	headroom	status	change_class	agent	model	val_psnr	val_rmse	elapsed_s	params_M	rationale
1		0.979552	0.508337	keep	architecture	hammernik_vn-claude-agentic	claude-opus-4-8-1m	42.4908	2.563669e-03	1170.2	0.007683	hammernik_vn-claude-agentic: train_n=200, val_n=200, epochs=15, batch_size=2, lr=0.0003, vn_T=3, vn_n_filters=32, vn_kernel=7, vn_n_bumps=31, vn_lambda_init=0.000327, vn_init=fbp, vn_dc_norm=True, vn_checkpoint=True, max_train_s=1080, rationale=iter-1 feasibility: seed from historical breast-CT VN TPE best (T=3, filters=32, kernel=7, lr=3e-4) but on the NEW val-200 held-out split. Expect hr near the old 0.488 if the new val split behaves like the old single-patient val. max_train_s=1080 (18min) hard cap to fit 20-min budget.
2		0.979199	0.48613	keep	architecture	hammernik_vn-claude-agentic	claude-opus-4-8-1m	42.1071	2.679462e-03	969.8	0.010244	hammernik_vn-claude-agentic: train_n=200, val_n=200, epochs=11, batch_size=2, lr=0.0003, vn_T=4, vn_n_filters=32, vn_kernel=7, vn_n_bumps=31, vn_lambda_init=0.000327, vn_init=fbp, vn_dc_norm=True, vn_checkpoint=True, max_train_s=1080, rationale=iter-2 (one knob: vn_T 3->4). Hypothesis: deeper unroll is the VNs native capacity axis on CT (adds one DC+learned-regulariser step), so hr should rise above iter-1 0.5083. Epochs cut 15->11 to offset the +33% per-step cost and stay under the 20-min wall (iter-1 was 1170s at T=3/ep=15).
3		0.979552	0.508337	keep	architecture	hammernik_vn-claude-agentic	claude-opus-4-8-1m	42.4908	2.563669e-03	1213.9	0.007683	hammernik_vn-claude-agentic: train_n=200, val_n=200, epochs=20, batch_size=2, lr=0.0003, vn_T=3, vn_n_filters=32, vn_kernel=7, vn_n_bumps=31, vn_lambda_init=0.000327, vn_init=fbp, vn_dc_norm=True, vn_checkpoint=True, max_train_s=1080, rationale=iter-3 (one knob: epochs 15->20, back to iter-1 winner T=3). iter-2 (T=4,ep=11) fell to 0.486 vs iter-1 (T=3,ep=15) 0.508 -> the drop tracks TRAINING TIME not unroll depth. Hypothesis: iter-1 was undertrained at ep=15; more epochs on T=3 should exceed 0.508. max_train_s=1080 caps the wall (may early-stop before ep20).
4	1176d9f5	0.979433	0.507379	keep	architecture	hammernik_vn-claude-agentic	claude-opus-4-8-1m	42.4739	2.568663e-03	1156.4	0.007683	hammernik_vn-claude-agentic: train_n=120, val_n=200, epochs=24, batch_size=2, lr=0.0003, vn_T=3, vn_n_filters=32, vn_kernel=7, vn_n_bumps=31, vn_lambda_init=0.000327, vn_init=fbp, vn_dc_norm=True, vn_checkpoint=True, max_train_s=1080, rationale=iter-4 (one knob: train_n 200->120). iter-1/3 both wall-capped at ep12 (train_n=200) -> identical hr 0.5083; learned lambda stayed pinned at init = regulariser underused. Hypothesis: cheaper epochs let the run finish ~20-24 real epochs under the 1080s wall, giving the filter bank + lambda more steps -> hr>0.5083. If it drops, breast VN is data-size-bound not epoch-bound.
5	671da566	0.980758	0.522985	keep	architecture	hammernik_vn-claude-agentic	claude-opus-4-8-1m	42.7535	2.487293e-03	978.0	0.007683	hammernik_vn-claude-agentic: train_n=200, val_n=200, epochs=15, batch_size=2, lr=0.0003, vn_T=3, vn_n_filters=32, vn_kernel=7, vn_n_bumps=31, vn_lambda_init=0.01, vn_init=fbp, vn_dc_norm=True, vn_checkpoint=True, max_train_s=1080, rationale=iter-5 (one knob: vn_lambda_init 3.27e-4 -> 1.0e-2, ~30x). Across iters 1/3/4 the learned lambda_t stayed frozen at its ~3.25e-4 init -> regulariser dormant, result is data-consistency-dominated, hr pinned at 0.508. Hypothesis: a larger lambda_init activates the regulariser gradient so the learned filter bank engages -> hr>0.508; if it over-smooths and drops, DC-dominance is confirmed optimal.
6	671da566	0.980088	0.506062	keep	architecture	hammernik_vn-claude-agentic	claude-opus-4-8-1m	42.4507	2.575534e-03	1122.1	0.007683	hammernik_vn-claude-agentic: train_n=200, val_n=200, epochs=15, batch_size=2, lr=0.0003, vn_T=3, vn_n_filters=32, vn_kernel=7, vn_n_bumps=31, vn_lambda_init=0.03, vn_init=fbp, vn_dc_norm=True, vn_checkpoint=True, max_train_s=1080, rationale=iter-6 (one knob: vn_lambda_init 1e-2 -> 3e-2). iter-5 lifted hr 0.508->0.523 by activating the regulariser (lambda stayed ~0.0099). Hypothesis: push lambda_init further up the productive axis for more structure -> hr>0.523; if it over-smooths and drops, 1e-2 brackets the peak.
7	671da566	0.980119	0.514027	keep	architecture	hammernik_vn-claude-agentic	claude-opus-4-8-1m	42.592	2.534000e-03	1225.7	0.007683	hammernik_vn-claude-agentic: train_n=200, val_n=200, epochs=15, batch_size=2, lr=0.0003, vn_T=3, vn_n_filters=32, vn_kernel=7, vn_n_bumps=31, vn_lambda_init=0.004, vn_init=fbp, vn_dc_norm=True, vn_checkpoint=True, max_train_s=1080, rationale=iter-7 (one knob: vn_lambda_init 1e-2 -> 4e-3). lambda_init peak is bracketed: 3.25e-4 dormant (0.508), 1e-2 peak (0.523), 3e-2 over-smooth (0.506). Probe the rising flank at 4e-3 to refine the optimum. Hypothesis: hr lands 0.508-0.523; if >0.523 peak is <1e-2, else 1e-2 stays best.
8	671da566	0.977106	0.481977	keep	architecture	hammernik_vn-claude-agentic	claude-opus-4-8-1m	42.0372	2.701118e-03	1224.4	0.010755	hammernik_vn-claude-agentic: train_n=200, val_n=200, epochs=15, batch_size=2, lr=0.0003, vn_T=3, vn_n_filters=32, vn_kernel=9, vn_n_bumps=31, vn_lambda_init=0.01, vn_init=fbp, vn_dc_norm=True, vn_checkpoint=True, max_train_s=1080, rationale=iter-8 (one knob: vn_kernel 7 -> 9, hold lambda_init=1e-2 peak). lambda_init axis exhausted: concave peak at 1e-2 (hr 0.523). Now the regulariser is active, give it wider spatial support. Hypothesis: 9x9 filters model breast texture better -> hr>0.523; if flat/down, k7 stays optimal.
9	671da566	0.977895	0.474361	keep	architecture	hammernik_vn-claude-agentic	claude-opus-4-8-1m	41.9104	2.740830e-03	1241.9	0.011523	hammernik_vn-claude-agentic: train_n=200, val_n=200, epochs=15, batch_size=2, lr=0.0003, vn_T=3, vn_n_filters=48, vn_kernel=7, vn_n_bumps=31, vn_lambda_init=0.01, vn_init=fbp, vn_dc_norm=True, vn_checkpoint=True, max_train_s=1080, rationale=iter-9 (one knob: vn_n_filters 32 -> 48, revert kernel to 7). k9 (iter-8) dropped to 0.482 -> larger kernel over-parameterizes at 200 samples; k7 optimal. Try capacity via a WIDER filter bank instead (historical breast note favors this). Hypothesis: 48 filters give the active regulariser more feature diversity -> hr>0.523; if underfits like k9, 32 stays.
10	671da566	0.981671	0.544386	keep	architecture	hammernik_vn-claude-agentic	claude-opus-4-8-1m	43.1523	2.375702e-03	957.4	0.007683	hammernik_vn-claude-agentic: train_n=200, val_n=200, epochs=15, batch_size=2, lr=0.0006, vn_T=3, vn_n_filters=32, vn_kernel=7, vn_n_bumps=31, vn_lambda_init=0.01, vn_init=fbp, vn_dc_norm=True, vn_checkpoint=True, max_train_s=1080, rationale=iter-10 (one knob: lr 3e-4 -> 6e-4, best arch T3/f32/k7/lambda1e-2). All capacity bumps (T4, k9, f48) hurt; f32/k7 optimal. Training is wall-capped ~12 epochs, so faster convergence could help. Hypothesis: 2x lr converges the active filter bank+lambda better within the wall -> hr>0.523; if it destabilizes, 3e-4 stays.
