iter	commit	val_score	headroom	status	change_class	agent	model	val_psnr	val_rmse	elapsed_s	params_M	rationale
1		0.823722	0	discard	architecture	itnet-claude-agentic	claude-opus-4-8-1m	25.6308	1.785927e-02	211.9	0.232881	itnet-claude-agentic: pretrain_epochs=20, pretrain_lr=0.001, itnet_k=5, itnet_alpha=0.1, unet_c=16, finetune_epochs=0, finetune_lr=0.0001, train_n=400, val_n=200, grad_clip=1.0, seed=42, rationale=iter-1 ONBOARDING of ItNet v1 (solver_itnet.py: pretrain SmallUNet FBP->truth denoiser, then FIXED analytic k-iter DC unroll at eval; only trainable component is the UNet) on the re-split Breast-CT (train 3600 / val 200 / test 200, seed 20260703). SIX-BOX: (1) PRIOR: none (first iter). (2) Failure mode: N/A onboarding; goal = does v1 run on breast 128-view 512^2 and clear the sparse-view FBP baseline (hr>0). ItNet v1 is the Mayo test champion (hr 0.3756), so breast (synthetic, cleaner) should clear easily. (3) ONE KNOB: N/A baseline. (4) HYPOTHESIS: a conservative UNet(c=16, 20 pretrain epochs, lr 1e-3) on 400 train scenes will clear breast FBP (hr>0) and land ssim ~0.9+, because v1 cleared demo_dl/breast trivially before and the sparse-view FBP baseline leaves large headroom. (5) BUDGET: train_n=400 x 20 epochs SmallUNet(c=16) at 512^2 + 200-slice k=5 DC val pass; breast uses a single shared PYRO-NN projector (no per-sample-ps swap unlike Mayo), FBP batched -> well inside 20 min. val_n=200 = the FULL new breast val split (was 400; capped to <=200 per re-split; part of onboarding, not a separate knob). (6) Loop continues; iter-2 dispatched on landing. grad_clip=1.0 retained (DC adjoint safety).
2		0.711438	0	discard	architecture	itnet-claude-agentic	claude-opus-4-8-1m	23.857	2.190546e-02	1183.8	0.232881	itnet-claude-agentic: pretrain_epochs=120, pretrain_lr=0.001, itnet_k=5, itnet_alpha=0.1, unet_c=16, finetune_epochs=0, finetune_lr=0.0001, train_n=400, val_n=200, grad_clip=1.0, seed=42, rationale=iter-2 (breast ItNet v1, search-20260703-01). SIX-BOX: (1) PRIOR NUMBERS: iter-1 (pretrain_epochs=20) -> val_ssim 0.8237, hr 0.0000 (BELOW sparse-view FBP baseline), PSNR 25.63, RMSE 0.01786, elapsed 211.9s. Job clean (only benign CuDNN warn). (2) FAILURE MODE: under-baseline recon (hr=0) AND severe budget under-use (212s of a 1200s budget). The single trainable component is the SmallUNet denoiser (0.2329M), pretrained FBP->truth for only 20 epochs; likely UNDER-TRAINED. (3) ONE KNOB: pretrain_epochs 20 -> 120 (6x). All else identical to iter-1. (4) HYPOTHESIS: if I train the denoiser 6x longer, I expect hr to clear 0 (recon RMSE drops below the FBP baseline) and ssim to rise, because the denoiser was the only trainable lever and 20 epochs on 400 scenes is far from converged; a sibling ITNet v2 reached hr 0.826 and DD-supervised 0.81 on this same val=200, so the substrate clears baseline easily -> iter-1 was under-trained. FALSIFIER: if hr stays 0 at 120 epochs, the denoiser is NOT the bottleneck and the fixed k=5/alpha=0.1 DC unroll is re-injecting sparse-view streaks (raising RMSE) -> iter-3 pivots to the DC knobs (k, alpha). (5) BUDGET: 20ep=212s measured -> per-epoch ~ (212-fixed)/20; fixed cost (load+200-slice k=5 val+fig) dominates. Even at a conservative 6x train cost, 120 epochs predicts ~900s < 1200s budget. (6) Loop continues; iter-3 dispatched on landing via numeric-headroom gate.
3		0.98147	0.819899	keep	architecture	itnet-claude-agentic	claude-opus-4-8-1m	51.2139	9.391003e-04	1190.2	0.232881	itnet-claude-agentic: pretrain_epochs=120, pretrain_lr=0.001, itnet_k=1, itnet_alpha=0.1, unet_c=16, finetune_epochs=0, finetune_lr=0.0001, train_n=400, val_n=200, grad_clip=1.0, seed=42, rationale=iter-3 (breast ItNet v1, search-20260703-01). SIX-BOX: (1) PRIOR NUMBERS: iter-1 (k=5, ep=20) ssim 0.8237 hr 0.0000 elapsed 212s; iter-2 (k=5, ep=120) ssim 0.7114 hr 0.0000 elapsed 1184s. CRITICAL SIGNAL: 6x MORE pretraining made ssim DROP 0.8237->0.7114 -> the denoiser is NOT under-trained; MORE denoising quality gets DESTROYED downstream. (2) FAILURE MODE: the FIXED analytic k=5 DC unroll re-injects sparse-view streaks. Mechanism: x <- x_denoised - alpha*FBP(R*x_denoised - g); on a 128-view sparse system FBP(residual) is itself a streaky sparse-view recon, so each of the 5 fixed (untrained) DC steps drags the clean denoised image back toward the streaky FBP, raising RMSE above baseline. A cleaner x_denoised (iter-2) is corrupted MORE by 5 steps -> ssim fell. On Mayo the v1 CHAMPION used k=1 for exactly this reason. (3) ONE KNOB: itnet_k 5 -> 1 (all else identical to iter-2: ep=120, alpha=0.1, unet_c=16, lr=1e-3, train_n=400, val_n=200). (4) HYPOTHESIS: if I cut the fixed DC unroll to a single step (k=1), I expect hr to clear 0 and ssim to jump back above iter-1, because the dominant damage is the repeated streak re-injection; one mild DC step barely perturbs the clean denoiser output. FALSIFIER: if hr is still 0 at k=1, the DC step itself (any alpha>0) is net-harmful on sparse breast -> iter-4 drops alpha toward 0 (or k stays 1 with alpha lowered). (5) BUDGET: k=1 is CHEAPER than k=5 (1 forward+FBP per val slice instead of 5); iter-2 at k=5/ep=120 was 1184s, so k=1/ep=120 predicts well under 1000s < 1200s budget. (6) Loop continues; iter-4 dispatched on landing via numeric-headroom gate.
4		0.996608	0.866614	keep	architecture	itnet-claude-agentic	claude-opus-4-8-1m	53.822	6.955118e-04	1185.8	0.232881	itnet-claude-agentic: pretrain_epochs=120, pretrain_lr=0.001, itnet_k=1, itnet_alpha=0.05, unet_c=16, finetune_epochs=0, finetune_lr=0.0001, train_n=400, val_n=200, grad_clip=1.0, seed=42, rationale=iter-4 REDO (breast ItNet v1, search-20260703-01). Prior iter-4 (unet_c 16->32, ep120) was CANCELLED DUE TO TIME LIMIT (c16/ep120 was already 1190s ~ the 1200s budget; 4x denoiser conv cost overran the 30-min wall). SIX-BOX: (1) PRIOR NUMBERS: iter-1 (k5,c16,ep20) hr 0.0000; iter-2 (k5,c16,ep120) hr 0.0000 ssim 0.7114; iter-3 (k1,c16,ep120) hr 0.8199 ssim 0.9815 PSNR 51.21 elapsed 1190s KEPT (best). (2) FAILURE MODE: budget overrun on the width lever; also note the DC step at k=1/alpha=0.1 may still slightly over-correct on 128-view sparse breast (each DC step FBPs a sparse-view residual = mild streak). (3) ONE KNOB (COMPUTE-FREE, guaranteed in-budget): itnet_alpha 0.1 -> 0.05. Same k=1, ep=120, c=16, train_n=400, val_n=200 as the KEPT iter-3 -> identical ~1190s train/score cost, no overrun risk. (4) HYPOTHESIS: if I halve the single DC-step strength, I expect hr to edge above 0.8199 because the fixed (untrained) DC step re-injects a mild sparse-view streak that slightly corrupts the clean denoiser output; a gentler step preserves more denoiser quality. FALSIFIER: if hr is flat/lower, the k=1 DC step is already near-optimal or mildly helpful and alpha is not the lever -> the denoiser (width/data) is the true ceiling, to be probed in iter-5 with a BUDGET-SAFE capacity move (c=24 with epochs cut to fit). (5) BUDGET: byte-for-byte the iter-3 cost profile (only a float alpha changed) = ~1190s < 1200s, safely inside the 30-min wall. (6) Loop continues; iter-5 dispatched on landing. Artifacts: AGENT4CT_MODEL_CKPT set -> model_ckpt.pt persists.
5		0.998835	0.874178	keep	architecture	itnet-claude-agentic	claude-opus-4-8-1m	54.3291	6.560700e-04	1189.2	0.232881	itnet-claude-agentic: pretrain_epochs=120, pretrain_lr=0.001, itnet_k=1, itnet_alpha=0.0, unet_c=16, finetune_epochs=0, finetune_lr=0.0001, train_n=400, val_n=200, grad_clip=1.0, seed=42, rationale=iter-5 (breast ItNet v1). SIX-BOX: (1) PRIOR: iter-3 (k1,alpha0.1) hr 0.8199; iter-4 (k1,alpha0.05) hr 0.8666 (+0.047 from HALVING alpha). Clear monotone: LESS DC step = HIGHER hr. (2) FAILURE MODE: the fixed untrained DC step (x <- x_denoised - alpha*FBP(R*x_denoised - g)) re-injects sparse-view streaks; every alpha reduction has helped -> the DC step is NET-HARMFUL on 128-view breast. (3) ONE KNOB: itnet_alpha 0.05 -> 0.0 (all else = iter-4). At alpha=0 the DC step contributes exactly zero, so recon == pure pretrained-denoiser output -> this is the DECISIVE test of the DC step net effect. (4) HYPOTHESIS: if I zero the DC step, hr rises above 0.8666 because the fixed DC step has only hurt so far; the pure denoiser is the ceiling for this pretrain-then-fixed-DC architecture. FALSIFIER: if hr drops vs iter-4, a small DC step IS mildly helpful and the optimum alpha is ~0.05 (interior) -> future iters tune the DENOISER (data/width/epochs), not alpha. (5) BUDGET: compute-free change (float), ~1190s = in budget. (6) Loop continues to iter-20.
6		0.998748	0.869855	keep	architecture	itnet-claude-agentic	claude-opus-4-8-1m	54.0356	6.786139e-04	1191.9	0.232881	itnet-claude-agentic: pretrain_epochs=120, pretrain_lr=0.0003, itnet_k=1, itnet_alpha=0.0, unet_c=16, finetune_epochs=0, finetune_lr=0.0001, train_n=400, val_n=200, grad_clip=1.0, seed=42, rationale=iter-6 (breast ItNet v1). SIX-BOX: (1) PRIOR: iter-3 (a0.1) 0.8199; iter-4 (a0.05) 0.8666; iter-5 (a0.0) 0.8741 BEST. alpha monotone down = hr up -> the fixed DC step is NET-HARMFUL; at alpha=0 recon == pure pretrained SmallUNet denoiser. DC lever EXHAUSTED (last step only +0.0076). (2) FAILURE MODE: none active (above baseline); the remaining ceiling is DENOISER quality (recon is now purely its output). Levers: pretrain_lr, pretrain_epochs, unet_c, train_n. (3) ONE KNOB (compute-free): pretrain_lr 1e-3 -> 3e-4. All else = iter-5 (k1, a0.0, c16, ep120, train_n400, val_n200). (4) HYPOTHESIS: if I lower the denoiser LR ~3x, I expect hr above 0.8741 because at ep120 lr=1e-3 the Adam denoiser likely oscillates near the optimum on 400 scenes; a gentler lr converges to a lower-loss (higher-SSIM/lower-RMSE) denoiser. FALSIFIER: if hr drops, 1e-3 was already well-tuned and lr is not the lever -> iter-7 tries a capacity/data denoiser move (unet_c or train_n with a compensating epoch cut). (5) BUDGET: float change only, ~1189s, in budget (+turbo qos). (6) Loop to iter-20.
7		0.998583	0.858401	keep	architecture	itnet-claude-agentic	claude-opus-4-8-1m	53.303	7.383377e-04	865.7	0.522697	itnet-claude-agentic: pretrain_epochs=80, pretrain_lr=0.001, itnet_k=1, itnet_alpha=0.0, unet_c=24, finetune_epochs=0, finetune_lr=0.0001, train_n=400, val_n=200, grad_clip=1.0, seed=42, rationale=iter-7 (breast ItNet v1). SIX-BOX: (1) PRIOR: iter-5 (c16,ep120,lr1e-3,a0.0) hr 0.8741 BEST; iter-6 (lr 3e-4) hr 0.8698 -> lr LOWER hurt, so lr=1e-3 already near-optimal (lever exhausted). alpha exhausted (a0.0 best). Recon == pure SmallUNet denoiser; only untested denoiser levers are CAPACITY (unet_c) and DATA (train_n). (2) FAILURE MODE: denoiser capacity ceiling at c=16 on 512^2 sparse-view. (3) ONE KNOB (capacity/architecture, allowed): unet_c 16 -> 24 (~2.25x conv cost, ~2.25x params). Budget-compensation: pretrain_epochs 120 -> 80 SOLELY to fit the 20-min wall (iter-4 c32@ep120 TIMED OUT; c24 needs an epoch cut). lr restored to the champion 1e-3. (4) HYPOTHESIS: if I widen the denoiser to c=24, I expect hr above 0.8741 because the recon is now purely the denoiser output and c=16 is a small model for 512^2 sparse-view; more channels capture finer breast structure. FALSIFIER: if hr<=0.8741, either c=16 was already capacity-saturated on 400 scenes OR the ep120->80 cut offset the width gain -> iter-8 disambiguates (train_n up, or c24 at more epochs if budget allows under turbo). (5) BUDGET: c24@ep80 ~ (24/16)^2 * (80/120) * 1189s ~= 1783s?? RISK -> mitigated by turbo qos (faster nodes); if it TIMES OUT, iter-7 re-dispatched cheaper (ep60). (6) Loop to iter-20.
8	1176d9f5	0.998993	0.884184	keep	architecture	itnet-claude-agentic	claude-opus-4-8-1m	55.0488	6.038967e-04	889.8	0.232881	itnet-claude-agentic: pretrain_epochs=60, pretrain_lr=0.001, itnet_k=1, itnet_alpha=0.0, unet_c=16, finetune_epochs=0, finetune_lr=0.0001, train_n=800, val_n=200, grad_clip=1.0, seed=42, rationale=iter-8 REDO (breast ItNet v1). Prior iter-8 (train_n800, ep120) TIMED OUT at 30:15 (2x data at full epochs overran even turbo). SIX-BOX: (1) PRIOR: iter-5 (train_n400,ep120,c16,k1,a0.0,lr1e-3) hr 0.8741 CHAMPION (400x120=48000 grad steps). iter-6 lr dead; iter-7 c24+epcut 0.8584. (2) FAILURE MODE: is the denoiser DATA-limited (400 scenes) or COMPUTE-limited? Disentangle by holding total gradient steps CONSTANT while doubling scene DIVERSITY. (3) ONE KNOB (data-diversity, compute-matched): train_n 400 -> 800 with pretrain_epochs 120 -> 60 so 800x60 = 48000 grad steps = EXACTLY iter-5s budget (the epoch cut is pure compute-normalization, not an independent hypothesis). All else = champion iter-5. (4) HYPOTHESIS: if I show the denoiser 2x MORE distinct scenes at the SAME total compute, I expect hr above 0.8741 because 400 scenes likely under-cover the breast-phantom distribution and more diversity reduces val overfit at equal training cost. FALSIFIER: if hr<=0.8741, the denoiser was NOT data-diversity-limited at 400 scenes -> the ceiling is model CAPACITY -> iter-9 tests unet_c at compute-matched epochs (width up, epochs down to hold steps). (5) BUDGET: 48000 grad steps = iter-5s ~1189s train portion; +turbo -> comfortably < 20 min. train_n=800 <= 2400 FBP-safe. (6) Loop to iter-20.
9	671da566	0.998997	0.884067	keep	architecture	itnet-claude-agentic	claude-opus-4-8-1m	55.04	6.045091e-04	907.7	0.232881	itnet-claude-agentic: pretrain_epochs=30, pretrain_lr=0.001, itnet_k=1, itnet_alpha=0.0, unet_c=16, finetune_epochs=0, finetune_lr=0.0001, train_n=1600, val_n=200, grad_clip=1.0, seed=42, rationale=iter-9 (breast ItNet v1). SIX-BOX: (1) PRIOR: iter-5 (tn400,ep120) 0.8741; iter-8 (tn800,ep60, compute-matched 48000 steps) 0.8842 NEW BEST (+0.010). CONFIRMED: at equal compute, 2x MORE scene DIVERSITY helps -> denoiser was DATA-diversity-limited, not compute-limited. (2) FAILURE MODE: keep pushing the winning lever until diversity saturates. (3) ONE KNOB (from champion iter-8): train_n 800 -> 1600, with pretrain_epochs 60 -> 30 so 1600x30 = 48000 grad steps = SAME compute (epoch cut is pure compute-normalization). All else = iter-8 (k1,a0.0,c16,lr1e-3,val200). (4) HYPOTHESIS: if I double scene diversity again at fixed compute, I expect hr above 0.8842 (continuing the 0.8741->0.8842 diversity slope) because the breast-phantom distribution is still under-covered at 800 scenes. FALSIFIER: if hr<=0.8842, diversity saturates around 800-1600 scenes at fixed 48000 steps -> the ceiling shifts to COMPUTE (more total grad steps) or CAPACITY -> iter-10 raises total steps (more epochs at the best train_n, budget permitting) or width. (5) BUDGET: 48000 grad steps = iter-8s ~890s (turbo) < 20 min; each epoch now touches 1600 scenes but only 30 epochs. train_n=1600 <= 2400 FBP-safe cap. (6) Loop to iter-20.
10	671da566	0.998999	0.884731	keep	architecture	itnet-claude-agentic	claude-opus-4-8-1m	55.0899	6.010453e-04	1783.5	0.232881	itnet-claude-agentic: pretrain_epochs=100, pretrain_lr=0.001, itnet_k=1, itnet_alpha=0.0, unet_c=16, finetune_epochs=0, finetune_lr=0.0001, train_n=800, val_n=200, grad_clip=1.0, seed=42, rationale=iter-10 (breast ItNet v1). SIX-BOX: (1) PRIOR: iter-8 (tn800,ep60=48000 steps) 0.8842 CHAMPION; iter-9 (tn1600,ep30=48000 steps) 0.8840 FLAT -> scene diversity SATURATES ~800 at fixed compute (and ep30 may undertrain each scene). lr/alpha/width levers already exhausted or below champion. (2) FAILURE MODE: at fixed 48000 grad steps the denoiser plateaus ~0.884; the remaining lever is TOTAL COMPUTE (more grad steps) at the good train_n=800. (3) ONE KNOB (from champion iter-8): pretrain_epochs 60 -> 100 (tn800 fixed). 800x100 = 80000 grad steps (1.67x iter-8). (4) HYPOTHESIS: if I give the denoiser MORE total training at the diversity-saturating train_n=800, I expect hr above 0.8842 because iter-9 showed diversity is saturated but each scene at ep60 may be undertrained; more epochs lowers denoiser loss further. FALSIFIER: if hr<=0.8842, the pure-denoiser architecture is near its ceiling ~0.884 at c16 and MORE compute wont help -> iter-11 must change ARCHITECTURE (width at matched-or-more compute, or add a residual/normalization) rather than training budget. (5) BUDGET: 80000 steps ~ 1.67x iter-8s 890s ~= 1490s; turbo -> within 20-min wall (iter-8 ran 890s, headroom to ~1200s+). If TIMEOUT, re-dispatch ep80. (6) Loop to iter-20.
