iter	commit	val_score	headroom	status	change_class	agent	model	val_psnr	val_rmse	elapsed_s	params_M	rationale
1		0.995685	0.773743	keep	architecture	itnet_v3-claude-agentic	claude-opus-4-8-1m	49.2322	1.179767e-03	393.2	3.69899	itnet_v3-claude-agentic: itnet_k=2, unet_c=16, alpha_init=0.0025734, lr=0.00021567, epochs=12, batch_size=2, train_n=400, val_n=200, grad_clip=1.0, max_train_s=1000, seed=42, rationale=iter-1 (breast-ct redo, search-20260703-01) FEASIBILITY. SIX-BOX: (1) no prior iter in THIS run; seed from the breast-ct TPE v3 winner (search-20260521-01 trial-18: itnet_k=2, unet_c=16, alpha_init=0.0025734, lr=0.00021567, batch_size=2, epochs=15 -> hr 0.7342 on the OLD 400-case val pool). (2) failure mode to guard: none observed yet; risk is the HARD 20-min train+score wall on the NEW split (train pool now 3600, val now 200 distinct cases) at 512^2/128-view. (3) ONE KNOB vs the TPE seed: train_n held at 400 (standard agentic per-iter train_n, NOT the full 3600) and epochs trimmed 15 -> 12 purely to guarantee the feasibility run lands inside 20 min while I measure per-epoch cost; all architecture knobs = TPE winner exactly. (4) HYPOTHESIS: itnet_k=2/unet_c=16 at lr=2.16e-4 reproduces near the TPE-winner headroom (target hr > 0.60) on the new val-200 split, confirming the architecture transfers to the redo split. FALSIFIER: hr < 0.40 or a crash/timeout => the new split or budget breaks the seed and iter-2 must fix the specific error. (5) BUDGET: 400 samples * 12 ep at batch_size=2 on itnet_k=2; max_train_s=1000 backstop fences a runaway inside the 30-min sbatch wall; measure elapsed to size epochs/train_n for iter-2. val = 200 distinct val_truth.h5 cases (val_n<=200), 256px inscribed-circle FOV (breast metric default). (6) do NOT return control mid-campaign; dispatch iter-2 myself once this lands.
2			0	discard	architecture	itnet_v3-claude-agentic	claude-opus-4-8-1m			17.1		itnet_v3-claude-agentic: itnet_k=2, unet_c=16, alpha_init=0.0025734, lr=0.00021567, epochs=3, batch_size=2, train_n=3600, val_n=200, grad_clip=1.0, max_train_s=1000, seed=42, rationale=iter-2 (breast-ct redo, search-20260703-01). ONE KNOB: train_n 400 -> 3600 (the full train pool = the dominant new lever), with epochs traded DOWN 12 -> 3 to fit the HARD 20-min train+score wall. All else = iter-1 exactly (itnet_k=2, unet_c=16, alpha_init=0.0025734, lr=2.16e-4, batch_size=2, val_n=200, grad_clip=1.0, seed=42). SIX-BOX (NUMBERS): (1) iter-1 (train_n=400/ep12): hr 0.7737, SSIM 0.9957, PSNR 49.23, RMSE 1.18e-3, params 3.699M, elapsed 393.2s = 6.55 min. (2) FAILURE MODE = DATA COVERAGE, not capacity or under-training: iter-1 train loss fell to 2e-6 and PLATEAUED by epoch 8 (ep8->12 flat at 0.000002), so more epochs on the same 400 cases would not help; the net only ever saw 400 of the 3600 available train cases. The sibling itnet_v2 breast run reached its champion (~0.871) at train_n=3600, confirming the full pool is the productive lever on this dataset. (3) ONE KNOB: train_n 400 -> 3600 (9x more distinct training cases). epochs 12 -> 3 funds it inside the wall; total samples-seen 400*12=4800 -> 3600*3=10800 (2.25x MORE gradient exposure AND 9x more distinct data, so this is a genuine coverage increase, not just reshuffling). (4) HYPOTHESIS: training on all 3600 distinct cases lifts hr above 0.7737, because iter-1 was data-coverage-limited (loss plateaued -> not optimization-limited) and a 9x larger, more representative train set generalizes better to the held-out 200-case val split. FALSIFIER (NUMBERS): if hr <= 0.7737 at train_n=3600/ep3, then 3 epochs is too few to converge on the larger set (optimization-limited again) and iter-3 must add epochs (trade nothing else); if hr drops sharply, the larger set introduced a distribution issue. (5) BUDGET (HARD 20 min = 1200s): iter-1 measured 393.2s at 400*12=4800 sample-epochs. Fixed overhead (data load of 3600 h5 + 200-case val + figure + startup) grows with train_n load but the dominant term is train compute ~ proportional to samples-epochs. At 3600*3=10800 sample-epochs = 2.25x iter-1 train work: conservatively train ~= 2.25*(393-90) ~= 680s + fixed ~130s (larger h5 load) ~= 810s = 13.5 min < 1200s with comfortable margin. epochs=4 (14400 s-e = 3x) risks ~17-18 min (tight with the bigger load); epochs=3 is the safe choice that also tests the coverage hypothesis at grad-exposure PARITY-plus. max_train_s=1000 fences a runaway inside the 30-min sbatch wall. val = 200 distinct val_truth.h5 cases, 256px inscribed-circle FOV (breast metric default). (6) do NOT return control mid-campaign; gate on iter-2 numeric-headroom obs then dispatch iter-3.
2		0.997451	0.819821	keep	architecture	itnet_v3-claude-agentic	claude-opus-4-8-1m	51.2101	9.395035e-04	902.1	3.69899	itnet_v3-claude-agentic: itnet_k=2, unet_c=16, alpha_init=0.0025734, lr=0.00021567, epochs=4, batch_size=2, train_n=2400, val_n=200, grad_clip=1.0, max_train_s=1000, seed=42, rationale=iter-2 RE-DISPATCH (breast-ct redo, search-20260703-01). Prior iter-2 attempt (train_n=3600/ep3) CRASHED: CUDA OutOfMemoryError at solver line 217 proj.fbp(train_noisy) -- the solver precomputes the FBP init for ALL train sinograms in ONE GPU batch, so 3600x512x512 blew GPU memory (it also landed on an 11GB GTX 1080 Ti before the node-exclusion fix). FIX: train_n 3600 -> 2400 (respects the coordinator train_n<=2400 cap; the whole-train FBP precompute now fits the excluded->>=24GB nodes with expandable_segments), epochs 3 -> 4 so total gradient exposure (2400*4=9600 sample-epochs) still exceeds iter-1's 4800 and doubles distinct-data coverage vs the 400 iter-1 used. This RE-DISPATCH keeps the SAME ONE KNOB intent as iter-2 (train_n up = data-coverage lever) at a memory-safe size. SIX-BOX (NUMBERS): (1) iter-1 (train_n=400/ep12): hr 0.7737, SSIM 0.9957, PSNR 49.23, RMSE 1.18e-3, params 3.699M, elapsed 393.2s=6.55min. iter-2-attempt-1 (train_n=3600/ep3): CRASH OOM, elapsed 17s, no result.json. (2) FAILURE MODE (attempt-1) = GPU OOM from whole-train FBP precompute at train_n=3600, NOT a metric issue. Underlying limiter for the SCIENCE is still DATA COVERAGE (iter-1 loss plateaued at 2e-6 by ep8 on only 400 cases). (3) ONE KNOB (vs iter-1): train_n 400 -> 2400 (6x more distinct training cases, memory-safe). epochs 12 -> 4 to fit the wall AND keep sample-epochs (9600) at 2x iter-1. (4) HYPOTHESIS: training on 2400 distinct cases lifts hr above 0.7737 because iter-1 was data-coverage-limited; the bigger, memory-safe train set generalizes better to the 200-case val split. FALSIFIER (NUMBERS): if hr <= 0.7737 at train_n=2400/ep4 -> 4 epochs too few on the larger set (optimization-limited) and iter-3 adds epochs; if it OOMs again, iter-3 must shrink train_n further or the solver's whole-batch FBP precompute is the hard ceiling. (5) BUDGET (HARD 20min=1200s): iter-1 measured 393.2s at 400*12=4800 s-e. At 2400*4=9600 s-e = 2x train work: train ~= 2*(393-90)=606s + fixed ~130s (bigger h5 load) ~= 736s = 12.3min < 1200s, comfortable. max_train_s=1000 fences a runaway. val=200 distinct val_truth.h5 cases, 256px inscribed-circle FOV (breast default). (6) do NOT return control mid-campaign; gate on iter-2 numeric-headroom obs via iter_wait.sh then dispatch iter-3.
3		0.997747	0.827677	keep	architecture	itnet_v3-claude-agentic	claude-opus-4-8-1m	51.5973	8.985408e-04	877.4	3.69899	itnet_v3-claude-agentic: itnet_k=2, unet_c=16, alpha_init=0.0025734, lr=0.00021567, epochs=5, batch_size=2, train_n=2400, val_n=200, grad_clip=1.0, max_train_s=1050, seed=42, rationale=iter-3 (breast-ct redo, search-20260703-01). ONE KNOB: epochs 4 -> 5 at train_n=2400 (all else = iter-2 exactly: itnet_k=2, unet_c=16, alpha_init=0.0025734, lr=2.16e-4, batch_size=2, train_n=2400, val_n=200, grad_clip=1.0, seed=42). SIX-BOX (NUMBERS): (1) iter-1 (train_n=400/ep12): hr 0.7737, SSIM 0.9957, PSNR 49.23, RMSE 1.18e-3, elapsed 393.2s. iter-2 (train_n=2400/ep4): hr 0.8198, SSIM 0.9975, PSNR 51.21, RMSE 9.40e-4, elapsed 902.1s=15.0min, params 3.699M. Data-coverage lever CONFIRMED: 6x more distinct cases -> hr +0.046. (2) FAILURE MODE now in question: iter-2 traded epochs DOWN to 4 to fund the 6x bigger set. Is 4 epochs enough to CONVERGE on 2400 cases, or is the net now OPTIMIZATION-limited (under-trained on the larger set)? iter-2 used only 15.0/20 min -> ~5 min budget headroom remains for more gradient steps. (3) ONE KNOB: epochs 4 -> 5 (+25pct gradient steps on the SAME 2400 cases; train_n held so any hr change isolates OPTIMIZATION vs the already-confirmed coverage gain). (4) HYPOTHESIS: 5 epochs lifts hr above 0.8198 because iter-2's 4 epochs were slightly under-trained on the 6x larger set (loss had not yet plateaued the way it did on the tiny 400-case iter-1). FALSIFIER (NUMBERS): if hr <= 0.8198 at ep5, the 2400-case set is already converged at 4 epochs (optimization exhausted) -> iter-4 must pivot the lever to architecture (itnet_k 2->3 for more DC unrolling, or unet_c 16->24 for capacity) rather than epochs. (5) BUDGET (HARD 20min=1200s): two timing points (400*12=4800 s-e -> 393.2s) and (2400*4=9600 s-e -> 902.1s) give slope 0.106 s/sample-epoch. At 2400*5=12000 s-e: 393.2 + (12000-4800)*0.106 = 393.2 + 763 = 1156s = 19.3min < 1200s (tight but inside; max_train_s=1050 fences the TRAIN phase alone so a runaway train cannot eat the val+figure, and a finite val+figure always land inside the 30-min sbatch wall). epochs=6 (14400 s-e -> ~1411s=23.5min) would BUST the wall, so 5 is the largest epoch count the measured timing permits at train_n=2400. train_n held at 2400 (<= the 2400 OOM-safe cap; the whole-train FBP precompute fits >=24GB nodes). val=200 distinct val_truth.h5 cases, 256px inscribed-circle FOV (breast default). (6) do NOT return control mid-campaign; gate on iter-3 numeric-headroom obs via iter_wait.sh then dispatch iter-4.
4	1176d9f5	0.996243	0.794638	keep	architecture	itnet_v3-claude-agentic	claude-opus-4-8-1m	50.0738	1.070818e-03	805.8	3.69899	itnet_v3-claude-agentic: itnet_k=3, unet_c=16, alpha_init=0.0025734, lr=0.00021567, epochs=3, batch_size=2, train_n=2400, val_n=200, grad_clip=1.0, max_train_s=1000, seed=42, rationale=iter-4 (breast-ct redo, search-20260703-01). ONE KNOB (ARCHITECTURE): itnet_k 2 -> 3 (one MORE unrolled denoiser+data-consistency step), with epochs traded DOWN 5 -> 3 to fund the extra unroll pass inside the HARD 20-min wall. All else = iter-3 exactly (unet_c=16, alpha_init=0.0025734, lr=2.16e-4, batch_size=2, train_n=2400, val_n=200, grad_clip=1.0, seed=42). SIX-BOX (NUMBERS): (1) iter-1 (n400/ep12/k2): hr 0.7737. iter-2 (n2400/ep4/k2): hr 0.8198. iter-3 (n2400/ep5/k2): hr 0.8277, SSIM 0.9977, PSNR 51.60, RMSE 8.99e-4, elapsed 877.4s=14.6min, params 3.699M. (2) FAILURE MODE: the EPOCHS lever is now in DIMINISHING RETURNS -- coverage (n400->2400) gave +0.046 but the ep4->5 step gave only +0.0079, so more epochs on k=2 will not move the needle much. The distinctive ItNet lever not yet tried is UNROLL DEPTH: itnet_k controls how many denoiser+DC iterations refine the recon; k=2 may under-enforce sinogram data-consistency on this 128-view breast geometry. (3) ONE KNOB: itnet_k 2 -> 3 (an ARCHITECTURE change, explicitly allowed). epochs 5 -> 3 funds the ~1.5x per-forward cost of the extra unroll while holding train_n=2400 so the coverage gain is preserved. (4) HYPOTHESIS: a 3rd unroll step lifts hr above 0.8277 because more DC iterations better reconcile the recon with the measured sinogram (sharper edges, fewer sparse-view streaks) than the k=2 net could at any epoch count. FALSIFIER (NUMBERS): if hr <= 0.8277 at k=3/ep3, then either 3 epochs is too few to train the deeper unrolled loop (optimization-limited -> iter-5 keeps k=3 but adds epochs by trading train_n down) OR k=2 already saturates DC on this geometry (-> iter-5 pivots to capacity, unet_c 16->24). (5) BUDGET (HARD 20min=1200s): iter-3 (k2/ep5/n2400) = 877.4s with ~4.6 min headroom. Train work ~ epochs*k*train_n: iter-3 = 5*2*2400 = 24000 units; iter-4 = 3*3*2400 = 21600 units = 0.9x iter-3 train. The k=3 VAL forward is ~1.5x iter-3's k=2 val, but val is a small share of the 877s (200 cases, one forward each). Net predicted elapsed ~= 0.9*train + 1.5*val + fixed ~= 850-950s = 14-16min < 1200s. max_train_s=1000 fences the TRAIN phase alone so a runaway cannot eat val+figure; a finite val+figure always land inside the 30-min sbatch wall. train_n=2400 (<= OOM-safe cap; whole-train FBP precompute fits >=24GB nodes). val=200 distinct val_truth.h5 cases, 256px inscribed-circle FOV (breast default). (6) do NOT return control mid-campaign; gate on iter-4 numeric-headroom obs via iter_wait.sh v3 sentinel then dispatch iter-5.
5	671da566	0.99773	0.826899	keep	architecture	itnet_v3-claude-agentic	claude-opus-4-8-1m	51.5582	9.025969e-04	745.0	8.31771	itnet_v3-claude-agentic: itnet_k=2, unet_c=24, alpha_init=0.0025734, lr=0.00021567, epochs=3, batch_size=2, train_n=2400, val_n=200, grad_clip=1.0, max_train_s=1050, seed=42, rationale=iter-5 (breast-ct redo, search-20260703-01). START FROM iter-3 BEST (k2/n2400/ep5, hr 0.8277), NOT iter-4's regressed k3. ONE KNOB (ARCHITECTURE): unet_c 16 -> 24 (denoiser CAPACITY), with epochs traded DOWN 5 -> 3 to fund the bigger net inside the HARD 20-min wall. All else = iter-3 best exactly (itnet_k=2, alpha_init=0.0025734, lr=2.16e-4, batch_size=2, train_n=2400, val_n=200, grad_clip=1.0, seed=42). SIX-BOX (NUMBERS): (1) iter-1 (n400/ep12/k2/c16): 0.7737. iter-2 (n2400/ep4/k2/c16): 0.8198. iter-3 (n2400/ep5/k2/c16): 0.8277 = BEST, elapsed 877.4s. iter-4 (n2400/ep3/k3/c16): 0.7946 = REGRESSED -0.033. (2) FAILURE MODE: iter-4's k=2->3 REGRESSED, but it confounded k-up WITH epochs-down (5->3) -> the deeper unrolled loop was under-trained at 3 epochs. Rather than chase k=3 with more epochs (would need train_n cut, muddying the coverage gain), REVERT to the confirmed-good k=2 and test the single strongest UNTRIED lever: denoiser CAPACITY. My v3 runs unet_c=16 (3.7M params); the sibling itnet_v2 breast champion used unet_c=96 (~0.871), so capacity is clearly the dominant unexplored axis on this dataset. (3) ONE KNOB vs iter-3 best: unet_c 16 -> 24 (params 3.70M -> ~8.3M, conv FLOPs x2.25). epochs 5 -> 3 funds the bigger net; k held at 2 (confirmed good), train_n held at 2400 (coverage locked). itnet_v3 is END-TO-END unrolled so added denoiser capacity is trained against the full recon objective. (4) HYPOTHESIS: c=24 lifts hr above 0.8277 because the c=16 denoiser is representationally saturated (ep4->5 gave only +0.008) and more channels capture the finer breast-tissue structure. FALSIFIER (NUMBERS): if hr <= 0.8277 at c24/ep3, then 3 epochs is too few to train the bigger net (iter-6 trades train_n down for epochs at c24) OR c=16 already suffices (iter-6 reverts to c16/ep5 champion and pivots to lr/alpha). (5) BUDGET (HARD 20min=1200s): iter-3 (c16/ep5/k2/n2400)=877.4s, ~5min headroom. Raising c 16->24 scales UNet conv FLOPs x2.25 but the k=2 DC projector fwd+adj is FLAT in c and is a large share of per-forward, so per-epoch scales ~1.5-1.7x, NOT 2.25x. epochs 5->3 = 0.6x. Net train ~= 0.6*1.6 = 0.96x iter-3 train; val (200 fwd) also ~1.5x its small share. Predicted elapsed ~= 880-980s = 15-16min < 1200s. max_train_s=1050 fences the TRAIN phase; a finite val+figure land inside the 30-min sbatch wall. train_n=2400 (<= OOM-safe cap; c=24 whole-train FBP precompute is unchanged in c and fits >=24GB nodes). val=200 distinct val_truth.h5 cases, 256px inscribed-circle FOV (breast default). (6) do NOT return control mid-campaign; gate on iter-5 numeric-headroom obs via iter_wait.sh v3 then dispatch iter-6.
6	671da566	0.998066	0.838572	keep	architecture	itnet_v3-claude-agentic	claude-opus-4-8-1m	52.1646	8.417321e-04	759.8	8.31771	itnet_v3-claude-agentic: itnet_k=2, unet_c=24, alpha_init=0.0025734, lr=0.00021567, epochs=4, batch_size=2, train_n=2400, val_n=200, grad_clip=1.0, max_train_s=1050, seed=42, rationale=iter-6 (breast-ct redo, search-20260703-01). ONE KNOB: epochs 3 -> 4 at unet_c=24 (all else = iter-5 exactly: itnet_k=2, unet_c=24, alpha_init=0.0025734, lr=2.16e-4, batch_size=2, train_n=2400, val_n=200, grad_clip=1.0, seed=42). SIX-BOX (NUMBERS): (1) iter-3 (c16/ep5/k2/n2400): 0.8277 = prior best, 877s. iter-4 (c16/ep3/k3): 0.7946 regress. iter-5 (c24/ep3/k2/n2400): 0.8269, SSIM 0.9977, PSNR 51.56, params 8.32M, elapsed 745.0s=12.4min. (2) FAILURE MODE: c=24 at 3 epochs TIED c=16 at 5 epochs (0.8269 vs 0.8277, within noise) -> the added capacity did NOT pay off, but iter-5 gave the bigger net only 3 epochs AND finished in just 12.4min (7.6min budget headroom -- the c-scaling is cheap because the k=2 projector DC steps dominate per-forward and are flat in c). So the c=24 net is likely UNDER-TRAINED at ep3, not capacity-useless. (3) ONE KNOB: epochs 3 -> 4 at c=24 (+33pct gradient steps to properly train the 8.3M-param denoiser; c/k/train_n all held so any hr change isolates whether capacity pays off WHEN adequately trained). (4) HYPOTHESIS: c=24 at ep4 lifts hr above 0.8277 because the bigger denoiser needed more than 3 epochs to exploit its extra channels. FALSIFIER (NUMBERS): if hr <= 0.8277 at c24/ep4, the c=16 champion is genuinely capacity-sufficient on this breast val set -> iter-7 reverts to the c16/ep5 champion and pivots to a training-recipe lever (lr or alpha_init), abandoning the capacity axis. (5) BUDGET (HARD 20min=1200s): iter-5 (c24/ep3/n2400)=745.0s. Per-epoch@c24/n2400 ~= (745-130 fixed)/3 ~= 205s; fixed ~130s. At ep4: 130 + 4*205 = 950s = 15.8min < 1200s with ~4min margin. ep5 (~1155s=19.3min) is tight; ep4 is the safe next step. max_train_s=1050 fences the TRAIN phase; a finite val+figure land inside the 30-min sbatch wall. train_n=2400 (<= OOM-safe cap). val=200 distinct val_truth.h5 cases, 256px inscribed-circle FOV (breast default). (6) do NOT return control mid-campaign; gate on iter-6 numeric-headroom obs via iter_wait.sh v3 then dispatch iter-7.
7	671da566	0.998255	0.846926	keep	architecture	itnet_v3-claude-agentic	claude-opus-4-8-1m	52.6262	7.981705e-04	939.5	8.31771	itnet_v3-claude-agentic: itnet_k=2, unet_c=24, alpha_init=0.0025734, lr=0.00021567, epochs=5, batch_size=2, train_n=2400, val_n=200, grad_clip=1.0, max_train_s=1080, seed=42, rationale=iter-7 (breast-ct redo, search-20260703-01). ONE KNOB: epochs 4 -> 5 at unet_c=24 (all else = iter-6 exactly: itnet_k=2, unet_c=24, alpha_init=0.0025734, lr=2.16e-4, batch_size=2, train_n=2400, val_n=200, grad_clip=1.0, seed=42). SIX-BOX (NUMBERS): (1) iter-3 (c16/ep5): 0.8277. iter-5 (c24/ep3): 0.8269. iter-6 (c24/ep4): 0.8385 = NEW BEST, SSIM 0.9981, PSNR 52.16, params 8.32M, elapsed 759.8s=12.7min. (2) FAILURE MODE / signal: capacity PAYS OFF once trained -- c24/ep3->ep4 gave +0.0116 (0.8269->0.8385) and beat the c16/ep5 champion by +0.011. The epochs lever is STILL climbing at c=24 (unlike c=16 where ep4->5 gave only +0.008). iter-6 used just 12.7/20min -> ~7min budget headroom for another epoch. (3) ONE KNOB: epochs 4 -> 5 at c=24 (+25pct gradient steps; c/k/train_n held so any hr change isolates whether the c=24 net is still under-trained at ep4). (4) HYPOTHESIS: c=24 at ep5 lifts hr above 0.8385 because the 8.3M-param denoiser was still improving from ep3->4 and has not yet plateaued. FALSIFIER (NUMBERS): if hr <= 0.8385 at c24/ep5, the c=24 net has converged at ep4 -> iter-8 pivots the lever to MORE capacity (unet_c 24->32) rather than epochs. (5) BUDGET (HARD 20min=1200s): iter-6 (c24/ep4/n2400)=759.8s. Per-epoch@c24/n2400 ~= (760-130 fixed)/4 ~= 158s; fixed ~130s. At ep5: 130 + 5*158 = 920s = 15.3min < 1200s with ~5min margin. max_train_s=1080 fences the TRAIN phase; a finite val+figure land inside the 30-min sbatch wall. train_n=2400 (<= OOM-safe cap). val=200 distinct val_truth.h5 cases, 256px inscribed-circle FOV (breast default). (6) do NOT return control mid-campaign; gate on iter-7 numeric-headroom obs via iter_wait.sh v3 then dispatch iter-8.
8	671da566	0.997192	0.808467	keep	architecture	itnet_v3-claude-agentic	claude-opus-4-8-1m	50.6793	9.987075e-04	819.5	14.7826	itnet_v3-claude-agentic: itnet_k=2, unet_c=32, alpha_init=0.0025734, lr=0.00021567, epochs=3, batch_size=2, train_n=2400, val_n=200, grad_clip=1.0, max_train_s=1050, seed=42, rationale=iter-8 (breast-ct redo, search-20260703-01). ONE KNOB (ARCHITECTURE): unet_c 24 -> 32 (MORE denoiser capacity), epochs traded DOWN 5 -> 3 to fund the bigger net inside the HARD 20-min wall. All else = iter-7 exactly (itnet_k=2, alpha_init=0.0025734, lr=2.16e-4, batch_size=2, train_n=2400, val_n=200, grad_clip=1.0, seed=42). SIX-BOX (NUMBERS): (1) iter-5 (c24/ep3): 0.8269. iter-6 (c24/ep4): 0.8385. iter-7 (c24/ep5): 0.8469=NEW BEST, SSIM 0.9983, PSNR 52.63, params 8.32M, elapsed 939.5s=15.7min. (2) SIGNAL: c=24 epochs lever still climbing (ep3->4 +0.0116, ep4->5 +0.0084) but iter-7 used 15.7/20min -> ~1 more epoch fits at c=24. Capacity (c16->c24) has been the dominant productive axis. Test whether MORE capacity (c=32) raises the ceiling further. (3) ONE KNOB: unet_c 24->32 (params 8.32M->~14.7M, UNet conv FLOPs x1.78 vs c24). epochs 5->3 funds it; k/train_n held. (4) HYPOTHESIS: c=32 even at 3 epochs lands within noise of or above c24/ep5=0.8469, signalling headroom to train it further. FALSIFIER: if hr < ~0.835 at c32/ep3 (below c24/ep4=0.8385), the bigger net is too under-trained within the wall -> iter-9 reverts to c24/ep5 champion and pivots to lr/alpha. (5) BUDGET (HARD 20min=1200s): iter-7 per-epoch@c24 ~=162s. c32 UNet share x1.78, projector flat -> per-epoch@c32 ~=200s, fixed ~140s. ep3: 140+3*200=740s=12.3min<1200s. max_train_s=1050 fences TRAIN phase. train_n=2400 (OOM-safe; FBP precompute flat in c; ~14.7M params fine on 24GB). val=200 distinct val_truth.h5 cases, 256px inscribed-circle FOV (breast default). (6) do NOT return control mid-campaign; gate iter-8 obs via iter_wait.sh v3 then dispatch iter-9.
9	671da566	0.998131	0.83983	keep	architecture	itnet_v3-claude-agentic	claude-opus-4-8-1m	52.2325	8.351743e-04	1093.9	8.31771	itnet_v3-claude-agentic: itnet_k=2, unet_c=24, alpha_init=0.0025734, lr=0.00035, epochs=5, batch_size=2, train_n=2400, val_n=200, grad_clip=1.0, max_train_s=1080, seed=42, rationale=iter-9 (breast-ct redo, search-20260703-01). START FROM iter-7 CHAMPION (c24/ep5/k2/lr2.16e-4, hr 0.8469). ONE KNOB: lr 0.00021567 -> 0.00035 (~1.6x higher learning rate). All else = iter-7 champion exactly (itnet_k=2, unet_c=24, alpha_init=0.0025734, epochs=5, batch_size=2, train_n=2400, val_n=200, grad_clip=1.0, seed=42). SIX-BOX (NUMBERS): (1) iter-6 (c24/ep4): 0.8385. iter-7 (c24/ep5): 0.8469=CHAMPION, SSIM 0.9983, PSNR 52.63, elapsed 939.5s=15.7min. iter-8 (c32/ep3): 0.8085 REGRESS -- capacity beyond c=24 is too under-trained at the epochs the wall allows, so c=24 is the capacity SWEET SPOT and the architecture axes (itnet_k=2 optimal per iter-4, unet_c=24 optimal per iter-6/7/8) are now BOUNDED. (2) FAILURE MODE: the remaining under-exploited lever is the TRAINING RECIPE. The c24/ep5 net is EPOCH-BUDGET-LIMITED (epochs still climbing at ep5 but the 20-min wall caps ~ep5-6 at c24). A HIGHER lr can reach a lower training loss in the SAME 5 epochs -> effectively buys convergence the epoch budget can't. lr has been fixed at the TPE-seed 2.16e-4 since iter-1 and never tuned on this redo split. (3) ONE KNOB: lr 2.16e-4 -> 3.5e-4 (~1.6x). c/k/epochs/train_n all held so any hr change isolates the lr effect. grad_clip=1.0 retained guards the higher lr against the occasional exploding-gradient step from the FBP adjoint in dc_step. (4) HYPOTHESIS: lr=3.5e-4 lifts hr above 0.8469 because the c24 net is epoch-budget-limited and a higher lr converges further within the fixed 5-epoch budget. FALSIFIER (NUMBERS): if hr <= 0.8469 at lr=3.5e-4, either the higher lr overshoots (unstable / worse) -> iter-10 tries a LOWER lr (1.5e-4) instead, or lr is already near-optimal -> iter-10 pivots to alpha_init (the DC step size). (5) BUDGET (HARD 20min=1200s): IDENTICAL config to iter-7 except the lr scalar (no compute change) -> elapsed ~= 939.5s = 15.7min < 1200s, same ~4min margin. max_train_s=1080 fences the TRAIN phase. train_n=2400 (<= OOM-safe cap). val=200 distinct val_truth.h5 cases, 256px inscribed-circle FOV (breast default). (6) do NOT return control mid-campaign; gate on iter-9 numeric-headroom obs via iter_wait.sh v3 then dispatch iter-10.
