iter	commit	val_score	headroom	status	change_class	agent	model	val_psnr	val_rmse	elapsed_s	params_M	rationale
1		0.976807	0.315429	keep	architecture	learned_primal_dual-claude-agentic	claude-opus-4-8-1m	39.6158	3.569548e-03	976.2	0.25322	learned_primal_dual-claude-agentic: lpd_iters=10, lpd_n_primal=5, lpd_n_dual=5, lpd_hidden=32, lpd_share_weights=False, epochs=8, lr=0.0005, lr_schedule=cosine, batch_size=1, grad_clip=1.0, lambda_neg=1.0, loss_base=mse, train_n=400, val_n=200, val_chunk=4, rationale=iter-1 onboarding LPD on re-split breast (train3600/val200/test200, seed20260703), scoring val=200. Sized to fit HARD 20-min: I=10 n_primal=n_dual=5 hidden=32 epochs=8 train_n=400. lr=5e-4 (the prior breast run found 1e-3 unstable-ish, 5e-4 gave the cleanest converge at hidden=32). HYPOTHESIS: if LPD at this conservative Adler-default size runs on breast val=200 under 20 min, expect headroom>0 (clears FBP) at val_ssim~0.99, because the prior uncapped breast LPD hit hr=0.39 at I=10/h32/ep10/val20 and this only shrinks epochs 10->8 to buy budget margin.
2		0.985034	0.438915	keep	architecture	learned_primal_dual-claude-agentic	claude-opus-4-8-1m	41.3436	2.925656e-03	1328.2	0.25322	learned_primal_dual-claude-agentic: lpd_iters=10, lpd_n_primal=5, lpd_n_dual=5, lpd_hidden=32, lpd_share_weights=False, epochs=10, lr=0.0005, lr_schedule=cosine, batch_size=1, grad_clip=1.0, lambda_neg=1.0, loss_base=mse, train_n=400, val_n=200, val_chunk=4, rationale=iter-2 one-knob: epochs 8->10 (all else fixed from iter-1). FAILURE MODE observed at iter-1: undertraining (hr=0.3154 only, at 8 epochs / 976s). In the prior uncapped breast LPD run the single biggest hr jump came from more epochs (ep10->20 lifted hr 0.39->0.75). HYPOTHESIS: if I raise epochs 8->10, expect hr to climb meaningfully above 0.3154 because iter-1 was undertrained; sized to stay <20min (8ep=976s -> ~10ep should land ~1180s, still under the 1200s cap).
3		0.989002	0.56627	keep	architecture	learned_primal_dual-claude-agentic	claude-opus-4-8-1m	43.5798	2.261593e-03	1517.1	0.25322	learned_primal_dual-claude-agentic: lpd_iters=10, lpd_n_primal=5, lpd_n_dual=5, lpd_hidden=32, lpd_share_weights=False, epochs=10, lr=0.0008, lr_schedule=cosine, batch_size=1, grad_clip=1.0, lambda_neg=1.0, loss_base=mse, train_n=400, val_n=200, val_chunk=4, rationale=iter-3 one-knob: lr 5e-4 -> 8e-4 (epochs stay 10, all else fixed from iter-2). FAILURE MODE: epoch-budget-bound -- iter-2 at 10 epochs already spent 1328s (~ the 20-min ceiling), so I cannot buy more gain with more epochs. Remaining headroom must come from better optimization PER step. HYPOTHESIS: if I raise initial lr 5e-4->8e-4 with the same cosine decay to ~0, expect hr to climb above 0.4389 because LPD here is optimization-limited (not capacity-limited) and a larger initial step exploits the fixed 10-epoch budget better; wall stays ~1328s (epochs unchanged).
4		0.989298	0.533191	keep	architecture	learned_primal_dual-claude-agentic	claude-opus-4-8-1m	42.9414	2.434074e-03	1778.7	0.51802	learned_primal_dual-claude-agentic: lpd_iters=10, lpd_n_primal=5, lpd_n_dual=5, lpd_hidden=48, lpd_share_weights=False, epochs=10, lr=0.0008, lr_schedule=cosine, batch_size=1, grad_clip=1.0, lambda_neg=1.0, loss_base=mse, train_n=400, val_n=200, val_chunk=4, rationale=iter-4 one-knob: lpd_hidden 32->48 (epochs=10, lr=8e-4, I=10 fixed from iter-3). FAILURE MODE: capacity-limited -- epochs are at the budget ceiling and lr is tuned (8e-4 best), yet hr=0.566 is still well below the old uncapped champion ~0.90 which used wider proximals (hidden 64). HYPOTHESIS: if I widen the proximal CNN hidden 32->48, expect hr above 0.5663 because the proximal blocks are now the bottleneck (lr/epochs already tuned) and wider convs fit breast mu-structure better; chose 48 not 64 to keep wall under the 30-min SLURM ceiling (iter-3 was 1517s at h32).
5		0.991657	0.620956	keep	architecture	learned_primal_dual-claude-agentic	claude-opus-4-8-1m	44.7504	1.976444e-03	1388.0	0.25322	learned_primal_dual-claude-agentic: lpd_iters=10, lpd_n_primal=5, lpd_n_dual=5, lpd_hidden=32, lpd_share_weights=False, epochs=10, lr=0.0012, lr_schedule=cosine, batch_size=1, grad_clip=1.0, lambda_neg=1.0, loss_base=mse, train_n=400, val_n=200, val_chunk=4, rationale=iter-5 one-knob: REVERT iter-4 (hidden 48->32, which hurt hr 0.566->0.533 AND hit the 29.6-min wall) and instead push lr 8e-4 -> 1.2e-3 (epochs=10, I=10 fixed). FAILURE MODE at iter-4: over-widening proximals both lowered hr and blew the wall -> not capacity-limited. HYPOTHESIS: if I raise lr 8e-4->1.2e-3 with the same cosine decay at h32/I10/ep10, expect hr above 0.5663 because lr was the strongest single-knob lever (0.44->0.57 from 5e-4->8e-4) and iter-3 was likely not yet at the lr optimum; wall stays ~1517s (h32) safely under the 30-min ceiling.
6		0.992944	0.668512	keep	architecture	learned_primal_dual-claude-agentic	claude-opus-4-8-1m	45.9148	1.728474e-03	1799.8	0.303864	learned_primal_dual-claude-agentic: lpd_iters=12, lpd_n_primal=5, lpd_n_dual=5, lpd_hidden=32, lpd_share_weights=False, epochs=10, lr=0.0012, lr_schedule=cosine, batch_size=1, grad_clip=1.0, lambda_neg=1.0, loss_base=mse, train_n=400, val_n=200, val_chunk=4, rationale=iter-6 one-knob: lpd_iters 10->12 (lr=1.2e-3, ep10, h32 fixed from best iter-5 hr=0.621). FAILURE MODE avoided: widening hidden (iter-4) hurt hr AND hit the wall, so I add DEPTH not WIDTH. HYPOTHESIS: if I add unrolled primal-dual iters I 10->12, expect hr above 0.621 because unroll depth is LPD s core inductive lever (old champion used I=15) and at h32 the extra convs are cheap; est wall ~1666s (1388*12/10), under the 30-min ceiling.
7		0.989642	0.550241	keep	architecture	learned_primal_dual-claude-agentic	claude-opus-4-8-1m	43.2646	2.345170e-03	1230.2	0.25322	learned_primal_dual-claude-agentic: lpd_iters=10, lpd_n_primal=5, lpd_n_dual=5, lpd_hidden=32, lpd_share_weights=False, epochs=10, lr=0.0016, lr_schedule=cosine, batch_size=1, grad_clip=1.0, lambda_neg=1.0, loss_base=mse, train_n=400, val_n=200, val_chunk=4, rationale=iter-7 one-knob: lr 1.2e-3->1.6e-3 at the CHEAP I=10 baseline (h32, ep10) -- i.e. one knob vs iter-5 (hr=0.621, same I10/h32/ep10/lr1.2e-3). FAILURE MODE: iter-6 (I=12) improved hr to 0.6685 but ran 1799.8s = AT the 30-min wall, so depth is wall-bound; I keep exploring the lr axis, which is the strongest unsaturated lever (fixed-I10 lr sweep: 5e-4=0.44, 8e-4=0.566, 1.2e-3=0.621 -- still climbing). HYPOTHESIS: if I push lr 1.2e-3->1.6e-3 with cosine decay at I10, expect hr above 0.621 (and competitive with iter-6 0.6685) because the lr sweep has not plateaued; wall ~1388s (I10), large margin under the ceiling. grad_clip=1.0 guards the higher lr.
8		0.706736	0	discard	architecture	learned_primal_dual-claude-agentic	claude-opus-4-8-1m	16.1037	5.348346e-02	1400.7	0.303864	learned_primal_dual-claude-agentic: lpd_iters=12, lpd_n_primal=5, lpd_n_dual=5, lpd_hidden=32, lpd_share_weights=False, epochs=10, lr=0.0012, lr_schedule=cosine, batch_size=1, grad_clip=0.5, lambda_neg=1.0, loss_base=mse, train_n=400, val_n=200, val_chunk=4, rationale=iter-8 one-knob: grad_clip 1.0->0.5 at the BEST config (iter-6: I12/h32/ep10/lr1.2e-3, hr=0.6685). FAILURE MODE: lr axis saturated (I10 sweep peaked at lr1.2e-3=0.621; 1.6e-3 overshot to 0.550), and depth (I=12) is what set the 0.6685 best but ran at the 1800s wall. HYPOTHESIS: if I tighten grad_clip 1.0->0.5, expect hr >= 0.6685 because deeper I=12 unrolls carry larger/noisier grads and a tighter clip stabilizes late-epoch convergence (the old breast LPD champion paired I>=12 with gc=0.5); time-neutral (~1800s, at wall). If this TIMEOUTs I will re-dispatch at I=11.
9		0.983333	0.470603	keep	architecture	learned_primal_dual-claude-agentic	claude-opus-4-8-1m	41.8486	2.760426e-03	1399.8	0.317712	learned_primal_dual-claude-agentic: lpd_iters=12, lpd_n_primal=7, lpd_n_dual=5, lpd_hidden=32, lpd_share_weights=False, epochs=10, lr=0.0012, lr_schedule=cosine, batch_size=1, grad_clip=1.0, lambda_neg=1.0, loss_base=mse, train_n=400, val_n=200, val_chunk=4, rationale=iter-9 one-knob: lpd_n_primal 5->7 at the BEST config (iter-6: I12/h32/ep10/lr1.2e-3/gc1.0, hr=0.6685); grad_clip reverted to 1.0 (iter-8 gc=0.5 COLLAPSED to hr=0.0/ssim0.71 -- divergence). FAILURE MODE resolved: gc must stay 1.0. Remaining time-neutral lever = inter-iteration memory. HYPOTHESIS: if I widen the image-domain primal memory n_primal 5->7 at I=12, expect hr>0.6685 because the primal channels carry the quality-bearing partial reconstruction between unrolled steps (Adler 2018) and more state = richer updates; only the primal block in/out channels grow by 2 -> ~time-neutral (~1800s, at wall). If TIMEOUT, re-dispatch at I=11.
10	1176d9f5	0.94884	0	discard	architecture	learned_primal_dual-claude-agentic	claude-opus-4-8-1m	30.9963	9.629157e-03	1087.5	0.303864	learned_primal_dual-claude-agentic: lpd_iters=12, lpd_n_primal=5, lpd_n_dual=5, lpd_hidden=32, lpd_share_weights=False, epochs=10, lr=0.0012, lr_schedule=constant, batch_size=1, grad_clip=1.0, lambda_neg=1.0, loss_base=mse, train_n=400, val_n=200, val_chunk=4, rationale=iter-10 one-knob: lr_schedule cosine->constant at the BEST config (iter-6: I12/h32/ep10/lr1.2e-3/np5/nd5/gc1.0, hr=0.6685). FAILURE MODE survey: off iter-6, lr1.6e-3(0.55)/gc0.5(0.0)/n_primal7(0.47)/hidden48(0.53) all HURT -- only DEPTH(I=12) helped. Before concluding a budget-bound local optimum, test whether cosine annealing is under-training the last epochs. HYPOTHESIS: if I hold lr=1.2e-3 CONSTANT (no cosine decay to ~0) at I=12, hr will differ from 0.6685 -- higher if cosine decayed too early (more effective late-epoch learning), lower if the anneal was stabilizing. Informative one-knob; time-neutral ~1800s (at wall).
