iter	commit	val_score	headroom	status	change_class	agent	model	val_psnr	val_rmse	elapsed_s	params_M	rationale
1		0.961191	0.166478	keep	architecture	manhart_pwls_tv-claude-agentic	claude-opus-4-8-1m	37.9059	4.346219e-03	198.8	0	manhart_pwls_tv-claude-agentic: val_n=200, pwls_gamma=1.0, pwls_weight_norm=mean, tv_lambda=0.001, tv_iterations=200, tv_lr=0.01, tv_decay=0.01, tv_optimizer=gd, tv_init=fbp, rationale=iter-1 onboarding on breast_ct (128-view sparse, mu up to 0.05): Manhart 2013 PWLS statistical ray weighting W=exp(-gamma*p) on TV-iterative, gamma=1.0 paper baseline. Seeded from Mayo run config (tv_lambda=0.001, tv_iter=200, tv_lr=0.01, gd, fbp init). val_n=200 (full breast val). Feasibility: does PWLS-TV run on breast and clear the FBP baseline.
2		0.961191	0.166478	keep	architecture	manhart_pwls_tv-claude-agentic	claude-opus-4-8-1m	37.9058	4.346223e-03	266.7	0	manhart_pwls_tv-claude-agentic: val_n=200, pwls_gamma=0.0, pwls_weight_norm=mean, tv_lambda=0.001, tv_iterations=200, tv_lr=0.01, tv_decay=0.01, tv_optimizer=gd, tv_init=fbp, rationale=iter-2 PWLS-ACTIVATION TEST. iter-1 (gamma=1.0, Manhart) gave hr=0.16648/ssim=0.9612. Mayo lesson: at tv_lambda=0.001 the TV term can dominate the data term ~1000x, making the PWLS ray-weight W=exp(-gamma*p) INERT (Mayo iter-1 g=1.0 vs iter-2 g=0.5 were bit-identical). ONE knob: pwls_gamma 1.0->0.0 (exactly plain TV; W==1 everywhere). HYPOTHESIS: if plain-TV (g=0) hr DIFFERS from iter-1's g=1.0, PWLS ray-weighting is LIVE on breast (128-view sparse data term bites harder than dense Mayo) and gamma is a real lever; if bit-identical, PWLS is inert here and I pivot to TV knobs (tv_lambda/lr/iterations). All else fixed from iter-1. Budget: iter-1 ran 199s<<1200s.
3		0.925821	0.0216631	keep	architecture	manhart_pwls_tv-claude-agentic	claude-opus-4-8-1m	36.5144	5.101326e-03	243.8	0	manhart_pwls_tv-claude-agentic: val_n=200, pwls_gamma=1.0, pwls_weight_norm=mean, tv_lambda=0.0001, tv_iterations=200, tv_lr=0.01, tv_decay=0.01, tv_optimizer=gd, tv_init=fbp, rationale=iter-3 PWLS-ACTIVATION (lower lambda). DIAGNOSIS: iter-1 (gamma=1.0) hr=0.16647825 and iter-2 (gamma=0.0 plain TV) hr=0.16647791 differ only at the 8th sig-digit (dHR~3.4e-7) => PWLS ray-weight is INERT at tv_lambda=0.001 (TV term dominates data term, same as Mayo). To let the data term BITE so Manhart's gamma can shape the recon: ONE knob tv_lambda 0.001->1e-4 (10x drop; gamma=1.0 full Manhart kept). HYPOTHESIS: at 10x lower lambda the data-fidelity term is non-negligible, so (a) hr moves materially and (b) PWLS weighting starts to matter; if hr improves this is the productive regime, if it collapses (under-regularized/noisy on 128-view sparse) I back off toward 3e-4. All else fixed from iter-1. Budget: iter-1/2 ran ~200-270s<<1200s.
4		0.971477	0.217828	keep	architecture	manhart_pwls_tv-claude-agentic	claude-opus-4-8-1m	38.4582	4.078466e-03	388.3	0	manhart_pwls_tv-claude-agentic: val_n=200, pwls_gamma=1.0, pwls_weight_norm=mean, tv_lambda=0.001, tv_iterations=400, tv_lr=0.01, tv_decay=0.01, tv_optimizer=gd, tv_init=fbp, rationale=iter-4 CONVERGENCE probe. iter-3 (tv_lambda=1e-4) COLLAPSED hr 0.1665->0.0217 (under-regularized: on 128-view sparse the data term drags in streaks/noise faster than PWLS helps) => lower lambda is the WRONG direction; revert to lambda=1e-3. At lambda=1e-3 plain TV only reaches hr=0.1665/ssim=0.96 in 200 GD iters at lr=0.01 — the data-consistency solve may not be converged. ONE knob: tv_iterations 200->400 (double GD steps, same lambda/lr, gamma=1.0). HYPOTHESIS: more iters enforce data-consistency further so hr climbs past 0.1665; if it saturates the solve is already converged and I pivot to lr/optimizer. Budget: iter-1 200s -> ~400s at 2x iters, <<1200s.
5	671da566	0.979402	0.263473	keep	architecture	manhart_pwls_tv-claude-agentic	claude-opus-4-8-1m	38.9804	3.840462e-03	717.8	0	manhart_pwls_tv-claude-agentic: val_n=200, pwls_gamma=1.0, pwls_weight_norm=mean, tv_lambda=0.001, tv_iterations=800, tv_lr=0.01, tv_decay=0.01, tv_optimizer=gd, tv_init=fbp, rationale=iter-5 CONVERGENCE-2. iter-4 (tv_iterations 200->400) lifted hr 0.1665->0.2178 (ssim 0.96->0.9715): the GD data-consistency solve was NOT converged; more iters help. ONE knob: tv_iterations 400->800 (same lambda=1e-3, lr=0.01, gamma=1.0). HYPOTHESIS: if 800 iters still climbs past 0.2178 the solve is still convergence-limited (keep pushing/raise lr); if it saturates ~0.2178 GD has converged and I pivot to lr or lambda for a better-regularized optimum. Budget: iter-4 388s at 400 iters -> ~780s at 800, <<1200s.
6	671da566	0.981403	0.276298	keep	architecture	manhart_pwls_tv-claude-agentic	claude-opus-4-8-1m	39.133	3.773588e-03	848.6	0	manhart_pwls_tv-claude-agentic: val_n=200, pwls_gamma=1.0, pwls_weight_norm=mean, tv_lambda=0.001, tv_iterations=1000, tv_lr=0.01, tv_decay=0.01, tv_optimizer=gd, tv_init=fbp, rationale=iter-6 SATURATION probe. iter-5 (800 iters) hr=0.2635 (best), up from iter-4 (400) 0.2178. Slurm log: the DATA term is FLAT at 0.740 from iter 450->800 (data-consistency CONVERGED) while the TV term keeps dropping (100684->92709) -> the 0.2178->0.2635 gain is from continued TV smoothing, still net-beneficial. ONE knob: tv_iterations 800->1000 (same lambda=1e-3, lr=0.01, gamma=1.0). HYPOTHESIS: if hr still climbs past 0.2635 the TV-smoothing optimum is not reached (then reach it faster via higher lambda next); if it saturates ~0.2635 GD+TV has converged and I pivot to lambda/optimizer. Budget: iter-5 717.8s total at 800 iters -> ~900s at 1000, still <1200s wall.
7	671da566	0.99094	0.355224	keep	architecture	manhart_pwls_tv-claude-agentic	claude-opus-4-8-1m	40.136	3.362045e-03	859.7	0	manhart_pwls_tv-claude-agentic: val_n=200, pwls_gamma=1.0, pwls_weight_norm=mean, tv_lambda=0.002, tv_iterations=1000, tv_lr=0.01, tv_decay=0.01, tv_optimizer=gd, tv_init=fbp, rationale=iter-7 REGULARIZATION knob (efficiency pivot). iters 200->400->800->1000 lifted hr 0.1665->0.2178->0.2635->0.2763 monotonically, BUT the data term converged by ~iter 450 (flat 0.740) so all gains are continued TV smoothing, and runtime is now 848s@1000it (wall=1200s) — adding raw iters is nearly exhausted. Reach a smoother optimum PER STEP instead. ONE knob: tv_lambda 0.001->0.002 (2x stronger TV), iterations kept at 1000, gamma=1.0. HYPOTHESIS: stronger TV reaches a more-smoothed optimum in the same 1000 iters so hr rises past 0.2763 at ~same 848s runtime; if it over-smooths (hr drops, fine structure lost) the lambda=1e-3 optimum was near-best and I back toward 1.5e-3. Budget: ~848s, <1200s wall.
8	671da566	0.98862	0.333576	keep	architecture	manhart_pwls_tv-claude-agentic	claude-opus-4-8-1m	39.8492	3.474926e-03	847.4	0	manhart_pwls_tv-claude-agentic: val_n=200, pwls_gamma=1.0, pwls_weight_norm=mean, tv_lambda=0.004, tv_iterations=1000, tv_lr=0.01, tv_decay=0.01, tv_optimizer=gd, tv_init=fbp, rationale=iter-8 LAMBDA sweep up. iter-7 tv_lambda 0.001->0.002 jumped hr 0.2763->0.3552 (ssim 0.9814->0.9909) at 1000 iters — TV was underweighted; stronger TV is strongly productive and not yet over-smoothing. ONE knob: tv_lambda 0.002->0.004 (2x), iterations kept 1000, gamma=1.0. HYPOTHESIS: if hr rises past 0.3552 TV is still underweighted (keep climbing lambda); if hr drops (over-smoothing loses fine breast structure) the optimum is between 2e-3 and 4e-3 and I bisect (~3e-3). Budget: iter-7 860s at 1000 iters -> ~860s, <1200s wall.
9	671da566	0.990782	0.359645	keep	architecture	manhart_pwls_tv-claude-agentic	claude-opus-4-8-1m	40.1958	3.338994e-03	867.8	0	manhart_pwls_tv-claude-agentic: val_n=200, pwls_gamma=1.0, pwls_weight_norm=mean, tv_lambda=0.003, tv_iterations=1000, tv_lr=0.01, tv_decay=0.01, tv_optimizer=gd, tv_init=fbp, rationale=iter-9 LAMBDA bisection. iter-7 (lambda=2e-3) hr=0.3552 BEST; iter-8 (lambda=4e-3) hr=0.3336 DROPPED (over-smoothed, fine breast structure lost) => interior lambda optimum bracketed in (2e-3, 4e-3). ONE knob: tv_lambda -> 0.003 (midpoint), iterations 1000, gamma=1.0. HYPOTHESIS: if hr>0.3552 the peak is near 3e-3; if hr<0.3552 the optimum is at/below 2e-3 and I test 1.5e-3 next. Budget: ~850s at 1000 iters, <1200s wall.
10	671da566	0.742355	0	discard	architecture	manhart_pwls_tv-claude-agentic	claude-opus-4-8-1m	17.7089	4.445912e-02	864.5	0	manhart_pwls_tv-claude-agentic: val_n=200, pwls_gamma=1.0, pwls_weight_norm=mean, tv_lambda=0.003, tv_iterations=1000, tv_lr=0.01, tv_decay=0.01, tv_optimizer=adam, tv_init=fbp, rationale=iter-10 OPTIMIZER pivot. Lambda peak located and shallow: lambda 2e-3->0.3552, 3e-3->0.3596 (BEST), 4e-3->0.3336; further lambda bisection is sub-0.005 noise-floor. Data term converged by ~iter450 while TV term still descended at iter-1000 in earlier GD logs => the TV minimum may be under-converged by plain GD. ONE knob: tv_optimizer gd->adam (keep lambda=3e-3, 1000 iters, lr=0.01, gamma=1.0). HYPOTHESIS: Adam's adaptive per-parameter steps reach a deeper TV minimum than plain GD in the same 1000 iters so hr rises past 0.3596; if Adam overshoots/destabilizes (hr drops) GD was better and I revert then tune lr. Watch: adam at lr=0.01 may be aggressive. Budget: ~870s at 1000 iters, <1200s wall.
