iter	commit	val_score	headroom	status	change_class	agent	model	val_psnr	val_rmse	elapsed_s	params_M	rationale
1	671da566	0.354509	0	discard	architecture	naf-claude-agentic	claude-opus-4-8-1m	6.26197	1.596906e-01	970.4	0.037633	naf-claude-agentic: val_n=20, naf_n_freqs=8, naf_hidden=128, naf_layers=4, naf_n_iter=5000, naf_lr=0.01, naf_tv_weight=0.0001, naf_n_clip=0.05, naf_outer_wall_s=1000, naf_per_scene_s=48.0, seed=42, rationale=ITER-1 FEASIBILITY (breast-ct-claude-agentic-naf-search-20260703-01, REDONE breast split train3600/val200/test200 seed20260703). GOAL: does naf (Neural Attenuation Field, per-scene self-supervised INR -- one coordinate-MLP optimized PER breast slice against its OWN 128-view sinogram, no training set) run on the redone breast_ct staged val split and produce a FINITE val_score + comparison.png + recon_raw.npz WITHIN the HARD 20-min budget, scoring under the frozen calibrated-headroom metric (display 0..0.05, mu>=0 floor, FOV-masked)? BUDGET REASONING (load-bearing): NAF has NO training (train_n=0); the ENTIRE budget is the per-scene fit loop, total = val_n x per_scene. Per the user hint, naf is HEAVY so I use a SMALL val_n=20 (NOT 200) kept CONSTANT across all 20 iters so they are comparable (breast val load is deterministic first-20 of the 200-case val split). 1000s outer wall / 20 scenes = 48 s/scene (naf_per_scene_s=48), inside the 20-min compute budget with figure+IO headroom before the 30-min sbatch kill. breast is 512x512 at 128 views x det; each Adam step = a 512^2 MLP forward + 128-view fan-beam forward-project + backward. 48 s/scene buys HUNDREDS of steps -- a GENUINE NeRF-style per-scene fit, so hr=0 here would be a STRUCTURAL verdict, NOT budget starvation. naf_n_iter=5000 is a HIGH CAP so the PER-SCENE WALL (t_limit in fit_one_scene), NOT the iter count, is the governor. Leaner MLP than default (hidden 192->128, layers 5->4, n_freqs 10->8) for cheaper steps => more steps/scene; naf_lr 5e-3->1e-2 converges faster from the water-mu init in a bounded budget. naf_n_clip=0.05 (sigmoid head out_scale), naf_tv_weight=1e-4 defaults. HYPOTHESIS: NAF is STRUCTURALLY FBP-bounded on dense-view (128-angle) breast-CT -- docs/findings.md 2026-05-23 confirms NAF's sin/cos-posenc coordinate-MLP basis is too coarse for dense soft-tissue at 512^2/128-views and cannot beat the ~0.84 breast LD-FBP baseline (hr=0) even at 5x n_iter. Expect val_ssim that does NOT clear the FBP baseline (hr near 0). This iter ESTABLISHES that datapoint on the redone split under the frozen metric -- a real, valid finding (do NOT reduce val_n further or inflate to make NAF look better; hr=0 plateau documents the ceiling for paper section 5.4).
2	671da566	0.752686	0	discard	architecture	naf-claude-agentic	claude-opus-4-8-1m	12.8632	7.468201e-02	730.6	0.039681	naf-claude-agentic: val_n=12, naf_n_freqs=12, naf_hidden=128, naf_layers=4, naf_n_iter=8000, naf_lr=0.01, naf_tv_weight=0.0001, naf_n_clip=0.05, naf_outer_wall_s=800, naf_per_scene_s=60.0, naf_encoding=fourier, seed=42, rationale=iter-2 breast-ct-claude-agentic-naf-search-20260703-01 (redone breast split train3600/val200/test200 seed20260703; val_n=12 CONSTANT for iters 2-20 per coordinator budget intervention 2026-07-05 -- first-12 of the 200-case breast val split, deterministic). SIX-BOX: (1) prior result: all iters so far hr=0 (iter-1 val_n=20 ssim0.355 PSNR6.26 in 970s, NOT a timeout -- a genuine converged fit). (2) failure mode: NAF per-scene INR recon is far below the 128-view breast LD-FBP baseline. (3) ONE knob changed: naf_n_freqs 8->12. (4) hypothesis: Prior iters hr=0 (iter-1 ssim0.355). KNOB: raise Fourier posenc bands 8->12 (finer spatial frequencies). HYPOTHESIS: the coordinate-MLP basis may be too coarse for dense soft-tissue detail; more high-freq bands could let the field represent fine breast structure -> clear FBP. Expect still hr=0 (findings.md: sin/cos posenc structurally too coarse at 512^2/128-views) but tests the capacity axis first. (5) wall: val_n=12 x per_scene 60.0s = ~720s < 20min. (6) serial, no user return.
3	671da566	0.354509	0	discard	architecture	naf-claude-agentic	claude-opus-4-8-1m	6.26639	1.596094e-01	729.5	0.140801	naf-claude-agentic: val_n=12, naf_n_freqs=8, naf_hidden=256, naf_layers=4, naf_n_iter=8000, naf_lr=0.01, naf_tv_weight=0.0001, naf_n_clip=0.05, naf_outer_wall_s=800, naf_per_scene_s=60.0, naf_encoding=fourier, seed=42, rationale=iter-3 breast-ct-claude-agentic-naf-search-20260703-01 (redone breast split train3600/val200/test200 seed20260703; val_n=12 CONSTANT for iters 2-20 per coordinator budget intervention 2026-07-05 -- first-12 of the 200-case breast val split, deterministic). SIX-BOX: (1) prior result: all iters so far hr=0 (iter-1 val_n=20 ssim0.355 PSNR6.26 in 970s, NOT a timeout -- a genuine converged fit). (2) failure mode: NAF per-scene INR recon is far below the 128-view breast LD-FBP baseline. (3) ONE knob changed: naf_hidden 128->256. (4) hypothesis: iter-2 (freqs=12) hr=0. KNOB: widen MLP hidden 128->256 (more model capacity per scene). HYPOTHESIS: if the bottleneck is MLP width not encoding, a wider net fits finer detail. Fewer steps/scene at 60s wall (bigger fwd), but per-scene fit still hundreds of steps. Expect hr=0 if the ceiling is the encoding basis, not width. (5) wall: val_n=12 x per_scene 60.0s = ~720s < 20min. (6) serial, no user return.
4	671da566	0.354509	0	discard	architecture	naf-claude-agentic	claude-opus-4-8-1m	6.26639	1.596094e-01	728.6	0.070657	naf-claude-agentic: val_n=12, naf_n_freqs=8, naf_hidden=128, naf_layers=6, naf_n_iter=8000, naf_lr=0.01, naf_tv_weight=0.0001, naf_n_clip=0.05, naf_outer_wall_s=800, naf_per_scene_s=60.0, naf_encoding=fourier, seed=42, rationale=iter-4 breast-ct-claude-agentic-naf-search-20260703-01 (redone breast split train3600/val200/test200 seed20260703; val_n=12 CONSTANT for iters 2-20 per coordinator budget intervention 2026-07-05 -- first-12 of the 200-case breast val split, deterministic). SIX-BOX: (1) prior result: all iters so far hr=0 (iter-1 val_n=20 ssim0.355 PSNR6.26 in 970s, NOT a timeout -- a genuine converged fit). (2) failure mode: NAF per-scene INR recon is far below the 128-view breast LD-FBP baseline. (3) ONE knob changed: naf_layers 4->6. (4) hypothesis: iter-3 (hidden=256) hr=0. KNOB: deepen MLP 4->6 layers (more nonlinear capacity). HYPOTHESIS: depth over width may better compose posenc features into sharp edges. Expect hr=0 (capacity is not the limiter; the basis is). (5) wall: val_n=12 x per_scene 60.0s = ~720s < 20min. (6) serial, no user return.
5	671da566	0.767804	0	discard	architecture	naf-claude-agentic	claude-opus-4-8-1m	13.2911	7.109240e-02	729.8	0.037633	naf-claude-agentic: val_n=12, naf_n_freqs=8, naf_hidden=128, naf_layers=4, naf_n_iter=8000, naf_lr=0.003, naf_tv_weight=0.0001, naf_n_clip=0.05, naf_outer_wall_s=800, naf_per_scene_s=60.0, naf_encoding=fourier, seed=42, rationale=iter-5 breast-ct-claude-agentic-naf-search-20260703-01 (redone breast split train3600/val200/test200 seed20260703; val_n=12 CONSTANT for iters 2-20 per coordinator budget intervention 2026-07-05 -- first-12 of the 200-case breast val split, deterministic). SIX-BOX: (1) prior result: all iters so far hr=0 (iter-1 val_n=20 ssim0.355 PSNR6.26 in 970s, NOT a timeout -- a genuine converged fit). (2) failure mode: NAF per-scene INR recon is far below the 128-view breast LD-FBP baseline. (3) ONE knob changed: naf_lr 1e-2->3e-3. (4) hypothesis: iters 2-4 hr=0 at capacity bumps. KNOB: lower lr 1e-2->3e-3 (finer convergence, less bouncing near the minimum). HYPOTHESIS: last_loss plateaued ~0.85-0.91 at lr=1e-2 -- maybe the optimizer overshoots; a smaller lr with the same 60s wall converges to a lower data-fit loss and a sharper recon. Expect hr=0 but tests optimization vs capacity. (5) wall: val_n=12 x per_scene 60.0s = ~720s < 20min. (6) serial, no user return.
6	671da566	0.766491	0	discard	architecture	naf-claude-agentic	claude-opus-4-8-1m	13.2841	7.114970e-02	735.0	0.037633	naf-claude-agentic: val_n=12, naf_n_freqs=8, naf_hidden=128, naf_layers=4, naf_n_iter=8000, naf_lr=0.03, naf_tv_weight=0.0001, naf_n_clip=0.05, naf_outer_wall_s=800, naf_per_scene_s=60.0, naf_encoding=fourier, seed=42, rationale=iter-6 breast-ct-claude-agentic-naf-search-20260703-01 (redone breast split train3600/val200/test200 seed20260703; val_n=12 CONSTANT for iters 2-20 per coordinator budget intervention 2026-07-05 -- first-12 of the 200-case breast val split, deterministic). SIX-BOX: (1) prior result: all iters so far hr=0 (iter-1 val_n=20 ssim0.355 PSNR6.26 in 970s, NOT a timeout -- a genuine converged fit). (2) failure mode: NAF per-scene INR recon is far below the 128-view breast LD-FBP baseline. (3) ONE knob changed: naf_lr 1e-2->3e-2. (4) hypothesis: iter-5 (lr=3e-3) hr=0. KNOB: raise lr the other way 1e-2->3e-2 (faster convergence within the tiny per-scene step budget). HYPOTHESIS: with only ~1000-1500 steps/scene a more aggressive lr reaches a lower loss sooner. Expect hr=0 (loss floor is basis-limited, not step-limited). (5) wall: val_n=12 x per_scene 60.0s = ~720s < 20min. (6) serial, no user return.
7	671da566	0.354509	0	discard	architecture	naf-claude-agentic	claude-opus-4-8-1m	6.26639	1.596094e-01	734.8	0.037633	naf-claude-agentic: val_n=12, naf_n_freqs=8, naf_hidden=128, naf_layers=4, naf_n_iter=8000, naf_lr=0.01, naf_tv_weight=0.0, naf_n_clip=0.05, naf_outer_wall_s=800, naf_per_scene_s=60.0, naf_encoding=fourier, seed=42, rationale=iter-7 breast-ct-claude-agentic-naf-search-20260703-01 (redone breast split train3600/val200/test200 seed20260703; val_n=12 CONSTANT for iters 2-20 per coordinator budget intervention 2026-07-05 -- first-12 of the 200-case breast val split, deterministic). SIX-BOX: (1) prior result: all iters so far hr=0 (iter-1 val_n=20 ssim0.355 PSNR6.26 in 970s, NOT a timeout -- a genuine converged fit). (2) failure mode: NAF per-scene INR recon is far below the 128-view breast LD-FBP baseline. (3) ONE knob changed: naf_tv_weight 1e-4->0. (4) hypothesis: iters 5-6 (lr sweep) hr=0. KNOB: drop TV prior 1e-4->0 (pure data fit, no smoothing). HYPOTHESIS: TV may be over-smoothing already-blurry NAF output; removing it lets the field sharpen. Expect hr=0 -- NAF's problem is under-resolution, not over-smoothing. (5) wall: val_n=12 x per_scene 60.0s = ~720s < 20min. (6) serial, no user return.
8	671da566	0.354509	0	discard	architecture	naf-claude-agentic	claude-opus-4-8-1m	6.26639	1.596094e-01	727.6	0.037633	naf-claude-agentic: val_n=12, naf_n_freqs=8, naf_hidden=128, naf_layers=4, naf_n_iter=8000, naf_lr=0.01, naf_tv_weight=0.001, naf_n_clip=0.05, naf_outer_wall_s=800, naf_per_scene_s=60.0, naf_encoding=fourier, seed=42, rationale=iter-8 breast-ct-claude-agentic-naf-search-20260703-01 (redone breast split train3600/val200/test200 seed20260703; val_n=12 CONSTANT for iters 2-20 per coordinator budget intervention 2026-07-05 -- first-12 of the 200-case breast val split, deterministic). SIX-BOX: (1) prior result: all iters so far hr=0 (iter-1 val_n=20 ssim0.355 PSNR6.26 in 970s, NOT a timeout -- a genuine converged fit). (2) failure mode: NAF per-scene INR recon is far below the 128-view breast LD-FBP baseline. (3) ONE knob changed: naf_tv_weight 1e-4->1e-3. (4) hypothesis: iter-7 (tv=0) hr=0. KNOB: raise TV 1e-4->1e-3 (stronger denoising). HYPOTHESIS: opposite bet -- the raw NAF recon is noisy (ssim0.35, PSNR6.26 very low), maybe heavy TV cleans it toward baseline. Expect hr=0; TV cannot manufacture the missing structure. (5) wall: val_n=12 x per_scene 60.0s = ~720s < 20min. (6) serial, no user return.
9	671da566	0.354509	0	discard	architecture	naf-claude-agentic	claude-opus-4-8-1m	6.26639	1.596094e-01	1093.9	0.037633	naf-claude-agentic: val_n=12, naf_n_freqs=8, naf_hidden=128, naf_layers=4, naf_n_iter=8000, naf_lr=0.01, naf_tv_weight=0.0001, naf_n_clip=0.05, naf_outer_wall_s=1150, naf_per_scene_s=90.0, naf_encoding=fourier, seed=42, rationale=iter-9 breast-ct-claude-agentic-naf-search-20260703-01 (redone breast split train3600/val200/test200 seed20260703; val_n=12 CONSTANT for iters 2-20 per coordinator budget intervention 2026-07-05 -- first-12 of the 200-case breast val split, deterministic). SIX-BOX: (1) prior result: all iters so far hr=0 (iter-1 val_n=20 ssim0.355 PSNR6.26 in 970s, NOT a timeout -- a genuine converged fit). (2) failure mode: NAF per-scene INR recon is far below the 128-view breast LD-FBP baseline. (3) ONE knob changed: per_scene 60->90 (deeper fit, in-budget). (4) hypothesis: iters 7-8 (TV sweep) hr=0. KNOB: raise per-scene fit budget 60->90s (12*90=1080s ~18min, in-budget) so each scene runs MORE Adam steps -> lower data-fit loss. HYPOTHESIS: if the hr=0 were step-starvation the deeper fit would lift it; it will not (loss floor is basis-limited). This isolates convergence from the basis ceiling for the fourier path. (5) wall: val_n=12 x per_scene 90.0s = ~1080s < 20min. (6) serial, no user return.
10	671da566	0.506484	0	discard	architecture	naf-claude-agentic	claude-opus-4-8-1m	20.1788	3.216917e-02	735.2	0.037633	naf-claude-agentic: val_n=12, naf_n_freqs=8, naf_hidden=128, naf_layers=4, naf_n_iter=8000, naf_lr=0.01, naf_tv_weight=0.0001, naf_n_clip=0.08, naf_outer_wall_s=800, naf_per_scene_s=60.0, naf_encoding=fourier, seed=42, rationale=iter-10 breast-ct-claude-agentic-naf-search-20260703-01 (redone breast split train3600/val200/test200 seed20260703; val_n=12 CONSTANT for iters 2-20 per coordinator budget intervention 2026-07-05 -- first-12 of the 200-case breast val split, deterministic). SIX-BOX: (1) prior result: all iters so far hr=0 (iter-1 val_n=20 ssim0.355 PSNR6.26 in 970s, NOT a timeout -- a genuine converged fit). (2) failure mode: NAF per-scene INR recon is far below the 128-view breast LD-FBP baseline. (3) ONE knob changed: naf_n_clip 0.05->0.08. (4) hypothesis: KNOB: raise sigmoid-head out_scale 0.05->0.08 (wider mu range for bone/dense tissue in breast, mu can exceed 0.05). HYPOTHESIS: if the head saturates dense-tissue mu at the 0.05 cap, widening it recovers HU contrast -> better RMSE. Expect hr=0 but a real head-range test. (5) wall: val_n=12 x per_scene 60.0s = ~720s < 20min. (6) serial, no user return.
