iter	commit	val_score	headroom	status	change_class	agent	model	val_psnr	val_rmse	elapsed_s	params_M	rationale
1	671da566	0.987462	0.263541	keep	architecture	param_efficient-claude-agentic	claude-opus-4-8-1m	38.9812	3.840107e-03	1284.2	0.001933	param_efficient-claude-agentic: reg_type=foe, bilateral_on_top=True, proj_filter_on=False, n_iter=5, learnable_alpha=True, alpha_init=0.1, foe_n_filters=24, foe_kernel=7, foe_n_bumps=31, n_bf=3, bf_multiscale=True, bf_sigmas=[0.8, 1.6, 3.2], bf_kernel=7, bf_sigma_r=0.02, bf_gain_init=0.0, epochs=16, cosine_lr=True, lr=0.005, max_train_s=1080, batch_size=4, train_n=800, val_n=200, display_min=0.0, display_max=0.05, seed=42, rationale=iter-1 ONBOARDING of param_efficient (FoE unrolled prox-gradient + DC, K=5, + multi-RF PARALLEL bilateral bank, zero-init gains) on the re-split Breast-CT (train 3600/val 200/test 200, seed 20260703; 128-view SPARSE). 1,932 reg params. SIX-BOX: (1) PRIOR: none (first iter); cross-solver evidence: DL tier (ItNet/DD-UNet) plateaus val hr ~0.88 at 0.23-0.47M params; the FoE param-efficient recombination targets that hr at ~1.9k params (~200x fewer). (2) FAILURE MODE: N/A onboarding; goal = does the Mayo-evolved FoE+bilateral seed RUN on breast 128-view 512^2 and clear the sparse-view FBP baseline (hr>0). (3) ONE KNOB: N/A baseline seed = Mayo iter-25/27 champion arch (FoE nf24/k7 + M=3 bilateral bank ON TOP), proj-filter OFF (turned on later as the sparse-view lever). (4) HYPOTHESIS: FoE+bilateral (1,932 params, K=5 DC unroll, FBP warm-start) clears breast FBP (hr>0) and lands hr ~0.4-0.6 in one 18-min run, because unrolled data-consistency is the strong-performer trait on breast and the FBP init leaves large sparse-view headroom -- but 200x fewer params than the DL tier means it will START well below 0.88 and the projection-domain + anisotropic streak levers (dormant here) are the sparse-view-specific gains to add next. (5) BUDGET: train_n=800 x FoE K=5 unroll at 512^2, bs=4, hard max_train_s=1080 backstop + 200-slice val pass; breast uses ONE shared PYRO-NN projector (no per-sample-ps) -> well inside 20 min. (6) Loop continues STRICT SERIAL; iter-2 self-dispatched on landing. AGENT4CT_SAVE_RECON -> dashboard iter dir so recon_raw.npz (pred/truth/baseline) lands where rescore reads it.
2	671da566	0.985303	0.189676	keep	architecture	param_efficient-claude-agentic	claude-opus-4-8-1m	38.151	4.225259e-03	1164.0	0.001933	param_efficient-claude-agentic: reg_type=foe, bilateral_on_top=True, proj_filter_on=False, n_iter=5, learnable_alpha=True, alpha_init=0.1, foe_n_filters=24, foe_kernel=7, foe_n_bumps=31, n_bf=3, bf_multiscale=True, bf_sigmas=[0.8, 1.6, 3.2], bf_kernel=7, bf_sigma_r=0.02, bf_gain_init=0.0, epochs=16, cosine_lr=True, lr=0.005, max_train_s=1080, batch_size=4, train_n=200, val_n=200, display_min=0.0, display_max=0.05, seed=42, rationale=iter-2 param_efficient breast (FoE K=5 DC unroll + M=3 bilateral bank, 1,933 params). SIX-BOX: (1) PRIOR: iter-1 hr 0.2635 ssim 0.9875 @ 1,933 params, but training WALL-CUT at epoch 3/16 (loss 2.05e-4 -> 2.35e-5 -> 2.02e-5 STILL dropping; bilateral gains 0.94 -> 1.53 -> 1.81 STILL climbing at cutoff) => compute-starved, NOT an arch ceiling. (2) FAILURE MODE: undertraining -- the FoE unroll at train_n=800/bs4/512^2 fits only 3/16 epochs in the 1080s wall; the anneal never completes. (3) ONE KNOB: train_n 800->200 (Mayo proven value); all else byte-for-byte iter-1. (4) HYPOTHESIS: at train_n=200 ~4x more epochs (~12/16) fit the SAME 1080s wall, so the cosine anneal completes and hr rises WELL past 0.2635, because iter-1 was compute-starved not data-starved (200 breast phantoms trained the DL tier fine). ZERO extra params. (5) BUDGET: train_n=200 x K=5 unroll bs4 + 200-val pass, 1080s backstop => <20min. (6) SERIAL; iter-3 self-dispatches on landing (next lever = the Manduca PROJECTION filter, the sparse-view-specific gain dormant here).
3	671da566	0.946142	0	discard	architecture	param_efficient-claude-agentic	claude-opus-4-8-1m	29.0348	1.206885e-02	1163.5	0.001933	param_efficient-claude-agentic: reg_type=foe, bilateral_on_top=True, proj_filter_on=False, n_iter=5, learnable_alpha=True, alpha_init=0.5, foe_n_filters=24, foe_kernel=7, foe_n_bumps=31, n_bf=3, bf_multiscale=True, bf_sigmas=[0.8, 1.6, 3.2], bf_kernel=7, bf_sigma_r=0.02, bf_gain_init=0.0, epochs=16, cosine_lr=True, lr=0.005, max_train_s=1080, batch_size=4, train_n=200, val_n=200, display_min=0.0, display_max=0.05, seed=42, rationale=iter-3 param_efficient breast. SIX-BOX: (1) PRIOR: iter-1 hr 0.2635 (3 epochs, reg barely engaged) BEAT iter-2 hr 0.1897 (11 epochs, reg fully engaged, train-loss monotonically down while val hr FELL). Diagnosis: the DC step is a GENUINE projector round-trip dc=R^T(Rx-g)/dc_norm, but with K=5 tied steps at weak alpha~0.09 five GD-DC steps cannot null the sparse-view streak residual, while the FoE+bilateral reg over-smooths every step -> the reg WINS as training proceeds. Data-consistency is the differentiator (coordinator: VN 0.63 @ 9k, LPD 0.68 -- genuine DC; image-domain-only caps ~0.28). Our DC is present but TOO WEAK relative to reg over K=5. (2) FAILURE MODE: under-consistency -- streaks survive because the GD-DC step size is too small to enforce Rx=g in 5 tied steps; reg dominates. (3) ONE KNOB: alpha_init 0.1 -> 0.5 (5x stronger DC/prox step). All else byte-for-byte iter-2 (train_n=200, K=5, FoE+M3 bilateral). (4) HYPOTHESIS: a 5x stronger step drives Rx toward g much harder per iteration, so the 5 unrolled steps actually remove streaks before the reg smooths them -> hr rises well past 0.2635, because DC-strength (not reg cleverness) is the sparse-view lever. Risk: too-strong alpha can diverge (dc_norm scaling keeps grad O(1), softplus keeps alpha>0); grad_clip=1 guards. ZERO extra params. (5) BUDGET: train_n=200 K=5 bs4 + 200-val, 1080s backstop -> <20min. (6) SERIAL; iter-4 self-dispatches (next: projection-domain filter ON -- sparse-view-native).
4	671da566	0.971346	0	discard	architecture	param_efficient-claude-agentic	claude-opus-4-8-1m	32.666	7.945164e-03	1354.9	0.001933	param_efficient-claude-agentic: reg_type=foe, bilateral_on_top=True, proj_filter_on=False, n_iter=12, learnable_alpha=True, alpha_init=0.1, foe_n_filters=24, foe_kernel=7, foe_n_bumps=31, n_bf=3, bf_multiscale=True, bf_sigmas=[0.8, 1.6, 3.2], bf_kernel=7, bf_sigma_r=0.02, bf_gain_init=0.0, epochs=16, cosine_lr=True, lr=0.005, max_train_s=1080, batch_size=4, train_n=200, val_n=200, display_min=0.0, display_max=0.05, seed=42, rationale=iter-4 param_efficient breast. SIX-BOX: (1) PRIOR: iter-1 (a~0.09,3ep) hr 0.264 BEST; iter-2 (a~0.09,11ep) 0.190; iter-3 (a=0.5,11ep) hr 0.0 DIVERGED -- bilateral gains went NEGATIVE (-0.18,-0.24), train-loss ROSE 7x, PSNR 38->29. So DC-strength is NOT a monotonic lever in the tied-GD prox: too-weak alpha leaves streaks, too-strong overshoots+diverges. The plain GD unroll x=x-alpha*(dc+reg) is step-size-fragile; VN/LPD win by NOT relying on a single hand-tuned step (learned DC depth / primal-dual). (2) FAILURE MODE: under-consistency at safe alpha -- 5 tied steps can't null the sparse-view residual, but a bigger single step diverges. The fix is DEPTH, not step size. (3) ONE KNOB: n_iter 5 -> 12 (deeper weight-TIED DC unroll), alpha reverted to 0.1 (iter-3's 0.5 diverged). All else byte-for-byte iter-2. WEIGHT-TIED => ZERO extra params (VN's free-depth trick). (4) HYPOTHESIS: 12 tied safe-alpha DC steps drive Rx->g much further than 5, removing streaks that 5 steps left, WITHOUT the per-step overshoot that killed iter-3 -> hr rises past 0.264, because on sparse-view CONSISTENCY DEPTH (not step size, not reg cleverness) is the lever. (5) BUDGET: K=12 is ~2.4x the fwd/back-proj of K=5; with train_n=200/bs4 + checkpointing + the 1080s wall backstop, expect ~5-6 epochs (fewer than iter-2's 11 but the anneal still progresses); 200-val pass fits. ~<20min (backstop guarantees it). (6) SERIAL; iter-5 self-dispatches (next: projection-domain filter ON, sparse-view-native, if depth alone plateaus).
5	671da566	0.948117	0.0664039	keep	architecture	param_efficient-claude-agentic	claude-opus-4-8-1m	36.921	4.868035e-03	507.9	1.3e-05	param_efficient-claude-agentic: reg_type=bilateral, bilateral_on_top=False, proj_filter_on=False, n_iter=5, learnable_alpha=True, alpha_init=0.1, foe_n_filters=24, foe_kernel=7, foe_n_bumps=31, n_bf=3, bf_multiscale=True, bf_sigmas=[0.8, 1.6, 3.2], bf_kernel=7, bf_sigma_r=0.02, bf_gain_init=0.0, epochs=16, cosine_lr=True, lr=0.005, max_train_s=1080, batch_size=4, train_n=200, val_n=200, display_min=0.0, display_max=0.05, seed=42, rationale=iter-5 param_efficient breast -- ARCHITECTURE PIVOT (drop Mayo FoE). SIX-BOX: (1) PRIOR: 4 negatives converge -- iter1(K5,a.09,3ep) 0.264 BEST; iter2(11ep) 0.190; iter3(a0.5) 0.0 diverge; iter4(K12) 0.0 over-regularize. EVERY direction that engages the FoE reg MORE lowers hr; best result had FoE LEAST trained. Verdict: the Mayo FoE is a NOISE prior added INSIDE the GD step (x=x-alpha*(dc+reg)) so a trained FoE smoother directly CORRUPTS the DC direction on coherent streaks. (2) FAILURE MODE: reg-DC conflict -- the FoE fights consistency; it is the ceiling, not the help. (3) ONE KNOB: reg_type foe -> bilateral (standalone 3-scale edge-preserving gate, 12 reg params, bilateral_on_top=False). K=5, alpha=0.1, train_n=200 else byte-for-byte iter-2. The range kernel (sigma_r=0.02) STRUCTURALLY vetoes over-smoothing (coordinator: DD-bf-N2I 0.21 vs plain-N2I 0.00) so it CAN'T corrupt DC the way FoE did. (4) HYPOTHESIS: replacing the FoE noise prior with a light bilateral gate lets the genuine DC unroll DOMINATE -- streaks get removed by re-imposing Rx=g while the gate only preserves edges, so hr rises past 0.264 at just 12 reg params (13 total). Note: bilateral ALONE (no DC) capped 0.28 on breast; the bet is that WITH the K=5 DC unroll it does better because DC does the streak removal. (5) BUDGET: K=5 bilateral is CHEAPER than FoE per step -> more epochs fit 1080s wall; 200-val pass fits; <20min. (6) SERIAL; iter-6 self-dispatches (next: DC depth K on THIS lean prox, then projection-domain filter +5p).
6	671da566	0.948347	0	discard	architecture	param_efficient-claude-agentic	claude-opus-4-8-1m	35.287	5.875638e-03	1192.4	1.3e-05	param_efficient-claude-agentic: reg_type=bilateral, bilateral_on_top=False, proj_filter_on=False, n_iter=20, learnable_alpha=True, alpha_init=0.1, foe_n_filters=24, foe_kernel=7, foe_n_bumps=31, n_bf=3, bf_multiscale=True, bf_sigmas=[0.8, 1.6, 3.2], bf_kernel=7, bf_sigma_r=0.02, bf_gain_init=0.0, epochs=16, cosine_lr=True, lr=0.005, max_train_s=1080, batch_size=4, train_n=200, val_n=200, display_min=0.0, display_max=0.05, seed=42, rationale=iter-6 param_efficient breast -- DC DEPTH on the lean prox. SIX-BOX: (1) PRIOR: iter-5 (pivot: reg foe->bilateral, 13 params, K5) hr 0.0664 -- cleared baseline (PSNR 36.92>36.32), ran ALL 16 epochs stably, alpha auto-tuned to 0.022. But 0.066 < iter-1's 0.264 AND < the bilateral-alone-no-DC ceiling 0.26-0.28. Read: at K=5 five weak DC steps + a light gate do too LITTLE work; the prox can't over-smooth (good) but the shallow DC removes few streaks. iter-4's K=12 collapse was the FoE over-regularizing, NOT the depth -- the light bilateral gate CAN'T over-smooth, so deep DC should now compound productively. (2) FAILURE MODE: under-consistency -- the DC-dominant compact is too SHALLOW (K=5) to null the sparse-view residual. (3) ONE KNOB: n_iter 5 -> 20 (deep weight-TIED DC unroll on the 13-param bilateral prox). WEIGHT-TIED => still 13 params. All else byte-for-byte iter-5. (4) HYPOTHESIS: 20 tied DC steps with a non-over-smoothing bilateral gate drive Rx->g far enough to remove coherent streaks -> hr rises WELL past 0.264 (and past iter-5's 0.066), because on the LEAN prox depth is the free lever that FoE poisoned in iter-4. This is VN's mechanism (learned reg + genuine DC + weight-share) in 13 params. (5) BUDGET: K=20 bilateral is ~4x the round-trips of iter-5's K5 but bilateral is cheap per step; iter-5 finished 16ep in 465s so K20 ~fits several epochs under the 1080s backstop; 200-val pass fits; <20min guaranteed by backstop. (6) SERIAL; iter-7 self-dispatches (next: sweep alpha_init on the STABLE deep-DC lean prox, then proj-domain +5p).
7	671da566	0.985303	0.189675	keep	architecture	param_efficient-claude-agentic	claude-opus-4-8-1m	38.151	4.225262e-03	1164.1	0.001937	param_efficient-claude-agentic: reg_type=foe, bilateral_on_top=True, proj_filter_on=False, n_iter=5, learnable_alpha=True, alpha_init=0.1, foe_n_filters=24, foe_kernel=7, foe_n_bumps=31, n_bf=3, bf_multiscale=True, bf_sigmas=[0.8, 1.6, 3.2], bf_kernel=7, bf_sigma_r=0.02, bf_gain_init=0.0, epochs=16, cosine_lr=True, lr=0.005, max_train_s=1080, batch_size=4, train_n=200, val_n=200, display_min=0.0, display_max=0.05, seed=42, rationale=iter-7 param_efficient breast -- LEARNED PER-STEP DC WEIGHT (step toward VN). SIX-BOX: (1) PRIOR: 6 iters map the plain tied-GD unroll. KEY new finding iter-6: deep DC (K20) on the lean prox gave hr 0.0 -- DEEPER DC made it WORSE (0.066->0.0), not better. So the problem is NOT under-consistency: on 128-view sparse data the DC gradient R^T(Rx-g) itself is CORRUPTING -- with only 128 views R^T R is a STREAKY operator, so back-projecting the residual RE-INJECTS coherent streaks; iterating it 20x AMPLIFIES exactly what we want removed. This is why LPD (primal-dual) + VN (learned per-step gradient weighting) win and a plain repeated R^T(Rx-g) GD unroll caps ~image-domain. Best point stays iter-1 0.264 (FoE capacity as image cleanup). (2) FAILURE MODE: raw tied DC gradient amplifies streaks over steps; a SINGLE shared scalar alpha can't attenuate the harmful later steps. (3) ONE KNOB: per_step_alpha False->True on the FoE+bilateral K5 arch (iter-2 base, the fully-trained 0.190 config). +4 params (5 per-step alphas vs 1) -> ~1937 total. This is the MINIMAL move from plain-GD toward VN: each step learns its OWN DC weight, so the net can DOWN-WEIGHT the streak-amplifying later steps. (4) HYPOTHESIS: learned per-step alphas let the unroll learn to apply DC strongly early (coarse consistency) then softly late (avoid streak re-injection), rescuing the fully-trained FoE from the over-regularize/corrupt regime -> hr exceeds 0.264, because per-step DC weighting is VN's core trick and it directly targets the iter-6 corruption finding. (5) BUDGET: K=5 FoE+bilateral, train_n=200, 1080s backstop + 200-val -> <20min (same cost as iter-2). (6) SERIAL; iter-8 self-dispatches (next: if per-step helps, sweep K deeper WITH per-step alphas; if not, projection-domain filter +5p)., per_step_alpha=True
8	671da566	0.98494	0.181472	keep	architecture	param_efficient-claude-agentic	claude-opus-4-8-1m	38.0635	4.268039e-03	1148.2	0.001938	param_efficient-claude-agentic: reg_type=foe, bilateral_on_top=True, proj_filter_on=True, n_iter=5, learnable_alpha=True, alpha_init=0.1, foe_n_filters=24, foe_kernel=7, foe_n_bumps=31, n_bf=3, bf_multiscale=True, bf_sigmas=[0.8, 1.6, 3.2], bf_kernel=7, bf_sigma_r=0.02, bf_gain_init=0.0, epochs=16, cosine_lr=True, lr=0.005, max_train_s=1080, batch_size=4, train_n=200, val_n=200, display_min=0.0, display_max=0.05, seed=42, rationale=iter-8 param_efficient breast -- PROJECTION-DOMAIN FILTER ON (sparse-view-native lever). SIX-BOX: (1) PRIOR: 7 iters prove the config-only GD-unroll caps at image-domain ~0.26. iter-7 per_step_alpha gave IDENTICAL 0.1897 to iter-2 -- the 5 per-step alphas COLLAPSED to one shared value; the loss landscape has no incentive to differentiate them, so config-only per-step-alpha CANNOT express a genuine VN. Combined with iter-6 (deeper DC WORSE = streak re-injection), verdict: the image-domain DC gradient R^T(Rx-g) is corrupting on 128-view sparse and no image-side knob escapes ~0.26. (2) FAILURE MODE: image-domain-only ceiling; the DC gradient re-injects streaks; no config knob learns to combine it. (3) ONE KNOB: proj_filter_on False->True (Manduca sinogram bilateral, +5 params: 3 sigma + log_N0 + 1 zero-init gain). It denoises the LOG-SINOGRAM on the Anscombe sqrt-count (noise-adaptive) BEFORE the FBP init, then recomputes x0 from the FILTERED sino, so it removes streak-CAUSING projection inconsistencies at the SOURCE rather than fighting them in image space. On dense Mayo this was null (FBP already averages proj noise); on 128-view SPARSE it is the native lever. All else byte-for-byte iter-2 (FoE+bilateral K5). (4) HYPOTHESIS: cleaning the sinogram before back-projection reduces the coherent streaks the FBP init injects, so the FoE+DC unroll starts from a cleaner image and hr exceeds 0.264, because sparse-view streaks are a PROJECTION-domain defect and this is the one lever VN/LPD lack. Zero-init gain => at init pipeline==iter-2 byte-for-byte (worst case == 0.190, no regression). (5) BUDGET: +1 sinogram bilateral per forward (cheap vs the K=5 image unroll); train_n=200, 1080s backstop + 200-val -> <20min. (6) SERIAL; iter-9 self-dispatches (next: if proj-filter helps, TUNE its sigma_r/gain or make it multi-scale; if not, directional streak reg +3p)., proj_n_bf=1, proj_multiscale=False, proj_kernel=5, proj_sigma_x=0.83, proj_sigma_y=0.83, proj_sigma_r=1.5, proj_gain_init=0.0, proj_N0=100000.0, per_step_alpha=False
9	671da566	0.971038	0.335242	keep	architecture	param_efficient-claude-agentic	claude-opus-4-8-1m	39.8709	3.466239e-03	1049.5	1.3e-05	param_efficient-claude-agentic: reg_type=bilateral, bilateral_on_top=False, proj_filter_on=False, n_iter=10, learnable_alpha=True, alpha_init=0.1, foe_n_filters=24, foe_kernel=7, foe_n_bumps=31, n_bf=3, bf_multiscale=True, bf_sigmas=[0.8, 1.6, 3.2], bf_kernel=7, bf_sigma_r=0.02, bf_gain_init=0.0, epochs=16, cosine_lr=True, lr=0.005, max_train_s=1080, batch_size=4, train_n=200, val_n=200, display_min=0.0, display_max=0.05, seed=42, rationale=iter-9 param_efficient breast -- ARCHITECTURAL CHANGE: FILTERED-GRADIENT DC (I edited the solver, per coordinator: everything is changeable). SIX-BOX: (1) PRIOR: 8 iters prove the ADJOINT GD-unroll caps at image-domain ~0.26 on sparse-view; the diagnosis (iter-6) is that R^T(Rx-g) back-projects a STREAKY residual -> re-injects coherent streaks -> deeper adjoint DC LOWERED hr. That is an ARCHITECTURAL ceiling, not a config one. (2) FAILURE MODE: the raw adjoint DC operator smears sparse-view streaks. (3) ONE KNOB (architectural): dc_mode 'adjoint'->'filtered' -- I added a config-gated branch in ParamEfficientUnrolled._grad so the DC direction is fbp(Rx-g) (ramp/Hann-filtered residual back-projection = a PROPER reconstruction correction, the SART/FBP-gradient trick) instead of R^T(Rx-g)/dc_norm. ZERO extra params; touches only my solver, not the projector/metrics. Applied on the LEAN prox (bilateral 3-scale, 13 params) at K=10 depth -- because a filtered gradient should make DEPTH help (the exact lever the adjoint poisoned in iter-6). (4) HYPOTHESIS: because the ramp-filtered residual correction does NOT smear streaks, 10 filtered-DC steps drive Rx->g while actually REMOVING the coherent streaks (each step reconstructs the residual properly) -> hr breaks past 0.264 toward the VN/LPD regime, at ~13-22 params. This is the minimal architectural fix my own evidence points to. (5) BUDGET: filtered DC = 1 extra fbp per step vs adjoint's back_project (similar cost); K=10 bilateral, train_n=200, 1080s backstop + 200-val -> <20min. (6) SERIAL; iter-10 self-dispatches (next: if filtered-DC helps, sweep K / add the FoE or proj-filter on top; if not, LPD dual)., dc_mode=filtered, per_step_alpha=False
10	671da566	0.971006	0.377361	keep	architecture	param_efficient-claude-agentic	claude-opus-4-8-1m	40.4395	3.246617e-03	1214.7	1.3e-05	param_efficient-claude-agentic: reg_type=bilateral, bilateral_on_top=False, proj_filter_on=False, n_iter=20, learnable_alpha=True, alpha_init=0.1, foe_n_filters=24, foe_kernel=7, foe_n_bumps=31, n_bf=3, bf_multiscale=True, bf_sigmas=[0.8, 1.6, 3.2], bf_kernel=7, bf_sigma_r=0.02, bf_gain_init=0.0, epochs=16, cosine_lr=True, lr=0.005, max_train_s=1080, batch_size=4, train_n=200, val_n=200, display_min=0.0, display_max=0.05, seed=42, rationale=iter-10 param_efficient breast -- FILTERED-DC DEPTH SWEEP. SIX-BOX: (1) PRIOR: iter-9 BREAKTHROUGH -- dc_mode=filtered (fbp(Rx-g)) at K=10 on the 13-param bilateral prox gave hr 0.3352 (PSNR 39.87), SHATTERING the ~0.26 image-domain ceiling that 8 adjoint iters couldn't pass. Confirms the raw-adjoint streak-smearing WAS the architectural ceiling. iter-6 (ADJOINT K=20) gave hr 0.0 -- depth HURT. (2) FAILURE MODE addressed: none at iter-9; goal is to find where filtered-DC depth saturates. (3) ONE KNOB: n_iter 10 -> 20 (double the filtered-DC depth). Still 13 params (weight-tied). All else byte-for-byte iter-9. (4) HYPOTHESIS: because the ramp-filtered correction reconstructs the residual properly (no streak smearing), MORE filtered-DC steps drive Rx->g further and REMOVE more streaks -> hr climbs past 0.335 (the OPPOSITE of iter-6's adjoint K=20 collapse). This directly tests whether filtered depth is monotonic. Risk: K=20 halves epochs in the 1080s wall (iter-9 K10 finished 16ep in 990s; K20 ~ 8-9ep), so undertraining could cap the gain -- if hr>0.335 but epochs<10, iter-11 will re-run best-K at higher train budget. (5) BUDGET: K=20 filtered (1 fbp/step), train_n=200, 1080s backstop + 200-val -> <20min. (6) SERIAL; iter-11 self-dispatches (next: if depth helps, push K further or add FoE capacity on the filtered-DC unroll to trace params-vs-hr toward VN 0.63)., dc_mode=filtered, per_step_alpha=False
