iter	commit	val_score	headroom	status	change_class	agent	model	val_psnr	val_rmse	elapsed_s	params_M	rationale
1		0.979326	0.292535	keep	architecture	ram_zeroshot-claude-agentic	claude-opus-4-8-1m	39.3301	3.688923e-03	227.1	35.619	ram_zeroshot-claude-agentic: ram_ckpt_path=/cluster/maier/Agent4CT/checkpoints/ram.pth.tar, ram_input_norm=adjoint_max, ram_clamp_output=True, ram_finetune=False, ram_finetune_epochs=0, ram_finetune_lr=0.0001, ram_disable_multiscale=True, ram_disable_cudnn=False, ram_use_deepinv_tomo=False, ram_sigma=0.008, ram_factor=0.4, ram_post_fbp_blend=0.42, val_n=200, rationale=iter-1 feasibility/baseline: reproduce prior-campaign best (search-20260521-01 iter-5, hr=0.304 on OLD val) on the NEW breast val-200 split. adjoint_max norm + multiscale disabled + sigma=0.008/factor=0.4/blend=0.42. Establishes the anchor hr on the redone split; expect ~0.30.
2		0.975704	0.225172	keep	architecture	ram_zeroshot-claude-agentic	claude-opus-4-8-1m	38.5401	4.040175e-03	379.1	35.619	ram_zeroshot-claude-agentic: ram_ckpt_path=/cluster/maier/Agent4CT/checkpoints/ram.pth.tar, ram_input_norm=adjoint_max, ram_clamp_output=True, ram_finetune=False, ram_finetune_epochs=0, ram_finetune_lr=0.0001, ram_disable_multiscale=True, ram_disable_cudnn=False, ram_use_deepinv_tomo=False, ram_sigma=0.015, ram_factor=0.4, ram_post_fbp_blend=0.42, val_n=200, rationale=iter-2: raise ram_sigma 0.008->0.015 (ONLY knob). Hypothesis: stronger noise-level conditioning lets RAM suppress more 128-view breast FBP quantum/streak noise, closing more RMSE gap and lifting hr>0.2925; if it over-smooths tissue hr drops and I sweep sigma downward next.
3		0.975728	0.183008	keep	architecture	ram_zeroshot-claude-agentic	claude-opus-4-8-1m	38.0798	4.260029e-03	338.9	35.619	ram_zeroshot-claude-agentic: ram_ckpt_path=/cluster/maier/Agent4CT/checkpoints/ram.pth.tar, ram_input_norm=adjoint_max, ram_clamp_output=True, ram_finetune=False, ram_finetune_epochs=0, ram_finetune_lr=0.0001, ram_disable_multiscale=True, ram_disable_cudnn=False, ram_use_deepinv_tomo=False, ram_sigma=0.004, ram_factor=0.4, ram_post_fbp_blend=0.42, val_n=200, rationale=iter-3: lower ram_sigma 0.008->0.004 (ONLY knob). iter-2 raising sigma to 0.015 dropped hr 0.2925->0.2252 (over-smoothing). Hypothesis: weaker denoising conditioning preserves dense breast tissue detail, cutting RMSE and lifting hr>0.2925; if hr drops, sigma~0.008 is the optimum and I pivot to post_fbp_blend.
4		0.978514	0.280222	keep	architecture	ram_zeroshot-claude-agentic	claude-opus-4-8-1m	39.1802	3.753125e-03	212.2	35.619	ram_zeroshot-claude-agentic: ram_ckpt_path=/cluster/maier/Agent4CT/checkpoints/ram.pth.tar, ram_input_norm=adjoint_max, ram_clamp_output=True, ram_finetune=False, ram_finetune_epochs=0, ram_finetune_lr=0.0001, ram_disable_multiscale=True, ram_disable_cudnn=False, ram_use_deepinv_tomo=False, ram_sigma=0.01, ram_factor=0.4, ram_post_fbp_blend=0.42, val_n=200, rationale=iter-4: fine sigma probe 0.008->0.010 (ONLY knob). sigma curve is concave-peaked at 0.008 (0.004->0.183, 0.008->0.2925, 0.015->0.2252) with mild asymmetry favoring the high side. Hypothesis: peak may sit marginally above 0.008; expect hr ~>=0.2925. If not, lock sigma=0.008 and pivot to post_fbp_blend.
5	1176d9f5	0.978034	0.261577	keep	architecture	ram_zeroshot-claude-agentic	claude-opus-4-8-1m	38.9581	3.850348e-03	275.7	35.619	ram_zeroshot-claude-agentic: ram_ckpt_path=/cluster/maier/Agent4CT/checkpoints/ram.pth.tar, ram_input_norm=adjoint_max, ram_clamp_output=True, ram_finetune=False, ram_finetune_epochs=0, ram_finetune_lr=0.0001, ram_disable_multiscale=True, ram_disable_cudnn=False, ram_use_deepinv_tomo=False, ram_sigma=0.008, ram_factor=0.4, ram_post_fbp_blend=0.3, val_n=200, rationale=iter-5: sigma LOCKED at 0.008 (peak: 0.004->0.183, 0.008->0.2925, 0.010->0.2802, 0.015->0.2252). Now tune post_fbp_blend 0.42->0.30 (ONLY knob). Hypothesis: mixing less noisy FBP into the denoised RAM output lowers RMSE and lifts hr>0.2925; if hr drops, FBP anchor supplies needed low-freq fidelity and I raise blend instead.
6	671da566	0.976902	0.281726	keep	architecture	ram_zeroshot-claude-agentic	claude-opus-4-8-1m	39.1984	3.745286e-03	262.7	35.619	ram_zeroshot-claude-agentic: ram_ckpt_path=/cluster/maier/Agent4CT/checkpoints/ram.pth.tar, ram_input_norm=adjoint_max, ram_clamp_output=True, ram_finetune=False, ram_finetune_epochs=0, ram_finetune_lr=0.0001, ram_disable_multiscale=True, ram_disable_cudnn=False, ram_use_deepinv_tomo=False, ram_sigma=0.008, ram_factor=0.4, ram_post_fbp_blend=0.55, val_n=200, rationale=iter-6: sigma LOCKED 0.008. blend 0.42->0.55 (ONLY knob). iter-5 lowering blend to 0.30 dropped hr 0.2925->0.2616, so FBP anchor supplies needed low-freq fidelity. Hypothesis: raising FBP fraction restores data-consistent low frequencies, hr>0.2925; if hr drops, 0.42 is near-optimal.
7	671da566	0.980256	0.238185	keep	architecture	ram_zeroshot-claude-agentic	claude-opus-4-8-1m	38.6872	3.972318e-03	211.6	35.619	ram_zeroshot-claude-agentic: ram_ckpt_path=/cluster/maier/Agent4CT/checkpoints/ram.pth.tar, ram_input_norm=adjoint_max, ram_clamp_output=True, ram_finetune=False, ram_finetune_epochs=0, ram_finetune_lr=0.0001, ram_disable_multiscale=True, ram_disable_cudnn=False, ram_use_deepinv_tomo=False, ram_sigma=0.008, ram_factor=0.6, ram_post_fbp_blend=0.42, val_n=200, rationale=iter-7: sigma=0.008 & blend=0.42 LOCKED (both concave peaks). ram_factor 0.4->0.6 (ONLY knob). Hypothesis: stronger prox_l2 realignment pulls RAM output toward sinogram-consistency, cutting RMSE, hr>0.2925; if hr drops, weaker factor is better and I sweep down.
8	671da566	0.963163	0	discard	architecture	ram_zeroshot-claude-agentic	claude-opus-4-8-1m	35.1456	5.972094e-03	337.5	35.619	ram_zeroshot-claude-agentic: ram_ckpt_path=/cluster/maier/Agent4CT/checkpoints/ram.pth.tar, ram_input_norm=adjoint_max, ram_clamp_output=True, ram_finetune=False, ram_finetune_epochs=0, ram_finetune_lr=0.0001, ram_disable_multiscale=True, ram_disable_cudnn=False, ram_use_deepinv_tomo=False, ram_sigma=0.008, ram_factor=0.2, ram_post_fbp_blend=0.42, val_n=200, rationale=iter-8: sigma=0.008 blend=0.42 LOCKED. ram_factor 0.4->0.2 (ONLY knob). iter-7 raising factor to 0.6 dropped hr 0.2925->0.2382 (prox realign reintroduced sinogram noise). Hypothesis: weaker prox realignment keeps more of RAM's denoised estimate, hr>0.2925; if hr drops, factor~0.4 is the peak.
9	671da566	0.96577	0.246927	keep	architecture	ram_zeroshot-claude-agentic	claude-opus-4-8-1m	38.7875	3.926737e-03	198.6	35.619	ram_zeroshot-claude-agentic: ram_ckpt_path=/cluster/maier/Agent4CT/checkpoints/ram.pth.tar, ram_input_norm=fbp_max, ram_clamp_output=True, ram_finetune=False, ram_finetune_epochs=0, ram_finetune_lr=0.0001, ram_disable_multiscale=True, ram_disable_cudnn=False, ram_use_deepinv_tomo=False, ram_sigma=0.008, ram_factor=0.4, ram_post_fbp_blend=0.42, val_n=200, rationale=iter-9: sigma=0.008 blend=0.42 factor=0.4 LOCKED (all continuous knobs peak at anchor; factor=0.2 collapsed to hr=0). Switch ram_input_norm adjoint_max->fbp_max (ONLY knob). Hypothesis: per-slice FBP-peak normalization places breast high-mu inputs in RAM's trained ~[0,1] range more faithfully than adjoint_max, hr>0.2925; if hr drops, try display_max next.
10	671da566	0.979326	0.292535	keep	architecture	ram_zeroshot-claude-agentic	claude-opus-4-8-1m	39.3301	3.688923e-03	207.4	35.619	ram_zeroshot-claude-agentic: ram_ckpt_path=/cluster/maier/Agent4CT/checkpoints/ram.pth.tar, ram_input_norm=adjoint_max, ram_clamp_output=True, ram_finetune=False, ram_finetune_epochs=0, ram_finetune_lr=0.0001, ram_disable_multiscale=False, ram_disable_cudnn=False, ram_use_deepinv_tomo=False, ram_sigma=0.008, ram_factor=0.4, ram_post_fbp_blend=0.42, val_n=200, rationale=iter-10: input_norm=adjoint_max reconfirmed best (fbp_max->0.2469). Toggle ram_disable_multiscale True->False (ONLY knob), enabling RAM's native MultiScaleLinearPhysics conditioning. Hypothesis: RAM's Krylov tower was trained WITH multiscale physics, so matching it at inference gives the operator context it expects, hr>0.2925; if it diverges or drops, revert to disabled.
