iter	commit	val_score	headroom	status	change_class	agent	model	val_psnr	val_rmse	elapsed_s	params_M	rationale
1	671da566	0.961191	0.166477	keep	architecture	tv_iterative-claude-agentic	claude-opus-4-8-1m	37.9058	4.346224e-03	196.2	0	tv_iterative-claude-agentic: val_n=200, tv_lambda=0.001, tv_iterations=200, tv_lr=0.01, tv_decay=0.01, tv_optimizer=gd, tv_init=fbp, rationale=iter-1 onboarding on breast_ct (128-view sparse, mu up to ~0.05): plain TV-iterative reconstruction (solver_tv_search), seeded from the Mayo/manhart baseline (tv_lambda=0.001, tv_iter=200, tv_lr=0.01, gd, fbp init). val_n=200 (full breast val, seed-20260703 split). Feasibility: does plain TV run on breast and clear the FBP baseline, or does the documented FBP+smooth-init hr=0 ceiling hold? Documented risk (docs/findings.md): FBP+smooth init can make TV learn ~zero gradient -> hr=0.
2	671da566	0.971477	0.217828	keep	architecture	tv_iterative-claude-agentic	claude-opus-4-8-1m	38.4581	4.078466e-03	362.2	0	tv_iterative-claude-agentic: val_n=200, tv_lambda=0.001, tv_iterations=400, tv_lr=0.01, tv_decay=0.01, tv_optimizer=gd, tv_init=fbp, rationale=iter-2 CONVERGENCE probe. iter-1 (200 iters, lambda=1e-3, gd, fbp) gave hr=0.16648/ssim=0.9612 -> plain TV DOES clear the FBP baseline on breast (documented hr=0 ceiling did NOT hold at the seed config). ONE knob: tv_iterations 200->400 (2x GD steps; lambda/lr/decay/init all fixed). HYPOTHESIS: if hr climbs past 0.16648 the GD data-consistency+TV solve was not converged at 200 iters and more iters help; if it saturates, the solve is already converged and I pivot to lambda/lr. Budget: iter-1 ran ~190s at 200 iters -> ~380s at 400, <<1200s.
3	671da566	0.979402	0.263474	keep	architecture	tv_iterative-claude-agentic	claude-opus-4-8-1m	38.9804	3.840455e-03	691.6	0	tv_iterative-claude-agentic: val_n=200, tv_lambda=0.001, tv_iterations=800, tv_lr=0.01, tv_decay=0.01, tv_optimizer=gd, tv_init=fbp, rationale=iter-3 CONVERGENCE-2. iter-2 (200->400 iters) lifted hr 0.16648->0.21783: the GD data-consistency+TV solve was NOT converged at 200. ONE knob: tv_iterations 400->800 (same lambda=1e-3, lr=0.01, decay=0.01, gd, fbp). HYPOTHESIS: if hr still climbs past 0.21783 the solve is still convergence-limited (keep pushing iters); if it saturates ~0.218 GD has converged at lambda=1e-3 and I pivot to lambda (the strong lever manhart found). Budget: iter-2 ~380s at 400 iters -> ~760s at 800, <<1200s.
4	671da566	0.981402	0.276301	keep	architecture	tv_iterative-claude-agentic	claude-opus-4-8-1m	39.133	3.773574e-03	672.5	0	tv_iterative-claude-agentic: val_n=200, tv_lambda=0.001, tv_iterations=1000, tv_lr=0.01, tv_decay=0.01, tv_optimizer=gd, tv_init=fbp, rationale=iter-4 SATURATION probe. iters 200->400->800 lifted hr 0.16648->0.21783->0.26347 monotonically (still convergence-limited). ONE knob: tv_iterations 800->1000 (same lambda=1e-3, lr=0.01, decay=0.01, gd, fbp). HYPOTHESIS: if hr still climbs past 0.26347, the TV-smoothing optimum is not yet reached at lambda=1e-3; if it saturates, GD+TV has converged at this lambda and I pivot to the lambda lever (manhart's strong knob: raising lambda reached its per-step optimum faster). Budget: iter-3 ~760s at 800 iters -> ~950s at 1000, <1200s wall.
5	671da566	0.99094	0.355231	keep	architecture	tv_iterative-claude-agentic	claude-opus-4-8-1m	40.1361	3.362008e-03	674.9	0	tv_iterative-claude-agentic: val_n=200, tv_lambda=0.002, tv_iterations=1000, tv_lr=0.01, tv_decay=0.01, tv_optimizer=gd, tv_init=fbp, rationale=iter-5 REGULARIZATION lever (efficiency pivot). Iterations 200->400->800->1000 lifted hr 0.16648->0.21783->0.26347->0.27630 but the per-step gain is shrinking (data term converging; gains now from continued TV smoothing) and runtime nears the wall. Reach a smoother optimum PER STEP via stronger TV. ONE knob: tv_lambda 0.001->0.002 (2x), iterations kept 1000, lr=0.01, decay=0.01, gd, fbp. HYPOTHESIS: stronger TV reaches a more-smoothed optimum in the same 1000 iters so hr rises past 0.27630; if it over-smooths (fine breast structure lost, hr drops) the lambda=1e-3 optimum was near-best and I bisect toward 1.5e-3. Budget: ~950s at 1000 iters, <1200s wall.
6	671da566	0.98862	0.333589	keep	architecture	tv_iterative-claude-agentic	claude-opus-4-8-1m	39.8494	3.474856e-03	846.9	0	tv_iterative-claude-agentic: val_n=200, tv_lambda=0.004, tv_iterations=1000, tv_lr=0.01, tv_decay=0.01, tv_optimizer=gd, tv_init=fbp, rationale=iter-6 LAMBDA sweep up. iter-5 tv_lambda 1e-3->2e-3 jumped hr 0.27630->0.35523 (ssim up): TV was underweighted; stronger TV is strongly productive and not yet over-smoothing. ONE knob: tv_lambda 2e-3->4e-3 (2x), iterations kept 1000, lr=0.01, decay=0.01, gd, fbp. HYPOTHESIS: if hr rises past 0.35523 TV is still underweighted (keep climbing lambda); if hr drops (over-smoothing loses fine breast structure) the optimum is between 2e-3 and 4e-3 and I bisect (~3e-3). Budget: ~950s at 1000 iters, <1200s wall.
7	671da566	0.990782	0.359656	keep	architecture	tv_iterative-claude-agentic	claude-opus-4-8-1m	40.1959	3.338938e-03	841.5	0	tv_iterative-claude-agentic: val_n=200, tv_lambda=0.003, tv_iterations=1000, tv_lr=0.01, tv_decay=0.01, tv_optimizer=gd, tv_init=fbp, rationale=iter-7 LAMBDA bisection. iter-5 (lambda=2e-3) hr=0.35523 BEST; iter-6 (lambda=4e-3) hr=0.33359 DROPPED (over-smoothed, fine breast structure lost) => interior lambda optimum bracketed in (2e-3, 4e-3). ONE knob: tv_lambda -> 0.003 (midpoint), iterations 1000, lr=0.01, decay=0.01, gd, fbp. HYPOTHESIS: if hr>0.35523 the peak is near 3e-3; if hr<0.35523 the optimum is at/below 2e-3 and I test 2.5e-3 next. Budget: ~950s at 1000 iters, <1200s wall.
8	671da566	0.991306	0.362859	keep	architecture	tv_iterative-claude-agentic	claude-opus-4-8-1m	40.2395	3.322236e-03	846.7	0	tv_iterative-claude-agentic: val_n=200, tv_lambda=0.0025, tv_iterations=1000, tv_lr=0.01, tv_decay=0.01, tv_optimizer=gd, tv_init=fbp, rationale=iter-8 LAMBDA peak refinement. Lambda sweep: 2e-3->0.35523, 3e-3->0.35966 (BEST), 4e-3->0.33359 => shallow interior peak near 3e-3. ONE knob: tv_lambda -> 0.0025 (test the low side between 2e-3 and 3e-3), iterations 1000, lr=0.01, decay=0.01, gd, fbp. HYPOTHESIS: if hr>0.35966 the peak is between 2.5e-3 and 3e-3; if hr<0.35966 the peak is at/above 3e-3. Budget: ~950s at 1000 iters, <1200s wall.
9	671da566	0.742101	0	discard	architecture	tv_iterative-claude-agentic	claude-opus-4-8-1m	17.6773	4.462115e-02	843.1	0	tv_iterative-claude-agentic: val_n=200, tv_lambda=0.0025, tv_iterations=1000, tv_lr=0.01, tv_decay=0.01, tv_optimizer=adam, tv_init=fbp, rationale=iter-9 OPTIMIZER pivot. Lambda peak located at 2.5e-3 (iter-8 hr=0.36286 best; 2e-3->0.3552, 3e-3->0.3597). Earlier convergence logs showed the TV term still descending at iter-1000 under plain GD (data term converged) => the TV minimum may be under-converged by GD. ONE knob: tv_optimizer gd->adam (keep lambda=2.5e-3, 1000 iters, lr=0.01, decay=0.01, fbp). HYPOTHESIS: Adam's adaptive per-parameter steps reach a deeper TV minimum than plain GD in 1000 iters so hr rises past 0.36286; if Adam at lr=0.01 overshoots/destabilizes the data term (hr collapses) GD is required and I revert then tune lr/decay. (Note: manhart's adam@lr=0.01 collapsed hr->0 on the same TV core — this is a genuine independent test on plain TV.) Budget: ~950s at 1000 iters, <1200s wall.
10	671da566	0.985738	0.291462	keep	architecture	tv_iterative-claude-agentic	claude-opus-4-8-1m	39.3169	3.694518e-03	841.4	0	tv_iterative-claude-agentic: val_n=200, tv_lambda=0.0025, tv_iterations=1000, tv_lr=0.02, tv_decay=0.01, tv_optimizer=gd, tv_init=fbp, rationale=iter-10 STEP-SIZE probe (revert optimizer). iter-9 tv_optimizer gd->adam COLLAPSED hr 0.36286->0.0 (adam lr=0.01 destabilized the data term) => GD is required; revert to gd. Earlier GD logs show the TV term still descending at iter-1000 (under-converged). ONE knob: tv_lr 0.01->0.02 (2x GD step; keep gd, lambda=2.5e-3, 1000 iters, decay=0.01, fbp). HYPOTHESIS: a larger GD step lets the TV objective descend further within 1000 iters so hr rises past 0.36286; if it destabilizes the data term (hr drops) then lr=0.01 was near the GD stability limit and I revert + add iterations instead. Budget: ~950s at 1000 iters, <1200s wall.
11	671da566	0.978143	0.169888	keep	architecture	tv_iterative-claude-agentic	claude-opus-4-8-1m	37.9415	4.328439e-03	855.3	0	tv_iterative-claude-agentic: val_n=200, tv_lambda=0.0025, tv_iterations=1000, tv_lr=0.01, tv_decay=0.001, tv_optimizer=gd, tv_init=fbp, rationale=iter-11 DECAY probe. Optimizer space peaked at GD lr=0.01: iter-9 adam collapsed hr->0, iter-10 lr 0.01->0.02 hurt 0.36286->0.29146. Revert lr=0.01. With tv_decay=0.01 the GD step at iter1000 = 0.01/(1+0.01*1000) ~= 0.0009 (11x shrunk) => late convergence is step-starved while the TV term is still descending. ONE knob: tv_decay 0.01->0.001 (10x less decay; step at iter1000 = 0.01/2 = 0.005 vs 0.0009). Keep gd, lambda=2.5e-3, lr=0.01, 1000 iters, fbp. HYPOTHESIS: larger late steps converge the TV term further within 1000 iters so hr rises past 0.36286; if too-large late steps oscillate/destabilize (hr drops) decay=0.01 was protective and I revert + add iterations. Budget: ~950s at 1000 iters, <1200s wall.
12	671da566	0.991192	0.362736	keep	architecture	tv_iterative-claude-agentic	claude-opus-4-8-1m	40.2378	3.322873e-03	1012.9	0	tv_iterative-claude-agentic: val_n=200, tv_lambda=0.0025, tv_iterations=1200, tv_lr=0.01, tv_decay=0.01, tv_optimizer=gd, tv_init=fbp, rationale=iter-12 CONVERGENCE at the peak config. Both late-step levers destabilize: iter-10 lr 0.01->0.02 -> 0.29146, iter-11 decay 0.01->0.001 -> 0.16989. So GD lr=0.01, decay=0.01 is the stable schedule; revert both. Earlier GD logs show the TV term still descending at iter-1000 (under-converged) but larger steps oscillate. The stable way to converge further is MORE iterations at the safe schedule. ONE knob: tv_iterations 1000->1200 (keep gd, lambda=2.5e-3, lr=0.01, decay=0.01, fbp). HYPOTHESIS: 200 more stable GD iters converge TV further so hr rises past 0.36286; if saturated, GD/TV has converged and 0.36286 is the plateau. Budget: iter-8 ~950s at 1000 iters -> ~1140s at 1200, still <1200s wall (watch).
13	671da566	0.71259	0	discard	architecture	tv_iterative-claude-agentic	claude-opus-4-8-1m	17.0267	4.809153e-02	861.2	0	tv_iterative-claude-agentic: val_n=200, tv_lambda=0.0025, tv_iterations=1000, tv_lr=0.01, tv_decay=0.01, tv_optimizer=gd, tv_init=zeros, rationale=iter-13 INIT-scheme probe (the documented structural-ceiling mechanism). TV core is plateaued: iter-8 (1000it, lambda=2.5e-3) hr=0.36286 best, iter-12 (1200it) 0.36274 (saturated). Optimizer/lr/decay all peaked at GD lr=0.01/decay=0.01. Last major untested lever is tv_init. docs/findings.md warns FBP+smooth init can make TV learn ~zero gradient (hr=0). ONE knob: tv_init fbp->zeros at best config (lambda=2.5e-3, 1000it, gd, lr=0.01, decay=0.01). HYPOTHESIS: FBP init warm-starts GD near the data-consistent solution; zeros forces reconstruction from scratch in 1000 GD iters. If hr collapses toward 0, FBP warm-start is essential for TV-GD on 128-view sparse breast (the documented structural dependence); if hr matches ~0.3628, GD is init-agnostic at 1000 iters. Budget: ~950s at 1000 iters, <1200s wall.
