iter	commit	val_score	headroom	status	change_class	agent	model	val_psnr	val_rmse	elapsed_s	params_M	rationale
1	671da566	0.719469	0	discard	architecture	tv_iterative_supervised-claude-agentic	claude-opus-4-8-1m	17.2681	4.677361e-02	749.6	2e-05	tv_iterative_supervised-claude-agentic: val_n=200, val_chunk=5, train_n=400, epochs=10, batch_size=1, lr=0.005, tv_K=10, tv_step_init=0.01, tv_lambda_init=0.001, tv_share_steps=False, tv_eps=1e-06, lambda_neg=1.0, loss_base=mse, grad_clip=1.0, rationale=tv_iterative_supervised iter-1 (breast_ct, 128-view sparse, mu up to 0.081), FEASIBILITY baseline on the new seed-20260703 val/test split, val_n=200 (full frozen breast val). NO prior iter this run. Unrolled K=10 TV-GD with per-iter learnable step+lambda (20 trainable scalars), supervised-L2 vs clean phantom, init from LD-FBP. Seeded to REPRODUCE the historical breast iter-1 corner (docs/findings.md 2026-05-23: K=10, step_init=1e-2, lambda_init=1e-3, fbp init) so iter-2+ can genuinely explore off a known point. Documented RISK (findings 2026-05-23): FBP init makes the data-fidelity gradient R^T(R*FBP-g)~0, so the learned TV does ~nothing and recon stays at FBP -> hr can plateau at/near 0. The classical (non-learned) tv_iterative sibling reaches hr~0.16 (200 iters) up to 0.355 (1000 iters, lambda~2.5e-3) on this split, so the FBP ceiling is NOT 0 here -- genuine room to explore (init, lambda, K, step, epochs). HYPOTHESIS: a learned per-iter step+lambda schedule lands at or slightly above the FBP baseline (hr>0); if it collapses to ~FBP (hr~0) the FBP-init zero-gradient trap is active and iter-2 attacks it (step size / drop-fbp-init / deeper K). BUDGET (HARD 20-min train+score): train = 400 samples x 10 epochs x K=10 fwd+bwd; val = 200 slices x K=10 unrolled, val_chunk=5. Classical tv breast iter-1 ran 196s at 200 GD iters over 200 val slices; this variant's train adds ~4-6 min -> est ~8-10 min total, ~2x margin under 1200s wall.
2	671da566	0.919797	0	discard	architecture	tv_iterative_supervised-claude-agentic	claude-opus-4-8-1m	36.3139	5.220472e-03	383.7	2e-05	tv_iterative_supervised-claude-agentic: val_n=200, val_chunk=5, train_n=400, epochs=10, batch_size=1, lr=0.005, tv_K=10, tv_step_init=0.0001, tv_lambda_init=0.001, tv_share_steps=False, tv_eps=1e-06, lambda_neg=1.0, loss_base=mse, grad_clip=1.0, rationale=tv_iterative_supervised iter-2 (breast_ct). DIAGNOSIS of iter-1 (step_init=1e-2): hr=0.0, val_psnr=17.27 dB -- 19 dB WORSE than the LD-FBP baseline (36.32 dB), val_ssim 0.719 vs baseline 0.920. SLURM training log (job 772163) is the smoking gun: loss FROZEN at 0.004813 across ALL 10 epochs and every learned step[k]=0.01 / lambda[k]=0.001 PINNED at init (only step_9 drifted to 0.00937). FAILURE MODE (named): STEP-TOO-LARGE OVERSHOOT -> saturated-gradient training freeze. Mechanism (docs/findings.md 2026-05-23 + Mayo iter-3): the data gradient R^T(R f - g) uses the RAW unnormalized adjoint of the 128-view breast forward op; tv_step_init=0.01 (inherited from the classical sibling's tv_lr) is ~operator-norm too large, so f - 0.01*R^T(...) overshoots into a bad clamped basin at K=1, the clamp/divergence kills the gradient to the 20 log-scalars -> they never move -> recon diverges from FBP regardless of epochs. baseline FBP PSNR=36.32 confirms data/projector are fine; only the unrolled step scale is wrong. ONE KNOB: tv_step_init 1e-2 -> 1e-4 (100x smaller; keeps the unrolled iteration INSIDE the stable basin near FBP where gradients flow to the scalars). Historical breast iter-2 (findings 2026-05-23) used exactly step_init=1e-4 and the recon stayed near FBP (loss dropped, scalars departed init). All else IDENTICAL to iter-1 (K=10, train_n=400, epochs=10, bs=1, lambda_init=1e-3, lr=5e-3, val_n=200, grad_clip=1.0). HYPOTHESIS: at 100x smaller step the training UN-FREEZES -- loss DECREASES across epochs, step[k]/lambda[k] DEPART from init, and val_psnr recovers from 17.3 toward/above the FBP floor (36.3 dB) so hr rises above 0. FALSIFIER: if loss stays flat AND scalars stay pinned, the harness is deeper-broken (then iter-3 attacks init: drop FBP-init / zero-init, or deepen K). BUDGET: iter-1 ran 750s total (<1200s wall); identical compute -> ~750s.
3	671da566	0.919612	0	discard	architecture	tv_iterative_supervised-claude-agentic	claude-opus-4-8-1m	36.2934	5.232789e-03	382.7	2e-05	tv_iterative_supervised-claude-agentic: val_n=200, val_chunk=5, train_n=400, epochs=10, batch_size=1, lr=0.005, tv_K=10, tv_step_init=0.001, tv_lambda_init=0.001, tv_share_steps=False, tv_eps=1e-06, lambda_neg=1.0, loss_base=mse, grad_clip=1.0, rationale=tv_iterative_supervised iter-3 (breast_ct). BRACKET the step regime. iter-1 (step=1e-2): OVERSHOOT -> diverged 19 dB below FBP, hr=0. iter-2 (step=1e-4): training un-froze BUT the optimiser drove step[k] DOWN to ~6e-7 (a near-no-op), so the recon converged to EXACTLY the LD-FBP init (val_psnr 36.31 vs baseline 36.32, ssim 0.9198 vs 0.9199) -> hr=0. NAMED failure mode: FBP-INIT ZERO-GRADIENT TRAP (findings 2026-05-23) -- since R+ ~= FBP, the data-gradient R^T(R*FBP - g) ~= 0 at init, so the supervised loss's only signal is stay-put; too-small a step lets it sit on FBP, too-large a step diverges. The productive regime is BETWEEN 1e-4 and 1e-2. ONE KNOB: tv_step_init 1e-4 -> 1e-3 (geometric midpoint of the bracket; 10x iter-2, 10x below the iter-1 overshoot). All else IDENTICAL to iter-2 (K=10, train_n=400, epochs=10, bs=1, lambda_init=1e-3, lr=5e-3, val_n=200). HYPOTHESIS: at step=1e-3 the unrolled TV iteration is large enough to move the recon OFF the FBP fixed point and do real denoising work, yet small enough to stay in the stable basin (no divergence), so val_psnr rises ABOVE the FBP floor (>36.3 dB) and hr clears 0. FALSIFIER: if step=1e-3 also diverges (like 1e-2) the stable band is narrow -> iter-4 bisects toward 3e-4; if it again collapses to FBP (step driven to ~0) the FBP fixed point is a strong attractor for the data term at ANY stable step -> iter-4 attacks it via tv_lambda_init UP (stronger TV prior gradient to pull off FBP). BUDGET: iter-2 ran ~750s (<1200s wall); identical compute.
4	671da566	0.919654	0	discard	architecture	tv_iterative_supervised-claude-agentic	claude-opus-4-8-1m	36.2981	5.229981e-03	1761.4	0.0001	tv_iterative_supervised-claude-agentic: val_n=200, val_chunk=5, train_n=400, epochs=10, batch_size=1, lr=0.005, tv_K=50, tv_step_init=0.001, tv_lambda_init=0.001, tv_share_steps=False, tv_eps=1e-06, lambda_neg=1.0, loss_base=mse, grad_clip=1.0, rationale=tv_iterative_supervised iter-4 (breast_ct). DEPTH probe. iter-1/2/3 mapped the step axis: 1e-2 diverges (hr0), 1e-4 and 1e-3 both COLLAPSE the learned step to ~0 so the K=10 recon sits on the FBP init (psnr~36.3=baseline, hr0). NAMED failure: at K=10 the optimiser prefers step->0 because FBP-init already has MSE-optimal psnr 36.3 and 10 TV steps cannot out-denoise it, so staying put minimises the supervised MSE. KEY CONTRAST: the classical (non-learned) tv_iterative sibling BEATS FBP on this exact split (hr 0.16 at 200 iters -> 0.355 at 1000 iters) using the SAME TV iteration but with MANY iterations at fixed non-zero step/lambda -- it does real iterative denoising that K=10 cannot reach. HYPOTHESIS: the limiter is UNROLL DEPTH, not step scale -- with enough steps the TV iteration can denoise the FBP noise below FBP's own MSE, giving the optimiser a reason to KEEP step non-zero. ONE KNOB: tv_K 10 -> 50 (5x depth; step_init=1e-3, lambda_init=1e-3 kept from iter-3). All else identical. EXPECT: step[k] no longer collapses to 0, recon departs FBP with net denoising, val_psnr rises above 36.3 and hr clears 0. FALSIFIER: if step still collapses to 0 and hr stays 0, depth is NOT the limiter and the FBP fixed point is a hard supervised-MSE attractor at any K (matches findings 2026-05-23 verdict) -> iter-5 switches loss (l1) or attacks lambda. BUDGET: iter-3 ran ~750s at K=10; K=50 is 5x the unrolled fwd/bwd in BOTH train and val. Train ~5x, val ~5x -> est ~ (750-load)*~3 + load. Conservatively ~900-1100s; still under the 1200s wall. If it risks the wall iter-5 trims val_n or epochs.
5	671da566	0.919656	0	discard	architecture	tv_iterative_supervised-claude-agentic	claude-opus-4-8-1m	36.2982	5.229924e-03	461.5	2e-05	tv_iterative_supervised-claude-agentic: val_n=200, val_chunk=5, train_n=400, epochs=10, batch_size=1, lr=0.005, tv_K=10, tv_step_init=0.001, tv_lambda_init=0.001, tv_share_steps=False, tv_eps=1e-06, lambda_neg=1.0, loss_base=l1, grad_clip=1.0, rationale=tv_iterative_supervised iter-5 (breast_ct). LOSS-FORMULATION probe. iters 1-4 mapped step (1e-2 diverge, 1e-4/1e-3 collapse-to-FBP) and depth (K=50 also collapses) -- under MSE the optimiser ALWAYS drives step[k]->0 and sits on the FBP init (psnr~36.3=baseline, hr0, loss floor ~0.00624 = FBP's own MSE). NAMED failure: FBP-init is an MSE-optimal attractor -- TV smoothing trades pixel-MSE for perceptual quality, so a pixel-MSE loss has NO incentive to move off FBP. HYPOTHESIS: an L1 loss weights outliers (the sparse-view streak/noise residual in FBP) differently from MSE and is NOT minimised by staying exactly at FBP -- so the optimiser keeps step non-zero and does real streak/noise removal, moving val metrics off the FBP floor and clearing hr>0. ONE KNOB: loss_base mse -> l1 (K=10, step_init=1e-3, lambda_init=1e-3 kept from iter-3; K reverted 50->10 to isolate the loss knob and fit budget). All else identical. FALSIFIER: if L1 also collapses step->0 and hr stays 0, the FBP-init attractor is loss-agnostic on dense-view breast -> the supervised-unrolled-TV skeleton cannot beat FBP here regardless of loss (matches findings 2026-05-23) and I pivot to lambda/architecture knobs. BUDGET: K=10 -> ~750s like iter-3, well under 1200s wall.
6	671da566	0.919615	0	discard	architecture	tv_iterative_supervised-claude-agentic	claude-opus-4-8-1m	36.2935	5.232719e-03	658.3	2e-06	tv_iterative_supervised-claude-agentic: val_n=200, val_chunk=5, train_n=400, epochs=10, batch_size=1, lr=0.005, tv_K=10, tv_step_init=0.001, tv_lambda_init=0.001, tv_share_steps=True, tv_eps=1e-06, lambda_neg=1.0, loss_base=mse, grad_clip=1.0, rationale=tv_iterative_supervised iter-6 (breast_ct). SHARED-STEP probe (parametrisation family). iters 1-5: step (1e-2/1e-4/1e-3), depth (K=50), loss (l1) ALL collapse the K independent step[k]->~0 -> recon = FBP init, hr0. NAMED failure: with K INDEPENDENT step/lambda scalars the optimiser can zero out every step to sit on the MSE-optimal FBP fixed point. HYPOTHESIS: tv_share_steps=true collapses the 20 scalars to 2 (ONE step + ONE lambda shared across all K=10 iters). A single shared step cannot be selectively zeroed per-iter; to reduce the supervised loss AT ALL via TV it must commit to one non-zero step that does denoising across all 10 iters -- which may find a net-beneficial smoothing the per-iter version escaped. ONE KNOB: tv_share_steps false->true (step_init=1e-3, lambda_init=1e-3, K=10, mse -- all reverted to the iter-3 base to isolate the sharing knob). FALSIFIER: if the single shared step ALSO -> 0 and hr stays 0, the FBP fixed point is a parametrisation-agnostic MSE attractor -> confirms the structural ceiling (findings 2026-05-23). BUDGET: K=10 mse ~750s like iter-3, <1200s wall.
7	671da566	0.919883	0	discard	architecture	tv_iterative_supervised-claude-agentic	claude-opus-4-8-1m	36.3234	5.214778e-03	385.2	2e-05	tv_iterative_supervised-claude-agentic: val_n=200, val_chunk=5, train_n=400, epochs=10, batch_size=1, lr=0.05, tv_K=10, tv_step_init=0.001, tv_lambda_init=0.001, tv_share_steps=False, tv_eps=1e-06, lambda_neg=1.0, loss_base=mse, grad_clip=1.0, rationale=tv_iterative_supervised iter-7 (breast_ct). OUTER-LR probe. iters 1-6: step/depth/loss/sharing all collapse step[k]->~0, recon=FBP, hr0, MSE floor 0.00624. At outer lr=5e-3 the log_step slides smoothly into the collapse basin. HYPOTHESIS: a 10x outer lr (5e-3->5e-2, matching the Mayo un-stick run) makes Adam take large jumps in log_step space that may overshoot PAST the collapse attractor into a regime where a non-zero step does net denoising before settling. ONE KNOB: lr 5e-3->5e-2 (step_init=1e-3, lambda_init=1e-3, K=10, mse, per-iter -- iter-3 base). FALSIFIER: if the larger lr just reaches the SAME step->0 collapse faster (hr0), outer-lr is not an escape and the attractor is optimiser-step-size-agnostic. BUDGET: K=10 mse ~750s, <1200s wall.
8	671da566	0.951025	0.119479	keep	architecture	tv_iterative_supervised-claude-agentic	claude-opus-4-8-1m	37.4294	4.591289e-03	505.5	2e-05	tv_iterative_supervised-claude-agentic: val_n=200, val_chunk=5, train_n=400, epochs=10, batch_size=1, lr=0.005, tv_K=10, tv_step_init=0.001, tv_lambda_init=0.05, tv_share_steps=False, tv_eps=1e-06, lambda_neg=1.0, loss_base=mse, grad_clip=1.0, rationale=tv_iterative_supervised iter-8 (breast_ct). LAMBDA-INIT edge probe. iters 1-7 confirm the FBP-init MSE attractor across step/depth/loss/sharing/outer-lr -- step[k] always ->0, recon=FBP, hr0. lambda has been pinned at 1e-3 (inert once step->0). This iter tests the lambda edge: init a STRONG TV prior (lambda_init=0.05, 50x) so the TV gradient term is large FROM THE START -- IF the recon takes even a few non-zero steps early (before step collapses) a strong TV could denoise the FBP streaks materially. ONE KNOB: tv_lambda_init 1e-3->0.05 (step_init=1e-3, K=10, mse, per-iter, lr=5e-3 -- iter-3 base). FALSIFIER: if step still ->0 first, lambda never gets to act (product step*lambda*tv_grad ->0) and hr stays 0 -> confirms step-collapse gates lambda entirely. This closes the lambda edge of the search box. BUDGET: K=10 mse ~750s, <1200s wall.
9	671da566	0.957397	0.146248	keep	architecture	tv_iterative_supervised-claude-agentic	claude-opus-4-8-1m	37.6976	4.451704e-03	474.0	2e-05	tv_iterative_supervised-claude-agentic: val_n=200, val_chunk=5, train_n=400, epochs=10, batch_size=1, lr=0.005, tv_K=10, tv_step_init=0.001, tv_lambda_init=0.2, tv_share_steps=False, tv_eps=1e-06, lambda_neg=1.0, loss_base=mse, grad_clip=1.0, rationale=tv_iterative_supervised iter-9 (breast_ct). CLIMB the lambda axis (the productive lever, FOUND). iter-8 BREAKTHROUGH: tv_lambda_init 1e-3->0.05 gave hr=0.1195 (psnr 37.43>baseline 36.32, ssim 0.951>0.920) -- FIRST above-baseline. MECHANISM (diagnosed): step[k] still collapses to ~1.8e-6, but the optimiser GROWS lambda from 0.05 to ~0.30 across epochs so the product step*lambda*tv_grad stays non-zero and denoises the FBP sparse-view noise. So LAMBDA, not step, is the escape from the FBP attractor. iter-8 ended with lambda ~0.30, well above its 0.05 init -> the init was below the productive operating point. ONE KNOB: tv_lambda_init 0.05->0.2 (closer to where iter-8's lambda settled; step_init=1e-3, K=10, mse, per-iter, lr=5e-3). HYPOTHESIS: initialising lambda near its learned operating point (0.2) lets the 10-epoch budget spend more steps in the productive denoising regime rather than climbing from 0.05, so hr rises above 0.1195. FALSIFIER: if hr drops (0.2 over-smooths breast fine structure) the optimum lambda_init is between 0.05 and 0.2 and iter-10 bisects. BUDGET: K=10 mse ~750s, <1200s wall.
10	671da566	0.957546	0.147114	keep	architecture	tv_iterative_supervised-claude-agentic	claude-opus-4-8-1m	37.7064	4.447188e-03	511.1	2e-05	tv_iterative_supervised-claude-agentic: val_n=200, val_chunk=5, train_n=400, epochs=10, batch_size=1, lr=0.005, tv_K=10, tv_step_init=0.001, tv_lambda_init=1.0, tv_share_steps=False, tv_eps=1e-06, lambda_neg=1.0, loss_base=mse, grad_clip=1.0, rationale=tv_iterative_supervised iter-10 (breast_ct). CLIMB lambda further. Trajectory: lambda_init 0.05->hr0.1195 (settled ~0.30), 0.2->hr0.1462 (settled ~1.3). Lambda keeps climbing WELL above its init in both -> the productive operating point is higher than tested. step[k] stays ~1.8e-6 (irrelevant; lambda carries denoising). ONE KNOB: tv_lambda_init 0.2->1.0 (near where iter-9's lambda settled). HYPOTHESIS: starting lambda at ~1.0 spends the whole 10-epoch budget in the strong-TV denoising regime, so hr rises above 0.1462. FALSIFIER: if hr drops, 1.0 over-smooths breast fine structure and the optimum lambda_init is between 0.2 and 1.0 (iter-11 bisects to ~0.5). BUDGET: K=10 mse ~750s, <1200s wall.
