iter	commit	val_score	headroom	status	change_class	agent	model	val_psnr	val_rmse	elapsed_s	params_M	rationale
1		0.990973	0.648994	keep	architecture	uswin-claude-agentic	claude-opus-4-8-1m	45.4179	1.830243e-03	189.6	3.95405	uswin-claude-agentic: train_n=200, val_n=200, epochs=8, batch_size=2, lr=0.0002, uswin_c=24, swin_window=8, swin_heads=4, grad_clip=1.0, max_train_s=1000, seed=42, rationale=ITER-1 (breast-ct-claude-agentic-uswin-search-20260703-01) ONBOARDING. Onboard U-Swin on the RE-SPLIT breast_ct (train 3600 / val 200 / test 200, seed 20260703; verified disjoint, all 512x512) scoring val=200 under the HARD 20-min compute budget. SIX-BOX: (1) READ prior numbers: the last breast U-Swin campaign was breast-ct-calibrated-tpe-uswin-search-20260521-01 at the OLD 256px demo geometry; its best was iter-18 hr=0.7174 / val_ssim=0.9970 / params=3.954M with epochs=14, lr=1.8046e-4, batch_size=2, uswin_c=24, swin_window=16, swin_heads=8. NOTE: that geometry was 256px; the re-split breast is now 512x512 (4x pixels), so per-epoch cost and GPU memory are ~4x -> window=16+heads=8+bs=2 risks OOM AND overshooting the 20-min wall. (2) FAILURE MODE (anticipated): OOM / wall-overrun at 512px if I copy the 256px champion verbatim. (3) ONE KNOB is moot on an onboarding iter (no prior 512px iter to change from); I deliberately pick a MEMORY-SAFE, WALL-SAFE baseline near the prior champion: uswin_c=24 (same), swin_window=8 (down from 16 to halve attention-window memory and satisfy the OOM caveat), swin_heads=4 (down from 8), lr=2e-4 (near prior-best 1.8e-4), batch_size=2 (same), grad_clip=1.0. epochs=8 CONSERVATIVE with a max_train_s=1000 backstop so train+score cannot exceed the 1200s (20-min) wall even if a 512px epoch is unexpectedly expensive; iter-1 MEASURES the per-epoch cost so iters 2-5 can size epochs precisely. Set PYTORCH_CUDA_ALLOC_CONF=expandable_segments:True (in dispatch env) to guard OOM. (4) HYPOTHESIS: a moderate 24-channel/window-8/head-4 U-Swin trained 8 epochs on 200 breast cases at 512px clears the breast FBP baseline (hr>0) and lands a clean end-to-end iter inside 20 min, establishing the per-epoch timing and a hr baseline near/below the prior 256px 0.717. FALSIFIER: OOM, wall-overrun (train+score>1200s), or hr<=0 -> next iter shrinks capacity or epochs. (5) HARD 20-min budget honored via epochs=8 + max_train_s=1000 backstop; val_n=200 = whole val pool (cap honored, was 400). (6) I dispatch iter-2 myself when iter-1 lands (no control return).
2		0.997713	0.81925	keep	architecture	uswin-claude-agentic	claude-opus-4-8-1m	51.1826	9.424817e-04	867.3	3.95405	uswin-claude-agentic: train_n=200, val_n=200, epochs=40, batch_size=2, lr=0.0002, uswin_c=24, swin_window=8, swin_heads=4, grad_clip=1.0, max_train_s=1000, seed=42, rationale=ITER-2 (breast-ct-claude-agentic-uswin-search-20260703-01). SIX-BOX (NUMBERS): (1) READ iter-1: hr=0.648994 / val_ssim=0.990973 / PSNR=45.42 / RMSE=0.00183 / params=3.954M, TOTAL WALL 00:03:10 (190s, sacct COMPLETED) = only ~16pct of the HARD 20-min (1200s) budget. Train loss fell MONOTONICALLY every epoch with NO plateau: ep1 7.73e-4 -> ep2 8.41e-5 -> ep4 3.56e-5 -> ep6 1.49e-5 -> ep8 8.38e-6 (still dropping at the last epoch). (2) FAILURE MODE: UNDER-TRAINED. hr 0.649 sits below the prior 256px U-Swin champion 0.7174, the loss never plateaued, and 84pct of the compute budget went UNSPENT. Limiter is training length, NOT capacity or optimization. (3) ONE KNOB: epochs 8 -> 40 (5x); EVERYTHING else identical to iter-1 (train_n=200, val_n=200, bs=2, lr=2e-4, uswin_c=24, swin_window=8, swin_heads=4, grad_clip=1.0, seed=42). (4) HYPOTHESIS: U-Swin is epochs-limited at ep8 on the 512px breast substrate; 5x more gradient steps drives the loss into its convergence basin and lifts hr from 0.649 toward/past the prior 256px champion 0.7174. TIMING: iter-1 = 8 epochs + 200-case val + figure in 190s. Even at a conservative ~15 s/epoch marginal cost the fixed overhead is ~190-8*15=70s, so 40 epochs = 70 + 40*15 = 670s = 11.2 min, well inside the 1200s wall (max_train_s=1000 backstop is the hard train-only guard, leaving room for the ~70s val+figure). FALSIFIER (NUMBERS): if hr plateaus at/below ~0.65 (or drops) at ep40, U-Swin is CAPACITY-limited at c24/win8/head4 -> iter-3 raises capacity (swin_window 8->16, the prior-champion lever for denser anatomy) rather than epochs. (5) HARD 20-min budget honored (670s predicted train+score, max_train_s=1000 backstop); val_n=200 = whole val pool. (6) I dispatch iter-3 myself when iter-2 lands.
3		0.997256	0.809221	keep	architecture	uswin-claude-agentic	claude-opus-4-8-1m	50.7136	9.947760e-04	1035.1	3.95405	uswin-claude-agentic: train_n=200, val_n=200, epochs=40, batch_size=2, lr=0.0002, uswin_c=24, swin_window=16, swin_heads=4, grad_clip=1.0, max_train_s=1000, seed=42, rationale=ITER-3 (breast-ct-claude-agentic-uswin-search-20260703-01). SIX-BOX (NUMBERS): (1) READ iter-1 vs iter-2: hr 0.648994 (ep8) -> 0.819250 (ep40), val_ssim 0.990973 -> 0.997713, PSNR 45.42 -> 51.18, RMSE 1.83e-3 -> 9.42e-4. iter-2 wall 00:14:28 (867s) = 72pct of the HARD 20-min budget. Epochs lever CONFIRMED strong (+0.170 hr for 8->40). iter-2 ALREADY EXCEEDS the prior 256px U-Swin champion 0.7174. (2) LIMITER: epochs nearly exhausted WITHIN BUDGET (867s at ep40; ep64 would be ~23min and blow the 20-min wall). Open question: is hr 0.819 CAPACITY-limited at swin_window=8? Prior-campaign insight (solver_uswin.md) is explicit: the denser breast anatomy favored a WIDER window + more heads (256px breast champion used win=16, heads=8). iter-1/2 used memory-safe win=8; the wider-window lever is untested on the 512px substrate. (3) ONE KNOB: swin_window 8 -> 16; everything else identical to iter-2 (epochs=40, bs=2, lr=2e-4, uswin_c=24, swin_heads=4, grad_clip=1.0, seed=42). (4) HYPOTHESIS: hr 0.819 is capacity-limited by the narrow 8px window on the dense 512px breast substrate; widening to 16px (2x window area) captures more non-local streak context and lifts hr above 0.819 toward 0.85+, mirroring the prior breast champion. FALSIFIER: if hr <= 0.819 at win=16, the window was not the limiter -> iter-4 pivots to swin_heads 4->8 or lr. (5) BUDGET GUARD: win=16 ~doubles attention cost (~35-40 s/epoch), so 40 epochs could reach ~26 min; the max_train_s=1000 (16.7 min) TRAIN-ONLY backstop caps training and still yields a valid val-scored result inside the 30-min sbatch wall. This stays a strict ONE-KNOB change (I did NOT also cut epochs). HARD 20-min honored via backstop; val_n=200 = whole val pool. (6) I dispatch iter-4 myself when iter-3 lands.
4		0.997712	0.820804	keep	architecture	uswin-claude-agentic	claude-opus-4-8-1m	51.2576	9.343789e-04	1030.5	3.95405	uswin-claude-agentic: train_n=200, val_n=200, epochs=40, batch_size=2, lr=0.0002, uswin_c=24, swin_window=8, swin_heads=8, grad_clip=1.0, max_train_s=1000, seed=42, rationale=ITER-4 (breast-ct-claude-agentic-uswin-search-20260703-01). SIX-BOX (NUMBERS): (1) READ iter-1/2/3: hr 0.648994 (ep8,win8) -> 0.819250 (ep40,win8, BEST) -> 0.809221 (win16, backstop at ep32). iter-2 val_ssim 0.997713 / PSNR 51.18 / RMSE 9.42e-4 (best). iter-3 val_ssim 0.997256 / PSNR 50.71 / RMSE 9.95e-4, elapsed 1035s, the max_train_s=1000 backstop FIRED at epoch 32 (win16 is ~2x slower/epoch). (2) FAILURE MODE: iter-3 FALSIFIED the wide-window hypothesis: win16 hr 0.809 < win8 hr 0.819. Confound = win16 only got 32 epochs (backstop) vs win8 got 40; the extra attention cost of win16 did NOT buy enough per-epoch gain to overcome the 8-fewer-epochs deficit within the 20-min wall. NET: on the 512px substrate win8 is more BUDGET-EFFICIENT than win16 (the prior 256px campaign favored win16, but that was at 4x fewer pixels where win16 was affordable; at 512px the epochs-per-budget tradeoff flips). So the win8 ep40 config (iter-2, hr 0.819) remains the best and the window lever is closed. The still-untested prior-champion CAPACITY lever is swin_heads (256px breast champion used heads=8; iter-1/2/3 used heads=4). (3) ONE KNOB: swin_heads 4 -> 8; REVERT swin_window to 8 (back to the iter-2 BEST config) and hold everything else identical to iter-2 (epochs=40, bs=2, lr=2e-4, uswin_c=24, swin_window=8, grad_clip=1.0, seed=42). (4) HYPOTHESIS: more attention heads (4->8) split the existing 24-channel embedding into finer subspaces, letting the windowed self-attention model more distinct streak/aliasing directions, lifting hr above the iter-2 best 0.819. Unlike widening the window, adding heads is near-ZERO extra FLOPs (multi-head splits the SAME channels), so it stays budget-efficient at win8 (~21 s/epoch -> 40 epochs fits ~14.5 min like iter-2, well inside the 20-min wall; no backstop truncation expected). FALSIFIER (NUMBERS): if hr <= 0.819 at heads=8, both prior-champion capacity levers (window AND heads) are non-productive on the 512px substrate at c=24 -> iter-5 pivots to a training/optimization lever (lr or a small capacity bump uswin_c 24->32) rather than attention shape. (5) HARD 20-min budget honored (predicted ~14.5 min at win8/heads8/ep40, backstop max_train_s=1000 as guard); val_n=200 = whole val pool. (6) I dispatch iter-5 myself when iter-4 lands.
5		0.997738	0.813598	keep	architecture	uswin-claude-agentic	claude-opus-4-8-1m	50.9152	9.719521e-04	1076.3	3.95405	uswin-claude-agentic: train_n=200, val_n=200, epochs=40, batch_size=2, lr=0.0004, uswin_c=24, swin_window=8, swin_heads=8, grad_clip=1.0, max_train_s=1000, seed=42, rationale=ITER-5 (breast-ct-claude-agentic-uswin-search-20260703-01). SIX-BOX (NUMBERS): (1) READ iter-1/2/3/4: hr 0.648994 (ep8,win8,h4) -> 0.819250 (ep40,win8,h4, was best) -> 0.809221 (win16, backstop ep32) -> 0.820804 (win8,h8, ep38 backstop, NEW BEST). val_ssim: 0.9910/0.9977/0.9973/0.9977. iter-4 heads 4->8 gave only +0.0015 hr (0.819250 -> 0.820804) = essentially at the val-noise floor. iter-4 train loss drove to ~8.2e-7 by ep38 (deep convergence, no instability), and the max_train_s=1000 backstop fired at ep38 (~26 s/epoch). (2) FAILURE MODE: BOTH attention-shape capacity levers are now saturated at uswin_c=24 on the 512px substrate: window (iter-3 win16 REGRESSED to 0.809 under the budget, since 2x attention cost cut epochs 40->32) and heads (iter-4 h8 gained only +0.0015, within noise). The loss reaching ~1e-6 means the optimizer is FULLY CONVERGING within budget, so hr ~0.82 looks like an architecture/capacity ceiling at c=24, not an under-training one. The one lever not yet tested is the OPTIMIZATION step size (lr); iter-1..4 all used lr=2e-4. (3) ONE KNOB: lr 2e-4 -> 4e-4 (2x); hold everything else at the iter-4 BEST config (epochs=40, bs=2, uswin_c=24, swin_window=8, swin_heads=8, grad_clip=1.0, seed=42). This is BUDGET-NEUTRAL (same per-epoch cost, same 40-epoch target, same backstop) -> a clean isolated test of the step-size lever. (4) HYPOTHESIS: a 2x-larger lr lets Adam reach a marginally BETTER minimum in the same 40 epochs (or the same minimum in fewer steps, freeing budget), lifting hr above the iter-4 best 0.820804. grad_clip=1.0 already guards against a larger-lr gradient spike. FALSIFIER (NUMBERS): if hr <= ~0.821 (flat) or DROPS / destabilizes (loss diverges) at lr=4e-4, then hr ~0.82 is CONFIRMED as the uswin_c=24 architecture ceiling on 512px breast under the 20-min budget, and the next lever (out of this 5-iter scope) would be a capacity bump uswin_c 24->32 WITH an epoch cut to fit the wall (accepting the iter-3-style epochs/capacity tradeoff), or full TPE. (5) HARD 20-min budget honored (budget-neutral vs iter-4 which ran 1030s; backstop max_train_s=1000 guard); val_n=200 = whole val pool. (6) FINAL iter of this 5-iter search; I report all five hr/ssim + best when iter-5 lands.
6		0.997573	0.809345	keep	architecture	uswin-claude-agentic	claude-opus-4-8-1m	50.7192	9.941318e-04	1088.4	7.0249	uswin-claude-agentic: train_n=200, val_n=200, epochs=40, batch_size=2, lr=0.0002, uswin_c=32, swin_window=8, swin_heads=8, grad_clip=1.0, max_train_s=1000, seed=42, rationale=ITER-6 (breast-ct-claude-agentic-uswin-search-20260703-01). SIX-BOX (NUMBERS): (1) READ iter-1..5: hr 0.6490(ep8)/0.8193(ep40,win8,h4)/0.8092(win16,ep32)/0.8208(h8,ep38,BEST)/0.8136(lr4e-4,ep39). val_ssim plateaued at 0.9977 for iters 2/4/5; train loss drove to ~1e-6 (full convergence) every run. iter-4 BEST = c24/win8/h8/ep40/lr2e-4 hr=0.820804. (2) FAILURE MODE: uswin_c=24 is CAPACITY-SATURATED. Evidence: attention-shape levers (window iter-3, heads iter-4) and the optimization lever (lr iter-5) all failed to move hr past ~0.821, while loss fully converged to ~1e-6 -> the model has learned all it can REPRESENT at 24 base channels. The untested lever is raw model CAPACITY (base channel width). (3) ONE KNOB: uswin_c 24 -> 32 (1.33x base width, ~1.78x params); hold everything else at the iter-4 BEST (epochs=40, bs=2, lr=2e-4, swin_window=8, swin_heads=8, grad_clip=1.0, seed=42). I do NOT also cut epochs -> stays ONE knob; the max_train_s=1000 backstop (which already fired at ep32/38/39 in iters 3/4/5) will cap training at whatever epoch count fits, giving an honest budget-constrained capacity test. (4) HYPOTHESIS: hr 0.821 is representation-limited at c=24; widening base channels 24->32 raises model capacity and lifts hr above 0.821 EVEN with fewer epochs (backstop ~ep22-24 at ~1.78x per-epoch cost), because the c24 runs were capacity- not epoch-limited (loss already ~1e-6 by ep40). FALSIFIER (NUMBERS): if hr <= 0.821 at c=32, either (a) the epoch cut from the backstop outweighs the capacity gain, or (b) 0.82 is a data/geometry ceiling not a capacity one -> iter-7 either restores epochs by cutting elsewhere (bs, or accept fewer epochs is fine) or tests DEPTH instead of width. (5) HARD 20-min budget honored via max_train_s=1000 backstop (fires like iters 3/4/5); val_n=200 = whole val pool; PYTORCH_CUDA_ALLOC_CONF=expandable_segments:True guards OOM at the larger c=32 model. (6) I self-drive: dispatch iter-7 when iter-6 lands, continuing to iter-20.
7		0.998204	0.843971	keep	architecture	uswin-claude-agentic	claude-opus-4-8-1m	52.4601	8.135781e-04	714.3	3.95405	uswin-claude-agentic: train_n=200, val_n=200, epochs=40, batch_size=1, lr=0.0002, uswin_c=24, swin_window=8, swin_heads=8, grad_clip=1.0, max_train_s=1000, seed=42, rationale=ITER-7 (breast-ct-claude-agentic-uswin-search-20260703-01). SIX-BOX (NUMBERS): (1) READ iter-1..6: hr 0.6490/0.8193/0.8092(win16)/0.8208(h8,BEST)/0.8136(lr4e-4)/0.8094(c32). iter-6 c32 (7.025M params, backstop ep34) hr=0.809345 < iter-4 c24 0.820804 -> capacity bump REGRESSED, exactly like iter-3 win16 (0.809, ep32). (2) FAILURE MODE: raw REPRESENTATION capacity increases (window iter-3, channels iter-6) both REGRESS under the 20-min wall because their ~1.8x per-epoch cost cuts epochs (34-38 vs 40) and the c24 base already SATURATES val at ~0.82 (loss -> ~1e-6 every run). Combined with heads(iter-4,+0.0015) and lr(iter-5,-0.007) failing, hr ~0.82 looks like a DATA/GEOMETRY ceiling, not a capacity one. The untested lever is GRADIENT-UPDATE DENSITY: iter-1..6 all used batch_size=2 (100 steps/epoch on train_n=200). (3) ONE KNOB: batch_size 2 -> 1 (2x the optimizer steps/epoch = 200 steps/epoch); hold everything else at the iter-4 BEST (c24, epochs=40, lr=2e-4, swin_window=8, swin_heads=8, grad_clip=1.0, seed=42). (4) HYPOTHESIS: hr ~0.82 is optimization-granularity-limited, not representation-limited; halving batch to 1 doubles gradient updates per epoch, which for small-data (train_n=200) supervised training often finds a flatter/better minimum and lifts hr above 0.821. bs=1 is CHEAPER per-step (less memory) so 40 epochs still fits ~ the iter-2 14.5min budget (possibly slightly slower total due to 2x kernel launches; max_train_s=1000 backstop guards). FALSIFIER (NUMBERS): if hr <= 0.821 at bs=1, gradient density is NOT the limiter -> confirms ~0.82 is the data/geometry ceiling for U-Swin on 512px breast under this budget; iter-8 then probes train_n (200->400, more data) as the last capacity-free lever. (5) HARD 20-min budget honored (max_train_s=1000 backstop); val_n=200 = whole val pool. (6) I self-drive to iter-20; dispatch iter-8 when iter-7 lands.
8		0.998319	0.84643	keep	architecture	uswin-claude-agentic	claude-opus-4-8-1m	52.5981	8.007570e-04	828.1	7.0249	uswin-claude-agentic: train_n=200, val_n=200, epochs=40, batch_size=1, lr=0.0002, uswin_c=32, swin_window=8, swin_heads=8, grad_clip=1.0, max_train_s=1000, seed=42, rationale=ITER-8. SIX-BOX (NUMBERS): (1) READ iter-1..7: hr 0.6490/0.8193/0.8092(win16)/0.8208(c24,bs2)/0.8136(lr4e-4)/0.8093(c32,bs2)/0.8440(bs1,NEW BEST). iter-7 = c24/win8/h8/ep40/lr2e-4/BS=1 hr=0.844001 ssim=0.9982 PSNR=52.46 elapsed=714s (full 40ep, NO backstop). bs 2->1 gave +0.023 hr (biggest jump since epochs), loss to ~6.5e-7. (2) FAILURE MODE REVISED: earlier 'hr~0.82 data/geometry ceiling' was WRONG; iter-7 shows it was OPTIMIZATION-GRANULARITY limited (2x gradient updates found a better minimum 0.821->0.844). So capacity may NOW pay off; iter-6 tested c32 but under the STALE bs2 regime (0.809, regressed because bs2 under-optimized). Re-test capacity under the WINNING bs1 dynamics. (3) ONE KNOB: uswin_c 24 -> 32; hold everything else at iter-7 BEST (bs=1, ep=40, lr=2e-4, win=8, heads=8, grad_clip=1.0, seed=42). No epoch cut -> ONE knob; max_train_s=1000 backstop caps overrun. (4) HYPOTHESIS: with bs1's 2x-denser updates the model can EXPLOIT c32 capacity that bs2 could not, lifting hr above 0.844. FALSIFIER: if hr <= 0.844 at c32/bs1, capacity is non-productive even under good optimization -> 0.844 near the ceiling; iter-9 returns to lr sweep/schedule or train_n. (5) 20-min budget via max_train_s=1000 backstop; expandable_segments guards OOM at c32; val_n=200. (6) STRICT SERIAL gate before iter-9.
9		0.997999	0.828886	keep	architecture	uswin-claude-agentic	claude-opus-4-8-1m	51.6585	8.922394e-04	1075.0	15.7958	uswin-claude-agentic: train_n=200, val_n=200, epochs=40, batch_size=1, lr=0.0002, uswin_c=48, swin_window=8, swin_heads=8, grad_clip=1.0, max_train_s=1000, seed=42, rationale=ITER-9. SIX-BOX (NUMBERS): (1) READ iter-1..8: hr .6490/.8193/.8092(win16)/.8208(c24bs2)/.8136(lr4e4)/.8093(c32bs2)/.8440(c24bs1)/.8464(c32bs1,NEW BEST). iter-8=c32/win8/h8/ep40/lr2e-4/bs1 hr=0.846430 ssim=0.9983 PSNR=52.60 RMSE=8.01e-4 elapsed=828s (full 40ep). c24->c32 UNDER bs1 gave +0.0024 (capacity DID pay off once optimization dense enough), loss to ~5.5e-7. This CONFIRMED capacity is productive under bs1 and FALSIFIED the earlier fixed-ceiling idea. (2) FAILURE MODE / next limiter: c32 helped modestly; is capacity still the live lever or diminishing? The natural next test is MORE width. iter-6's c32-at-bs2 regression was stale (under-optimized). Under bs1 the model exploits capacity (loss deeper each width). (3) ONE KNOB: uswin_c 32 -> 48 (~2.2x c32 params); hold everything else at iter-8 BEST (bs=1, ep=40, lr=2e-4, win=8, heads=8, grad_clip=1.0, seed=42). No epoch cut -> ONE knob; max_train_s=1000 backstop caps overrun (c48 per-epoch ~2.2x c32, so backstop may fire ~ep25-30). (4) HYPOTHESIS: capacity remains productive under bs1; c32->48 lifts hr above 0.8464 even with a modest epoch cut, since each prior width increase deepened the loss basin. FALSIFIER (NUMBERS): if hr <= 0.8464 at c48/bs1, capacity has saturated (or the backstop epoch-cut outweighs the width gain) -> iter-10 stops widening and returns to optimization (lr sweep or cosine schedule at c32/bs1) or train_n 200->400. (5) 20-min budget via max_train_s=1000 backstop; PYTORCH_CUDA_ALLOC_CONF=expandable_segments guards OOM at c48; val_n=200. (6) STRICT SERIAL: gate on iter-9 numeric-hr obs + job-left-squeue before iter-10.
10		0.998132	0.837754	keep	architecture	uswin-claude-agentic	claude-opus-4-8-1m	52.1207	8.459991e-04	1068.9	7.0249	uswin-claude-agentic: train_n=200, val_n=200, epochs=64, batch_size=1, lr=0.0002, uswin_c=32, swin_window=8, swin_heads=8, grad_clip=1.0, max_train_s=1000, seed=42, rationale=ITER-10. SIX-BOX (NUMBERS): (1) READ iter-1..9: hr .649/.8193/.8092/.8208/.8136/.8093/.8440(c24bs1)/.8464(c32bs1,BEST)/.8289(c48bs1,ep23 backstop). iter-8=c32/win8/h8/ep40/bs1/lr2e-4 hr=0.846430 elapsed=828s (full 40ep, train ~720s, well UNDER the 1000s backstop). iter-9 c48 REGRESSED to 0.8289 because its ~2.2x per-epoch cost triggered the backstop at ep23 (vs c32's 40) - epoch-cut erased the width gain, same tradeoff as iter-3(win16)/iter-6(c32bs2). So c32 is the CAPACITY SWEET SPOT under the 20-min wall; wider overshoots. (2) FAILURE MODE / limiter: capacity optimized (c32), optimization density optimized (bs1). But iter-8 had EPOCH HEADROOM: 40ep used only ~720s train of the 1000s budget, and its loss was still ~5.5e-7 and DECREASING (not fully converged). So the current limiter at the c32/bs1 optimum is EPOCHS (training length), not capacity or batch. (3) ONE KNOB: epochs 40 -> 64; hold everything else at iter-8 BEST (c32, bs=1, lr=2e-4, win=8, heads=8, grad_clip=1.0, seed=42). max_train_s=1000 backstop caps: at iter-8's ~18s/epoch train, 64ep=~1150s train -> backstop fires ~ep55, giving ~+15 real epochs over iter-8's 40 (an honest budget-max epochs increase). (4) HYPOTHESIS: iter-8 c32/bs1 was epoch-limited (loss still dropping at ep40); +epochs to the budget max (~ep55 via backstop) squeezes hr above 0.8464. FALSIFIER (NUMBERS): if hr <= 0.8464 at ep64(->~ep55), the c32/bs1 optimum has CONVERGED at ~40ep and more epochs don't help -> 0.846 is the U-Swin/512px-breast ceiling at this train_n; iter-11 then probes train_n 200->400 (more data, the last untried capacity-free lever; train_n<=2400 per coordinator). (5) 20-min budget via max_train_s=1000 backstop; val_n=200; expandable_segments OOM-guard. (6) STRICT SERIAL: rm iter-10 obs pre-dispatch; gate via iter_wait.sh on JOBID+obs before iter-11.
