iter	commit	val_score	headroom	status	change_class	agent	model	rationale
1		0.957636	0	discard	architecture	wu_2015_trainable-claude-agentic-breast-ct	claude-opus-4.7-1m	wu_2015_trainable-claude-agentic: epochs=5, lr=0.01, batch_size=1, wu_n_bands=4, wu_n_outer=2, wu_motion_range=5, wu_motion_window=2, wu_soft_thresh=0.0015, wu_sigmoid_slope=10.0, wu_sigmoid_offset=1.0, wu_band_scale=1.0, wu_residual_blend=1.0, lambda_neg=1.0, val_n=10, val_chunk=2
2		0.969066	0.218884	keep	architecture	wu_2015_trainable-claude-agentic-breast-ct	claude-opus-4.7-1m	wu_2015_trainable-claude-agentic: epochs=10, lr=0.001, batch_size=1, wu_n_bands=4, wu_n_outer=2, wu_motion_range=5, wu_motion_window=2, wu_soft_thresh=0.0015, wu_sigmoid_slope=10.0, wu_sigmoid_offset=1.0, wu_band_scale=1.0, wu_residual_blend=1.0, lambda_neg=1.0, val_n=10, val_chunk=2
3		0.958138	0.0147105	keep	architecture	wu_2015_trainable-claude-agentic-breast-ct	claude-opus-4.7-1m	wu_2015_trainable-claude-agentic: epochs=20, lr=0.001, batch_size=1, wu_n_bands=4, wu_n_outer=2, wu_motion_range=5, wu_motion_window=2, wu_soft_thresh=0.0015, wu_sigmoid_slope=10.0, wu_sigmoid_offset=1.0, wu_band_scale=1.0, wu_residual_blend=1.0, lambda_neg=1.0, val_n=10, val_chunk=2
4		0.971429	0.114147	keep	architecture	wu_2015_trainable-claude-agentic-breast-ct	claude-opus-4.7-1m	wu_2015_trainable-claude-agentic: epochs=8, lr=0.001, batch_size=1, wu_n_bands=4, wu_n_outer=2, wu_motion_range=5, wu_motion_window=2, wu_soft_thresh=0.0015, wu_sigmoid_slope=10.0, wu_sigmoid_offset=1.0, wu_band_scale=1.0, wu_residual_blend=1.0, lambda_neg=1.0, val_n=10, val_chunk=2
5		0.656144	0	discard	architecture	wu_2015_trainable-claude-agentic-breast-ct	claude-opus-4.7-1m	wu_2015_trainable-claude-agentic: epochs=10, lr=0.001, batch_size=1, wu_n_bands=4, wu_n_outer=3, wu_motion_range=5, wu_motion_window=2, wu_soft_thresh=0.0015, wu_sigmoid_slope=10.0, wu_sigmoid_offset=1.0, wu_band_scale=1.0, wu_residual_blend=1.0, lambda_neg=1.0, val_n=10, val_chunk=2
6		0.962943	0.130685	keep	architecture	wu_2015_trainable-claude-agentic-breast-ct	claude-opus-4.7-1m	wu_2015_trainable-claude-agentic: epochs=15, lr=0.001, weight_decay=0.001, batch_size=1, wu_n_bands=4, wu_n_outer=2, wu_motion_range=5, wu_motion_window=2, wu_soft_thresh=0.0015, wu_sigmoid_slope=10.0, wu_sigmoid_offset=1.0, wu_band_scale=1.0, wu_residual_blend=1.0, lambda_neg=1.0, val_n=10, val_chunk=2
7		0.962541	0.114478	keep	architecture	wu_2015_trainable-claude-agentic-breast-ct	claude-opus-4.7-1m	wu_2015_trainable-claude-agentic: epochs=15, lr=0.001, weight_decay=0.01, batch_size=1, wu_n_bands=4, wu_n_outer=2, wu_motion_range=5, wu_motion_window=2, wu_soft_thresh=0.0015, wu_sigmoid_slope=10.0, wu_sigmoid_offset=1.0, wu_band_scale=1.0, wu_residual_blend=1.0, lambda_neg=1.0, val_n=10, val_chunk=2
8		0.964454	0.131251	keep	architecture	wu_2015_trainable-claude-agentic-breast-ct	claude-opus-4.7-1m	wu_2015_trainable-claude-agentic: epochs=15, lr=0.001, weight_decay=0.0, batch_size=1, loss_base=l1, wu_n_bands=4, wu_n_outer=2, wu_motion_range=5, wu_motion_window=2, wu_soft_thresh=0.0015, wu_sigmoid_slope=10.0, wu_sigmoid_offset=1.0, wu_band_scale=1.0, wu_residual_blend=1.0, lambda_neg=1.0, val_n=10, val_chunk=2
9		0.944431	0	discard	architecture	wu_2015_trainable-claude-agentic-breast-ct	claude-opus-4.7-1m	wu_2015_trainable-claude-agentic: epochs=10, lr=0.001, weight_decay=0.0, batch_size=1, loss_base=mse, wu_n_bands=4, wu_n_outer=2, wu_motion_range=5, wu_motion_window=2, wu_soft_thresh=0.0015, wu_sigmoid_slope=10.0, wu_sigmoid_offset=1.0, wu_band_scale=1.0, wu_residual_blend=1.0, lambda_neg=1.0, train_n=2000, val_n=10, val_chunk=2
10		0.940323	0	discard	architecture	wu_2015_trainable-claude-agentic-breast-ct	claude-opus-4.7-1m	wu_2015_trainable-claude-agentic: epochs=15, lr=0.001, weight_decay=0.0, batch_size=1, loss_base=mse, wu_n_bands=4, wu_n_outer=2, wu_motion_range=5, wu_motion_window=2, wu_soft_thresh=0.0015, wu_sigmoid_slope=10.0, wu_sigmoid_offset=1.0, wu_band_scale=1.0, wu_residual_blend=1.0, wu_band_scale_min=0.1, wu_band_scale_max=3.0, wu_blend_min=-0.5, wu_blend_max=2.0, wu_soft_thresh_min=1e-05, wu_soft_thresh_max=0.05, lambda_neg=1.0, val_n=10, val_chunk=2
