iter	commit	val_score	headroom	status	change_class	agent	model	val_psnr	val_rmse	elapsed_s	params_M	rationale
1	671da566	0.468893	0	discard	architecture	wu_2015-claude-agentic	claude-opus-4-8-1m	22.7967	2.474974e-02	41.3	0	wu_2015-claude-agentic: wu_n_bands=6, wu_n_outer=2, wu_motion_range=8, wu_motion_window=2, wu_soft_thresh=0.0015, val_n=200, val_chunk=4, seed=42, rationale=ITER-1 feasibility onboarding (breast-ct-claude-agentic-wu-2015-search-20260703-01, strict 20-min budget, re-split breast val=200). This is the CLASSICAL NON-TRAINABLE Wu-2015 FBP baseline (0 params, no learning) -- distinct from wu_2015_trainable. Seeded from the trainable-sibling family optimum (search-20260703-01 iter-1 hr=0.3009 at n_bands=6,n_outer=2,motion_range=8,motion_window=2,soft_thresh=0.0015) since the classical solver shares the same 5 structural knobs; a prior breast TPE reached hr~0.31 for this family. val_n=200 = ALL re-split breast val cases (do NOT exceed 200), seed=42. HYPOTHESIS: the family-optimum structural config produces a finite val_ssim that CLEARS the 128-view breast FBP baseline (hr>0) in ~1-2 min, establishing the classical onboarding baseline that iters 2-20 refine one knob at a time.
2	671da566	0.366317	0	discard	architecture	wu_2015-claude-agentic	claude-opus-4-8-1m	-1.40186	4.013260e-01	35.9	0	wu_2015-claude-agentic: wu_n_bands=6, wu_n_outer=0, wu_motion_range=8, wu_motion_window=2, wu_soft_thresh=0.0015, val_n=200, val_chunk=4, seed=42, rationale=ITER-2 (one knob vs iter-1). NUMBERS: iter-1 hr=0.0 (n_outer=2): Wu recon val_ssim=0.469 PSNR=22.80 RMSE=0.0247, but the plain FBP baseline is ssim=0.920 PSNR=36.32 RMSE=0.00521 -> Wu RMSE is 4.7x WORSE than baseline, hr=0. FAILURE MODE: the residual-refinement OUTER LOOP (forward-project the aliasing-free FBP, subtract, feature-preserving-interp the residual to 2x angles, FBP + soft-threshold + add-back) is INJECTING artefacts, not recovering aliasing structure -- on dense 128-view breast data the view-aliasing is mild so the densified residual is mostly error. ONE KNOB: wu_n_outer 2 -> 0 (skips the entire outer loop; returns the pure aliasing-free band-split FBP alone, 0 params). All else = iter-1. HYPOTHESIS: if I remove the residual add-back loop I expect val hr to rise above 0 (RMSE to drop toward/below the 0.00521 baseline) because the band-split aliasing-free FBP alone avoids the mis-estimated residual densification; if the band-split FBP alone still trails plain-FBP baseline, the band-splitting itself (not just the residual loop) is the problem and iter-3 sweeps n_bands. Budget: ~4s recon, trivially <20min.
3	671da566	0.384377	0	discard	architecture	wu_2015-claude-agentic	claude-opus-4-8-1m	3.37806	2.314737e-01	35.9	0	wu_2015-claude-agentic: wu_n_bands=1, wu_n_outer=0, wu_motion_range=8, wu_motion_window=2, wu_soft_thresh=0.0015, val_n=200, val_chunk=4, seed=42, rationale=ITER-3 (one knob vs iter-2). NUMBERS: iter-1 hr=0 (n_bands=6,n_outer=2: RMSE=0.0247); iter-2 hr=0 (n_bands=6,n_outer=0: RMSE=0.401 PSNR=-1.4 -- pure band-split FBP is CATASTROPHICALLY under-scaled). DIAGNOSIS: aliasing_free_fbp normalises the per-band radial sigmoid weights to sum=1 across bands (weights/wsum), but the band filters PARTITION the ramp |f| (they sum to |f|). Weight-summing the band back-projections with weights that sum to 1 AVERAGES them instead of SUMMING -> the recon is scaled down ~1/n_bands at fully-supported inner pixels. The n_outer=2 residual add-back in iter-1 partially rescaled it (RMSE 0.401->0.0247) but never reached the 0.00521 FBP baseline. ONE KNOB: wu_n_bands 6 -> 1 (n_outer stays 0). At n_bands=1 there is a single band, wsum normalisation gives weight=1 everywhere and the single band filter = the FULL |f| ramp, so aliasing_free_fbp degenerates to a plain ramp FBP. HYPOTHESIS: if n_bands=1 gives RMSE ~= the 0.00521 FBP baseline (hr near 0 but val_ssim ~0.92, PSNR ~36) it CONFIRMS the multi-band weight-normalisation mis-scaling is the whole story (the classical Wu band-split is structurally lossy vs baseline on dense 128-view breast data); if instead single-band clears baseline, that is the operating point to refine. Budget: ~4s.
4	671da566	0.342846	0	discard	architecture	wu_2015-claude-agentic	claude-opus-4-8-1m	9.55003	1.137373e-01	40.9	0	wu_2015-claude-agentic: wu_n_bands=6, wu_n_outer=4, wu_motion_range=8, wu_motion_window=2, wu_soft_thresh=0.0015, val_n=200, val_chunk=4, seed=42, rationale=ITER-4 (one knob vs iter-1). NUMBERS: iter-2 (n_bands6,n_outer0) RMSE=0.401; iter-3 (n_bands1,n_outer0) RMSE=0.231. NPZ ANALYSIS of iter-3: the aliasing_free_fbp step-1 output is ~205x too small (pred mean 1.05e-4 vs plain-FBP baseline 0.068) and only 0.44-correlated with baseline -> aliasing_free_fbp omits the FBP normalisation constant AND the radial band-weighting decorrelates structure. So step-1 alone can NEVER reach baseline. But iter-1 (n_bands6,n_outer2) reached RMSE=0.0247 -- the OUTER residual-refinement loop (forward-project, residual, densify, FBP add-back) is what pulls the recon back toward the measured data each pass, progressively correcting the step-1 scale/structure error. ONE KNOB: wu_n_outer 2 -> 4 (n_bands back to 6 = iter-1 base). HYPOTHESIS: if more residual add-back passes keep reducing RMSE monotonically (each pass re-injects the measured-minus-forward residual, a data-consistency correction), 4 passes should push RMSE below iter-1s 0.0247 toward the 0.00521 baseline and possibly clear hr>0; if RMSE plateaus/rises, the residual densification noise cancels the correction and n_outer has an interior optimum. Budget: 4 passes ~ 2x iter-1 recon, still seconds, <20min.
5	671da566	0.940719	0	discard	architecture	wu_2015-claude-agentic	claude-opus-4-8-1m	35.7408	5.576565e-03	42.1	0	wu_2015-claude-agentic: wu_n_bands=6, wu_n_outer=1, wu_motion_range=8, wu_motion_window=2, wu_soft_thresh=0.0015, val_n=200, val_chunk=4, seed=42, rationale=ITER-5 (one knob vs iter-1). NUMBERS n_outer sweep at n_bands=6: n_outer0 RMSE0.401(PSNR-1.4), n_outer2 RMSE0.0247(PSNR22.8 BEST-so-far), n_outer4 RMSE0.114(PSNR9.55). The residual-refinement loop has an INTERIOR optimum near n_outer=2: too few passes leave step-1s 205x-scale error uncorrected, too many accumulate densified-residual-FBP noise and DIVERGE. Best classical RMSE (0.0247) is still 4.7x the 0.00521 FBP baseline -> hr=0. ONE KNOB: wu_n_outer 2 -> 1 to bracket the interior optimum on the low side. HYPOTHESIS: if n_outer=1 gives RMSE between 0.401 and 0.0247, the optimum is at 2 (confirmed) and I move to a DIFFERENT knob (soft_thresh, to reduce residual-add-back noise); if n_outer=1 UNEXPECTEDLY beats 0.0247, one correction pass is cleaner than two and the second pass is already injecting divergence-noise -> optimum is n_outer=1. Budget: ~seconds.
6	671da566	0.940123	0	discard	architecture	wu_2015-claude-agentic	claude-opus-4-8-1m	35.6339	5.645622e-03	41.9	0	wu_2015-claude-agentic: wu_n_bands=6, wu_n_outer=1, wu_motion_range=8, wu_motion_window=2, wu_soft_thresh=0.003, val_n=200, val_chunk=4, seed=42, rationale=ITER-6 (one knob vs iter-5 best). NUMBERS n_outer sweep(n_bands6): 0->RMSE0.401, 1->RMSE0.00558/SSIM0.941/PSNR35.74 (NEW BEST, sharp optimum), 2->0.0247, 4->0.114. n_outer=1 (single residual pass) is the clear optimum and SSIM 0.941 already EXCEEDS the FBP baseline SSIM 0.920; RMSE 0.00558 is only 7pct above the 0.00521 baseline -> hr still 0 by a whisker. FAILURE MODE: the single residual add-back slightly OVERSHOOTS -- the densified-residual FBP injects a little streak-noise that keeps RMSE marginally above baseline. wu_soft_thresh gates how much residual is added back (sign*relu(|r|-thresh)); base 0.0015 (light). ONE KNOB: wu_soft_thresh 0.0015 -> 0.003 (heavier, n_outer locked 1). HYPOTHESIS: if I roughly double the soft-threshold, more of the residuals streak-noise is zeroed before add-back, so the corrected recon keeps the genuine structure (SSIM already>baseline) while shedding the noise -> RMSE drops below 0.00521 and hr>0 clears baseline for the first time. Risk: too heavy a thresh also removes genuine residual detail (RMSE back up) -> then optimum thresh is in (0.0015,0.003) and I bisect. Budget: ~seconds.
7	671da566	0.94102	0	discard	architecture	wu_2015-claude-agentic	claude-opus-4-8-1m	35.7946	5.542105e-03	43.1	0	wu_2015-claude-agentic: wu_n_bands=6, wu_n_outer=1, wu_motion_range=8, wu_motion_window=2, wu_soft_thresh=0.0007, val_n=200, val_chunk=4, seed=42, rationale=ITER-7 (one knob vs iter-5 best). NUMBERS soft_thresh at n_outer=1: 0.0015->RMSE0.005580(iter-5 BEST), 0.003->0.005646(iter-6 worse). Heavier thresh removed genuine residual detail -> optimum thresh is AT or BELOW 0.0015. FAILURE MODE: the single residual pass RMSE (0.00558) sits 7pct above the 0.00521 baseline; over-thresholding discards true structure. ONE KNOB: wu_soft_thresh 0.0015 -> 0.0007 (LIGHTER, ~half; n_outer locked 1). HYPOTHESIS: if the single-pass residual is already a clean data-consistency correction, keeping MORE of it (lighter thresh) adds back more true aliasing-residual structure and drops RMSE below the 0.00521 baseline -> hr>0 clears for the first time; if lighter thresh instead lets residual streak-noise through (RMSE up), the optimum brackets in (0.0007,0.0015) and I bisect. Budget: ~seconds.
8	671da566	0.941202	0	discard	architecture	wu_2015-claude-agentic	claude-opus-4-8-1m	35.7965	5.540866e-03	42.4	0	wu_2015-claude-agentic: wu_n_bands=6, wu_n_outer=1, wu_motion_range=8, wu_motion_window=3, wu_soft_thresh=0.0007, val_n=200, val_chunk=4, seed=42, rationale=ITER-8 (one knob vs iter-7 best). NUMBERS soft_thresh(n_outer1): 0.0007->RMSE0.005542(iter-7 BEST), 0.0015->0.005580, 0.003->0.005646 (monotone: lighter better but tiny gains). RMSE still 6.3pct above the 0.005214 baseline; soft_thresh axis nearly exhausted (sub-1pct moves). FAILURE MODE: the last gap is set by NOISE the single residual add-back injects, which originates in the motion-compensated interpolation that densifies the residual sinogram to 2x angles before FBP. wu_motion_window is the L1 windowed-patch half-width for the per-detector shift match; base 2. ONE KNOB: wu_motion_window 2 -> 3 (wider matching patch, n_outer/thresh locked). HYPOTHESIS: if a wider L1 patch gives a more robust (less noisy) residual-shift estimate, the densified residual FBP is cleaner and the single add-back injects less streak-noise -> RMSE drops below 0.005214 and hr>0 clears baseline; if the wider patch over-smooths the residual motion and loses genuine mid-freq structure, RMSE rises -> window=2 confirmed and I try motion_range. Budget: ~seconds.
9	671da566	0.938488	0	discard	architecture	wu_2015-claude-agentic	claude-opus-4-8-1m	36.2481	5.260172e-03	35.1	0	wu_2015-claude-agentic: wu_n_bands=8, wu_n_outer=1, wu_motion_range=8, wu_motion_window=2, wu_soft_thresh=0.0007, val_n=200, val_chunk=4, seed=42, rationale=ITER-9 (one knob vs iter-7 best). NUMBERS: at the n_outer=1 operating point, RMSE is stuck ~0.00554 (iter-7 0.005542 thresh0.0007; iter-8 0.005541 motion_window3 = NO effect). soft_thresh + motion_window axes exhausted -> the ~6.3pct-above-baseline gap is NOT in the residual densification. Note n_bands was only swept at the BROKEN n_outer=0 operating point (iters 2-3); at the GOOD n_outer=1 point only n_bands=6 tested. FAILURE MODE: step-1 aliasing-free FBP structure fidelity limits how small/clean the single residual correction can be. wu_n_bands partitions the ramp into finer radial-frequency sub-bands with per-radius sigmoid weights; Wus paper uses 8. ONE KNOB: wu_n_bands 6 -> 8 (n_outer/thresh/motion locked at iter-7). HYPOTHESIS: if a finer 8-band radial partition improves step-1s structural match to the true aliasing-free image, the single residual add-back becomes a smaller and cleaner correction -> RMSE drops below the 0.005214 baseline and hr>0 clears; if the extra high-freq bands mostly add noise (RMSE up), 6 bands is confirmed optimal at this operating point. Budget: +2 bands ~ +1/3 back-projection work, still seconds.
10	671da566	0.933228	0.0240144	keep	architecture	wu_2015-claude-agentic	claude-opus-4-8-1m	36.5353	5.089066e-03	35.6	0	wu_2015-claude-agentic: wu_n_bands=12, wu_n_outer=1, wu_motion_range=8, wu_motion_window=2, wu_soft_thresh=0.0007, val_n=200, val_chunk=4, seed=42, rationale=ITER-10 (one knob vs iter-9 best). NUMBERS n_bands sweep at n_outer=1: 6->RMSE0.005542, 8->RMSE0.005260(iter-9, PSNR36.25) -- finer partition MONOTONE improves step-1, gap to the 0.005214 baseline shrank from 6.3pct to 0.9pct. n_bands is THE productive lever here. FAILURE MODE: step-1 aliasing-free FBP fidelity is band-resolution-limited; more bands = finer per-radius sigmoid control = closer to the true aliasing-free image = smaller residual correction needed. ONE KNOB: wu_n_bands 8 -> 12 (n_outer/thresh/motion locked). HYPOTHESIS: if the monotone n_bands trend continues, 12 bands push RMSE below the 0.005214 baseline and hr>0 CLEARS baseline for the first time this campaign; if RMSE plateaus/rises (bands so narrow they under-sample the ramp and add high-freq noise), the optimum brackets in (8,12) and I bisect. Budget: 12 bands ~ 2x iter-9 back-projection, still seconds, <20min.
