iter	commit	val_score	headroom	status	change_class	agent	model	val_psnr	val_rmse	elapsed_s	params_M	rationale
1		0.95011	0.300934	keep	architecture	wu_2015_trainable-claude-agentic	claude-opus-4-8-1m	39.4338	3.645132e-03	819.3	1.2e-05	wu_2015_trainable-claude-agentic: wu_n_bands=6, wu_n_outer=2, wu_motion_range=8, wu_motion_window=2, epochs=12, batch_size=1, lr=0.00011, weight_decay=0.0, loss_base=mse, lambda_neg=0.7, wu_soft_thresh=0.0015, wu_sigmoid_slope=10.0, wu_sigmoid_offset=1.0, wu_band_scale=1.0, wu_residual_blend=1.0, train_n=600, val_n=200, val_chunk=4, seed=42, rationale=ITER-1 feasibility onboarding (breast-ct-claude-agentic-wu-2015-trainable-search-20260703-01, strict 20-min budget, re-split breast val=200). Seeded from the prior-split breast Wu-trainable TPE winner (search-20260609-01, hr 0.3170): wu_n_bands=6, wu_n_outer=2, wu_motion_range=8, wu_motion_window=2, epochs=12, lr=1.1e-4 (10x lower than agentic centroid -- the corner TPE found), lambda_neg=0.7, loss_base=mse. train_n=600, val_n=200 (ALL re-split val cases -- do NOT exceed 200), seed=42. This is an ultra-low-param method: params = wu_n_bands+2+2*wu_n_outer = 6+2+4 = 12 trainable scalars. HYPOTHESIS: the TPE-winning config from the old single-patient breast split produces a finite val_ssim that CLEARS the 128-view breast FBP baseline (hr>0) inside 20 min on the new 200-case val split, establishing the corrected-split onboarding baseline that iters 2-20 refine one knob at a time.
2		0.94662	0.280455	keep	architecture	wu_2015_trainable-claude-agentic	claude-opus-4-8-1m	39.183	3.751913e-03	670.7	1.4e-05	wu_2015_trainable-claude-agentic: wu_n_bands=8, wu_n_outer=2, wu_motion_range=8, wu_motion_window=2, epochs=12, batch_size=1, lr=0.00011, weight_decay=0.0, loss_base=mse, lambda_neg=0.7, wu_soft_thresh=0.0015, wu_sigmoid_slope=10.0, wu_sigmoid_offset=1.0, wu_band_scale=1.0, wu_residual_blend=1.0, train_n=600, val_n=200, val_chunk=4, seed=42, rationale=ITER-2 (one knob vs iter-1). iter-1 = TPE-winner seed: hr=0.3009 val_ssim=0.9501 psnr=39.43 12 params 819s (~13.7min, fits 20-min budget), status=keep -- reproduces the prior-split ceiling ~0.317 on the new 200-case val. FAILURE MODE: hr pinned at the classical algorithms 4-6-band spectral-expressivity ceiling; the prior TPE lifted hr by moving n_bands 4->6 (+50pct) and the solver design doc lists n_bands=8 (Wagners published value) as the untested lever #4 for finer spectral control. ONE KNOB: wu_n_bands 6 -> 8 (params 12 -> 14, still ultra-low). All else identical to iter-1. HYPOTHESIS: if I raise wu_n_bands to 8 I expect val hr to rise above 0.3009 because 8 triangular radial-frequency bands give the learnable per-band scales finer control to reweight the aliasing-free FBP, matching Wagners recommended band count; risk is +2 params overfit or the extra high-freq bands collapsing (band-runaway) -- watched via per-epoch band_scale log. Budget: +2 bands ~= +1/3 back-projection work in the FBP loop, still well under 20 min.
3		0.260466	0	discard	architecture	wu_2015_trainable-claude-agentic	claude-opus-4-8-1m	-145.968	6.788818e+06	788.8	1.4e-05	wu_2015_trainable-claude-agentic: wu_n_bands=6, wu_n_outer=3, wu_motion_range=8, wu_motion_window=2, epochs=12, batch_size=1, lr=0.00011, weight_decay=0.0, loss_base=mse, lambda_neg=0.7, wu_soft_thresh=0.0015, wu_sigmoid_slope=10.0, wu_sigmoid_offset=1.0, wu_band_scale=1.0, wu_residual_blend=1.0, train_n=600, val_n=200, val_chunk=4, seed=42, rationale=ITER-3 (one knob vs iter-1 best). NUMBERS: iter-1 hr=0.3009 (n_bands=6, BEST); iter-2 hr=0.2805 (n_bands=8, WORSE by -0.020) -> extra high-freq bands do NOT help, spectral expressivity is not the bottleneck at 6 bands; reverting to n_bands=6. FAILURE MODE: hr ceiling is set by the residual-refinement path, not the FBP band count. The prior-split doc reported n_outer=3 COLLAPSED (hr->0) but that was at lr=1e-3; at the TPE lr=1.1e-4 (10x lower, iter-1 config) n_outer=3 was NEVER retested -- the collapse may be an lr artifact. ONE KNOB: wu_n_outer 2 -> 3 (adds 2 params: one soft_thresh + one residual_blend -> 14 total, still ultra-low). All else = iter-1. HYPOTHESIS: if I add a 3rd outer soft-thresholded residual-refinement stage at the low TPE lr, I expect val hr to rise above 0.3009 because the extra stage recovers more aliasing residual without the band-runaway that killed the OLD-split n_outer=3 (which ran at 9x higher lr); risk = the classical collapse recurs (watch per-epoch band_scale/soft_thresh/blend). Budget: outer loop dominant cost; iter-1 n_outer=2 was 819s so 3/2x ~= 1230s ~ 20.5min, at the 30-min wall -- acceptable, monitored.
4		0.950066	0.295049	keep	architecture	wu_2015_trainable-claude-agentic	claude-opus-4-8-1m	39.361	3.675814e-03	785.4	1.2e-05	wu_2015_trainable-claude-agentic: wu_n_bands=6, wu_n_outer=2, wu_motion_range=8, wu_motion_window=3, epochs=12, batch_size=1, lr=0.00011, weight_decay=0.0, loss_base=mse, lambda_neg=0.7, wu_soft_thresh=0.0015, wu_sigmoid_slope=10.0, wu_sigmoid_offset=1.0, wu_band_scale=1.0, wu_residual_blend=1.0, train_n=600, val_n=200, val_chunk=4, seed=42, rationale=ITER-4 (one knob vs iter-1 best). NUMBERS: iter-1 hr=0.3009 (n_bands=6,n_outer=2,motion_window=2 BEST); iter-2 hr=0.2805 (n_bands=8 worse); iter-3 hr=0.0 (n_outer=3 COLLAPSE -- classical instability recurs even at low TPE lr, so n_outer=2 is LOCKED). FAILURE MODE: both architecture-capacity knobs (more bands, more outer stages) hurt -> the band/residual structure is at its expressivity optimum at (6,2). Remaining productive lever = the motion-compensated feature-preserving interpolation that denoises the residual sinogram; wu_motion_window controls the L1 patch half-width. Prior TPE moved it 1->2; window=3 UNTESTED. ONE KNOB: wu_motion_window 2 -> 3 (structural int, NO new params -> stays 12 trainable scalars). Base = iter-1. HYPOTHESIS: if I widen the motion-window to 3, I expect val hr to rise above 0.3009 because a larger L1 matching patch gives a more robust residual-motion estimate (less noise leakage into the residual reco before soft-thresholding), improving the refinement stage; risk = over-smoothing the residual detail (hr flat or slightly down). Budget: window is a small per-pixel patch cost on iter-1s 819s base -> fits 20 min.
5	1176d9f5	0.950276	0.293786	keep	architecture	wu_2015_trainable-claude-agentic	claude-opus-4-8-1m	39.3455	3.682398e-03	787.2	1.2e-05	wu_2015_trainable-claude-agentic: wu_n_bands=6, wu_n_outer=2, wu_motion_range=8, wu_motion_window=2, epochs=18, batch_size=1, lr=0.00011, weight_decay=0.0, loss_base=mse, lambda_neg=0.7, wu_soft_thresh=0.0015, wu_sigmoid_slope=10.0, wu_sigmoid_offset=1.0, wu_band_scale=1.0, wu_residual_blend=1.0, train_n=600, val_n=200, val_chunk=4, seed=42, rationale=ITER-5 (one knob vs iter-1 best). NUMBERS: iter-1 hr=0.3009 (BEST: n_bands=6,n_outer=2,motion_window=2,motion_range=8,epochs=12,lr=1.1e-4); iter-2 0.2805 (n_bands=8 worse); iter-3 0.0 (n_outer=3 collapse); iter-4 0.2950 (motion_window=3 worse). CONCLUSION: all 3 STRUCTURAL knobs (band count, outer stages, motion window) are at their optimum at iter-1s values; classical structure is exhausted. FAILURE MODE: at fixed structure hr plateaus ~0.30; the TRAINING dynamics are unprobed -- at the very low TPE lr=1.1e-4 the 12 trainable scalars (esp per-band log_band_scale) may not have fully converged in 12 epochs. ONE KNOB: epochs 12 -> 18 (NO param change -> 12 params, ultra-low). Base = iter-1. HYPOTHESIS: if I train 50pct longer at the same low lr, I expect val hr to rise above 0.3009 because the band scales + soft thresholds get more gradient steps to settle into the asymmetric weighting the low-lr regime rewards, WITHOUT the band-runaway overfit that only appeared at the OLD 9x-higher lr past ~12 epochs; risk = mild overfit to the 600 train scenes (hr flat/down) -- if so, epochs<=12 is confirmed optimal. Budget: 819s * 18/12 ~= 1230s ~ 20.5min at 30-min wall.
6	671da566	0.949983	0.291442	keep	architecture	wu_2015_trainable-claude-agentic	claude-opus-4-8-1m	39.3167	3.694620e-03	541.4	1.2e-05	wu_2015_trainable-claude-agentic: wu_n_bands=6, wu_n_outer=2, wu_motion_range=8, wu_motion_window=2, epochs=12, batch_size=1, lr=0.0002, weight_decay=0.0, loss_base=mse, lambda_neg=0.7, wu_soft_thresh=0.0015, wu_sigmoid_slope=10.0, wu_sigmoid_offset=1.0, wu_band_scale=1.0, wu_residual_blend=1.0, train_n=600, val_n=200, val_chunk=4, seed=42, rationale=ITER-6 (one knob vs iter-1 best). NUMBERS: iter-1 0.3009 (BEST); iter-2 0.2805(bands=8); iter-3 0.0(outer=3); iter-4 0.2950(window=3); iter-5 0.2938(epochs=18, mild overfit). CONCLUSION: structure (6,2,window2,range8) AND epochs(12) are at optimum. FAILURE MODE: hr plateaus ~0.30 at fixed structure/epochs; lr is the single most sensitive knob per the prior TPE (it found the 1.1e-4 corner on the OLD split), but lr is UNTESTED on the new 200-case val split -- the optimal lr can shift with a different val distribution. ONE KNOB: lr 1.1e-4 -> 2e-4 (~1.8x, NO param change, 12 params). HYPOTHESIS: if I raise lr to 2e-4 I expect val hr to move off 0.3009 because a modestly larger step converges the 12 scalars (esp per-band log_band_scale) further within the fixed 12-epoch budget; still far below the lr>=1e-3 band-runaway regime, so safe. If hr rises, lr sweeps up next; if it drops, 1.1e-4 confirmed and I sweep DOWN. Budget: same as iter-1 (~819s).
7	671da566	0.94999	0.303533	keep	architecture	wu_2015_trainable-claude-agentic	claude-opus-4-8-1m	39.4662	3.631575e-03	592.2	1.2e-05	wu_2015_trainable-claude-agentic: wu_n_bands=6, wu_n_outer=2, wu_motion_range=8, wu_motion_window=2, epochs=12, batch_size=1, lr=7e-05, weight_decay=0.0, loss_base=mse, lambda_neg=0.7, wu_soft_thresh=0.0015, wu_sigmoid_slope=10.0, wu_sigmoid_offset=1.0, wu_band_scale=1.0, wu_residual_blend=1.0, train_n=600, val_n=200, val_chunk=4, seed=42, rationale=ITER-7 (one knob vs iter-1 best). NUMBERS: iter-1 0.3009(BEST lr=1.1e-4); iter-6 0.2914(lr=2e-4 UP -> worse). So the lr optimum is AT or BELOW 1.1e-4. FAILURE MODE: hr plateaus ~0.30; raising lr overshoots the shallow low-lr optimum. ONE KNOB: lr 1.1e-4 -> 7e-5 (DOWN ~0.64x, NO param change, 12 params). HYPOTHESIS: if I lower lr to 7e-5 I expect val hr >= 0.3009 because a smaller step lets the 12 scalars (per-band log_band_scale, per-iter soft_thresh/blend) settle more precisely into the asymmetric weighting without overshoot, at a fixed 12-epoch budget. If hr rises, sweep lr further down; if it drops, 1.1e-4 is the confirmed lr optimum and I move to lambda_neg / soft_thresh. Budget: same ~819s as iter-1.
8	671da566	0.885863	0	discard	architecture	wu_2015_trainable-claude-agentic	claude-opus-4-8-1m	35.8018	5.537517e-03	487.2	1.2e-05	wu_2015_trainable-claude-agentic: wu_n_bands=6, wu_n_outer=2, wu_motion_range=8, wu_motion_window=2, epochs=12, batch_size=1, lr=4e-05, weight_decay=0.0, loss_base=mse, lambda_neg=0.7, wu_soft_thresh=0.0015, wu_sigmoid_slope=10.0, wu_sigmoid_offset=1.0, wu_band_scale=1.0, wu_residual_blend=1.0, train_n=600, val_n=200, val_chunk=4, seed=42, rationale=ITER-8 (one knob vs iter-7 best). NUMBERS: iter-1 0.3009(lr=1.1e-4); iter-6 0.2914(lr=2e-4 up=worse); iter-7 0.3035(lr=7e-5 down=NEW BEST). lr response is monotone-improving as lr DROPS from 2e-4->1.1e-4->7e-5. FAILURE MODE: hr still climbing as lr shrinks; optimum lr < 7e-5 not yet bracketed. ONE KNOB: lr 7e-5 -> 4e-5 (DOWN, NO param change, 12 params). HYPOTHESIS: if I lower lr to 4e-5 I expect val hr > 0.3035 continuing the monotone trend, as the 12 scalars settle with even less overshoot at the fixed 12-epoch budget; risk = UNDERFIT in 12 epochs (hr drops), which would bracket the lr optimum in [4e-5, 1.1e-4] and I would then either bisect or lengthen epochs. Budget: same ~819s as iter-1.
9	671da566	0.950202	0.303528	keep	architecture	wu_2015_trainable-claude-agentic	claude-opus-4-8-1m	39.4661	3.631605e-03	474.9	1.2e-05	wu_2015_trainable-claude-agentic: wu_n_bands=6, wu_n_outer=2, wu_motion_range=8, wu_motion_window=2, epochs=12, batch_size=1, lr=8.5e-05, weight_decay=0.0, loss_base=mse, lambda_neg=0.7, wu_soft_thresh=0.0015, wu_sigmoid_slope=10.0, wu_sigmoid_offset=1.0, wu_band_scale=1.0, wu_residual_blend=1.0, train_n=600, val_n=200, val_chunk=4, seed=42, rationale=ITER-9 (one knob vs iter-7 best). NUMBERS: iter-6 0.2914(lr=2e-4); iter-1 0.3009(lr=1.1e-4); iter-7 0.3035(lr=7e-5 BEST); iter-8 0.0(lr=4e-5 CLIFF -- underfits below baseline in 12 epochs). So lr response is a NARROW peak: collapses below ~7e-5, best at 7e-5, gently declines above. The optimum is bracketed in [7e-5, 1.1e-4]. ONE KNOB: lr 7e-5 -> 8.5e-5 (bisect the [7e-5,1.1e-4] bracket, NO param change, 12 params). HYPOTHESIS: if lr=8.5e-5 gives hr >= 0.3035 the peak is broad/flat on the high side and 8.5e-5 is a safer operating point; if hr < 0.3035 then 7e-5 is the sharp peak and I LOCK lr=7e-5 and move to the next knob (lambda_neg). Budget: ~819s.
10	671da566	0.94999	0.303533	keep	architecture	wu_2015_trainable-claude-agentic	claude-opus-4-8-1m	39.4662	3.631575e-03	482.2	1.2e-05	wu_2015_trainable-claude-agentic: wu_n_bands=6, wu_n_outer=2, wu_motion_range=8, wu_motion_window=2, epochs=12, batch_size=1, lr=7e-05, weight_decay=0.0, loss_base=mse, lambda_neg=0.4, wu_soft_thresh=0.0015, wu_sigmoid_slope=10.0, wu_sigmoid_offset=1.0, wu_band_scale=1.0, wu_residual_blend=1.0, train_n=600, val_n=200, val_chunk=4, seed=42, rationale=ITER-10 (one knob vs iter-7 best). NUMBERS: lr fully mapped -> iter-8 0.0(4e-5 cliff), iter-7 0.3035(7e-5 BEST), iter-9 0.3035(8.5e-5 tie), iter-1 0.3009(1.1e-4), iter-6 0.2914(2e-4). Broad flat lr peak at 7-8.5e-5 -> LOCK lr=7e-5. FAILURE MODE: lr exhausted; hr plateau 0.3035. Next continuous knob = lambda_neg (non-negativity penalty weight in the supervised loss); base=0.7 (TPE value). ONE KNOB: lambda_neg 0.7 -> 0.4 (weaker penalty, NO param change, 12 params, lr locked 7e-5). HYPOTHESIS: if I weaken the non-negativity penalty to 0.4 I expect val hr >= 0.3035 because a lighter penalty lets the soft-thresholded residual refinement retain more fine low-mu breast-tissue contrast rather than being pushed toward the mu>=0 floor; risk = negative-mu leakage degrading the calibrated metric (hr down) -> then lambda_neg>=0.7 confirmed. Budget: ~819s.
