iter	commit	val_score	headroom	status	change_class	agent	model	rationale
1		0.31771	0.616902	keep	architecture	bf-search	random-search	BF search: pk=7, psx=0.81, psy=1.64, psr=0.097, ik=9, isx=1.32, isy=1.64, isr=0.016, ep=19, lr=0.0041
2		0.295601	0.601816	keep	architecture	bf-search	random-search	BF search: pk=7, psx=2.95, psy=2.89, psr=0.049, ik=3, isx=0.62, isy=2.42, isr=0.079, ep=16, lr=0.0024
3		0.242555	0.572701	keep	architecture	bf-search	random-search	BF search: pk=3, psx=1.24, psy=2.00, psr=0.034, ik=3, isx=1.83, isy=1.60, isr=0.087, ep=18, lr=0.0031
4		0.298233	0.604411	keep	architecture	bf-search	random-search	BF search: pk=5, psx=0.99, psy=2.04, psr=0.017, ik=5, isx=0.85, isy=1.05, isr=0.073, ep=14, lr=0.0091
5		0.298926	0.604683	keep	architecture	bf-search	random-search	BF search: pk=5, psx=1.83, psy=0.81, psr=0.070, ik=5, isx=2.86, isy=1.14, isr=0.067, ep=14, lr=0.0044
6		0.301912	0.606319	keep	architecture	bf-search	random-search	BF search: pk=9, psx=0.55, psy=1.28, psr=0.092, ik=3, isx=1.56, isy=2.24, isr=0.080, ep=19, lr=0.0022
7		0.310223	0.612988	keep	architecture	bf-search	random-search	BF search: pk=3, psx=2.80, psy=0.86, psr=0.046, ik=9, isx=2.79, isy=0.94, isr=0.022, ep=13, lr=0.0029
8		0.28069	0.593886	keep	architecture	bf-search	random-search	BF search: pk=5, psx=0.69, psy=1.99, psr=0.100, ik=3, isx=0.93, isy=2.06, isr=0.014, ep=18, lr=0.0031
9		0.295874	0.601824	keep	architecture	bf-search	random-search	BF search: pk=7, psx=2.62, psy=2.53, psr=0.064, ik=3, isx=1.69, isy=2.68, isr=0.055, ep=13, lr=0.0038
10		0.237327	0.561662	keep	architecture	bf-search	random-search	BF search: pk=3, psx=2.16, psy=1.11, psr=0.076, ik=3, isx=2.04, isy=2.13, isr=0.088, ep=16, lr=0.0014
11		0.244356	0.54444	keep	architecture	bf-search	random-search	BF search: pk=3, psx=2.74, psy=0.56, psr=0.040, ik=5, isx=1.74, isy=1.49, isr=0.090, ep=8, lr=0.0022
12		0.310111	0.608585	keep	architecture	bf-search	random-search	BF search: pk=9, psx=2.48, psy=2.81, psr=0.080, ik=7, isx=1.15, isy=1.64, isr=0.054, ep=11, lr=0.0087
13		0.311009	0.610538	keep	architecture	bf-search	random-search	BF search: pk=7, psx=1.20, psy=1.99, psr=0.078, ik=5, isx=1.43, isy=2.64, isr=0.050, ep=15, lr=0.0064
14		0.238988	0.566801	keep	architecture	bf-search	random-search	BF search: pk=3, psx=2.22, psy=2.91, psr=0.058, ik=3, isx=0.89, isy=1.33, isr=0.067, ep=9, lr=0.0035
15		0.306	0.610312	keep	architecture	bf-search	random-search	BF search: pk=3, psx=1.07, psy=1.68, psr=0.075, ik=9, isx=2.64, isy=2.87, isr=0.087, ep=18, lr=0.0098
16		0.238552	0.536508	keep	architecture	bf-search	random-search	BF search: pk=9, psx=2.38, psy=0.66, psr=0.014, ik=7, isx=0.70, isy=2.46, isr=0.087, ep=9, lr=0.0012
17		0.300009	0.596098	keep	architecture	bf-search	random-search	BF search: pk=7, psx=1.86, psy=2.84, psr=0.057, ik=9, isx=2.77, isy=2.17, isr=0.043, ep=17, lr=0.0010
18		0.277259	0.578578	keep	architecture	bf-search	random-search	BF search: pk=7, psx=2.34, psy=2.13, psr=0.096, ik=3, isx=1.27, isy=0.70, isr=0.079, ep=14, lr=0.0010
19		0.319442	0.61909	keep	architecture	bf-search	random-search	BF search: pk=7, psx=1.55, psy=2.80, psr=0.064, ik=9, isx=1.70, isy=2.69, isr=0.020, ep=11, lr=0.0036
20		0.242188	0.571615	keep	architecture	bf-search	random-search	BF search: pk=3, psx=1.75, psy=1.86, psr=0.039, ik=3, isx=1.95, isy=2.14, isr=0.061, ep=11, lr=0.0028
