iter	commit	val_score	headroom	status	change_class	agent	model	rationale
1		0.478525	0	discard	architecture	dual_domain_n2i-claude-agentic-breast-ct	claude-opus-4.7-1m	dual_domain_n2i-claude-agentic: train_n=200, val_n=6, batch_size=1, grad_clip=1.0, seed=42, warm_start=True, pretrain_epochs=3, n_iter=400, outer_wall_s=1200, lr=0.001, unet_c=16, rationale=iter-1 feasibility, per-image N2I rewrite (commit 1f4c3394) on demo_dl (phantoms, 128-view synthetic, 512^2). Short warm-start pre-pass (3 ep x 200 train synthetic phantoms, GT-free N2I self-sup loss) then per-scene Adam (n_iter=400) on each of 6 val scans, scored by evaluate_calibrated on the SAME val scenes as every other method. grad_clip=1.0 (cheap insurance; demo 128-view adjoint is mild). Sizing vs smoke timing: Mayo 2304-view smoke was ~0.245 s/step; demo_dl is 128-view (18x fewer angles) so per-step is faster, conservatively ~0.12-0.25 s/step. Steps = warm 3x200=600 + per-image 6x400=2400 = 3000 total -> ~360-735 s wall, well under the generic claude_agentic_one_iter.sbatch 00:30:00 (1800 s) wall. outer_wall_s=1200 is a hard internal guard on the per-image loop so even worst-case steps finish under sbatch wall. Hypothesis: per-image N2I trains stably on demo_dl (finite val_score, comparison.png) and produces a usable per-scene recon; expect hr near baseline since N2I is structurally bounded by FBP on this dense-view substrate (solver_plan.md).
2		0.429303	0	discard	architecture	dual_domain_n2i-claude-agentic-breast-ct	claude-opus-4.7-1m	dual_domain_n2i-claude-agentic: train_n=200, val_n=6, batch_size=1, grad_clip=1.0, seed=42, warm_start=True, pretrain_epochs=3, n_iter=1200, outer_wall_s=1200, lr=0.001, unet_c=16, rationale=iter-2: ONE knob -> n_iter 400->1200 (per-scan Adam steps, 3x). Failure mode from iter-1: val_score 0.4785, headroom 0.0, PSNR 16.13 < LD-FBP baseline 16.67 (under baseline). Hypothesis: the per-scan self-supervised U-Net N2I fit UNDER-CONVERGES at 400 steps on each val scene's own 128-view measurements; the per-image objective had not settled, so the recon was still far from its FBP-bounded optimum. iter-1 used only 250s wall (3000 total steps in 249.97s ~= 0.083 s/step), leaving huge headroom under the 1200s outer_wall_s and 1800s sbatch wall. Tripling per-scan steps lets each scan's own-measurement fit converge. New step budget: warm 3x200=600 + per-image 6x1200=7200 = 7800 steps @ ~0.083 s/step ~= 650s, still under outer_wall_s=1200 and the 00:30:00 sbatch wall. All other knobs UNCHANGED from iter-1 (warm_start=True, pretrain_epochs=3, train_n=200, val_n=6, grad_clip=1.0, lr=1e-3, unet_c=16, seed=42). Expectation: SSIM rises toward/above the LD-FBP baseline as the per-scan fit converges; N2I remains structurally FBP-bounded on this dense-view 128-angle phantom substrate (solver_plan.md), so a small positive headroom or a clean approach-to-baseline is the success signal, not a large jump.
3		0.48799	0	discard	architecture	dual_domain_n2i-claude-agentic-breast-ct	claude-opus-4.7-1m	dual_domain_n2i-claude-agentic: train_n=200, val_n=6, batch_size=1, grad_clip=1.0, seed=42, warm_start=True, pretrain_epochs=3, n_iter=600, outer_wall_s=1200, lr=0.0001, unet_c=16, rationale=iter-3: ONE knob -> per-scan lr 1e-3 -> 1e-4 (10x lower). DIAGNOSIS (numbers, not pixels): the plateau is NOT under-convergence. iter-1 (n_iter=400) PSNR 16.13/SSIM 0.4785; iter-2 (n_iter=1200, 3x steps) PSNR 15.99/SSIM 0.4293 -> tripling per-scan steps made it STRICTLY WORSE. A fit approaching its FBP-bounded optimum would rise or plateau; it DEGRADES, the signature of the 0.466 M-param U-Net OVERFITTING each single noisy scan's split-view N2I objective. The per-image loop has no early-stop/best-iter pick (solver _fit_one_scene takes the FINAL predict after a fixed n_iter), so extra Adam steps at lr=1e-3 walk the recon away from the decent warm-start init toward a noise-fitting minimum BELOW the 16.67 dB LD-FBP baseline (hr=0). FAILURE MODE = per-image overfitting of an over-parameterized denoiser to one noisy scan. PROOF the warm-start+per-image plumbing is fine: the BILATERAL twin (identical pipeline, identical warm_start/n_iter=400/seed=42 -> SAME 6 val scenes) hit PSNR 19.47/SSIM 0.6657 hr+0.2763 at its iter-1 and climbed to 0.7465 -- its 6-12-param BF physically CANNOT overfit a single scan, which is exactly why it clears baseline while the U-Net dives under. So the lever is NOT n_iter (saturated/counterproductive) and NOT unet_c (the solver design doc explicitly warns 'don't waste iters on U-Net width: capacity is not the lever for this loss on this dataset'; the BF gained from capacity because BF capacity is structurally constrained, the U-Net's is not). The lever is the per-scan STEP SIZE: drop lr 10x to 1e-4 so Adam stays anchored near the warm-start init (the good operating point the BF twin proves exists) instead of descending into the single-scan noise-fitting minimum. n_iter trimmed 1200 -> 600 (less overshoot needed at low lr; keeps wall short). HYPOTHESIS: at lr=1e-4 the per-image fit barely moves off warm-start, so SSIM/PSNR rise toward and above the 16.67 dB LD-FBP baseline (target: break the 0.4785 plateau, ideally approach the BF twin's ~0.66 / the historical demo_dl N2I hr 0.3811); if SSIM is still flat at ~0.47 the warm-start init itself is the floor and iter-4 should toggle warm_start / raise pretrain_epochs. WALL: warm 3x200=600 + per-image 6x600=3600 = 4200 steps @ ~0.083 s/step ~= 350 s (iter-1 was 250s at 3000 steps), well under the 15-min target, the outer_wall_s=1200 guard, and the 1800 s sbatch wall. All other knobs IDENTICAL to iter-2 (train_n=200, val_n=6, batch_size=1, grad_clip=1.0, seed=42, warm_start=True, pretrain_epochs=3, unet_c=16).
4		0.495693	0	discard	architecture	dual_domain_n2i-claude-agentic-breast-ct	claude-opus-4.7-1m	dual_domain_n2i-claude-agentic: train_n=200, val_n=6, batch_size=1, grad_clip=1.0, seed=42, warm_start=True, pretrain_epochs=6, n_iter=600, outer_wall_s=1200, lr=0.0001, unet_c=16, rationale=iter-4: ONE knob -> pretrain_epochs 3 -> 6 (2x warm-start budget). KEEP lr=1e-4 (the iter-3 winner). DIAGNOSIS (numbers, not pixels): iter-1 lr1e-3/n_iter400 SSIM 0.4785; iter-2 n_iter1200 0.4293 (more per-scan steps HURT -> per-image overfit, n_iter ruled out); iter-3 lr1e-3->1e-4 0.4880 (+0.01, the overfit-anchor lever). The lr-anchor gain was SMALL and exactly as iter-3 predicted: 'at lr=1e-4 the per-image fit barely moves off warm-start' -- so the per-scan recon is now PINNED to the warm-start init. iter-3 named this iter's lever verbatim: 'if SSIM is still flat at ~0.47 the warm-start init itself is the floor and iter-4 should toggle warm_start / raise pretrain_epochs.' SSIM rose only 0.4785->0.4880, i.e. essentially the warm-start floor. FAILURE MODE now = warm-start init is the operating point and is under-trained at 3 epochs; with lr anchored at 1e-4 the per-scan fit cannot escape a poor init, so the init quality is the ceiling. unet_c is NOT the lever (campaign-state: mayo c16->c32 flat 0.9508; solver design doc warns capacity is not the lever for this loss) and n_iter is RULED OUT (iter-2 regressed). So the remaining lr=1e-4 lever is the INIT: raise pretrain_epochs 3->6 to give the amortized GT-free N2I warm-start pre-pass twice the budget to settle on a better U-Net init, which the lr=1e-4 per-scan fit then preserves and slightly refines. HYPOTHESIS: a better-converged warm-start init lifts SSIM above the 0.4880 iter-3 plateau toward the LD-FBP baseline (still structurally FBP-bounded on 128-view, so expect approach-to-baseline / small headroom, not a large jump); if SSIM stays flat at ~0.49 the warm-start pre-pass is already saturated at 3ep and iter-5 should probe warm_start sensitivity (toggle off, or seed). WALL: warm 6x200=1200 + per-image 6x600=3600 = 4800 steps @ ~0.083 s/step ~= 400 s (iter-3 was 340s at 4200 steps), well under the 15-min target, the outer_wall_s=1200 guard, and the 1800 s sbatch wall. All other knobs IDENTICAL to iter-3 (train_n=200, val_n=6, batch_size=1, grad_clip=1.0, seed=42, warm_start=True, n_iter=600, lr=1e-4, unet_c=16).
5		0.508115	0	discard	architecture	dual_domain_n2i-claude-agentic-breast-ct	claude-opus-4.7-1m	dual_domain_n2i-claude-agentic: train_n=200, val_n=6, batch_size=1, grad_clip=1.0, seed=42, warm_start=True, pretrain_epochs=12, n_iter=600, outer_wall_s=1200, lr=0.0001, unet_c=16, rationale=iter-5: ONE knob -> pretrain_epochs 6 -> 12 (2x warm-start budget again). KEEP lr=1e-4 (the per-scan overfit anchor, iter-3 winner). DIAGNOSIS (numbers, not pixels): iter-1 lr1e-3/n_iter400 SSIM 0.4785; iter-2 n_iter1200 0.4293 (more per-scan steps HURT -> per-image U-Net overfits each single noisy scan; n_iter RULED OUT); iter-3 lr1e-3->1e-4 0.4880 (+0.0095, the overfit-anchor lever -> per-scan fit pinned near the warm-start init); iter-4 pretrain_epochs 3->6 0.4957 (+0.0077, the BIGGEST gain, PSNR 16.13->16.29). The two confirmed levers on this dataset are (a) per-scan lr-down anchor and (b) warm-start init quality; n_iter is counterproductive and unet_c is explicitly warned against (solver design doc: capacity is NOT the lever for this loss; mayo n2i sibling c16->c32 flat 0.9508). With lr anchored at 1e-4 the per-scan fit barely moves off the warm-start init, so the warm-start init quality IS the operating point / binding constraint. iter-4 moved init quality MONOTONICALLY up (3ep 0.4880 -> 6ep 0.4957) with NO saturation/turn-over signal -- the lever still has slope. FAILURE MODE = warm-start init still under-converged at 6 epochs; the lr=1e-4 per-scan fit preserves but cannot improve a mediocre init, so a better-converged amortized GT-free N2I pre-pass directly raises the ceiling. LEVER CHOICE: of the two candidates, push pretrain_epochs (the lever that just gave the largest gain and is still climbing) rather than unet_c -- capacity is the warned-against axis and the mayo n2i sibling is already running the c16->c32 capacity probe, so keep the demo probe on the orthogonal init-budget lever instead of duplicating it. HYPOTHESIS: doubling the warm-start budget 6->12 epochs converges the amortized N2I init further, lifting SSIM above the 0.4957 iter-4 plateau toward the LD-FBP baseline (still structurally FBP-bounded on 128-view phantoms, so expect approach-to-baseline / small headroom, not a large jump). FALSIFIER: if SSIM is flat at ~0.495 the warm-start pre-pass has saturated by ~6ep and the init lever is exhausted -> iter-6 should pivot to the per-scan-anchor axis (warm_start sensitivity / seed / lr sweep around 1e-4) or accept the U-Net N2I ceiling and lean on the bilateral twin. WALL: warm 12x200=2400 + per-image 6x600=3600 = 6000 steps @ ~0.083 s/step ~= 500 s (iter-4 was 370s at 4800 steps), well under the 15-min target, the outer_wall_s=1200 guard, and the 00:30:00 (1800 s) sbatch wall. All other knobs IDENTICAL to iter-4 (train_n=200, val_n=6, batch_size=1, grad_clip=1.0, seed=42, warm_start=True, n_iter=600, lr=1e-4, unet_c=16).
6		0.501647	0	discard	architecture	dual_domain_n2i-claude-agentic-breast-ct	claude-opus-4.7-1m	dual_domain_n2i-claude-agentic: train_n=200, val_n=6, batch_size=1, grad_clip=1.0, seed=42, warm_start=True, pretrain_epochs=18, n_iter=600, outer_wall_s=1200, lr=0.0001, unet_c=16, rationale=iter-6: ONE knob -> pretrain_epochs 12 -> 18 (1.5x warm-start budget). KEEP lr=1e-4 (per-scan overfit anchor, iter-3 winner). DIAGNOSIS (numbers, not pixels): iter-3 ep3/lr1e-4 SSIM 0.4880 (PSNR 16.28); iter-4 ep6 0.4957 (+0.0077, PSNR 16.29); iter-5 ep12 0.5081 (+0.0124, PSNR 16.376). The init lever (warm-start pretrain_epochs) is the dominant confirmed lever and is NOT saturating on demo: the gain ACCELERATED 6->12 (+0.0124) vs 3->6 (+0.0077), and PSNR rose monotonically 16.28->16.29->16.376 with NO turn-over. This DIVERGES from the breast n2i sibling, which SATURATED flat (0.9596) at ep12 -- demo (synthetic phantoms, lower-quality init at fixed epochs) still has slope on the init budget where breast does not. n_iter is RULED OUT (iter-2 1200 steps REGRESSED 0.4785->0.4293, per-scan U-Net overfits one noisy scan) and unet_c is the explicitly-warned-against axis (solver design doc: capacity is NOT the lever for this loss; mayo n2i c16->c32 flat 0.9508). So the only lever with demonstrated positive slope is the init budget. LEVER CHOICE: push pretrain_epochs once more (12->18) rather than pivot to the per-scan-anchor axis (seed/grad_clip/lr-sweep) because the iter-5 falsifier (flat at ~0.495 => init saturated => pivot) did NOT fire -- SSIM CLIMBED to 0.5081 with an accelerating slope, so the init lever is still the highest-expected-value move. Chose +6 (12->18, 1.5x) not +12 (12->24, 2x) to keep wall comfortably under 15 min without dropping val_n/n_iter (preserve the val-set + per-scan-budget consistency for clean iter-to-iter SSIM comparison). HYPOTHESIS: more warm-start budget converges the amortized GT-free N2I U-Net init further, lifting SSIM above the 0.5081 iter-5 plateau toward the per-image U-Net N2I ceiling on this 128-view synthetic substrate (~0.51, structurally FBP-bounded so still hr~0 -- the demo n2i ceiling is approach-to-baseline, not headroom). FALSIFIER: if SSIM flattens at ~0.508 (delta < +0.005, i.e. < half the iter-5 gain) the init lever has finally saturated on demo too -- declare the per-image U-Net N2I converged to its ceiling (~0.51) on this synthetic substrate and stop chasing init; iter-7 would then read the noise floor (seed) or accept the U-Net ceiling and lean on the bilateral twin (which clears baseline at hr+0.33 because its 6 params cannot overfit one scan). WALL: warm 18x200=3600 + per-image 6x600=3600 = 7200 steps @ ~0.083 s/step ~= 600 s (iter-5 was 463s at 6000 steps), under the 15-min target, the outer_wall_s=1200 guard, and the 00:30:00 (1800 s) sbatch wall -- no need to drop val_n/n_iter. All other knobs IDENTICAL to iter-5 (train_n=200, val_n=6, batch_size=1, grad_clip=1.0, seed=42, warm_start=True, n_iter=600, lr=1e-4, unet_c=16).
7		0.42033	0.0051542	keep	architecture	dual_domain_n2i-claude-agentic-breast-ct	claude-opus-4.7-1m	dual_domain_n2i-claude-agentic: train_n=200, val_n=6, batch_size=1, grad_clip=1.0, seed=123, warm_start=True, pretrain_epochs=12, n_iter=600, outer_wall_s=1200, lr=0.0001, unet_c=16, rationale=iter-7: ONE knob -> seed 42 -> 123 (per-image N2I noise-floor read). CEILING-CONFIRMATION PROBE. KEEP lr=1e-4 (per-scan overfit anchor, iter-3 winner) and RESET pretrain_epochs 18 -> 12 (the PEAK, not ep18). DIAGNOSIS (numbers, not pixels): the init lever (warm-start pretrain_epochs) climbed then SATURATED AND TURNED OVER -- iter-3 ep3 0.4880; iter-4 ep6 0.4957 (+0.0077); iter-5 ep12 0.5081 (+0.0124, PSNR 16.376, the PEAK); iter-6 ep18 0.5016 (-0.0065, PSNR 16.29 -- DID NOT beat ep12). The iter-5/iter-6 falsifier FIRED: more init budget past ep12 no longer helps (over-converges the amortized warm-start pre-pass / the per-scan lr=1e-4 fit cannot exploit a noisier init), so the init axis is EXHAUSTED. n_iter is RULED OUT (iter-2 1200 steps REGRESSED 0.4785->0.4293, per-scan U-Net overfits one noisy scan) and unet_c is the explicitly-warned-against axis (solver design doc: capacity is NOT the lever for this loss; mayo n2i c16->c32 flat 0.9508). FAILURE MODE = per-image U-Net N2I has converged to its structural ceiling (~0.51 SSIM, hr~0) on this 128-view synthetic-phantom substrate; the 0.5081<->0.5016 swing between the two best inits is within noise, not a real lever. LEVER CHOICE (a NOT-yet-tried axis): of seed / grad_clip / unet_c-retest, pick SEED. seed=42 was FIXED across all 6 prior iters, so the per-image noise floor is unmeasured; flipping seed 42->123 at the PEAK config (ep12, lr1e-4, n_iter600) re-randomizes the warm-start init + the angular-subset split + Adam init, giving a clean read of how much of the 0.5081<->0.5016 swing is stochastic. grad_clip=1.0 is LOAD-BEARING (the 128-view FBP adjoint guard -- mandatory per campaign-state, do NOT touch) and unet_c is warned-against, so seed is the safest, most-informative ceiling-doc probe. HYPOTHESIS: at seed=123/ep12/lr1e-4 the SSIM lands within ~+/-0.01 of the 0.5081 ep12 peak (i.e. inside the 0.5016<->0.5081 band), confirming ~0.51 is the per-image U-Net N2I ceiling on demo and that the ep18 dip was noise, not a real init turn-over. hr stays 0 (structurally FBP-bounded on dense-view phantoms -- the U-Net overfits one scan where the bilateral twin's 6 params cannot, which is why the twin clears baseline at hr+0.33). FALSIFIER: if SSIM jumps >0.52 or drops <0.49 the per-image fit is seed-sensitive (large noise floor) and the ~0.51 ceiling claim needs a seed average before being called converged. Toward iter-20 this DOCUMENTS the ~0.51 per-image U-Net N2I ceiling on the synthetic 128-view substrate -- the structurally-hardest run (synthetic substrate, U-Net overfits, hr stays 0). WALL: warm 12x200=2400 + per-image 6x600=3600 = 6000 steps @ ~0.083 s/step ~= 500 s (iter-5 was 463 s at the same 6000-step budget), under the 15-min target, the outer_wall_s=1200 guard, and the 00:30:00 (1800 s) sbatch wall. All other knobs IDENTICAL to the iter-5 PEAK config (train_n=200, val_n=6, batch_size=1, grad_clip=1.0, warm_start=True, pretrain_epochs=12, n_iter=600, lr=1e-4, unet_c=16); ONLY seed 42->123 changed.
8		0.448624	0	discard	architecture	dual_domain_n2i-claude-agentic-breast-ct	claude-opus-4.7-1m	dual_domain_n2i-claude-agentic: train_n=200, val_n=6, batch_size=1, grad_clip=1.0, seed=42, warm_start=False, pretrain_epochs=12, n_iter=600, outer_wall_s=1200, lr=0.0001, unet_c=16, rationale=iter-8: ONE knob -> warm_start true -> false (per-image fit starts from a FIXED fresh U-Net init, NO amortized GT-free pre-pass). Seed RESET 123 -> 42 (the baseline seed of iters 1-6) so the warm_start ON/OFF contrast is clean against the ep12/seed42 PEAK (0.5081), not confounded by the seed-123 basin. KEEP lr=1e-4 (per-scan overfit anchor, iter-3 winner), pretrain_epochs=12 (the peak init budget -- inert when warm_start=False but left at peak for a clean toggle-back if needed). DIAGNOSIS (numbers, not pixels): the iter-7 seed probe's FALSIFIER FIRED. Trend ep12/lr1e-4: seed42 SSIM 0.5081 PSNR 16.376 (iter-5 PEAK); seed42/ep18 0.5016 PSNR 16.29 (iter-6); seed123/ep12 0.4203 PSNR 13.085 (iter-7). Flipping ONLY the seed dropped SSIM 0.5081 -> 0.4203 (-0.088) and PSNR 16.38 -> 13.09 dB (-3.3 dB) -- far outside the iter-7 falsifier band (predicted +/-0.01, threshold <0.49). So ~0.51 is NOT a cleanly-converged structural ceiling; the per-image fit has a LARGE stochastic noise floor. FAILURE MODE = the per-scan U-Net N2I operating point is FRAGILE to initialization: the amortized warm-start pre-pass lands in variable basins (seed42 good, seed123 bad), and the lr=1e-4 per-scan fit is anchored to whatever basin it inherits, so init variance -> output variance. n_iter is RULED OUT (iter-2 1200 steps REGRESSED 0.4785->0.4293), pretrain_epochs is EXHAUSTED/turned-over (ep12 peak, ep18 worse), unet_c is the explicitly-warned-against axis, grad_clip=1.0 is LOAD-BEARING (128-view FBP adjoint guard, mandatory -- do NOT touch). LEVER CHOICE (the one untried per-image knob with real headroom): warm_start ON->OFF. This directly tests whether the amortized init is HELPING or is the SOURCE of the seed-fragility: with warm_start=False the per-scan fit starts from a deterministic fresh U-Net (no pre-pass basin lottery), isolating the per-scan N2I objective's own variance. WARM-START-FRAGILITY HYPOTHESIS: the 0.5081->0.4203 seed swing is driven by the warm-start pre-pass landing in variable basins. (a) If warm_start=False SSIM stabilizes near/above ~0.48 with much smaller seed sensitivity, the warm-start was net-fragility (possibly near-neutral on mean) and the per-scan fit alone is the real, more-robust operating point -- a cleaner basis to then re-probe. (b) If SSIM COLLAPSES well below 0.42, the warm-start init was load-bearing POSITIVE and the seed swing is intrinsic to the per-scan N2I objective on this 128-view synthetic substrate -- which CONFIRMS (with the bilateral twin's hr+0.33 at 6 params that physically cannot overfit) that an over-parameterized U-Net is the wrong tool here, documenting the structural ceiling for iter-20. Either branch is informative toward the iter-20 mandate. hr expected ~0 (structurally FBP-bounded on dense-view phantoms). WALL: warm_start=False ELIMINATES the 12x200=2400-step pre-pass, leaving ONLY per-image 6x600=3600 steps @ ~0.083 s/step ~= 300 s (iter-7 was 544 s WITH the pre-pass), comfortably under the 15-min target, the outer_wall_s=1200 guard, and the 00:30:00 (1800 s) sbatch wall -- no need to drop val_n/n_iter. All other knobs IDENTICAL to the iter-5 PEAK config (train_n=200, val_n=6, batch_size=1, grad_clip=1.0, pretrain_epochs=12, n_iter=600, lr=1e-4, unet_c=16); ONLY warm_start true->false (and seed reset 123->42 to anchor the ON/OFF comparison).
9		0.469737	0	discard	architecture	dual_domain_n2i-claude-agentic-breast-ct	claude-opus-4.7-1m	dual_domain_n2i-claude-agentic: train_n=200, val_n=6, batch_size=1, grad_clip=1.0, seed=42, warm_start=True, pretrain_epochs=12, n_iter=600, outer_wall_s=1200, lr=0.0002, unet_c=16, rationale=iter-9: ONE knob -> per-scan lr 1e-4 -> 2e-4 (2x), at the warm_start=True/ep12/seed42 PEAK base (iter-5 config, SSIM 0.5081 -- NOT the iter-7 seed123 basin, NOT iter-8 warm_start=off). KEEP warm_start=True (LOAD-BEARING-POSITIVE, settled), pretrain_epochs=12 (the init-budget PEAK), seed=42 (the good basin), grad_clip=1.0 (LOAD-BEARING 128-view FBP-adjoint guard, mandatory -- do NOT touch), n_iter=600, val_n=6 (UNCHANGED so SSIM stays iter-to-iter comparable). DIAGNOSIS (numbers, not pixels): the load-bearing-positive warm_start fact is now re-confirmed on demo -- iter-8 warm_start OFF (seed42/ep12) dropped SSIM 0.5081 -> 0.4486 (-0.0595, hr0, PSNR 16.38->16.29), so without the amortized pre-pass each per-scan lr-anchored fit lands in a worse basin. FAILURE MODE = per-image U-Net N2I caps ~0.51 SSIM (hr~0) on this 128-view synthetic-phantom substrate: it is FBP-bounded AND has a large init-driven stochastic noise floor (a seed flip 42->123 alone swung 0.5081->0.4203, -0.088, iter-5 vs iter-7), so single-seed reads are intrinsically noisy here and the U-Net (0.466 M params) overfits one noisy scan where the 6-param bilateral twin physically cannot (twin clears baseline at hr+0.33). LEVER CHOICE: of the genuinely-untried-at-PEAK knobs (pretrain_epochs is EXHAUSTED -- ep12 peak, ep18 worse; grad_clip is LOAD-BEARING/forbidden; val_n change would break iter-to-iter SSIM comparability), do the mild lr RE-CONFIRM the handoff lists: 1e-4 -> 2e-4. lr=1e-4 was picked at iter-3 as the per-scan OVERFIT ANCHOR (1e-3 -> 1e-4 lifted 0.4785 -> 0.4880 by keeping Adam pinned near the warm-start init), but 1e-4 vs 2e-4 was never compared at the converged ep12 PEAK -- only 1e-3 vs 1e-4 at the under-trained ep3 init. So whether 1e-4 is the true per-scan step optimum AT THE PEAK init is untested. HYPOTHESIS: at the ep12/seed42 peak init, a 2x larger per-scan step (2e-4) lets the lr-anchored fit refine slightly further off a now-good warm-start init without descending into the single-scan noise-fitting minimum that killed n_iter (iter-2 1200 steps regressed). If SSIM rises >0.51 then 1e-4 was slightly under-stepping at the converged init (the anchor optimum shifts up once the init is good); if it falls toward ~0.48-0.49 then 1e-4 is confirmed optimal (2e-4 starts to overfit the single scan) and the per-scan anchor axis is settled. Either way DOCUMENTS the per-scan step optimum at the peak init toward the iter-20 ceiling. hr stays ~0 (structurally FBP-bounded on dense-view phantoms). NOTE on the noise floor: any single-iter delta < ~0.01 here is within the demo-n2i seed noise floor and should be read as 'flat', not signal. WALL: warm 12x200=2400 + per-image 6x600=3600 = 6000 steps @ ~0.083 s/step ~= 500 s (iter-5 was 463 s at this exact 6000-step budget), under the 15-min target, the outer_wall_s=1200 guard, and the 00:30:00 (1800 s) sbatch wall -- no need to drop val_n/n_iter. All other knobs IDENTICAL to the iter-5 PEAK config (train_n=200, val_n=6, batch_size=1, grad_clip=1.0, seed=42, warm_start=True, pretrain_epochs=12, n_iter=600, unet_c=16); ONLY per-scan lr 1e-4 -> 2e-4 changed.
10		0.472426	0.00380331	keep	architecture	dual_domain_n2i-claude-agentic-breast-ct	claude-opus-4.7-1m	dual_domain_n2i-claude-agentic: train_n=200, val_n=12, batch_size=1, grad_clip=1.0, seed=42, warm_start=True, pretrain_epochs=12, n_iter=600, outer_wall_s=1200, lr=0.0001, unet_c=16, rationale=iter-10: ONE knob -> val_n 6 -> 12 (2x val scenes) at the iter-5 PEAK base (seed42/ep12/lr1e-4/warm_start True/n_iter600/grad_clip1.0, SSIM 0.5081). NOT the iter-9 lr2e-4 (dead: 0.4697 confirms 1e-4 optimal), NOT iter-8 warm_start=off (dead: 0.4486), NOT the iter-7 seed123 basin. lr RESET 2e-4 -> 1e-4 (the per-scan overfit-anchor optimum). DIAGNOSIS (numbers, not pixels): iter-8 warm_start OFF dropped 0.5081->0.4486 (-0.0595, load-bearing-positive, settled); iter-9 lr 1e-4->2e-4 dropped 0.5081->0.4697 (-0.0384 vs the ep12 peak), so 1e-4 is confirmed the per-scan step optimum at the converged init. BOTH iter-8 and iter-9 came back NEGATIVE, closing warm_start and lr as levers. FAILURE MODE = the 0.466 M-param U-Net OVERFITS each single noisy 128-view sparse-phantom scan (the 6-param bilateral twin physically cannot, which is why the twin clears baseline at hr+0.33 while this U-Net stays hr0 at ~0.51 SSIM); AND the per-image fit has a LARGE init-driven STOCHASTIC NOISE FLOOR -- a seed flip 42->123 alone swung SSIM 0.5081->0.4203 (-0.088) at the SAME ep12/lr1e-4 config (iter-5 vs iter-7). That noise floor is the real obstacle to *documenting* the ceiling: every single-val read is contaminated by per-scan stochasticity, so 'is 0.51 the converged ceiling or just one lucky/unlucky draw?' is unanswerable at val_n=6. EXHAUSTED axes (do NOT retry): n_iter (iter-2 1200 steps 0.4785->0.4293, U-Net overfits one scan), warm_start (iter-8 off -0.06), lr (iter-3 1e-3->1e-4 + iter-9 1e-4->2e-4 both bracket 1e-4 as optimal), pretrain_epochs (ep12 peak, ep18 worse 0.5016), unet_c (mayo n2i c16->c32 flat 0.9508, design-doc warned-against). grad_clip=1.0 is LOAD-BEARING (the 2304/128-view FBP-adjoint overflow guard, mandatory -- do NOT touch). LEVER CHOICE (the one genuinely-untried knob with real value -- box-3 candidate): val_n 6 -> 12, a CLEANER NOISE-FLOOR READ. Doubling the number of val scenes averages the per-scan SSIM over 2x as many independent draws, shrinking the standard error of the ceiling estimate by ~sqrt(2) and directly attacking the documented stochastic-noise-floor obstacle. This is a CEILING-DOCUMENTATION move (toward the iter-20 mandate of *documenting* why this ceiling holds), not a ceiling-raising move: I do NOT expect hr to move off ~0 (structurally FBP-bounded on dense 128-view phantoms). HYPOTHESIS: at val_n=12 the mean SSIM lands near ~0.50-0.51 (the ep12/lr1e-4 peak family) with a TIGHTER read than the noisy val_n=6 single-seed numbers, giving a more-trustworthy ~0.51 ceiling estimate for the U-Net N2I on this synthetic 128-view substrate. FALSIFIER: if the val_n=12 mean lands FAR from 0.51 (e.g. <0.46 or >0.55), the val_n=6 set was itself unrepresentative and the ceiling claim needs the wider val set as its basis going forward. NOTE: val_n changes the absolute SSIM's comparability to iters 1-9 (different/larger scene set) -- that is the POINT (a cleaner, less-noisy basis), and it is recorded here so future iters read val_n=12 numbers against THIS iter, not the val_n=6 history. WALL: warm 12x200=2400 (unchanged) + per-image 12x600=7200 = 9600 steps @ ~0.083 s/step ~= 800 s, under the outer_wall_s=1200 guard and the 00:30:00 (1800 s) sbatch wall (per_scene_s = 1200/12 = 100 s each, ample for 600 steps @ ~0.083 s/step ~= 50 s). All other knobs IDENTICAL to the iter-5 PEAK config (train_n=200, batch_size=1, grad_clip=1.0, seed=42, warm_start=True, pretrain_epochs=12, n_iter=600, lr=1e-4, unet_c=16); ONLY val_n 6 -> 12 changed.
