iter	commit	val_score	headroom	status	change_class	agent	model	rationale
1		-0.00369349	0.996307	keep	architecture	ddpm-search	random-search	ddpm-search: ddpm_mode=unconstrained, ddpm_n_train=3000, ddpm_ch=32, ddpm_n_steps=1000, ddpm_epochs=28, ddpm_batch=8, ddpm_lr=0.00044368, ddpm_weight_decay=1e-05, ddpm_train_wall_s=1200
2		-0.00414715	0.995853	keep	architecture	ddpm-search	random-search	ddpm-search: ddpm_mode=unconstrained, ddpm_n_train=2000, ddpm_ch=32, ddpm_n_steps=1000, ddpm_epochs=27, ddpm_batch=4, ddpm_lr=0.00023129, ddpm_weight_decay=1e-05, ddpm_train_wall_s=1200
3		-0.00419632	0.995804	keep	architecture	ddpm-search	random-search	ddpm-search: ddpm_mode=unconstrained, ddpm_n_train=3000, ddpm_ch=24, ddpm_n_steps=1000, ddpm_epochs=16, ddpm_batch=8, ddpm_lr=0.00048706, ddpm_weight_decay=1e-05, ddpm_train_wall_s=1200
4		-0.0060701	0.99393	keep	architecture	ddpm-search	random-search	ddpm-search: ddpm_mode=unconstrained, ddpm_n_train=1000, ddpm_ch=48, ddpm_n_steps=1000, ddpm_epochs=19, ddpm_batch=8, ddpm_lr=0.00013619, ddpm_weight_decay=1e-05, ddpm_train_wall_s=1200
5		-0.00527969	0.99472	keep	architecture	ddpm-search	random-search	ddpm-search: ddpm_mode=unconstrained, ddpm_n_train=3000, ddpm_ch=32, ddpm_n_steps=1000, ddpm_epochs=36, ddpm_batch=8, ddpm_lr=0.00013428, ddpm_weight_decay=0.0001, ddpm_train_wall_s=1200
6		-0.00512523	0.994875	keep	architecture	ddpm-search	random-search	ddpm-search: ddpm_mode=unconstrained, ddpm_n_train=2000, ddpm_ch=24, ddpm_n_steps=500, ddpm_epochs=21, ddpm_batch=8, ddpm_lr=0.00014041, ddpm_weight_decay=1e-05, ddpm_train_wall_s=1200
7		-0.00698879	0.993011	keep	architecture	ddpm-search	random-search	ddpm-search: ddpm_mode=unconstrained, ddpm_n_train=2000, ddpm_ch=24, ddpm_n_steps=1000, ddpm_epochs=23, ddpm_batch=16, ddpm_lr=0.00011382, ddpm_weight_decay=1e-05, ddpm_train_wall_s=1200
8		-0.00352517	0.996475	keep	architecture	ddpm-search	random-search	ddpm-search: ddpm_mode=unconstrained, ddpm_n_train=2000, ddpm_ch=24, ddpm_n_steps=500, ddpm_epochs=26, ddpm_batch=4, ddpm_lr=0.0001991, ddpm_weight_decay=1e-05, ddpm_train_wall_s=1200
9		-0.00487218	0.995128	keep	architecture	ddpm-search	random-search	ddpm-search: ddpm_mode=unconstrained, ddpm_n_train=3000, ddpm_ch=48, ddpm_n_steps=1000, ddpm_epochs=30, ddpm_batch=8, ddpm_lr=0.00019964, ddpm_weight_decay=0.0001, ddpm_train_wall_s=1200
10		-0.00276021	0.99724	keep	architecture	ddpm-search	random-search	ddpm-search: ddpm_mode=unconstrained, ddpm_n_train=2000, ddpm_ch=32, ddpm_n_steps=1000, ddpm_epochs=36, ddpm_batch=4, ddpm_lr=0.0004319, ddpm_weight_decay=0, ddpm_train_wall_s=1200
11		-0.00686921	0.993131	keep	architecture	ddpm-search	random-search	ddpm-search: ddpm_mode=unconstrained, ddpm_n_train=1000, ddpm_ch=32, ddpm_n_steps=1000, ddpm_epochs=33, ddpm_batch=16, ddpm_lr=0.00021143, ddpm_weight_decay=0.0001, ddpm_train_wall_s=1200
12		-0.00724132	0.992759	keep	architecture	ddpm-search	random-search	ddpm-search: ddpm_mode=unconstrained, ddpm_n_train=3000, ddpm_ch=32, ddpm_n_steps=500, ddpm_epochs=39, ddpm_batch=4, ddpm_lr=8.8001e-05, ddpm_weight_decay=0.0001, ddpm_train_wall_s=1200
13		-0.00624251	0.993757	keep	architecture	ddpm-search	random-search	ddpm-search: ddpm_mode=unconstrained, ddpm_n_train=1000, ddpm_ch=24, ddpm_n_steps=1000, ddpm_epochs=29, ddpm_batch=4, ddpm_lr=0.00015117, ddpm_weight_decay=1e-05, ddpm_train_wall_s=1200
14		-0.00415974	0.99584	keep	architecture	ddpm-search	random-search	ddpm-search: ddpm_mode=unconstrained, ddpm_n_train=2000, ddpm_ch=24, ddpm_n_steps=1000, ddpm_epochs=19, ddpm_batch=4, ddpm_lr=0.00044696, ddpm_weight_decay=1e-05, ddpm_train_wall_s=1200
15		-0.00524556	0.994754	keep	architecture	ddpm-search	random-search	ddpm-search: ddpm_mode=unconstrained, ddpm_n_train=2000, ddpm_ch=24, ddpm_n_steps=1000, ddpm_epochs=23, ddpm_batch=8, ddpm_lr=0.00010413, ddpm_weight_decay=1e-05, ddpm_train_wall_s=1200
16		-0.00459113	0.995409	keep	architecture	ddpm-search	random-search	ddpm-search: ddpm_mode=unconstrained, ddpm_n_train=3000, ddpm_ch=32, ddpm_n_steps=500, ddpm_epochs=18, ddpm_batch=4, ddpm_lr=0.00027781, ddpm_weight_decay=0.0001, ddpm_train_wall_s=1200
17		-0.00340783	0.996592	keep	architecture	ddpm-search	random-search	ddpm-search: ddpm_mode=unconstrained, ddpm_n_train=2000, ddpm_ch=24, ddpm_n_steps=1000, ddpm_epochs=34, ddpm_batch=8, ddpm_lr=0.00031521, ddpm_weight_decay=1e-05, ddpm_train_wall_s=1200
18		-0.00500773	0.994992	keep	architecture	ddpm-search	random-search	ddpm-search: ddpm_mode=unconstrained, ddpm_n_train=1000, ddpm_ch=32, ddpm_n_steps=1000, ddpm_epochs=25, ddpm_batch=4, ddpm_lr=0.00013774, ddpm_weight_decay=0, ddpm_train_wall_s=1200
19		-0.00470084	0.995299	keep	architecture	ddpm-search	random-search	ddpm-search: ddpm_mode=unconstrained, ddpm_n_train=2000, ddpm_ch=24, ddpm_n_steps=1000, ddpm_epochs=34, ddpm_batch=8, ddpm_lr=0.0001114, ddpm_weight_decay=1e-05, ddpm_train_wall_s=1200
20		-0.00780635	0.992194	keep	architecture	ddpm-search	random-search	ddpm-search: ddpm_mode=unconstrained, ddpm_n_train=3000, ddpm_ch=32, ddpm_n_steps=500, ddpm_epochs=39, ddpm_batch=16, ddpm_lr=0.00010465, ddpm_weight_decay=0, ddpm_train_wall_s=1200
