iter	commit	val_score	headroom	status	change_class	agent	model	rationale
1		0.0182013	0	discard	architecture	diffusion-recon-constrained-search	random-search	diffusion-recon-constrained-search: recon_ckpt=/cluster/maier/Agent4CT/checkpoints/ddpm_constrained_final.pt, recon_mode=mcg, recon_sample_steps=200, recon_eta=0.72169, recon_init=noise, recon_eta_clamp=False
1		0.0182013	0	discard	architecture	diffusion-recon-constrained-search-tpe	random-search	diffusion-recon-constrained-search-tpe: recon_ckpt=/cluster/maier/Agent4CT/checkpoints/ddpm_constrained_final.pt, recon_mode=dps, recon_sample_steps=100, recon_eta=1.526, recon_init=noise, recon_eta_clamp=False
2		0.0341102	0	discard	architecture	diffusion-recon-constrained-search-tpe	random-search	diffusion-recon-constrained-search-tpe: recon_ckpt=/cluster/maier/Agent4CT/checkpoints/ddpm_constrained_final.pt, recon_mode=dps, recon_sample_steps=200, recon_eta=2.1809, recon_init=fbp, recon_eta_clamp=True
2		0.0341102	0	discard	architecture	diffusion-recon-constrained-search	random-search	diffusion-recon-constrained-search: recon_ckpt=/cluster/maier/Agent4CT/checkpoints/ddpm_constrained_final.pt, recon_mode=mcg, recon_sample_steps=200, recon_eta=0.71786, recon_init=fbp, recon_eta_clamp=True
3		0.0888066	0	discard	architecture	diffusion-recon-constrained-search-tpe	random-search	diffusion-recon-constrained-search-tpe: recon_ckpt=/cluster/maier/Agent4CT/checkpoints/ddpm_constrained_final.pt, recon_mode=mcg, recon_sample_steps=100, recon_eta=1.1318, recon_init=noise, recon_eta_clamp=False
3		0.0888072	0	discard	architecture	diffusion-recon-constrained-search	random-search	diffusion-recon-constrained-search: recon_ckpt=/cluster/maier/Agent4CT/checkpoints/ddpm_constrained_final.pt, recon_mode=mcg, recon_sample_steps=500, recon_eta=5.4981, recon_init=noise, recon_eta_clamp=False
4		0.117681	0	discard	architecture	diffusion-recon-constrained-search-tpe	random-search	diffusion-recon-constrained-search-tpe: recon_ckpt=/cluster/maier/Agent4CT/checkpoints/ddpm_constrained_final.pt, recon_mode=dps, recon_sample_steps=200, recon_eta=6.9358, recon_init=fbp, recon_eta_clamp=False
5		0.0177297	0	discard	architecture	diffusion-recon-constrained-search-tpe	random-search	diffusion-recon-constrained-search-tpe: recon_ckpt=/cluster/maier/Agent4CT/checkpoints/ddpm_constrained_final.pt, recon_mode=dps, recon_sample_steps=100, recon_eta=0.50625, recon_init=fbp, recon_eta_clamp=True
4		0.0259609	0	discard	architecture	diffusion-recon-constrained-search	random-search	diffusion-recon-constrained-search: recon_ckpt=/cluster/maier/Agent4CT/checkpoints/ddpm_constrained_final.pt, recon_mode=mcg, recon_sample_steps=200, recon_eta=1.0293, recon_init=noise, recon_eta_clamp=True
5		0.0172776	0	discard	architecture	diffusion-recon-constrained-search	random-search	diffusion-recon-constrained-search: recon_ckpt=/cluster/maier/Agent4CT/checkpoints/ddpm_constrained_final.pt, recon_mode=mcg, recon_sample_steps=100, recon_eta=0.70064, recon_init=noise, recon_eta_clamp=False
