iter	commit	val_score	headroom	status	change_class	agent	model	rationale
1		0.574185	0.804168	keep	architecture	uswin-search	random-search	uswin-search: epochs=12, lr=0.00065912, batch_size=4, uswin_c=24, swin_window=8, swin_heads=4
2		0.760124	0.79255	keep	architecture	uswin-search	random-search	uswin-search: epochs=13, lr=0.00014171, batch_size=4, uswin_c=24, swin_window=8, swin_heads=4
3		0.781748	0.784093	keep	architecture	uswin-search	random-search	uswin-search: epochs=9, lr=0.00046258, batch_size=4, uswin_c=24, swin_window=16, swin_heads=4
4		0.616547	0.760665	keep	architecture	uswin-search	random-search	uswin-search: epochs=7, lr=0.00017986, batch_size=4, uswin_c=24, swin_window=8, swin_heads=8
5		0.459711	0.728964	keep	architecture	uswin-search	random-search	uswin-search: epochs=14, lr=0.00058798, batch_size=8, uswin_c=32, swin_window=8, swin_heads=2
6		0.569434	0.755278	keep	architecture	uswin-search	random-search	uswin-search: epochs=13, lr=0.00013699, batch_size=4, uswin_c=32, swin_window=8, swin_heads=2
7		0.487559	0.706175	keep	architecture	uswin-search	random-search	uswin-search: epochs=6, lr=0.00032381, batch_size=4, uswin_c=32, swin_window=8, swin_heads=4
8		0.569458	0.760459	keep	architecture	uswin-search	random-search	uswin-search: epochs=6, lr=0.00033139, batch_size=4, uswin_c=24, swin_window=4, swin_heads=2
9		0.435744	0.754834	keep	architecture	uswin-search	random-search	uswin-search: epochs=9, lr=0.0008122, batch_size=4, uswin_c=24, swin_window=8, swin_heads=4
10		0.749458	0.809015	keep	architecture	uswin-search	random-search	uswin-search: epochs=11, lr=0.00030196, batch_size=2, uswin_c=24, swin_window=8, swin_heads=8
11		0.656656	0.746933	keep	architecture	uswin-search	random-search	uswin-search: epochs=11, lr=0.00030625, batch_size=8, uswin_c=16, swin_window=8, swin_heads=4
12		0.562565	0.696445	keep	architecture	uswin-search	random-search	uswin-search: epochs=8, lr=0.00010749, batch_size=4, uswin_c=16, swin_window=16, swin_heads=2
13		0.701981	0.760822	keep	architecture	uswin-search	random-search	uswin-search: epochs=10, lr=0.00017834, batch_size=4, uswin_c=32, swin_window=16, swin_heads=8
14		0.369944	0.732365	keep	architecture	uswin-search	random-search	uswin-search: epochs=10, lr=0.0002997, batch_size=4, uswin_c=32, swin_window=8, swin_heads=8
15		0.341616	0.690115	keep	architecture	uswin-search	random-search	uswin-search: epochs=6, lr=0.00043313, batch_size=8, uswin_c=32, swin_window=16, swin_heads=2
16		0.702718	0.771597	keep	architecture	uswin-search	random-search	uswin-search: epochs=12, lr=0.00024762, batch_size=4, uswin_c=32, swin_window=4, swin_heads=4
17		0.511794	0.72015	keep	architecture	uswin-search	random-search	uswin-search: epochs=8, lr=0.00033928, batch_size=8, uswin_c=16, swin_window=4, swin_heads=2
18		0.507256	0.74611	keep	architecture	uswin-search	random-search	uswin-search: epochs=10, lr=0.00032108, batch_size=4, uswin_c=32, swin_window=16, swin_heads=8
19		0.486024	0.746814	keep	architecture	uswin-search	random-search	uswin-search: epochs=14, lr=0.00074014, batch_size=8, uswin_c=32, swin_window=4, swin_heads=4
20		0.671163	0.750585	keep	architecture	uswin-search	random-search	uswin-search: epochs=10, lr=0.00013382, batch_size=2, uswin_c=16, swin_window=16, swin_heads=2
