iter	commit	val_score	headroom	status	change_class	agent	model	rationale
1		0.610422	0.796137	keep	architecture	itnet-v3-search	random-search	itnet-v3-search: epochs=11, lr=0.0011628, batch_size=20, unet_c=12, itnet_k=3, alpha_init=0.0028418
2		0.499273	0.758617	keep	architecture	itnet-v3-search	random-search	itnet-v3-search: epochs=12, lr=0.00015739, batch_size=20, unet_c=12, itnet_k=3, alpha_init=0.0024975
3		0.723799	0.80871	keep	architecture	itnet-v3-search	random-search	itnet-v3-search: epochs=15, lr=0.0011601, batch_size=20, unet_c=12, itnet_k=4, alpha_init=0.0023585
4		0.477354	0.722429	keep	architecture	itnet-v3-search	random-search	itnet-v3-search: epochs=6, lr=0.00021463, batch_size=20, unet_c=12, itnet_k=3, alpha_init=0.0032082
5		0.369726	0.718083	keep	architecture	itnet-v3-search	random-search	itnet-v3-search: epochs=10, lr=0.0007821, batch_size=20, unet_c=8, itnet_k=4, alpha_init=0.0030069
6		0.260618	0.642036	keep	architecture	itnet-v3-search	random-search	itnet-v3-search: epochs=11, lr=0.00036828, batch_size=20, unet_c=8, itnet_k=2, alpha_init=0.0032381
7		0.372837	0.719314	keep	architecture	itnet-v3-search	random-search	itnet-v3-search: epochs=10, lr=0.0007601, batch_size=20, unet_c=8, itnet_k=4, alpha_init=0.0029261
8		0.513044	0.776375	keep	architecture	itnet-v3-search	random-search	itnet-v3-search: epochs=11, lr=0.00013982, batch_size=10, unet_c=12, itnet_k=3, alpha_init=0.0021959
9		0.693278	0.821517	keep	architecture	itnet-v3-search	random-search	itnet-v3-search: epochs=10, lr=0.00042114, batch_size=10, unet_c=12, itnet_k=3, alpha_init=0.0090979
10		0.169936	0.516718	keep	architecture	itnet-v3-search	random-search	itnet-v3-search: epochs=10, lr=0.00042895, batch_size=40, unet_c=8, itnet_k=3, alpha_init=0.0030061
11		0.480581	0.762147	keep	architecture	itnet-v3-search	random-search	itnet-v3-search: epochs=5, lr=0.0016835, batch_size=10, unet_c=16, itnet_k=2, alpha_init=0.0018416
13		0.491534	0.780909	keep	architecture	itnet-v3-search	random-search	itnet-v3-search: epochs=9, lr=0.00041705, batch_size=20, unet_c=16, itnet_k=3, alpha_init=0.0045024
14		0.506954	0.769782	keep	architecture	itnet-v3-search	random-search	itnet-v3-search: epochs=15, lr=0.00055683, batch_size=40, unet_c=16, itnet_k=2, alpha_init=0.0026112
15		0.670449	0.785428	keep	architecture	itnet-v3-search	random-search	itnet-v3-search: epochs=14, lr=0.0018847, batch_size=20, unet_c=16, itnet_k=2, alpha_init=0.008638
16		0.125392	0.38596	keep	architecture	itnet-v3-search	random-search	itnet-v3-search: epochs=7, lr=0.00049009, batch_size=40, unet_c=8, itnet_k=2, alpha_init=0.0012839
17		0.616204	0.776857	keep	architecture	itnet-v3-search	random-search	itnet-v3-search: epochs=9, lr=0.00045617, batch_size=20, unet_c=16, itnet_k=4, alpha_init=0.0042285
19		0.416517	0.694445	keep	architecture	itnet-v3-search	random-search	itnet-v3-search: epochs=8, lr=0.00038852, batch_size=40, unet_c=12, itnet_k=2, alpha_init=0.0059983
20		0.52001	0.78782	keep	architecture	itnet-v3-search	random-search	itnet-v3-search: epochs=8, lr=0.0017266, batch_size=10, unet_c=12, itnet_k=2, alpha_init=0.0011549
