iter	commit	val_score	headroom	status	change_class	agent	model	rationale
1		0.776153	0	discard	architecture	r2gaussian-search	random-search	r2gaussian-search: gs_n_gaussians=1024, gs_n_iter=719, gs_lr_pos=0.0086171, gs_lr_scale=0.043266, gs_lr_amp=0.013432, gs_amp_init=0.044368, gs_scale_init=0.098983, gs_tv_weight=2.0082e-05
2		0.776569	0	discard	architecture	r2gaussian-search	random-search	r2gaussian-search: gs_n_gaussians=1024, gs_n_iter=455, gs_lr_pos=0.0036047, gs_lr_scale=0.0078318, gs_lr_amp=0.032897, gs_amp_init=0.014866, gs_scale_init=0.062732, gs_tv_weight=0.00022169
3		0.722876	0.49644	keep	architecture	r2gaussian-search	random-search	r2gaussian-search: gs_n_gaussians=512, gs_n_iter=430, gs_lr_pos=0.0011403, gs_lr_scale=0.037025, gs_lr_amp=0.048706, gs_amp_init=0.011289, gs_scale_init=0.062772, gs_tv_weight=4.4942e-05
4		0.835413	0	discard	architecture	r2gaussian-search	random-search	r2gaussian-search: gs_n_gaussians=2048, gs_n_iter=482, gs_lr_pos=0.018947, gs_lr_scale=0.019605, gs_lr_amp=0.0068497, gs_amp_init=0.013619, gs_scale_init=0.046193, gs_tv_weight=1.5505e-05
5		0.795107	0.348254	keep	architecture	r2gaussian-search	random-search	r2gaussian-search: gs_n_gaussians=512, gs_n_iter=561, gs_lr_pos=0.0027328, gs_lr_scale=0.02377, gs_lr_amp=0.013428, gs_amp_init=0.016569, gs_scale_init=0.047329, gs_tv_weight=1.6741e-05
6		0.830847	0.42239	keep	architecture	r2gaussian-search	random-search	r2gaussian-search: gs_n_gaussians=512, gs_n_iter=765, gs_lr_pos=0.01117, gs_lr_scale=0.014041, gs_lr_amp=0.012443, gs_amp_init=0.015098, gs_scale_init=0.035663, gs_tv_weight=3.4759e-05
7		0.838236	0	discard	architecture	r2gaussian-search	random-search	r2gaussian-search: gs_n_gaussians=2048, gs_n_iter=482, gs_lr_pos=0.0042895, gs_lr_scale=0.019267, gs_lr_amp=0.042421, gs_amp_init=0.01503, gs_scale_init=0.022509, gs_tv_weight=5.4934e-05
8		0.743344	0	discard	architecture	r2gaussian-search	random-search	r2gaussian-search: gs_n_gaussians=2048, gs_n_iter=391, gs_lr_pos=0.0022133, gs_lr_scale=0.021248, gs_lr_amp=0.020377, gs_amp_init=0.03937, gs_scale_init=0.064828, gs_tv_weight=0.00020437
9		0.805829	0	discard	architecture	r2gaussian-search	random-search	r2gaussian-search: gs_n_gaussians=1024, gs_n_iter=544, gs_lr_pos=0.015308, gs_lr_scale=0.010555, gs_lr_amp=0.015622, gs_amp_init=0.0054511, gs_scale_init=0.065854, gs_tv_weight=0.00012214
10		0.70606	0.232452	keep	architecture	r2gaussian-search	random-search	r2gaussian-search: gs_n_gaussians=512, gs_n_iter=513, gs_lr_pos=0.0032534, gs_lr_scale=0.047769, gs_lr_amp=0.010499, gs_amp_init=0.041547, gs_scale_init=0.083923, gs_tv_weight=0.00074615
11		0.744766	0.162969	keep	architecture	r2gaussian-search	random-search	r2gaussian-search: gs_n_gaussians=512, gs_n_iter=571, gs_lr_pos=0.0051835, gs_lr_scale=0.0062619, gs_lr_amp=0.0080395, gs_amp_init=0.041453, gs_scale_init=0.060529, gs_tv_weight=6.5609e-05
12		0.782032	0	discard	architecture	r2gaussian-search	random-search	r2gaussian-search: gs_n_gaussians=2048, gs_n_iter=620, gs_lr_pos=0.0085213, gs_lr_scale=0.017359, gs_lr_amp=0.023952, gs_amp_init=0.023011, gs_scale_init=0.093583, gs_tv_weight=8.055e-05
13		0.767581	0	discard	architecture	r2gaussian-search	random-search	r2gaussian-search: gs_n_gaussians=2048, gs_n_iter=445, gs_lr_pos=0.0014609, gs_lr_scale=0.0072734, gs_lr_amp=0.044658, gs_amp_init=0.047374, gs_scale_init=0.054799, gs_tv_weight=2.0905e-05
14		0.823572	0	discard	architecture	r2gaussian-search	random-search	r2gaussian-search: gs_n_gaussians=1024, gs_n_iter=536, gs_lr_pos=0.0018479, gs_lr_scale=0.023096, gs_lr_amp=0.013705, gs_amp_init=0.0080305, gs_scale_init=0.033689, gs_tv_weight=1.9754e-05
15		0.857419	0.0658105	keep	architecture	r2gaussian-search	random-search	r2gaussian-search: gs_n_gaussians=1024, gs_n_iter=755, gs_lr_pos=0.0080981, gs_lr_scale=0.032295, gs_lr_amp=0.012934, gs_amp_init=0.0080602, gs_scale_init=0.03852, gs_tv_weight=0.00051571
16		0.78351	0	discard	architecture	r2gaussian-search	random-search	r2gaussian-search: gs_n_gaussians=1024, gs_n_iter=494, gs_lr_pos=0.0025972, gs_lr_scale=0.034303, gs_lr_amp=0.013268, gs_amp_init=0.0090633, gs_scale_init=0.07461, gs_tv_weight=0.00029947
17		0.720428	0.505353	keep	architecture	r2gaussian-search	random-search	r2gaussian-search: gs_n_gaussians=512, gs_n_iter=350, gs_lr_pos=0.0013819, gs_lr_scale=0.024558, gs_lr_amp=0.0093667, gs_amp_init=0.031333, gs_scale_init=0.023063, gs_tv_weight=1.9922e-05
18		0.865439	0.104578	keep	architecture	r2gaussian-search	random-search	r2gaussian-search: gs_n_gaussians=1024, gs_n_iter=605, gs_lr_pos=0.0042438, gs_lr_scale=0.038478, gs_lr_amp=0.032667, gs_amp_init=0.0155, gs_scale_init=0.02549, gs_tv_weight=4.6894e-05
