iter	commit	val_score	headroom	status	change_class	agent	model	rationale
1		0.306885	0.387661	keep	optimizer	tv-search	random-search	TV search: lambda=0.00055, iters=341, lr=0.0677, clip=0.033, decay=0.0077
2		0.306885	0.387661	keep	optimizer	tv-search	random-search	TV search: lambda=0.00013, iters=416, lr=0.0299, clip=0.060, decay=0.0321
3		0.306885	0.387661	keep	optimizer	tv-search	random-search	TV search: lambda=0.00200, iters=94, lr=0.0074, clip=0.042, decay=0.0403
4		0.306885	0.387661	keep	optimizer	tv-search	random-search	TV search: lambda=0.00352, iters=65, lr=0.0927, clip=0.034, decay=0.0009
5		0.306885	0.387661	keep	optimizer	tv-search	random-search	TV search: lambda=0.00083, iters=121, lr=0.0642, clip=0.058, decay=0.0145
6		0.306885	0.387661	keep	optimizer	tv-search	random-search	TV search: lambda=0.00014, iters=81, lr=0.0067, clip=0.066, decay=0.0138
7		0.306885	0.387661	keep	optimizer	tv-search	random-search	TV search: lambda=0.00040, iters=191, lr=0.0440, clip=0.035, decay=0.0131
8		0.306885	0.387661	keep	optimizer	tv-search	random-search	TV search: lambda=0.00018, iters=130, lr=0.0250, clip=0.073, decay=0.0243
9		0.306885	0.387661	keep	optimizer	tv-search	random-search	TV search: lambda=0.00488, iters=375, lr=0.0031, clip=0.047, decay=0.0238
10		0.306885	0.387661	keep	optimizer	tv-search	random-search	TV search: lambda=0.00027, iters=485, lr=0.0015, clip=0.058, decay=0.0314
11		0.306885	0.387661	keep	optimizer	tv-search	random-search	TV search: lambda=0.00051, iters=105, lr=0.0017, clip=0.042, decay=0.0026
12		0.306885	0.387661	keep	optimizer	tv-search	random-search	TV search: lambda=0.00084, iters=207, lr=0.0627, clip=0.044, decay=0.0455
13		0.306885	0.387661	keep	optimizer	tv-search	random-search	TV search: lambda=0.00177, iters=272, lr=0.0195, clip=0.033, decay=0.0416
14		0.306885	0.387661	keep	optimizer	tv-search	random-search	TV search: lambda=0.00911, iters=192, lr=0.0126, clip=0.057, decay=0.0050
15		0.306885	0.387661	keep	optimizer	tv-search	random-search	TV search: lambda=0.00925, iters=457, lr=0.0070, clip=0.052, decay=0.0219
16		0.306885	0.387661	keep	optimizer	tv-search	random-search	TV search: lambda=0.00099, iters=62, lr=0.0696, clip=0.037, decay=0.0316
17		0.306885	0.387661	keep	optimizer	tv-search	random-search	TV search: lambda=0.00067, iters=172, lr=0.0171, clip=0.063, decay=0.0324
18		0.306885	0.387661	keep	optimizer	tv-search	random-search	TV search: lambda=0.00020, iters=374, lr=0.0063, clip=0.068, decay=0.0270
19		0.306885	0.387661	keep	optimizer	tv-search	random-search	TV search: lambda=0.00391, iters=214, lr=0.0214, clip=0.046, decay=0.0384
20		0.306885	0.387661	keep	optimizer	tv-search	random-search	TV search: lambda=0.00011, iters=482, lr=0.0254, clip=0.071, decay=0.0132
