iter	commit	val_score	headroom	status	change_class	agent	model	rationale
1		0.306964	0.608855	keep	architecture	dual-domain-bf-search	random-search	dual-domain-bf-search: epochs=22, lr=0.0065912, batch_size=2, proj_kernel=5, img_kernel=7, proj_sx=1.1804, proj_sy=2.6015, proj_sr=0.021788, img_sx=1.0407, img_sr=0.016314
2		0.306964	0.608855	keep	architecture	dual-domain-bf-search	random-search	dual-domain-bf-search: epochs=22, lr=0.0015664, batch_size=2, proj_kernel=5, img_kernel=9, proj_sx=1.059, proj_sy=2.7402, proj_sr=0.015073, img_sx=2.7006, img_sr=0.01748
3		0.306964	0.608855	keep	architecture	dual-domain-bf-search	random-search	dual-domain-bf-search: epochs=24, lr=0.0022577, batch_size=4, proj_kernel=5, img_kernel=9, proj_sx=1.4709, proj_sy=1.7131, proj_sr=0.014112, img_sx=1.9562, img_sr=0.019746
4		0.306964	0.608855	keep	architecture	dual-domain-bf-search	random-search	dual-domain-bf-search: epochs=29, lr=0.0021253, batch_size=1, proj_kernel=3, img_kernel=9, proj_sx=1.0034, proj_sy=2.3541, proj_sr=0.019947, img_sx=2.0407, img_sr=0.017329
5		0.306964	0.608855	keep	architecture	dual-domain-bf-search	random-search	dual-domain-bf-search: epochs=13, lr=0.0011059, batch_size=2, proj_kernel=5, img_kernel=7, proj_sx=1.0939, proj_sy=1.9599, proj_sr=0.013704, img_sx=1.5411, img_sr=0.026593
6		0.306964	0.608855	keep	architecture	dual-domain-bf-search	random-search	dual-domain-bf-search: epochs=25, lr=0.0018781, batch_size=1, proj_kernel=5, img_kernel=7, proj_sx=0.7024, proj_sy=2.885, proj_sr=0.010207, img_sx=1.3572, img_sr=0.014984
7		0.306964	0.608855	keep	architecture	dual-domain-bf-search	random-search	dual-domain-bf-search: epochs=19, lr=0.0040753, batch_size=4, proj_kernel=7, img_kernel=9, proj_sx=1.497, proj_sy=1.5783, proj_sr=0.04331, img_sx=1.649, img_sr=0.022173
8		0.306964	0.608855	keep	architecture	dual-domain-bf-search	random-search	dual-domain-bf-search: epochs=11, lr=0.0043313, batch_size=4, proj_kernel=7, img_kernel=9, proj_sx=0.72115, proj_sy=1.7876, proj_sr=0.04843, img_sx=1.6443, img_sr=0.043929
9		0.306964	0.608855	keep	architecture	dual-domain-bf-search	random-search	dual-domain-bf-search: epochs=16, lr=0.008638, batch_size=1, proj_kernel=7, img_kernel=9, proj_sx=1.5232, proj_sy=2.9655, proj_sr=0.011908, img_sx=1.5314, img_sr=0.025812
10		0.306964	0.608855	keep	architecture	dual-domain-bf-search	random-search	dual-domain-bf-search: epochs=28, lr=0.0082202, batch_size=4, proj_kernel=7, img_kernel=9, proj_sx=1.3471, proj_sy=2.7386, proj_sr=0.022592, img_sx=2.9755, img_sr=0.014519
11		0.306964	0.608855	keep	architecture	dual-domain-bf-search	random-search	dual-domain-bf-search: epochs=19, lr=0.0013382, batch_size=1, proj_kernel=3, img_kernel=9, proj_sx=1.9649, proj_sy=1.87, proj_sr=0.01294, img_sx=1.5994, img_sr=0.013908
12		0.306964	0.608855	keep	architecture	dual-domain-bf-search	random-search	dual-domain-bf-search: epochs=24, lr=0.0016591, batch_size=2, proj_kernel=3, img_kernel=7, proj_sx=0.72174, proj_sy=2.9026, proj_sr=0.048489, img_sx=1.6565, img_sr=0.030763
13		0.306964	0.608855	keep	architecture	dual-domain-bf-search	random-search	dual-domain-bf-search: epochs=23, lr=0.008757, batch_size=2, proj_kernel=3, img_kernel=9, proj_sx=1.7843, proj_sy=2.9736, proj_sr=0.018411, img_sx=1.1118, img_sr=0.038688
14		0.306964	0.608855	keep	architecture	dual-domain-bf-search	random-search	dual-domain-bf-search: epochs=18, lr=0.0047913, batch_size=2, proj_kernel=7, img_kernel=7, proj_sx=0.57558, proj_sy=1.216, proj_sr=0.030419, img_sx=1.5452, img_sr=0.036066
15		0.306964	0.608855	keep	architecture	dual-domain-bf-search	random-search	dual-domain-bf-search: epochs=11, lr=0.0021783, batch_size=2, proj_kernel=7, img_kernel=7, proj_sx=1.6994, proj_sy=1.8433, proj_sr=0.040731, img_sx=1.31, img_sr=0.017451
16		0.306964	0.608855	keep	architecture	dual-domain-bf-search	random-search	dual-domain-bf-search: epochs=20, lr=0.0012918, batch_size=1, proj_kernel=3, img_kernel=5, proj_sx=1.4464, proj_sy=1.662, proj_sr=0.017381, img_sx=2.204, img_sr=0.017506
17		0.306964	0.608855	keep	architecture	dual-domain-bf-search	random-search	dual-domain-bf-search: epochs=21, lr=0.0030613, batch_size=4, proj_kernel=5, img_kernel=5, proj_sx=1.6529, proj_sy=2.3846, proj_sr=0.019189, img_sx=1.1532, img_sr=0.027119
18		0.306964	0.608855	keep	architecture	dual-domain-bf-search	random-search	dual-domain-bf-search: epochs=19, lr=0.0070083, batch_size=2, proj_kernel=7, img_kernel=7, proj_sx=1.7602, proj_sy=2.3439, proj_sr=0.040349, img_sx=1.0133, img_sr=0.012968
19		0.306964	0.608855	keep	architecture	dual-domain-bf-search	random-search	dual-domain-bf-search: epochs=18, lr=0.0010912, batch_size=1, proj_kernel=3, img_kernel=9, proj_sx=1.3696, proj_sy=1.1003, proj_sr=0.023663, img_sx=2.6824, img_sr=0.016826
20		0.306964	0.608855	keep	architecture	dual-domain-bf-search	random-search	dual-domain-bf-search: epochs=30, lr=0.005622, batch_size=4, proj_kernel=3, img_kernel=9, proj_sx=0.77643, proj_sy=1.7655, proj_sr=0.022965, img_sx=1.4544, img_sr=0.013603
