iter	commit	val_score	headroom	status	change_class	agent	model	rationale
1		0.303241	0.586692	keep	architecture	dual-domain-search	random-search	dual-domain-search: epochs=6, lr=0.0024626, batch_size=2, unet_c=16
2		0.299222	0.590489	keep	architecture	dual-domain-search	random-search	dual-domain-search: epochs=6, lr=0.00058971, batch_size=2, unet_c=8
3		0.303645	0.603318	keep	architecture	dual-domain-search	random-search	dual-domain-search: epochs=3, lr=0.00058674, batch_size=2, unet_c=16
4		0.296616	0.591198	keep	architecture	dual-domain-search	random-search	dual-domain-search: epochs=4, lr=0.0013494, batch_size=2, unet_c=16
5		0.311031	0.590915	keep	architecture	dual-domain-search	random-search	dual-domain-search: epochs=7, lr=0.00042964, batch_size=1, unet_c=16
6		0.278442	0.564272	keep	architecture	dual-domain-search	random-search	dual-domain-search: epochs=3, lr=0.0027839, batch_size=2, unet_c=16
7		0.309196	0.596632	keep	architecture	dual-domain-search	random-search	dual-domain-search: epochs=5, lr=0.00072464, batch_size=2, unet_c=24
8		0.304894	0.586578	keep	architecture	dual-domain-search	random-search	dual-domain-search: epochs=8, lr=0.0049424, batch_size=1, unet_c=24
9		0.30205	0.594906	keep	architecture	dual-domain-search	random-search	dual-domain-search: epochs=6, lr=0.00017071, batch_size=2, unet_c=24
10		0.3105	0.585648	keep	architecture	dual-domain-search	random-search	dual-domain-search: epochs=5, lr=0.0026204, batch_size=1, unet_c=24
11		0.295152	0.583621	keep	architecture	dual-domain-search	random-search	dual-domain-search: epochs=5, lr=0.00042327, batch_size=2, unet_c=16
12		0.294521	0.606764	keep	architecture	dual-domain-search	random-search	dual-domain-search: epochs=3, lr=0.00076565, batch_size=2, unet_c=16
13		0.277737	0.593877	keep	architecture	dual-domain-search	random-search	dual-domain-search: epochs=3, lr=0.00011864, batch_size=2, unet_c=16
14		0.296179	0.583317	keep	architecture	dual-domain-search	random-search	dual-domain-search: epochs=5, lr=0.00047068, batch_size=2, unet_c=16
15		0.296268	0.587153	keep	architecture	dual-domain-search	random-search	dual-domain-search: epochs=4, lr=0.00055898, batch_size=4, unet_c=16
16		0.304554	0.597982	keep	architecture	dual-domain-search	random-search	dual-domain-search: epochs=6, lr=0.00029176, batch_size=1, unet_c=16
17		0.294062	0.58926	keep	architecture	dual-domain-search	random-search	dual-domain-search: epochs=6, lr=0.00016953, batch_size=2, unet_c=8
18		0.302739	0.591051	keep	architecture	dual-domain-search	random-search	dual-domain-search: epochs=7, lr=0.00020113, batch_size=2, unet_c=24
19		0.292542	0.594038	keep	architecture	dual-domain-search	random-search	dual-domain-search: epochs=5, lr=0.001088, batch_size=4, unet_c=24
20		0.310293	0.584352	keep	architecture	dual-domain-search	random-search	dual-domain-search: epochs=8, lr=0.0013465, batch_size=2, unet_c=16
