iter	commit	val_score	headroom	status	change_class	agent	model	rationale
1		0.614625	0.793568	keep	architecture	itnet-v3-search	random-search	itnet-v3-search: epochs=11, lr=0.0011628, batch_size=20, unet_c=12, itnet_k=3, alpha_init=0.0028418
2		0.486397	0.758507	keep	architecture	itnet-v3-search	random-search	itnet-v3-search: epochs=12, lr=0.00015739, batch_size=20, unet_c=12, itnet_k=3, alpha_init=0.0024975
3		0.726088	0.808739	keep	architecture	itnet-v3-search	random-search	itnet-v3-search: epochs=15, lr=0.0011601, batch_size=20, unet_c=12, itnet_k=4, alpha_init=0.0023585
4		0.476312	0.722341	keep	architecture	itnet-v3-search	random-search	itnet-v3-search: epochs=6, lr=0.00021463, batch_size=20, unet_c=12, itnet_k=3, alpha_init=0.0032082
5		0.368087	0.717326	keep	architecture	itnet-v3-search	random-search	itnet-v3-search: epochs=10, lr=0.0007821, batch_size=20, unet_c=8, itnet_k=4, alpha_init=0.0030069
6		0.25986	0.641992	keep	architecture	itnet-v3-search	random-search	itnet-v3-search: epochs=11, lr=0.00036828, batch_size=20, unet_c=8, itnet_k=2, alpha_init=0.0032381
7		0.37575	0.719702	keep	architecture	itnet-v3-search	random-search	itnet-v3-search: epochs=10, lr=0.0007601, batch_size=20, unet_c=8, itnet_k=4, alpha_init=0.0029261
8		0.518336	0.776582	keep	architecture	itnet-v3-search	random-search	itnet-v3-search: epochs=11, lr=0.00013982, batch_size=10, unet_c=12, itnet_k=3, alpha_init=0.0021959
9		0.568569	0.818715	keep	architecture	itnet-v3-search	random-search	itnet-v3-search: epochs=10, lr=0.00042114, batch_size=10, unet_c=12, itnet_k=3, alpha_init=0.0090979
10		0.169915	0.516712	keep	architecture	itnet-v3-search	random-search	itnet-v3-search: epochs=10, lr=0.00042895, batch_size=40, unet_c=8, itnet_k=3, alpha_init=0.0030061
11		0.474412	0.762787	keep	architecture	itnet-v3-search	random-search	itnet-v3-search: epochs=5, lr=0.0016835, batch_size=10, unet_c=16, itnet_k=2, alpha_init=0.0018416
13		0.495794	0.781025	keep	architecture	itnet-v3-search	random-search	itnet-v3-search: epochs=9, lr=0.00041705, batch_size=20, unet_c=16, itnet_k=3, alpha_init=0.0045024
14		0.50516	0.769744	keep	architecture	itnet-v3-search	random-search	itnet-v3-search: epochs=15, lr=0.00055683, batch_size=40, unet_c=16, itnet_k=2, alpha_init=0.0026112
15		0.486967	0.769781	keep	architecture	itnet-v3-search	random-search	itnet-v3-search: epochs=14, lr=0.0018847, batch_size=20, unet_c=16, itnet_k=2, alpha_init=0.008638
16		0.125395	0.385957	keep	architecture	itnet-v3-search	random-search	itnet-v3-search: epochs=7, lr=0.00049009, batch_size=40, unet_c=8, itnet_k=2, alpha_init=0.0012839
17		0.616108	0.776857	keep	architecture	itnet-v3-search	random-search	itnet-v3-search: epochs=9, lr=0.00045617, batch_size=20, unet_c=16, itnet_k=4, alpha_init=0.0042285
19		0.416276	0.694454	keep	architecture	itnet-v3-search	random-search	itnet-v3-search: epochs=8, lr=0.00038852, batch_size=40, unet_c=12, itnet_k=2, alpha_init=0.0059983
20		0.571651	0.783268	keep	architecture	itnet-v3-search	random-search	itnet-v3-search: epochs=8, lr=0.0017266, batch_size=10, unet_c=12, itnet_k=2, alpha_init=0.0011549
