iter	commit	val_score	headroom	status	change_class	agent	model	rationale
1		0.62701	0.564981	keep	architecture	diff-recon-dcstep-constrained-search-tpe	random-search	diff-recon-dcstep-constrained-search-tpe: recon_ckpt=/cluster/maier/Agent4CT/checkpoints/ddpm_constrained_final.pt, recon_mode=dps, recon_sample_steps=500, recon_eta=30, recon_init=fbp, recon_eta_clamp=False, recon_dcstep_every=3, recon_dcstep_n_cg=20, recon_dcstep_warmup=25, recon_dcstep_relax=1
2		0.680697	0.571359	keep	architecture	diff-recon-dcstep-constrained-search-tpe	random-search	diff-recon-dcstep-constrained-search-tpe: recon_ckpt=/cluster/maier/Agent4CT/checkpoints/ddpm_constrained_final.pt, recon_mode=dps, recon_sample_steps=800, recon_eta=4.2755, recon_init=noise, recon_eta_clamp=True, recon_dcstep_every=3, recon_dcstep_n_cg=20, recon_dcstep_warmup=10, recon_dcstep_relax=0.95
3		0.604886	0.570153	keep	architecture	diff-recon-dcstep-constrained-search-tpe	random-search	diff-recon-dcstep-constrained-search-tpe: recon_ckpt=/cluster/maier/Agent4CT/checkpoints/ddpm_constrained_final.pt, recon_mode=dps, recon_sample_steps=500, recon_eta=10.7, recon_init=noise, recon_eta_clamp=False, recon_dcstep_every=4, recon_dcstep_n_cg=25, recon_dcstep_warmup=40, recon_dcstep_relax=0.95
4		0.687137	0.570826	keep	architecture	diff-recon-dcstep-constrained-search-tpe	random-search	diff-recon-dcstep-constrained-search-tpe: recon_ckpt=/cluster/maier/Agent4CT/checkpoints/ddpm_constrained_final.pt, recon_mode=dps, recon_sample_steps=200, recon_eta=8.6163, recon_init=fbp, recon_eta_clamp=True, recon_dcstep_every=3, recon_dcstep_n_cg=20, recon_dcstep_warmup=25, recon_dcstep_relax=0.85
5		0.683318	0.554012	keep	architecture	diff-recon-dcstep-constrained-search-tpe	random-search	diff-recon-dcstep-constrained-search-tpe: recon_ckpt=/cluster/maier/Agent4CT/checkpoints/ddpm_constrained_final.pt, recon_mode=dps, recon_sample_steps=800, recon_eta=24.952, recon_init=noise, recon_eta_clamp=False, recon_dcstep_every=5, recon_dcstep_n_cg=25, recon_dcstep_warmup=40, recon_dcstep_relax=0.85
6		0.723829	0.564559	keep	architecture	diff-recon-dcstep-constrained-search-tpe	random-search	diff-recon-dcstep-constrained-search-tpe: recon_ckpt=/cluster/maier/Agent4CT/checkpoints/ddpm_constrained_final.pt, recon_mode=dps, recon_sample_steps=800, recon_eta=3.466, recon_init=noise, recon_eta_clamp=True, recon_dcstep_every=3, recon_dcstep_n_cg=15, recon_dcstep_warmup=10, recon_dcstep_relax=0.95
7		0.742847	0.550733	keep	architecture	diff-recon-dcstep-constrained-search-tpe	random-search	diff-recon-dcstep-constrained-search-tpe: recon_ckpt=/cluster/maier/Agent4CT/checkpoints/ddpm_constrained_final.pt, recon_mode=dps, recon_sample_steps=800, recon_eta=3.5516, recon_init=noise, recon_eta_clamp=True, recon_dcstep_every=4, recon_dcstep_n_cg=10, recon_dcstep_warmup=10, recon_dcstep_relax=0.95
8		0.689409	0.568043	keep	architecture	diff-recon-dcstep-constrained-search-tpe	random-search	diff-recon-dcstep-constrained-search-tpe: recon_ckpt=/cluster/maier/Agent4CT/checkpoints/ddpm_constrained_final.pt, recon_mode=dps, recon_sample_steps=200, recon_eta=6.4292, recon_init=noise, recon_eta_clamp=True, recon_dcstep_every=5, recon_dcstep_n_cg=20, recon_dcstep_warmup=10, recon_dcstep_relax=1
9		0.628068	0.537869	keep	architecture	diff-recon-dcstep-constrained-search-tpe	random-search	diff-recon-dcstep-constrained-search-tpe: recon_ckpt=/cluster/maier/Agent4CT/checkpoints/ddpm_constrained_final.pt, recon_mode=dps, recon_sample_steps=800, recon_eta=54.142, recon_init=fbp, recon_eta_clamp=True, recon_dcstep_every=3, recon_dcstep_n_cg=10, recon_dcstep_warmup=10, recon_dcstep_relax=0.95
10		0.716055	0.564862	keep	architecture	diff-recon-dcstep-constrained-search-tpe	random-search	diff-recon-dcstep-constrained-search-tpe: recon_ckpt=/cluster/maier/Agent4CT/checkpoints/ddpm_constrained_final.pt, recon_mode=dps, recon_sample_steps=800, recon_eta=5.1862, recon_init=noise, recon_eta_clamp=True, recon_dcstep_every=3, recon_dcstep_n_cg=15, recon_dcstep_warmup=10, recon_dcstep_relax=0.95
11		0.692536	0.563899	keep	architecture	diff-recon-dcstep-constrained-search-tpe	random-search	diff-recon-dcstep-constrained-search-tpe: recon_ckpt=/cluster/maier/Agent4CT/checkpoints/ddpm_constrained_final.pt, recon_mode=dps, recon_sample_steps=200, recon_eta=18.368, recon_init=fbp, recon_eta_clamp=False, recon_dcstep_every=4, recon_dcstep_n_cg=20, recon_dcstep_warmup=25, recon_dcstep_relax=0.85
12		0.684526	0.570913	keep	architecture	diff-recon-dcstep-constrained-search-tpe	random-search	diff-recon-dcstep-constrained-search-tpe: recon_ckpt=/cluster/maier/Agent4CT/checkpoints/ddpm_constrained_final.pt, recon_mode=dps, recon_sample_steps=200, recon_eta=9.3641, recon_init=fbp, recon_eta_clamp=True, recon_dcstep_every=3, recon_dcstep_n_cg=20, recon_dcstep_warmup=25, recon_dcstep_relax=0.85
13		0.699597	0.570721	keep	architecture	diff-recon-dcstep-constrained-search-tpe	random-search	diff-recon-dcstep-constrained-search-tpe: recon_ckpt=/cluster/maier/Agent4CT/checkpoints/ddpm_constrained_final.pt, recon_mode=dps, recon_sample_steps=200, recon_eta=5.6639, recon_init=fbp, recon_eta_clamp=True, recon_dcstep_every=3, recon_dcstep_n_cg=20, recon_dcstep_warmup=25, recon_dcstep_relax=0.85
14		0.678837	0.571487	keep	architecture	diff-recon-dcstep-constrained-search-tpe	random-search	diff-recon-dcstep-constrained-search-tpe: recon_ckpt=/cluster/maier/Agent4CT/checkpoints/ddpm_constrained_final.pt, recon_mode=dps, recon_sample_steps=200, recon_eta=12.242, recon_init=fbp, recon_eta_clamp=True, recon_dcstep_every=3, recon_dcstep_n_cg=20, recon_dcstep_warmup=25, recon_dcstep_relax=0.85
15		0.655069	0.571359	keep	architecture	diff-recon-dcstep-constrained-search-tpe	random-search	diff-recon-dcstep-constrained-search-tpe: recon_ckpt=/cluster/maier/Agent4CT/checkpoints/ddpm_constrained_final.pt, recon_mode=dps, recon_sample_steps=500, recon_eta=13.754, recon_init=noise, recon_eta_clamp=True, recon_dcstep_every=3, recon_dcstep_n_cg=20, recon_dcstep_warmup=40, recon_dcstep_relax=1
16		0.744062	0.540815	keep	architecture	diff-recon-dcstep-constrained-search-tpe	random-search	diff-recon-dcstep-constrained-search-tpe: recon_ckpt=/cluster/maier/Agent4CT/checkpoints/ddpm_constrained_final.pt, recon_mode=dps, recon_sample_steps=800, recon_eta=43.561, recon_init=fbp, recon_eta_clamp=True, recon_dcstep_every=5, recon_dcstep_n_cg=20, recon_dcstep_warmup=10, recon_dcstep_relax=0.95
