iter	commit	val_score	headroom	status	change_class	agent	model	rationale
1		0.651015	0.571302	keep	architecture	diff-recon-dcstep-unconstrained-search-tpe	random-search	diff-recon-dcstep-unconstrained-search-tpe: recon_ckpt=/cluster/maier/Agent4CT/checkpoints/ddpm_unconstrained_final.pt, recon_mode=dps, recon_sample_steps=500, recon_eta=30, recon_init=fbp, recon_eta_clamp=False, recon_dcstep_every=3, recon_dcstep_n_cg=20, recon_dcstep_warmup=25, recon_dcstep_relax=1
2		0.696198	0.578044	keep	architecture	diff-recon-dcstep-unconstrained-search-tpe	random-search	diff-recon-dcstep-unconstrained-search-tpe: recon_ckpt=/cluster/maier/Agent4CT/checkpoints/ddpm_unconstrained_final.pt, recon_mode=dps, recon_sample_steps=800, recon_eta=4.2755, recon_init=noise, recon_eta_clamp=True, recon_dcstep_every=3, recon_dcstep_n_cg=20, recon_dcstep_warmup=10, recon_dcstep_relax=0.95
3		0.619133	0.574678	keep	architecture	diff-recon-dcstep-unconstrained-search-tpe	random-search	diff-recon-dcstep-unconstrained-search-tpe: recon_ckpt=/cluster/maier/Agent4CT/checkpoints/ddpm_unconstrained_final.pt, recon_mode=dps, recon_sample_steps=500, recon_eta=10.7, recon_init=noise, recon_eta_clamp=False, recon_dcstep_every=4, recon_dcstep_n_cg=25, recon_dcstep_warmup=40, recon_dcstep_relax=0.95
4		0.699567	0.580324	keep	architecture	diff-recon-dcstep-unconstrained-search-tpe	random-search	diff-recon-dcstep-unconstrained-search-tpe: recon_ckpt=/cluster/maier/Agent4CT/checkpoints/ddpm_unconstrained_final.pt, recon_mode=dps, recon_sample_steps=200, recon_eta=8.6163, recon_init=fbp, recon_eta_clamp=True, recon_dcstep_every=3, recon_dcstep_n_cg=20, recon_dcstep_warmup=25, recon_dcstep_relax=0.85
5		0.705372	0.556112	keep	architecture	diff-recon-dcstep-unconstrained-search-tpe	random-search	diff-recon-dcstep-unconstrained-search-tpe: recon_ckpt=/cluster/maier/Agent4CT/checkpoints/ddpm_unconstrained_final.pt, recon_mode=dps, recon_sample_steps=800, recon_eta=24.952, recon_init=noise, recon_eta_clamp=False, recon_dcstep_every=5, recon_dcstep_n_cg=25, recon_dcstep_warmup=40, recon_dcstep_relax=0.85
6		0.739603	0.571975	keep	architecture	diff-recon-dcstep-unconstrained-search-tpe	random-search	diff-recon-dcstep-unconstrained-search-tpe: recon_ckpt=/cluster/maier/Agent4CT/checkpoints/ddpm_unconstrained_final.pt, recon_mode=dps, recon_sample_steps=200, recon_eta=6.982, recon_init=fbp, recon_eta_clamp=True, recon_dcstep_every=3, recon_dcstep_n_cg=15, recon_dcstep_warmup=25, recon_dcstep_relax=0.85
7		0.860647	0.507749	keep	architecture	diff-recon-dcstep-unconstrained-search-tpe	random-search	diff-recon-dcstep-unconstrained-search-tpe: recon_ckpt=/cluster/maier/Agent4CT/checkpoints/ddpm_unconstrained_final.pt, recon_mode=dps, recon_sample_steps=200, recon_eta=59.819, recon_init=fbp, recon_eta_clamp=True, recon_dcstep_every=4, recon_dcstep_n_cg=10, recon_dcstep_warmup=25, recon_dcstep_relax=0.85
8		0.673122	0.578291	keep	architecture	diff-recon-dcstep-unconstrained-search-tpe	random-search	diff-recon-dcstep-unconstrained-search-tpe: recon_ckpt=/cluster/maier/Agent4CT/checkpoints/ddpm_unconstrained_final.pt, recon_mode=dps, recon_sample_steps=200, recon_eta=3.2268, recon_init=fbp, recon_eta_clamp=True, recon_dcstep_every=5, recon_dcstep_n_cg=20, recon_dcstep_warmup=10, recon_dcstep_relax=1
9		0.754532	0.561531	keep	architecture	diff-recon-dcstep-unconstrained-search-tpe	random-search	diff-recon-dcstep-unconstrained-search-tpe: recon_ckpt=/cluster/maier/Agent4CT/checkpoints/ddpm_unconstrained_final.pt, recon_mode=dps, recon_sample_steps=200, recon_eta=13.75, recon_init=fbp, recon_eta_clamp=True, recon_dcstep_every=3, recon_dcstep_n_cg=10, recon_dcstep_warmup=25, recon_dcstep_relax=0.85
10		0.741722	0.571874	keep	architecture	diff-recon-dcstep-unconstrained-search-tpe	random-search	diff-recon-dcstep-unconstrained-search-tpe: recon_ckpt=/cluster/maier/Agent4CT/checkpoints/ddpm_unconstrained_final.pt, recon_mode=dps, recon_sample_steps=200, recon_eta=6.7109, recon_init=fbp, recon_eta_clamp=True, recon_dcstep_every=3, recon_dcstep_n_cg=15, recon_dcstep_warmup=25, recon_dcstep_relax=0.85
11		0.599096	0.573239	keep	architecture	diff-recon-dcstep-unconstrained-search-tpe	random-search	diff-recon-dcstep-unconstrained-search-tpe: recon_ckpt=/cluster/maier/Agent4CT/checkpoints/ddpm_unconstrained_final.pt, recon_mode=dps, recon_sample_steps=500, recon_eta=16.413, recon_init=noise, recon_eta_clamp=False, recon_dcstep_every=4, recon_dcstep_n_cg=20, recon_dcstep_warmup=10, recon_dcstep_relax=0.95
12		0.674836	0.578332	keep	architecture	diff-recon-dcstep-unconstrained-search-tpe	random-search	diff-recon-dcstep-unconstrained-search-tpe: recon_ckpt=/cluster/maier/Agent4CT/checkpoints/ddpm_unconstrained_final.pt, recon_mode=dps, recon_sample_steps=200, recon_eta=3.0823, recon_init=fbp, recon_eta_clamp=True, recon_dcstep_every=5, recon_dcstep_n_cg=20, recon_dcstep_warmup=10, recon_dcstep_relax=1
13		0.661596	0.577511	keep	architecture	diff-recon-dcstep-unconstrained-search-tpe	random-search	diff-recon-dcstep-unconstrained-search-tpe: recon_ckpt=/cluster/maier/Agent4CT/checkpoints/ddpm_unconstrained_final.pt, recon_mode=dps, recon_sample_steps=200, recon_eta=5.4983, recon_init=fbp, recon_eta_clamp=True, recon_dcstep_every=5, recon_dcstep_n_cg=20, recon_dcstep_warmup=10, recon_dcstep_relax=1
14		0.669137	0.578082	keep	architecture	diff-recon-dcstep-unconstrained-search-tpe	random-search	diff-recon-dcstep-unconstrained-search-tpe: recon_ckpt=/cluster/maier/Agent4CT/checkpoints/ddpm_unconstrained_final.pt, recon_mode=dps, recon_sample_steps=200, recon_eta=3.7715, recon_init=fbp, recon_eta_clamp=True, recon_dcstep_every=5, recon_dcstep_n_cg=20, recon_dcstep_warmup=10, recon_dcstep_relax=1
15		0.673814	0.575666	keep	architecture	diff-recon-dcstep-unconstrained-search-tpe	random-search	diff-recon-dcstep-unconstrained-search-tpe: recon_ckpt=/cluster/maier/Agent4CT/checkpoints/ddpm_unconstrained_final.pt, recon_mode=dps, recon_sample_steps=200, recon_eta=9.0793, recon_init=fbp, recon_eta_clamp=True, recon_dcstep_every=5, recon_dcstep_n_cg=20, recon_dcstep_warmup=40, recon_dcstep_relax=1
