iter	commit	val_score	headroom	status	change_class	agent	model	rationale
1		0.316394	0.601915	keep	architecture	dual-domain-search-tpe	random-search	dual-domain-search-tpe: epochs=6, lr=0.0004177, batch_size=1, unet_c=24
2		0.31279	0.600266	keep	architecture	dual-domain-search-tpe	random-search	dual-domain-search-tpe: epochs=8, lr=0.00011201, batch_size=1, unet_c=24
3		0.296491	0.590427	keep	architecture	dual-domain-search-tpe	random-search	dual-domain-search-tpe: epochs=6, lr=0.00024478, batch_size=2, unet_c=16
4		0.304454	0.598628	keep	architecture	dual-domain-search-tpe	random-search	dual-domain-search-tpe: epochs=5, lr=0.00078554, batch_size=2, unet_c=16
5		0.303975	0.586867	keep	architecture	dual-domain-search-tpe	random-search	dual-domain-search-tpe: epochs=6, lr=0.00096445, batch_size=2, unet_c=16
6		0.288401	0.586595	keep	architecture	dual-domain-search-tpe	random-search	dual-domain-search-tpe: epochs=4, lr=0.0035678, batch_size=1, unet_c=24
7		0.296732	0.590639	keep	architecture	dual-domain-search-tpe	random-search	dual-domain-search-tpe: epochs=8, lr=0.00028814, batch_size=4, unet_c=8
8		0.310484	0.587649	keep	architecture	dual-domain-search-tpe	random-search	dual-domain-search-tpe: epochs=3, lr=0.0022511, batch_size=1, unet_c=24
9		0.293529	0.586909	keep	architecture	dual-domain-search-tpe	random-search	dual-domain-search-tpe: epochs=7, lr=0.00043275, batch_size=4, unet_c=8
10		0.291624	0.592099	keep	architecture	dual-domain-search-tpe	random-search	dual-domain-search-tpe: epochs=5, lr=0.00011049, batch_size=1, unet_c=24
11		0.273244	0.573073	keep	architecture	dual-domain-search-tpe	random-search	dual-domain-search-tpe: epochs=7, lr=0.0015183, batch_size=1, unet_c=24
12		0.311011	0.601176	keep	architecture	dual-domain-search-tpe	random-search	dual-domain-search-tpe: epochs=8, lr=0.00010534, batch_size=1, unet_c=24
13		0.311682	0.589284	keep	architecture	dual-domain-search-tpe	random-search	dual-domain-search-tpe: epochs=7, lr=0.0001831, batch_size=1, unet_c=24
14		0.30434	0.580968	keep	architecture	dual-domain-search-tpe	random-search	dual-domain-search-tpe: epochs=8, lr=0.00047483, batch_size=1, unet_c=24
15		0.292023	0.58589	keep	architecture	dual-domain-search-tpe	random-search	dual-domain-search-tpe: epochs=4, lr=0.00018087, batch_size=4, unet_c=24
16		0.305321	0.597689	keep	architecture	dual-domain-search-tpe	random-search	dual-domain-search-tpe: epochs=6, lr=0.00045327, batch_size=1, unet_c=8
17		0.290413	0.589631	keep	architecture	dual-domain-search-tpe	random-search	dual-domain-search-tpe: epochs=7, lr=0.0011035, batch_size=1, unet_c=24
18		0.296453	0.583582	keep	architecture	dual-domain-search-tpe	random-search	dual-domain-search-tpe: epochs=5, lr=0.00031802, batch_size=1, unet_c=24
19		0.280798	0.593546	keep	architecture	dual-domain-search-tpe	random-search	dual-domain-search-tpe: epochs=3, lr=0.00015994, batch_size=2, unet_c=16
20		0.297563	0.595464	keep	architecture	dual-domain-search-tpe	random-search	dual-domain-search-tpe: epochs=8, lr=0.00060106, batch_size=4, unet_c=8
