iter	commit	val_score	headroom	status	change_class	agent	model	rationale
1		0.261921	0.503762	keep	architecture	hammernik-vn-search-tpe	random-search	hammernik-vn-search-tpe: epochs=15, lr=9.6236e-05, batch_size=2, vn_T=3, vn_n_filters=32, vn_kernel=7, vn_lambda_init=0.00032714, vn_init=fbp
2		0.293696	0.529092	keep	architecture	hammernik-vn-search-tpe	random-search	hammernik-vn-search-tpe: epochs=12, lr=9.6469e-05, batch_size=2, vn_T=5, vn_n_filters=16, vn_kernel=11, vn_lambda_init=0.00016571, vn_init=fbp
3		0.293235	0.558102	keep	architecture	hammernik-vn-search-tpe	random-search	hammernik-vn-search-tpe: epochs=13, lr=0.00012852, batch_size=2, vn_T=5, vn_n_filters=24, vn_kernel=9, vn_lambda_init=0.0069358, vn_init=fbp
4		0.351865	0.492027	keep	architecture	hammernik-vn-search-tpe	random-search	hammernik-vn-search-tpe: epochs=12, lr=6.823e-05, batch_size=2, vn_T=7, vn_n_filters=24, vn_kernel=11, vn_lambda_init=0.00036335, vn_init=fbp
5		0.270896	0.493612	keep	architecture	hammernik-vn-search-tpe	random-search	hammernik-vn-search-tpe: epochs=10, lr=6.3143e-05, batch_size=2, vn_T=3, vn_n_filters=32, vn_kernel=11, vn_lambda_init=0.0003499, vn_init=fbp
6		0.500999	0.593468	keep	architecture	hammernik-vn-search-tpe	random-search	hammernik-vn-search-tpe: epochs=18, lr=0.00025703, batch_size=2, vn_T=5, vn_n_filters=24, vn_kernel=9, vn_lambda_init=0.0093606, vn_init=fbp
7		0.499056	0.594641	keep	architecture	hammernik-vn-search-tpe	random-search	hammernik-vn-search-tpe: epochs=18, lr=0.00027615, batch_size=2, vn_T=5, vn_n_filters=24, vn_kernel=9, vn_lambda_init=0.0089292, vn_init=fbp
8		0.268058	0.495268	keep	architecture	hammernik-vn-search-tpe	random-search	hammernik-vn-search-tpe: epochs=18, lr=0.00029261, batch_size=2, vn_T=7, vn_n_filters=16, vn_kernel=9, vn_lambda_init=0.0022902, vn_init=fbp
9		0.319265	0.584453	keep	architecture	hammernik-vn-search-tpe	random-search	hammernik-vn-search-tpe: epochs=16, lr=0.00018864, batch_size=2, vn_T=5, vn_n_filters=24, vn_kernel=7, vn_lambda_init=0.0020754, vn_init=fbp
10		0.342052	0.578472	keep	architecture	hammernik-vn-search-tpe	random-search	hammernik-vn-search-tpe: epochs=16, lr=0.00017231, batch_size=2, vn_T=5, vn_n_filters=24, vn_kernel=9, vn_lambda_init=0.0027131, vn_init=fbp
11		0.431595	0.587392	keep	architecture	hammernik-vn-search-tpe	random-search	hammernik-vn-search-tpe: epochs=17, lr=0.00020521, batch_size=2, vn_T=3, vn_n_filters=16, vn_kernel=9, vn_lambda_init=0.0010872, vn_init=fbp
12		0.494871	0.596065	keep	architecture	hammernik-vn-search-tpe	random-search	hammernik-vn-search-tpe: epochs=18, lr=0.00029956, batch_size=2, vn_T=5, vn_n_filters=24, vn_kernel=9, vn_lambda_init=0.0092032, vn_init=fbp
13		0.478608	0.595237	keep	architecture	hammernik-vn-search-tpe	random-search	hammernik-vn-search-tpe: epochs=18, lr=0.00029914, batch_size=2, vn_T=5, vn_n_filters=24, vn_kernel=9, vn_lambda_init=0.0053946, vn_init=fbp
14		0.278412	0.469564	keep	architecture	hammernik-vn-search-tpe	random-search	hammernik-vn-search-tpe: epochs=15, lr=0.00014768, batch_size=2, vn_T=5, vn_n_filters=24, vn_kernel=9, vn_lambda_init=0.0042843, vn_init=fbp
15		0.45774	0.586246	keep	architecture	hammernik-vn-search-tpe	random-search	hammernik-vn-search-tpe: epochs=17, lr=0.00022661, batch_size=2, vn_T=5, vn_n_filters=32, vn_kernel=9, vn_lambda_init=0.0039108, vn_init=fbp
16		0.238859	0.422272	keep	architecture	hammernik-vn-search-tpe	random-search	hammernik-vn-search-tpe: epochs=14, lr=0.00023016, batch_size=2, vn_T=7, vn_n_filters=24, vn_kernel=7, vn_lambda_init=0.0008394, vn_init=fbp
17		0.290297	0.48415	keep	architecture	hammernik-vn-search-tpe	random-search	hammernik-vn-search-tpe: epochs=17, lr=0.00029358, batch_size=2, vn_T=5, vn_n_filters=24, vn_kernel=9, vn_lambda_init=0.0050303, vn_init=fbp
18		0.280592	0.471334	keep	architecture	hammernik-vn-search-tpe	random-search	hammernik-vn-search-tpe: epochs=16, lr=0.00016629, batch_size=2, vn_T=5, vn_n_filters=24, vn_kernel=9, vn_lambda_init=0.001038, vn_init=fbp
19		0.401569	0.526511	keep	architecture	hammernik-vn-search-tpe	random-search	hammernik-vn-search-tpe: epochs=10, lr=0.00010956, batch_size=2, vn_T=7, vn_n_filters=32, vn_kernel=11, vn_lambda_init=0.0052249, vn_init=fbp
20		0.41369	0.557873	keep	architecture	hammernik-vn-search-tpe	random-search	hammernik-vn-search-tpe: epochs=18, lr=5.2467e-05, batch_size=2, vn_T=3, vn_n_filters=16, vn_kernel=7, vn_lambda_init=0.0015875, vn_init=fbp
