iter	commit	val_score	headroom	status	change_class	agent	model	rationale
1		0.566848	0.34718	keep	architecture	naf-search-tpe	random-search	naf-search-tpe: naf_n_freqs=10, naf_hidden=256, naf_layers=4, naf_n_iter=2143, naf_lr=0.0012229, naf_tv_weight=1.26e-05, naf_outer_wall_s=2400
2		0.774608	0.50927	keep	architecture	naf-search-tpe	random-search	naf-search-tpe: naf_n_freqs=8, naf_hidden=128, naf_layers=4, naf_n_iter=2817, naf_lr=0.0085079, naf_tv_weight=0.00072454, naf_outer_wall_s=2400
3		0.813342	0.529786	keep	architecture	naf-search-tpe	random-search	naf-search-tpe: naf_n_freqs=6, naf_hidden=256, naf_layers=6, naf_n_iter=2014, naf_lr=0.0042423, naf_tv_weight=3.9864e-06, naf_outer_wall_s=2400
4		0.628139	0.502295	keep	architecture	naf-search-tpe	random-search	naf-search-tpe: naf_n_freqs=6, naf_hidden=128, naf_layers=4, naf_n_iter=3065, naf_lr=0.00091275, naf_tv_weight=9.1519e-05, naf_outer_wall_s=2400
5		0.712869	0.435131	keep	architecture	naf-search-tpe	random-search	naf-search-tpe: naf_n_freqs=10, naf_hidden=128, naf_layers=5, naf_n_iter=1578, naf_lr=0.0061558, naf_tv_weight=0.00010021, naf_outer_wall_s=2400
6		0.812791	0.530077	keep	architecture	naf-search-tpe	random-search	naf-search-tpe: naf_n_freqs=6, naf_hidden=256, naf_layers=6, naf_n_iter=3863, naf_lr=0.0032032, naf_tv_weight=1.641e-06, naf_outer_wall_s=2400
7		0.720422	0.387548	keep	architecture	naf-search-tpe	random-search	naf-search-tpe: naf_n_freqs=12, naf_hidden=192, naf_layers=6, naf_n_iter=3998, naf_lr=0.0028357, naf_tv_weight=1.7648e-06, naf_outer_wall_s=2400
8		0.754919	0.414567	keep	architecture	naf-search-tpe	random-search	naf-search-tpe: naf_n_freqs=14, naf_hidden=256, naf_layers=6, naf_n_iter=3972, naf_lr=0.0021725, naf_tv_weight=1.0902e-06, naf_outer_wall_s=2400
9		0.809228	0.533597	keep	architecture	naf-search-tpe	random-search	naf-search-tpe: naf_n_freqs=6, naf_hidden=192, naf_layers=5, naf_n_iter=3424, naf_lr=0.0020211, naf_tv_weight=1.1078e-05, naf_outer_wall_s=2400
10		0.567482	0.320564	keep	architecture	naf-search-tpe	random-search	naf-search-tpe: naf_n_freqs=12, naf_hidden=192, naf_layers=5, naf_n_iter=3409, naf_lr=0.00059782, naf_tv_weight=1.7318e-05, naf_outer_wall_s=2400
11		0.739669	0.518847	keep	architecture	naf-search-tpe	random-search	naf-search-tpe: naf_n_freqs=8, naf_hidden=192, naf_layers=5, naf_n_iter=3379, naf_lr=0.0017139, naf_tv_weight=6.4892e-05, naf_outer_wall_s=2400
12		0.825314	0.535345	keep	architecture	naf-search-tpe	random-search	naf-search-tpe: naf_n_freqs=6, naf_hidden=192, naf_layers=5, naf_n_iter=3546, naf_lr=0.0032098, naf_tv_weight=4.916e-06, naf_outer_wall_s=2400
13		0.822645	0.504089	keep	architecture	naf-search-tpe	random-search	naf-search-tpe: naf_n_freqs=6, naf_hidden=192, naf_layers=5, naf_n_iter=3302, naf_lr=0.0043314, naf_tv_weight=6.0214e-06, naf_outer_wall_s=2400
14		0.789882	0.530161	keep	architecture	naf-search-tpe	random-search	naf-search-tpe: naf_n_freqs=6, naf_hidden=192, naf_layers=5, naf_n_iter=3572, naf_lr=0.0014514, naf_tv_weight=6.0499e-06, naf_outer_wall_s=2400
15		0.71072	0.420844	keep	architecture	naf-search-tpe	random-search	naf-search-tpe: naf_n_freqs=14, naf_hidden=192, naf_layers=5, naf_n_iter=2518, naf_lr=0.0024951, naf_tv_weight=2.9577e-05, naf_outer_wall_s=2400
16		0.816617	0.496931	keep	architecture	naf-search-tpe	random-search	naf-search-tpe: naf_n_freqs=6, naf_hidden=192, naf_layers=5, naf_n_iter=3008, naf_lr=0.0046396, naf_tv_weight=0.00025619, naf_outer_wall_s=2400
17		0.801783	0.532534	keep	architecture	naf-search-tpe	random-search	naf-search-tpe: naf_n_freqs=6, naf_hidden=192, naf_layers=5, naf_n_iter=3623, naf_lr=0.0018963, naf_tv_weight=1.1173e-05, naf_outer_wall_s=2400
18		0.743203	0.516686	keep	architecture	naf-search-tpe	random-search	naf-search-tpe: naf_n_freqs=6, naf_hidden=192, naf_layers=5, naf_n_iter=2589, naf_lr=0.00098828, naf_tv_weight=3.1424e-06, naf_outer_wall_s=2400
19		0.5742	0.0993129	keep	architecture	naf-search-tpe	random-search	naf-search-tpe: naf_n_freqs=8, naf_hidden=192, naf_layers=5, naf_n_iter=3163, naf_lr=0.0095732, naf_tv_weight=3.4967e-05, naf_outer_wall_s=2400
20		0.415791	0.460984	keep	architecture	naf-search-tpe	random-search	naf-search-tpe: naf_n_freqs=12, naf_hidden=128, naf_layers=4, naf_n_iter=3678, naf_lr=0.000513, naf_tv_weight=7.6262e-06, naf_outer_wall_s=2400
