iter	commit	val_score	headroom	status	change_class	agent	model	rationale
1		0.933739	0.593844	keep	architecture	ram-zeroshot-search-tpe	random-search	ram-zeroshot-search-tpe: ram_ckpt_path=/cluster/maier/Agent4CT/checkpoints/ram.pth.tar, ram_input_norm=adjoint_max, ram_clamp_output=True, ram_finetune=False, ram_finetune_epochs=0, ram_finetune_lr=0.0001, ram_disable_multiscale=False, ram_disable_cudnn=False, ram_use_deepinv_tomo=False, ram_sigma=0.1, ram_factor=0.5, ram_post_fbp_blend=0
2		0.505577	0.532808	keep	architecture	ram-zeroshot-search-tpe	random-search	ram-zeroshot-search-tpe: ram_ckpt_path=/cluster/maier/Agent4CT/checkpoints/ram.pth.tar, ram_input_norm=adjoint_max, ram_clamp_output=True, ram_finetune=False, ram_finetune_epochs=0, ram_finetune_lr=0.0001, ram_disable_multiscale=False, ram_disable_cudnn=False, ram_use_deepinv_tomo=False, ram_sigma=0.21102, ram_factor=0.35913, ram_post_fbp_blend=0.078208
3		0.932606	0.566632	keep	architecture	ram-zeroshot-search-tpe	random-search	ram-zeroshot-search-tpe: ram_ckpt_path=/cluster/maier/Agent4CT/checkpoints/ram.pth.tar, ram_input_norm=adjoint_max, ram_clamp_output=True, ram_finetune=False, ram_finetune_epochs=0, ram_finetune_lr=0.0001, ram_disable_multiscale=False, ram_disable_cudnn=False, ram_use_deepinv_tomo=False, ram_sigma=0.22102, ram_factor=0.73269, ram_post_fbp_blend=0.0057979
4		0.926968	0.592716	keep	architecture	ram-zeroshot-search-tpe	random-search	ram-zeroshot-search-tpe: ram_ckpt_path=/cluster/maier/Agent4CT/checkpoints/ram.pth.tar, ram_input_norm=adjoint_max, ram_clamp_output=True, ram_finetune=False, ram_finetune_epochs=0, ram_finetune_lr=0.0001, ram_disable_multiscale=False, ram_disable_cudnn=False, ram_use_deepinv_tomo=False, ram_sigma=0.085366, ram_factor=0.4834, ram_post_fbp_blend=0.041834
5		0.722845	0.580116	keep	architecture	ram-zeroshot-search-tpe	random-search	ram-zeroshot-search-tpe: ram_ckpt_path=/cluster/maier/Agent4CT/checkpoints/ram.pth.tar, ram_input_norm=adjoint_max, ram_clamp_output=True, ram_finetune=False, ram_finetune_epochs=0, ram_finetune_lr=0.0001, ram_disable_multiscale=False, ram_disable_cudnn=False, ram_use_deepinv_tomo=False, ram_sigma=0.075342, ram_factor=0.341, ram_post_fbp_blend=0.041351
6		0.920979	0.557675	keep	architecture	ram-zeroshot-search-tpe	random-search	ram-zeroshot-search-tpe: ram_ckpt_path=/cluster/maier/Agent4CT/checkpoints/ram.pth.tar, ram_input_norm=adjoint_max, ram_clamp_output=True, ram_finetune=False, ram_finetune_epochs=0, ram_finetune_lr=0.0001, ram_disable_multiscale=True, ram_disable_cudnn=False, ram_use_deepinv_tomo=False, ram_sigma=0.12905, ram_factor=0.61706, ram_post_fbp_blend=0.1848
7		0.875262	0.545516	keep	architecture	ram-zeroshot-search-tpe	random-search	ram-zeroshot-search-tpe: ram_ckpt_path=/cluster/maier/Agent4CT/checkpoints/ram.pth.tar, ram_input_norm=adjoint_max, ram_clamp_output=True, ram_finetune=False, ram_finetune_epochs=0, ram_finetune_lr=0.0001, ram_disable_multiscale=True, ram_disable_cudnn=False, ram_use_deepinv_tomo=False, ram_sigma=0.056854, ram_factor=0.52479, ram_post_fbp_blend=0.14637
8		0.937379	0.579698	keep	architecture	ram-zeroshot-search-tpe	random-search	ram-zeroshot-search-tpe: ram_ckpt_path=/cluster/maier/Agent4CT/checkpoints/ram.pth.tar, ram_input_norm=adjoint_max, ram_clamp_output=True, ram_finetune=False, ram_finetune_epochs=0, ram_finetune_lr=0.0001, ram_disable_multiscale=False, ram_disable_cudnn=False, ram_use_deepinv_tomo=False, ram_sigma=0.13114, ram_factor=0.65535, ram_post_fbp_blend=0.11617
9		0.895545	0.593602	keep	architecture	ram-zeroshot-search-tpe	random-search	ram-zeroshot-search-tpe: ram_ckpt_path=/cluster/maier/Agent4CT/checkpoints/ram.pth.tar, ram_input_norm=adjoint_max, ram_clamp_output=True, ram_finetune=False, ram_finetune_epochs=0, ram_finetune_lr=0.0001, ram_disable_multiscale=True, ram_disable_cudnn=False, ram_use_deepinv_tomo=False, ram_sigma=0.097808, ram_factor=0.44252, ram_post_fbp_blend=0.00060193
10		0.940238	0.574461	keep	architecture	ram-zeroshot-search-tpe	random-search	ram-zeroshot-search-tpe: ram_ckpt_path=/cluster/maier/Agent4CT/checkpoints/ram.pth.tar, ram_input_norm=adjoint_max, ram_clamp_output=True, ram_finetune=False, ram_finetune_epochs=0, ram_finetune_lr=0.0001, ram_disable_multiscale=False, ram_disable_cudnn=False, ram_use_deepinv_tomo=False, ram_sigma=0.16355, ram_factor=0.79663, ram_post_fbp_blend=0.075039
11		0.844631	0.504529	keep	architecture	ram-zeroshot-search-tpe	random-search	ram-zeroshot-search-tpe: ram_ckpt_path=/cluster/maier/Agent4CT/checkpoints/ram.pth.tar, ram_input_norm=adjoint_max, ram_clamp_output=True, ram_finetune=False, ram_finetune_epochs=0, ram_finetune_lr=0.0001, ram_disable_multiscale=True, ram_disable_cudnn=False, ram_use_deepinv_tomo=False, ram_sigma=0.052445, ram_factor=0.61143, ram_post_fbp_blend=0.19916
12		0.898812	0.594036	keep	architecture	ram-zeroshot-search-tpe	random-search	ram-zeroshot-search-tpe: ram_ckpt_path=/cluster/maier/Agent4CT/checkpoints/ram.pth.tar, ram_input_norm=adjoint_max, ram_clamp_output=True, ram_finetune=False, ram_finetune_epochs=0, ram_finetune_lr=0.0001, ram_disable_multiscale=True, ram_disable_cudnn=False, ram_use_deepinv_tomo=False, ram_sigma=0.092986, ram_factor=0.44101, ram_post_fbp_blend=0.00055753
13		0.853192	0.589792	keep	architecture	ram-zeroshot-search-tpe	random-search	ram-zeroshot-search-tpe: ram_ckpt_path=/cluster/maier/Agent4CT/checkpoints/ram.pth.tar, ram_input_norm=adjoint_max, ram_clamp_output=True, ram_finetune=False, ram_finetune_epochs=0, ram_finetune_lr=0.0001, ram_disable_multiscale=True, ram_disable_cudnn=False, ram_use_deepinv_tomo=False, ram_sigma=0.10262, ram_factor=0.42194, ram_post_fbp_blend=0.033189
14		0.77467	0.567244	keep	architecture	ram-zeroshot-search-tpe	random-search	ram-zeroshot-search-tpe: ram_ckpt_path=/cluster/maier/Agent4CT/checkpoints/ram.pth.tar, ram_input_norm=adjoint_max, ram_clamp_output=True, ram_finetune=False, ram_finetune_epochs=0, ram_finetune_lr=0.0001, ram_disable_multiscale=True, ram_disable_cudnn=False, ram_use_deepinv_tomo=False, ram_sigma=0.29831, ram_factor=0.53336, ram_post_fbp_blend=0.025469
15		0.84166	0.584522	keep	architecture	ram-zeroshot-search-tpe	random-search	ram-zeroshot-search-tpe: ram_ckpt_path=/cluster/maier/Agent4CT/checkpoints/ram.pth.tar, ram_input_norm=adjoint_max, ram_clamp_output=True, ram_finetune=False, ram_finetune_epochs=0, ram_finetune_lr=0.0001, ram_disable_multiscale=False, ram_disable_cudnn=False, ram_use_deepinv_tomo=False, ram_sigma=0.069467, ram_factor=0.38832, ram_post_fbp_blend=0.065509
16		0.910778	0.593078	keep	architecture	ram-zeroshot-search-tpe	random-search	ram-zeroshot-search-tpe: ram_ckpt_path=/cluster/maier/Agent4CT/checkpoints/ram.pth.tar, ram_input_norm=adjoint_max, ram_clamp_output=True, ram_finetune=False, ram_finetune_epochs=0, ram_finetune_lr=0.0001, ram_disable_multiscale=True, ram_disable_cudnn=False, ram_use_deepinv_tomo=False, ram_sigma=0.10934, ram_factor=0.46685, ram_post_fbp_blend=0.002577
17		0.494275	0.526101	keep	architecture	ram-zeroshot-search-tpe	random-search	ram-zeroshot-search-tpe: ram_ckpt_path=/cluster/maier/Agent4CT/checkpoints/ram.pth.tar, ram_input_norm=adjoint_max, ram_clamp_output=True, ram_finetune=False, ram_finetune_epochs=0, ram_finetune_lr=0.0001, ram_disable_multiscale=True, ram_disable_cudnn=False, ram_use_deepinv_tomo=False, ram_sigma=0.15345, ram_factor=0.31227, ram_post_fbp_blend=0.096352
18		0.88679	0.54957	keep	architecture	ram-zeroshot-search-tpe	random-search	ram-zeroshot-search-tpe: ram_ckpt_path=/cluster/maier/Agent4CT/checkpoints/ram.pth.tar, ram_input_norm=adjoint_max, ram_clamp_output=True, ram_finetune=False, ram_finetune_epochs=0, ram_finetune_lr=0.0001, ram_disable_multiscale=False, ram_disable_cudnn=False, ram_use_deepinv_tomo=False, ram_sigma=0.067013, ram_factor=0.57745, ram_post_fbp_blend=0.14443
19		0.926737	0.590123	keep	architecture	ram-zeroshot-search-tpe	random-search	ram-zeroshot-search-tpe: ram_ckpt_path=/cluster/maier/Agent4CT/checkpoints/ram.pth.tar, ram_input_norm=adjoint_max, ram_clamp_output=True, ram_finetune=False, ram_finetune_epochs=0, ram_finetune_lr=0.0001, ram_disable_multiscale=True, ram_disable_cudnn=False, ram_use_deepinv_tomo=False, ram_sigma=0.08262, ram_factor=0.49503, ram_post_fbp_blend=0.058274
