iter	commit	val_score	headroom	status	change_class	agent	model	rationale
1		0.141482	0.382596	keep	architecture	wu-search-tpe	random-search	wu-search-tpe: wu_n_bands=8, wu_n_outer=2, wu_motion_range=5, wu_motion_window=4, wu_soft_thresh=0.00080936
2		0.119276	0.384818	keep	architecture	wu-search-tpe	random-search	wu-search-tpe: wu_n_bands=4, wu_n_outer=1, wu_motion_range=12, wu_motion_window=2, wu_soft_thresh=0.0012618
3		0.135796	0.386617	keep	architecture	wu-search-tpe	random-search	wu-search-tpe: wu_n_bands=12, wu_n_outer=2, wu_motion_range=12, wu_motion_window=2, wu_soft_thresh=0.00075748
4		0.13797	0.38669	keep	architecture	wu-search-tpe	random-search	wu-search-tpe: wu_n_bands=6, wu_n_outer=2, wu_motion_range=12, wu_motion_window=4, wu_soft_thresh=0.00093529
5		0.129924	0.372355	keep	architecture	wu-search-tpe	random-search	wu-search-tpe: wu_n_bands=4, wu_n_outer=2, wu_motion_range=5, wu_motion_window=4, wu_soft_thresh=0.0014634
6		0.15846	0.393843	keep	architecture	wu-search-tpe	random-search	wu-search-tpe: wu_n_bands=6, wu_n_outer=3, wu_motion_range=8, wu_motion_window=1, wu_soft_thresh=0.0039556
7		0.177661	0.393278	keep	architecture	wu-search-tpe	random-search	wu-search-tpe: wu_n_bands=6, wu_n_outer=3, wu_motion_range=8, wu_motion_window=1, wu_soft_thresh=0.0049884
8		0.154165	0.393205	keep	architecture	wu-search-tpe	random-search	wu-search-tpe: wu_n_bands=6, wu_n_outer=3, wu_motion_range=8, wu_motion_window=1, wu_soft_thresh=0.0037388
9		0.13892	0.387511	keep	architecture	wu-search-tpe	random-search	wu-search-tpe: wu_n_bands=8, wu_n_outer=3, wu_motion_range=3, wu_motion_window=1, wu_soft_thresh=0.0027545
10		0.131235	0.406213	keep	architecture	wu-search-tpe	random-search	wu-search-tpe: wu_n_bands=12, wu_n_outer=1, wu_motion_range=8, wu_motion_window=1, wu_soft_thresh=0.0025314
11		0.13438	0.409315	keep	architecture	wu-search-tpe	random-search	wu-search-tpe: wu_n_bands=12, wu_n_outer=1, wu_motion_range=3, wu_motion_window=1, wu_soft_thresh=0.0022098
12		0.134771	0.409563	keep	architecture	wu-search-tpe	random-search	wu-search-tpe: wu_n_bands=12, wu_n_outer=1, wu_motion_range=3, wu_motion_window=1, wu_soft_thresh=0.0022511
13		0.132215	0.407338	keep	architecture	wu-search-tpe	random-search	wu-search-tpe: wu_n_bands=12, wu_n_outer=1, wu_motion_range=3, wu_motion_window=1, wu_soft_thresh=0.0019299
14		0.128714	0.389123	keep	architecture	wu-search-tpe	random-search	wu-search-tpe: wu_n_bands=12, wu_n_outer=1, wu_motion_range=3, wu_motion_window=1, wu_soft_thresh=0.00050126
15		0.133835	0.408925	keep	architecture	wu-search-tpe	random-search	wu-search-tpe: wu_n_bands=12, wu_n_outer=1, wu_motion_range=3, wu_motion_window=1, wu_soft_thresh=0.0021485
16		0.132863	0.397013	keep	architecture	wu-search-tpe	random-search	wu-search-tpe: wu_n_bands=12, wu_n_outer=1, wu_motion_range=3, wu_motion_window=2, wu_soft_thresh=0.001733
17		0.140764	0.41162	keep	architecture	wu-search-tpe	random-search	wu-search-tpe: wu_n_bands=12, wu_n_outer=1, wu_motion_range=3, wu_motion_window=1, wu_soft_thresh=0.0027191
18		0.149398	0.412316	keep	architecture	wu-search-tpe	random-search	wu-search-tpe: wu_n_bands=12, wu_n_outer=1, wu_motion_range=3, wu_motion_window=1, wu_soft_thresh=0.0031611
19		0.138885	0.385078	keep	architecture	wu-search-tpe	random-search	wu-search-tpe: wu_n_bands=4, wu_n_outer=1, wu_motion_range=3, wu_motion_window=4, wu_soft_thresh=0.0032436
20		0.193444	0.400493	keep	architecture	wu-search-tpe	random-search	wu-search-tpe: wu_n_bands=8, wu_n_outer=1, wu_motion_range=5, wu_motion_window=2, wu_soft_thresh=0.0046529
