iter	commit	val_score	headroom	status	change_class	agent	model	rationale
1		0.134819	0.355916	keep	architecture	wu-search	random-search	wu-search: wu_n_bands=12, wu_n_outer=3, wu_motion_range=8, wu_motion_window=2, wu_soft_thresh=0.0013432
2		0.130785	0.38797	keep	architecture	wu-search	random-search	wu-search: wu_n_bands=12, wu_n_outer=1, wu_motion_range=3, wu_motion_window=2, wu_soft_thresh=0.0010071
3		0.125127	0.394986	keep	architecture	wu-search	random-search	wu-search: wu_n_bands=12, wu_n_outer=1, wu_motion_range=12, wu_motion_window=2, wu_soft_thresh=0.0017105
4		0.146089	0.380227	keep	architecture	wu-search	random-search	wu-search: wu_n_bands=4, wu_n_outer=2, wu_motion_range=3, wu_motion_window=2, wu_soft_thresh=0.0048706
5		0.133207	0.364815	keep	architecture	wu-search	random-search	wu-search: wu_n_bands=8, wu_n_outer=3, wu_motion_range=8, wu_motion_window=4, wu_soft_thresh=0.0022195
6		0.120993	0.399483	keep	architecture	wu-search	random-search	wu-search: wu_n_bands=8, wu_n_outer=1, wu_motion_range=12, wu_motion_window=1, wu_soft_thresh=0.0013235
7		0.130449	0.388107	keep	architecture	wu-search	random-search	wu-search: wu_n_bands=8, wu_n_outer=1, wu_motion_range=3, wu_motion_window=4, wu_soft_thresh=0.0010828
8		0.136122	0.384451	keep	architecture	wu-search	random-search	wu-search: wu_n_bands=8, wu_n_outer=2, wu_motion_range=3, wu_motion_window=4, wu_soft_thresh=0.0014631
9		0.17524	0.4107	keep	architecture	wu-search	random-search	wu-search: wu_n_bands=12, wu_n_outer=1, wu_motion_range=3, wu_motion_window=1, wu_soft_thresh=0.004061
10		0.135908	0.391479	keep	architecture	wu-search	random-search	wu-search: wu_n_bands=8, wu_n_outer=2, wu_motion_range=8, wu_motion_window=2, wu_soft_thresh=0.0010531
11		0.18255	0.400862	keep	architecture	wu-search	random-search	wu-search: wu_n_bands=8, wu_n_outer=1, wu_motion_range=12, wu_motion_window=2, wu_soft_thresh=0.0045489
12		0.144163	0.379402	keep	architecture	wu-search	random-search	wu-search: wu_n_bands=8, wu_n_outer=2, wu_motion_range=8, wu_motion_window=4, wu_soft_thresh=0.00054802
13		0.179597	0.410858	keep	architecture	wu-search	random-search	wu-search: wu_n_bands=8, wu_n_outer=2, wu_motion_range=5, wu_motion_window=1, wu_soft_thresh=0.0043799
14		0.133883	0.3464	keep	architecture	wu-search	random-search	wu-search: wu_n_bands=4, wu_n_outer=3, wu_motion_range=5, wu_motion_window=2, wu_soft_thresh=0.0008917
15		0.166325	0.3878	keep	architecture	wu-search	random-search	wu-search: wu_n_bands=8, wu_n_outer=3, wu_motion_range=8, wu_motion_window=2, wu_soft_thresh=0.0040712
16		0.155458	0.341026	keep	architecture	wu-search	random-search	wu-search: wu_n_bands=8, wu_n_outer=3, wu_motion_range=12, wu_motion_window=4, wu_soft_thresh=0.00054511
17		0.1787	0.396227	keep	architecture	wu-search	random-search	wu-search: wu_n_bands=6, wu_n_outer=2, wu_motion_range=12, wu_motion_window=4, wu_soft_thresh=0.0047769
18		0.15088	0.352908	keep	architecture	wu-search	random-search	wu-search: wu_n_bands=8, wu_n_outer=3, wu_motion_range=5, wu_motion_window=2, wu_soft_thresh=0.00075994
19		0.125542	0.386375	keep	architecture	wu-search	random-search	wu-search: wu_n_bands=4, wu_n_outer=1, wu_motion_range=3, wu_motion_window=2, wu_soft_thresh=0.0016054
20		0.145714	0.380411	keep	architecture	wu-search	random-search	wu-search: wu_n_bands=12, wu_n_outer=3, wu_motion_range=5, wu_motion_window=2, wu_soft_thresh=0.0032991
