iter	commit	val_score	headroom	status	change_class	agent	model	rationale
1		0.740766	0.459413	keep	architecture	diff-recon-dcstep-constrained-search-tpe-calibrated	random-search	diff-recon-dcstep-constrained-search-tpe-calibrated: recon_ckpt=/cluster/maier/Agent4CT/checkpoints/ddpm_constrained_final.pt, recon_mode=dps, recon_sample_steps=500, recon_eta=30, recon_init=fbp, recon_eta_clamp=False, recon_dcstep_every=3, recon_dcstep_n_cg=20, recon_dcstep_warmup=25, recon_dcstep_relax=1
2		0.782798	0.470092	keep	architecture	diff-recon-dcstep-constrained-search-tpe-calibrated	random-search	diff-recon-dcstep-constrained-search-tpe-calibrated: recon_ckpt=/cluster/maier/Agent4CT/checkpoints/ddpm_constrained_final.pt, recon_mode=dps, recon_sample_steps=800, recon_eta=4.2755, recon_init=noise, recon_eta_clamp=True, recon_dcstep_every=3, recon_dcstep_n_cg=20, recon_dcstep_warmup=10, recon_dcstep_relax=0.95
3		0.738072	0.468735	keep	architecture	diff-recon-dcstep-constrained-search-tpe-calibrated	random-search	diff-recon-dcstep-constrained-search-tpe-calibrated: recon_ckpt=/cluster/maier/Agent4CT/checkpoints/ddpm_constrained_final.pt, recon_mode=dps, recon_sample_steps=500, recon_eta=10.7, recon_init=noise, recon_eta_clamp=False, recon_dcstep_every=4, recon_dcstep_n_cg=25, recon_dcstep_warmup=40, recon_dcstep_relax=0.95
4		0.792359	0.468272	keep	architecture	diff-recon-dcstep-constrained-search-tpe-calibrated	random-search	diff-recon-dcstep-constrained-search-tpe-calibrated: recon_ckpt=/cluster/maier/Agent4CT/checkpoints/ddpm_constrained_final.pt, recon_mode=dps, recon_sample_steps=200, recon_eta=8.6163, recon_init=fbp, recon_eta_clamp=True, recon_dcstep_every=3, recon_dcstep_n_cg=20, recon_dcstep_warmup=25, recon_dcstep_relax=0.85
5		0.736543	0.448786	keep	architecture	diff-recon-dcstep-constrained-search-tpe-calibrated	random-search	diff-recon-dcstep-constrained-search-tpe-calibrated: recon_ckpt=/cluster/maier/Agent4CT/checkpoints/ddpm_constrained_final.pt, recon_mode=dps, recon_sample_steps=800, recon_eta=24.952, recon_init=noise, recon_eta_clamp=False, recon_dcstep_every=5, recon_dcstep_n_cg=25, recon_dcstep_warmup=40, recon_dcstep_relax=0.85
6		0.816812	0.462605	keep	architecture	diff-recon-dcstep-constrained-search-tpe-calibrated	random-search	diff-recon-dcstep-constrained-search-tpe-calibrated: recon_ckpt=/cluster/maier/Agent4CT/checkpoints/ddpm_constrained_final.pt, recon_mode=dps, recon_sample_steps=800, recon_eta=3.466, recon_init=noise, recon_eta_clamp=True, recon_dcstep_every=3, recon_dcstep_n_cg=15, recon_dcstep_warmup=10, recon_dcstep_relax=0.95
7		0.832748	0.444253	keep	architecture	diff-recon-dcstep-constrained-search-tpe-calibrated	random-search	diff-recon-dcstep-constrained-search-tpe-calibrated: recon_ckpt=/cluster/maier/Agent4CT/checkpoints/ddpm_constrained_final.pt, recon_mode=dps, recon_sample_steps=800, recon_eta=3.5516, recon_init=noise, recon_eta_clamp=True, recon_dcstep_every=5, recon_dcstep_n_cg=10, recon_dcstep_warmup=10, recon_dcstep_relax=0.95
8		0.790757	0.46886	keep	architecture	diff-recon-dcstep-constrained-search-tpe-calibrated	random-search	diff-recon-dcstep-constrained-search-tpe-calibrated: recon_ckpt=/cluster/maier/Agent4CT/checkpoints/ddpm_constrained_final.pt, recon_mode=dps, recon_sample_steps=200, recon_eta=6.4292, recon_init=noise, recon_eta_clamp=True, recon_dcstep_every=4, recon_dcstep_n_cg=20, recon_dcstep_warmup=10, recon_dcstep_relax=1
9		0.78021	0.42975	keep	architecture	diff-recon-dcstep-constrained-search-tpe-calibrated	random-search	diff-recon-dcstep-constrained-search-tpe-calibrated: recon_ckpt=/cluster/maier/Agent4CT/checkpoints/ddpm_constrained_final.pt, recon_mode=dps, recon_sample_steps=800, recon_eta=54.142, recon_init=fbp, recon_eta_clamp=True, recon_dcstep_every=3, recon_dcstep_n_cg=10, recon_dcstep_warmup=10, recon_dcstep_relax=0.95
10		0.810814	0.462968	keep	architecture	diff-recon-dcstep-constrained-search-tpe-calibrated	random-search	diff-recon-dcstep-constrained-search-tpe-calibrated: recon_ckpt=/cluster/maier/Agent4CT/checkpoints/ddpm_constrained_final.pt, recon_mode=dps, recon_sample_steps=800, recon_eta=5.1862, recon_init=noise, recon_eta_clamp=True, recon_dcstep_every=3, recon_dcstep_n_cg=15, recon_dcstep_warmup=10, recon_dcstep_relax=0.95
11		0.787168	0.462773	keep	architecture	diff-recon-dcstep-constrained-search-tpe-calibrated	random-search	diff-recon-dcstep-constrained-search-tpe-calibrated: recon_ckpt=/cluster/maier/Agent4CT/checkpoints/ddpm_constrained_final.pt, recon_mode=dps, recon_sample_steps=200, recon_eta=18.368, recon_init=fbp, recon_eta_clamp=False, recon_dcstep_every=4, recon_dcstep_n_cg=20, recon_dcstep_warmup=25, recon_dcstep_relax=0.85
12		0.785965	0.468513	keep	architecture	diff-recon-dcstep-constrained-search-tpe-calibrated	random-search	diff-recon-dcstep-constrained-search-tpe-calibrated: recon_ckpt=/cluster/maier/Agent4CT/checkpoints/ddpm_constrained_final.pt, recon_mode=dps, recon_sample_steps=200, recon_eta=7.5196, recon_init=noise, recon_eta_clamp=True, recon_dcstep_every=4, recon_dcstep_n_cg=20, recon_dcstep_warmup=10, recon_dcstep_relax=1
13		0.794532	0.469078	keep	architecture	diff-recon-dcstep-constrained-search-tpe-calibrated	random-search	diff-recon-dcstep-constrained-search-tpe-calibrated: recon_ckpt=/cluster/maier/Agent4CT/checkpoints/ddpm_constrained_final.pt, recon_mode=dps, recon_sample_steps=200, recon_eta=5.6508, recon_init=noise, recon_eta_clamp=True, recon_dcstep_every=4, recon_dcstep_n_cg=20, recon_dcstep_warmup=10, recon_dcstep_relax=1
