iter	commit	val_score	headroom	status	change_class	agent	model	rationale
1		0.76372	0.468398	keep	architecture	diff-recon-dcstep-unconstrained-search-tpe-calibrated	random-search	diff-recon-dcstep-unconstrained-search-tpe-calibrated: recon_ckpt=/cluster/maier/Agent4CT/checkpoints/ddpm_unconstrained_final.pt, recon_mode=dps, recon_sample_steps=500, recon_eta=30, recon_init=fbp, recon_eta_clamp=False, recon_dcstep_every=3, recon_dcstep_n_cg=20, recon_dcstep_warmup=25, recon_dcstep_relax=1
2		0.797267	0.478921	keep	architecture	diff-recon-dcstep-unconstrained-search-tpe-calibrated	random-search	diff-recon-dcstep-unconstrained-search-tpe-calibrated: recon_ckpt=/cluster/maier/Agent4CT/checkpoints/ddpm_unconstrained_final.pt, recon_mode=dps, recon_sample_steps=800, recon_eta=4.2755, recon_init=noise, recon_eta_clamp=True, recon_dcstep_every=3, recon_dcstep_n_cg=20, recon_dcstep_warmup=10, recon_dcstep_relax=0.95
3		0.750707	0.474719	keep	architecture	diff-recon-dcstep-unconstrained-search-tpe-calibrated	random-search	diff-recon-dcstep-unconstrained-search-tpe-calibrated: recon_ckpt=/cluster/maier/Agent4CT/checkpoints/ddpm_unconstrained_final.pt, recon_mode=dps, recon_sample_steps=500, recon_eta=10.7, recon_init=noise, recon_eta_clamp=False, recon_dcstep_every=4, recon_dcstep_n_cg=25, recon_dcstep_warmup=40, recon_dcstep_relax=0.95
4		0.806275	0.480962	keep	architecture	diff-recon-dcstep-unconstrained-search-tpe-calibrated	random-search	diff-recon-dcstep-unconstrained-search-tpe-calibrated: recon_ckpt=/cluster/maier/Agent4CT/checkpoints/ddpm_unconstrained_final.pt, recon_mode=dps, recon_sample_steps=200, recon_eta=8.6163, recon_init=fbp, recon_eta_clamp=True, recon_dcstep_every=3, recon_dcstep_n_cg=20, recon_dcstep_warmup=25, recon_dcstep_relax=0.85
5		0.753049	0.452399	keep	architecture	diff-recon-dcstep-unconstrained-search-tpe-calibrated	random-search	diff-recon-dcstep-unconstrained-search-tpe-calibrated: recon_ckpt=/cluster/maier/Agent4CT/checkpoints/ddpm_unconstrained_final.pt, recon_mode=dps, recon_sample_steps=800, recon_eta=24.952, recon_init=noise, recon_eta_clamp=False, recon_dcstep_every=5, recon_dcstep_n_cg=25, recon_dcstep_warmup=40, recon_dcstep_relax=0.85
6		0.836314	0.471598	keep	architecture	diff-recon-dcstep-unconstrained-search-tpe-calibrated	random-search	diff-recon-dcstep-unconstrained-search-tpe-calibrated: recon_ckpt=/cluster/maier/Agent4CT/checkpoints/ddpm_unconstrained_final.pt, recon_mode=dps, recon_sample_steps=200, recon_eta=6.982, recon_init=fbp, recon_eta_clamp=True, recon_dcstep_every=3, recon_dcstep_n_cg=15, recon_dcstep_warmup=25, recon_dcstep_relax=0.85
7		0.860721	0.3859	keep	architecture	diff-recon-dcstep-unconstrained-search-tpe-calibrated	random-search	diff-recon-dcstep-unconstrained-search-tpe-calibrated: recon_ckpt=/cluster/maier/Agent4CT/checkpoints/ddpm_unconstrained_final.pt, recon_mode=dps, recon_sample_steps=200, recon_eta=59.819, recon_init=fbp, recon_eta_clamp=True, recon_dcstep_every=4, recon_dcstep_n_cg=10, recon_dcstep_warmup=25, recon_dcstep_relax=0.85
8		0.824785	0.480021	keep	architecture	diff-recon-dcstep-unconstrained-search-tpe-calibrated	random-search	diff-recon-dcstep-unconstrained-search-tpe-calibrated: recon_ckpt=/cluster/maier/Agent4CT/checkpoints/ddpm_unconstrained_final.pt, recon_mode=dps, recon_sample_steps=200, recon_eta=3.2268, recon_init=fbp, recon_eta_clamp=True, recon_dcstep_every=5, recon_dcstep_n_cg=20, recon_dcstep_warmup=10, recon_dcstep_relax=1
9		0.850315	0.4592	keep	architecture	diff-recon-dcstep-unconstrained-search-tpe-calibrated	random-search	diff-recon-dcstep-unconstrained-search-tpe-calibrated: recon_ckpt=/cluster/maier/Agent4CT/checkpoints/ddpm_unconstrained_final.pt, recon_mode=dps, recon_sample_steps=200, recon_eta=13.75, recon_init=fbp, recon_eta_clamp=True, recon_dcstep_every=3, recon_dcstep_n_cg=10, recon_dcstep_warmup=25, recon_dcstep_relax=0.85
10		0.836844	0.471574	keep	architecture	diff-recon-dcstep-unconstrained-search-tpe-calibrated	random-search	diff-recon-dcstep-unconstrained-search-tpe-calibrated: recon_ckpt=/cluster/maier/Agent4CT/checkpoints/ddpm_unconstrained_final.pt, recon_mode=dps, recon_sample_steps=200, recon_eta=6.7109, recon_init=fbp, recon_eta_clamp=True, recon_dcstep_every=3, recon_dcstep_n_cg=15, recon_dcstep_warmup=25, recon_dcstep_relax=0.85
