iter	commit	val_score	headroom	status	change_class	agent	model	rationale
1		0.843517	0.406313	keep	architecture	dual-domain-bilateral-supervised-search-tpe-calibrated	random-search	dual-domain-bilateral-supervised-search-tpe-calibrated: proj_n_bf=3, img_n_bf=3, proj_kernel=3, img_kernel=9, proj_sx=0.01, proj_sy=0.3, proj_sr=0.0005, img_sx=0.5, img_sr=0.02, epochs=10, lr=0.005
2		0.850456	0.392413	keep	architecture	dual-domain-bilateral-supervised-search-tpe-calibrated	random-search	dual-domain-bilateral-supervised-search-tpe-calibrated: proj_n_bf=3, img_n_bf=7, proj_kernel=5, img_kernel=9, proj_sx=0.02335, proj_sy=0.38986, proj_sr=0.00019848, img_sx=0.3574, img_sr=0.0080487, epochs=8, lr=0.002407
3		0.843679	0.406265	keep	architecture	dual-domain-bilateral-supervised-search-tpe-calibrated	random-search	dual-domain-bilateral-supervised-search-tpe-calibrated: proj_n_bf=5, img_n_bf=2, proj_kernel=5, img_kernel=9, proj_sx=0.0074553, proj_sy=0.40438, proj_sr=0.00018518, img_sx=0.79964, img_sr=0.007928, epochs=12, lr=0.0041198
4		0.886969	0.438299	keep	architecture	dual-domain-bilateral-supervised-search-tpe-calibrated	random-search	dual-domain-bilateral-supervised-search-tpe-calibrated: proj_n_bf=3, img_n_bf=3, proj_kernel=3, img_kernel=11, proj_sx=0.0093529, proj_sy=0.38828, proj_sr=0.00056215, img_sx=0.35484, img_sr=0.013655, epochs=14, lr=0.0084069
5		0.842756	0.406599	keep	architecture	dual-domain-bilateral-supervised-search-tpe-calibrated	random-search	dual-domain-bilateral-supervised-search-tpe-calibrated: proj_n_bf=3, img_n_bf=5, proj_kernel=5, img_kernel=5, proj_sx=0.028334, proj_sy=0.17061, proj_sr=0.00013939, img_sx=0.39214, img_sr=0.010518, epochs=12, lr=0.0050592
6		0.886721	0.438574	keep	architecture	dual-domain-bilateral-supervised-search-tpe-calibrated	random-search	dual-domain-bilateral-supervised-search-tpe-calibrated: proj_n_bf=2, img_n_bf=3, proj_kernel=3, img_kernel=11, proj_sx=0.0051209, proj_sy=0.58207, proj_sr=0.001994, img_sx=0.66321, img_sr=0.042746, epochs=15, lr=0.0089464
7		0.836478	0.408461	keep	architecture	dual-domain-bilateral-supervised-search-tpe-calibrated	random-search	dual-domain-bilateral-supervised-search-tpe-calibrated: proj_n_bf=2, img_n_bf=1, proj_kernel=3, img_kernel=11, proj_sx=0.0050347, proj_sy=0.5557, proj_sr=0.0018979, img_sx=0.99728, img_sr=0.049514, epochs=15, lr=0.0093236
8		0.860302	0.425297	keep	architecture	dual-domain-bilateral-supervised-search-tpe-calibrated	random-search	dual-domain-bilateral-supervised-search-tpe-calibrated: proj_n_bf=1, img_n_bf=3, proj_kernel=3, img_kernel=7, proj_sx=0.049414, proj_sy=0.59154, proj_sr=0.0019109, img_sx=0.66841, img_sr=0.047005, epochs=14, lr=0.0069891
9		0.845277	0.404274	keep	architecture	dual-domain-bilateral-supervised-search-tpe-calibrated	random-search	dual-domain-bilateral-supervised-search-tpe-calibrated: proj_n_bf=2, img_n_bf=5, proj_kernel=3, img_kernel=11, proj_sx=0.015984, proj_sy=0.49301, proj_sr=0.001021, img_sx=0.67001, img_sr=0.025428, epochs=10, lr=0.0026616
10		0.862121	0.426247	keep	architecture	dual-domain-bilateral-supervised-search-tpe-calibrated	random-search	dual-domain-bilateral-supervised-search-tpe-calibrated: proj_n_bf=2, img_n_bf=7, proj_kernel=3, img_kernel=7, proj_sx=0.0051015, proj_sy=0.10451, proj_sr=0.00092171, img_sx=0.85318, img_sr=0.0050584, epochs=15, lr=0.006672
11		0.796485	0.415592	keep	architecture	dual-domain-bilateral-supervised-search-tpe-calibrated	random-search	dual-domain-bilateral-supervised-search-tpe-calibrated: proj_n_bf=5, img_n_bf=2, proj_kernel=5, img_kernel=5, proj_sx=0.014294, proj_sy=0.27043, proj_sr=0.00030631, img_sx=0.51752, img_sr=0.030537, epochs=13, lr=0.003456
12		0.887312	0.43865	keep	architecture	dual-domain-bilateral-supervised-search-tpe-calibrated	random-search	dual-domain-bilateral-supervised-search-tpe-calibrated: proj_n_bf=1, img_n_bf=3, proj_kernel=3, img_kernel=11, proj_sx=0.0081328, proj_sy=0.48212, proj_sr=0.00061793, img_sx=0.53109, img_sr=0.01385, epochs=14, lr=0.0099761
13		0.886843	0.438499	keep	architecture	dual-domain-bilateral-supervised-search-tpe-calibrated	random-search	dual-domain-bilateral-supervised-search-tpe-calibrated: proj_n_bf=1, img_n_bf=3, proj_kernel=3, img_kernel=11, proj_sx=0.0070647, proj_sy=0.49255, proj_sr=0.0010689, img_sx=0.55396, img_sr=0.015285, epochs=15, lr=0.0093965
14		0.883884	0.437106	keep	architecture	dual-domain-bilateral-supervised-search-tpe-calibrated	random-search	dual-domain-bilateral-supervised-search-tpe-calibrated: proj_n_bf=1, img_n_bf=3, proj_kernel=3, img_kernel=11, proj_sx=0.0067275, proj_sy=0.4922, proj_sr=0.00034051, img_sx=0.74763, img_sr=0.03028, epochs=13, lr=0.0065579
15		0.836653	0.407835	keep	architecture	dual-domain-bilateral-supervised-search-tpe-calibrated	random-search	dual-domain-bilateral-supervised-search-tpe-calibrated: proj_n_bf=2, img_n_bf=1, proj_kernel=3, img_kernel=11, proj_sx=0.011659, proj_sy=0.51652, proj_sr=0.00074156, img_sx=0.59363, img_sr=0.020176, epochs=14, lr=0.0074188
16		0.854381	0.414948	keep	architecture	dual-domain-bilateral-supervised-search-tpe-calibrated	random-search	dual-domain-bilateral-supervised-search-tpe-calibrated: proj_n_bf=1, img_n_bf=3, proj_kernel=3, img_kernel=11, proj_sx=0.0065261, proj_sy=0.44316, proj_sr=0.0014294, img_sx=0.451, img_sr=0.010454, epochs=13, lr=0.0057455
