iter	commit	val_score	headroom	status	change_class	agent	model	rationale
1		nan	0.369212	keep	architecture	dual-domain-search-tpe-calibrated	random-search	dual-domain-search-tpe-calibrated: epochs=6, lr=0.0004177, batch_size=1, unet_c=24
2		nan	0.373456	keep	architecture	dual-domain-search-tpe-calibrated	random-search	dual-domain-search-tpe-calibrated: epochs=8, lr=0.00011201, batch_size=1, unet_c=24
3		nan	0.381956	keep	architecture	dual-domain-search-tpe-calibrated	random-search	dual-domain-search-tpe-calibrated: epochs=6, lr=0.00024478, batch_size=2, unet_c=16
4		nan	0.373942	keep	architecture	dual-domain-search-tpe-calibrated	random-search	dual-domain-search-tpe-calibrated: epochs=5, lr=0.00078554, batch_size=2, unet_c=16
5		nan	0.375761	keep	architecture	dual-domain-search-tpe-calibrated	random-search	dual-domain-search-tpe-calibrated: epochs=6, lr=0.00096445, batch_size=2, unet_c=16
6		nan	0.376329	keep	architecture	dual-domain-search-tpe-calibrated	random-search	dual-domain-search-tpe-calibrated: epochs=4, lr=0.0035678, batch_size=4, unet_c=8
7		nan	0.378075	keep	architecture	dual-domain-search-tpe-calibrated	random-search	dual-domain-search-tpe-calibrated: epochs=8, lr=0.00013238, batch_size=2, unet_c=16
8		nan	0.354641	keep	architecture	dual-domain-search-tpe-calibrated	random-search	dual-domain-search-tpe-calibrated: epochs=3, lr=0.00028637, batch_size=4, unet_c=8
9		nan	0.384085	keep	architecture	dual-domain-search-tpe-calibrated	random-search	dual-domain-search-tpe-calibrated: epochs=7, lr=0.0022911, batch_size=2, unet_c=16
10		nan	0.36251	keep	architecture	dual-domain-search-tpe-calibrated	random-search	dual-domain-search-tpe-calibrated: epochs=7, lr=0.004242, batch_size=2, unet_c=16
11		nan	0.375159	keep	architecture	dual-domain-search-tpe-calibrated	random-search	dual-domain-search-tpe-calibrated: epochs=7, lr=0.0020305, batch_size=1, unet_c=8
