iter	commit	val_score	headroom	status	change_class	agent	model	rationale
1		0.957665	0.492596	keep	architecture	dual-domain-supervised-search-tpe-calibrated	random-search	dual-domain-supervised-search-tpe-calibrated: unet_c=32, epochs=10, lr=0.0005, batch_size=1, lambda_neg=1, val_n=20
2		0.937122	0.490556	keep	architecture	dual-domain-supervised-search-tpe-calibrated	random-search	dual-domain-supervised-search-tpe-calibrated: unet_c=32, epochs=12, lr=0.00051839, batch_size=2, lambda_neg=1.3654, val_n=20
3		0.953157	0.493681	keep	architecture	dual-domain-supervised-search-tpe-calibrated	random-search	dual-domain-supervised-search-tpe-calibrated: unet_c=24, epochs=12, lr=0.00028005, batch_size=1, lambda_neg=0.72884, val_n=20
4		0.944293	0.492365	keep	architecture	dual-domain-supervised-search-tpe-calibrated	random-search	dual-domain-supervised-search-tpe-calibrated: unet_c=24, epochs=13, lr=0.00023861, batch_size=2, lambda_neg=1.4461, val_n=20
5		0.961704	0.494183	keep	architecture	dual-domain-supervised-search-tpe-calibrated	random-search	dual-domain-supervised-search-tpe-calibrated: unet_c=16, epochs=11, lr=0.00049298, batch_size=1, lambda_neg=1.4205, val_n=20
6		0.958179	0.493846	keep	architecture	dual-domain-supervised-search-tpe-calibrated	random-search	dual-domain-supervised-search-tpe-calibrated: unet_c=16, epochs=18, lr=0.00092977, batch_size=1, lambda_neg=1.1748, val_n=20
7		0.823806	0.464821	keep	architecture	dual-domain-supervised-search-tpe-calibrated	random-search	dual-domain-supervised-search-tpe-calibrated: unet_c=48, epochs=8, lr=0.00080609, batch_size=1, lambda_neg=0.9242, val_n=20
8		0.878828	0.482947	keep	architecture	dual-domain-supervised-search-tpe-calibrated	random-search	dual-domain-supervised-search-tpe-calibrated: unet_c=16, epochs=17, lr=0.00036552, batch_size=1, lambda_neg=0.54514, val_n=20
9		0.882016	0.475182	keep	architecture	dual-domain-supervised-search-tpe-calibrated	random-search	dual-domain-supervised-search-tpe-calibrated: unet_c=16, epochs=15, lr=0.00064457, batch_size=2, lambda_neg=1.2411, val_n=20
10		0.939823	0.491412	keep	architecture	dual-domain-supervised-search-tpe-calibrated	random-search	dual-domain-supervised-search-tpe-calibrated: unet_c=48, epochs=8, lr=0.00032522, batch_size=1, lambda_neg=1.4955, val_n=20
11		0.93781	0.489849	keep	architecture	dual-domain-supervised-search-tpe-calibrated	random-search	dual-domain-supervised-search-tpe-calibrated: unet_c=16, epochs=15, lr=0.00020164, batch_size=2, lambda_neg=1.1765, val_n=20
12		0.953626	0.492012	keep	architecture	dual-domain-supervised-search-tpe-calibrated	random-search	dual-domain-supervised-search-tpe-calibrated: unet_c=16, epochs=18, lr=0.00086619, batch_size=1, lambda_neg=1.1869, val_n=20
13		0.961112	0.494074	keep	architecture	dual-domain-supervised-search-tpe-calibrated	random-search	dual-domain-supervised-search-tpe-calibrated: unet_c=16, epochs=10, lr=0.00099809, batch_size=1, lambda_neg=1.297, val_n=20
14		0.957632	0.494138	keep	architecture	dual-domain-supervised-search-tpe-calibrated	random-search	dual-domain-supervised-search-tpe-calibrated: unet_c=16, epochs=10, lr=0.00065163, batch_size=1, lambda_neg=1.3234, val_n=20
15		0.962497	0.494952	keep	architecture	dual-domain-supervised-search-tpe-calibrated	random-search	dual-domain-supervised-search-tpe-calibrated: unet_c=16, epochs=10, lr=0.00065297, batch_size=1, lambda_neg=1.3669, val_n=20
16		0.953646	0.492576	keep	architecture	dual-domain-supervised-search-tpe-calibrated	random-search	dual-domain-supervised-search-tpe-calibrated: unet_c=16, epochs=11, lr=0.00040345, batch_size=1, lambda_neg=1.0657, val_n=20
17		0.949726	0.491002	keep	architecture	dual-domain-supervised-search-tpe-calibrated	random-search	dual-domain-supervised-search-tpe-calibrated: unet_c=32, epochs=14, lr=0.00063879, batch_size=1, lambda_neg=0.84034, val_n=20
18		0.896984	0.48711	keep	architecture	dual-domain-supervised-search-tpe-calibrated	random-search	dual-domain-supervised-search-tpe-calibrated: unet_c=48, epochs=9, lr=0.00047871, batch_size=1, lambda_neg=1.4048, val_n=20
19		0.943815	0.491539	keep	architecture	dual-domain-supervised-search-tpe-calibrated	random-search	dual-domain-supervised-search-tpe-calibrated: unet_c=24, epochs=12, lr=0.00073322, batch_size=2, lambda_neg=1.0688, val_n=20
20		0.951348	0.491931	keep	architecture	dual-domain-supervised-search-tpe-calibrated	random-search	dual-domain-supervised-search-tpe-calibrated: unet_c=16, epochs=11, lr=0.00058593, batch_size=1, lambda_neg=1.4703, val_n=20
