iter	commit	val_score	headroom	status	change_class	agent	model	rationale
1		0.711673	0.362554	keep	architecture	hammernik-search-tpe-calibrated	random-search	hammernik-search-tpe-calibrated: epochs=23, lr=0.00029884, batch_size=2, vn_T=3, vn_n_filters=24, vn_kernel=11, vn_lambda_init=0.00011428
2		0.664828	0.348519	keep	architecture	hammernik-search-tpe-calibrated	random-search	hammernik-search-tpe-calibrated: epochs=18, lr=0.00021619, batch_size=2, vn_T=5, vn_n_filters=24, vn_kernel=7, vn_lambda_init=0.00025913
3		0.672907	0.354319	keep	architecture	hammernik-search-tpe-calibrated	random-search	hammernik-search-tpe-calibrated: epochs=12, lr=0.00014117, batch_size=2, vn_T=3, vn_n_filters=24, vn_kernel=9, vn_lambda_init=0.0006369
4		0.629343	0.335988	keep	architecture	hammernik-search-tpe-calibrated	random-search	hammernik-search-tpe-calibrated: epochs=21, lr=0.00027639, batch_size=2, vn_T=5, vn_n_filters=24, vn_kernel=11, vn_lambda_init=0.00025785
5		0.669496	0.35574	keep	architecture	hammernik-search-tpe-calibrated	random-search	hammernik-search-tpe-calibrated: epochs=24, lr=0.00018216, batch_size=2, vn_T=3, vn_n_filters=24, vn_kernel=7, vn_lambda_init=0.00018218
6		0.706712	0.362301	keep	architecture	hammernik-search-tpe-calibrated	random-search	hammernik-search-tpe-calibrated: epochs=29, lr=0.00093338, batch_size=2, vn_T=3, vn_n_filters=16, vn_kernel=11, vn_lambda_init=0.0064075
7		0.710235	0.361333	keep	architecture	hammernik-search-tpe-calibrated	random-search	hammernik-search-tpe-calibrated: epochs=30, lr=0.00077156, batch_size=2, vn_T=3, vn_n_filters=16, vn_kernel=11, vn_lambda_init=0.0031559
8		0.741569	0.34781	keep	architecture	hammernik-search-tpe-calibrated	random-search	hammernik-search-tpe-calibrated: epochs=16, lr=0.0018211, batch_size=2, vn_T=3, vn_n_filters=24, vn_kernel=9, vn_lambda_init=0.00010591
9		0.631061	0.337974	keep	architecture	hammernik-search-tpe-calibrated	random-search	hammernik-search-tpe-calibrated: epochs=24, lr=0.00047503, batch_size=2, vn_T=5, vn_n_filters=16, vn_kernel=11, vn_lambda_init=0.0011586
10		0.640999	0.340167	keep	architecture	hammernik-search-tpe-calibrated	random-search	hammernik-search-tpe-calibrated: epochs=10, lr=0.00011123, batch_size=2, vn_T=3, vn_n_filters=24, vn_kernel=11, vn_lambda_init=0.0007406
11		0.670477	0.352709	keep	architecture	hammernik-search-tpe-calibrated	random-search	hammernik-search-tpe-calibrated: epochs=25, lr=0.00036418, batch_size=2, vn_T=5, vn_n_filters=16, vn_kernel=9, vn_lambda_init=0.0018334
12		0.706378	0.361947	keep	architecture	hammernik-search-tpe-calibrated	random-search	hammernik-search-tpe-calibrated: epochs=30, lr=0.00086338, batch_size=2, vn_T=3, vn_n_filters=16, vn_kernel=11, vn_lambda_init=0.0062406
13		0.709451	0.361059	keep	architecture	hammernik-search-tpe-calibrated	random-search	hammernik-search-tpe-calibrated: epochs=27, lr=0.00076101, batch_size=2, vn_T=3, vn_n_filters=16, vn_kernel=11, vn_lambda_init=0.0096376
14		0.735422	0.365087	keep	architecture	hammernik-search-tpe-calibrated	random-search	hammernik-search-tpe-calibrated: epochs=21, lr=0.0017688, batch_size=2, vn_T=3, vn_n_filters=16, vn_kernel=11, vn_lambda_init=0.0040741
15		0.71433	0.315925	keep	architecture	hammernik-search-tpe-calibrated	random-search	hammernik-search-tpe-calibrated: epochs=21, lr=0.0019342, batch_size=2, vn_T=3, vn_n_filters=24, vn_kernel=11, vn_lambda_init=0.0026758
16		0.703037	0.363888	keep	architecture	hammernik-search-tpe-calibrated	random-search	hammernik-search-tpe-calibrated: epochs=16, lr=0.00042412, batch_size=2, vn_T=3, vn_n_filters=16, vn_kernel=7, vn_lambda_init=0.00042139
17		0.714406	0.365975	keep	architecture	hammernik-search-tpe-calibrated	random-search	hammernik-search-tpe-calibrated: epochs=15, lr=0.00051427, batch_size=2, vn_T=3, vn_n_filters=16, vn_kernel=7, vn_lambda_init=0.00055213
18		0.743028	0.371795	keep	architecture	hammernik-search-tpe-calibrated	random-search	hammernik-search-tpe-calibrated: epochs=14, lr=0.0014308, batch_size=2, vn_T=3, vn_n_filters=16, vn_kernel=7, vn_lambda_init=0.0013688
19		0.701403	0.364845	keep	architecture	hammernik-search-tpe-calibrated	random-search	hammernik-search-tpe-calibrated: epochs=14, lr=0.00054441, batch_size=2, vn_T=5, vn_n_filters=16, vn_kernel=7, vn_lambda_init=0.0011867
20		0.745043	0.371602	keep	architecture	hammernik-search-tpe-calibrated	random-search	hammernik-search-tpe-calibrated: epochs=13, lr=0.001108, batch_size=2, vn_T=3, vn_n_filters=16, vn_kernel=7, vn_lambda_init=0.00050247
