iter	commit	val_score	headroom	status	change_class	agent	model	rationale
1		0.656853	0.351265	keep	architecture	hammernik-vn-search-tpe-calibrated	random-search	hammernik-vn-search-tpe-calibrated: epochs=15, lr=9.6236e-05, batch_size=2, vn_T=3, vn_n_filters=32, vn_kernel=7, vn_lambda_init=0.00032714, vn_init=fbp
2		0.647054	0.339739	keep	architecture	hammernik-vn-search-tpe-calibrated	random-search	hammernik-vn-search-tpe-calibrated: epochs=12, lr=9.6469e-05, batch_size=2, vn_T=5, vn_n_filters=16, vn_kernel=11, vn_lambda_init=0.00016571, vn_init=fbp
3		0.681252	0.359798	keep	architecture	hammernik-vn-search-tpe-calibrated	random-search	hammernik-vn-search-tpe-calibrated: epochs=13, lr=0.00012852, batch_size=2, vn_T=5, vn_n_filters=24, vn_kernel=9, vn_lambda_init=0.0069358, vn_init=fbp
4		0.575034	0.278728	keep	architecture	hammernik-vn-search-tpe-calibrated	random-search	hammernik-vn-search-tpe-calibrated: epochs=12, lr=6.823e-05, batch_size=2, vn_T=7, vn_n_filters=24, vn_kernel=11, vn_lambda_init=0.00036335, vn_init=fbp
5		0.641984	0.342049	keep	architecture	hammernik-vn-search-tpe-calibrated	random-search	hammernik-vn-search-tpe-calibrated: epochs=10, lr=6.3143e-05, batch_size=2, vn_T=3, vn_n_filters=32, vn_kernel=11, vn_lambda_init=0.0003499, vn_init=fbp
6		0.696469	0.362526	keep	architecture	hammernik-vn-search-tpe-calibrated	random-search	hammernik-vn-search-tpe-calibrated: epochs=18, lr=0.00025703, batch_size=2, vn_T=5, vn_n_filters=24, vn_kernel=9, vn_lambda_init=0.0093606, vn_init=fbp
7		0.697758	0.362534	keep	architecture	hammernik-vn-search-tpe-calibrated	random-search	hammernik-vn-search-tpe-calibrated: epochs=18, lr=0.00027615, batch_size=2, vn_T=5, vn_n_filters=24, vn_kernel=9, vn_lambda_init=0.0089292, vn_init=fbp
8		0.642128	0.347992	keep	architecture	hammernik-vn-search-tpe-calibrated	random-search	hammernik-vn-search-tpe-calibrated: epochs=18, lr=0.00029261, batch_size=2, vn_T=7, vn_n_filters=16, vn_kernel=9, vn_lambda_init=0.0022902, vn_init=fbp
9		0.701432	0.36328	keep	architecture	hammernik-vn-search-tpe-calibrated	random-search	hammernik-vn-search-tpe-calibrated: epochs=16, lr=0.00018864, batch_size=2, vn_T=5, vn_n_filters=24, vn_kernel=7, vn_lambda_init=0.0020754, vn_init=fbp
10		0.69846	0.362321	keep	architecture	hammernik-vn-search-tpe-calibrated	random-search	hammernik-vn-search-tpe-calibrated: epochs=15, lr=0.00017231, batch_size=2, vn_T=5, vn_n_filters=24, vn_kernel=7, vn_lambda_init=0.0016637, vn_init=fbp
11		0.72154	0.364323	keep	architecture	hammernik-vn-search-tpe-calibrated	random-search	hammernik-vn-search-tpe-calibrated: epochs=16, lr=0.00018199, batch_size=2, vn_T=3, vn_n_filters=16, vn_kernel=7, vn_lambda_init=0.0028191, vn_init=fbp
12		0.721506	0.364406	keep	architecture	hammernik-vn-search-tpe-calibrated	random-search	hammernik-vn-search-tpe-calibrated: epochs=16, lr=0.00018152, batch_size=2, vn_T=3, vn_n_filters=16, vn_kernel=7, vn_lambda_init=0.0033136, vn_init=fbp
13		0.720999	0.364374	keep	architecture	hammernik-vn-search-tpe-calibrated	random-search	hammernik-vn-search-tpe-calibrated: epochs=16, lr=0.00017717, batch_size=2, vn_T=3, vn_n_filters=16, vn_kernel=7, vn_lambda_init=0.0040274, vn_init=fbp
14		0.710318	0.361719	keep	architecture	hammernik-vn-search-tpe-calibrated	random-search	hammernik-vn-search-tpe-calibrated: epochs=16, lr=0.00013697, batch_size=2, vn_T=3, vn_n_filters=16, vn_kernel=7, vn_lambda_init=0.0040854, vn_init=fbp
15		0.733581	0.366637	keep	architecture	hammernik-vn-search-tpe-calibrated	random-search	hammernik-vn-search-tpe-calibrated: epochs=14, lr=0.00021156, batch_size=2, vn_T=3, vn_n_filters=16, vn_kernel=7, vn_lambda_init=0.00088164, vn_init=fbp
16		0.734765	0.366997	keep	architecture	hammernik-vn-search-tpe-calibrated	random-search	hammernik-vn-search-tpe-calibrated: epochs=14, lr=0.00022223, batch_size=2, vn_T=3, vn_n_filters=16, vn_kernel=7, vn_lambda_init=0.00077589, vn_init=fbp
17		0.735534	0.367283	keep	architecture	hammernik-vn-search-tpe-calibrated	random-search	hammernik-vn-search-tpe-calibrated: epochs=14, lr=0.00023155, batch_size=2, vn_T=3, vn_n_filters=16, vn_kernel=7, vn_lambda_init=0.00077197, vn_init=fbp
18		0.736052	0.36752	keep	architecture	hammernik-vn-search-tpe-calibrated	random-search	hammernik-vn-search-tpe-calibrated: epochs=13, lr=0.00024022, batch_size=2, vn_T=3, vn_n_filters=16, vn_kernel=7, vn_lambda_init=0.0008034, vn_init=fbp
19		0.650842	0.350195	keep	architecture	hammernik-vn-search-tpe-calibrated	random-search	hammernik-vn-search-tpe-calibrated: epochs=10, lr=0.00015272, batch_size=2, vn_T=7, vn_n_filters=32, vn_kernel=7, vn_lambda_init=0.00062865, vn_init=fbp
20		0.694537	0.357896	keep	architecture	hammernik-vn-search-tpe-calibrated	random-search	hammernik-vn-search-tpe-calibrated: epochs=12, lr=0.00010276, batch_size=2, vn_T=3, vn_n_filters=16, vn_kernel=7, vn_lambda_init=0.0001224, vn_init=fbp
