iter	commit	val_score	headroom	status	change_class	agent	model	rationale
1		0.835822	0.362068	keep	architecture	itnet-v2-search-tpe-calibrated	random-search	itnet-v2-search-tpe-calibrated: pretrain_epochs=6, pretrain_lr=0.0004177, itnet_k=7, itnet_alpha_init=0.0015883, residual_learning=False
2		0.61988	0	discard	architecture	itnet-v2-search-tpe-calibrated	random-search	itnet-v2-search-tpe-calibrated: pretrain_epochs=3, pretrain_lr=0.002566, itnet_k=8, itnet_alpha_init=0.0011201, residual_learning=True
3		0.52775	0	discard	architecture	itnet-v2-search-tpe-calibrated	random-search	itnet-v2-search-tpe-calibrated: pretrain_epochs=4, pretrain_lr=0.00041992, itnet_k=4, itnet_alpha_init=0.013714, residual_learning=True
4		0.640363	0.231253	keep	architecture	itnet-v2-search-tpe-calibrated	random-search	itnet-v2-search-tpe-calibrated: pretrain_epochs=3, pretrain_lr=0.00022453, itnet_k=3, itnet_alpha_init=0.0015687, residual_learning=True
5		0.634306	0	discard	architecture	itnet-v2-search-tpe-calibrated	random-search	itnet-v2-search-tpe-calibrated: pretrain_epochs=5, pretrain_lr=0.00078554, itnet_k=8, itnet_alpha_init=0.04166, residual_learning=True
6		0.894855	0.430328	keep	architecture	itnet-v2-search-tpe-calibrated	random-search	itnet-v2-search-tpe-calibrated: pretrain_epochs=8, pretrain_lr=0.00014147, itnet_k=6, itnet_alpha_init=0.0042075, residual_learning=False
7		0.919674	0.439365	keep	architecture	itnet-v2-search-tpe-calibrated	random-search	itnet-v2-search-tpe-calibrated: pretrain_epochs=8, pretrain_lr=0.00010615, itnet_k=5, itnet_alpha_init=0.0057987, residual_learning=False
8		0.905988	0.428897	keep	architecture	itnet-v2-search-tpe-calibrated	random-search	itnet-v2-search-tpe-calibrated: pretrain_epochs=8, pretrain_lr=0.0018771, itnet_k=5, itnet_alpha_init=0.0063258, residual_learning=False
9		0.886434	0.388725	keep	architecture	itnet-v2-search-tpe-calibrated	random-search	itnet-v2-search-tpe-calibrated: pretrain_epochs=7, pretrain_lr=0.00010165, itnet_k=5, itnet_alpha_init=0.019204, residual_learning=False
10		0.92773	0.474245	keep	architecture	itnet-v2-search-tpe-calibrated	random-search	itnet-v2-search-tpe-calibrated: pretrain_epochs=6, pretrain_lr=0.0010775, itnet_k=3, itnet_alpha_init=0.0034512, residual_learning=False
11		0.8398	0.378596	keep	architecture	itnet-v2-search-tpe-calibrated	random-search	itnet-v2-search-tpe-calibrated: pretrain_epochs=6, pretrain_lr=0.0049008, itnet_k=3, itnet_alpha_init=0.0033695, residual_learning=False
12		0.846154	0.442778	keep	architecture	itnet-v2-search-tpe-calibrated	random-search	itnet-v2-search-tpe-calibrated: pretrain_epochs=7, pretrain_lr=0.0010828, itnet_k=4, itnet_alpha_init=0.0031436, residual_learning=False
13		0.791337	0.45441	keep	architecture	itnet-v2-search-tpe-calibrated	random-search	itnet-v2-search-tpe-calibrated: pretrain_epochs=7, pretrain_lr=0.0013685, itnet_k=4, itnet_alpha_init=0.0024265, residual_learning=False
14		0.908247	0.440892	keep	architecture	itnet-v2-search-tpe-calibrated	random-search	itnet-v2-search-tpe-calibrated: pretrain_epochs=5, pretrain_lr=0.001696, itnet_k=4, itnet_alpha_init=0.0023281, residual_learning=False
15		0.843768	0.439304	keep	architecture	itnet-v2-search-tpe-calibrated	random-search	itnet-v2-search-tpe-calibrated: pretrain_epochs=7, pretrain_lr=0.0005151, itnet_k=3, itnet_alpha_init=0.010824, residual_learning=False
16		0.88518	0.419897	keep	architecture	itnet-v2-search-tpe-calibrated	random-search	itnet-v2-search-tpe-calibrated: pretrain_epochs=6, pretrain_lr=0.0013722, itnet_k=4, itnet_alpha_init=0.0019675, residual_learning=False
17		0.814234	0.455044	keep	architecture	itnet-v2-search-tpe-calibrated	random-search	itnet-v2-search-tpe-calibrated: pretrain_epochs=7, pretrain_lr=0.0036152, itnet_k=3, itnet_alpha_init=0.0010145, residual_learning=False
18		0.780665	0.421321	keep	architecture	itnet-v2-search-tpe-calibrated	random-search	itnet-v2-search-tpe-calibrated: pretrain_epochs=5, pretrain_lr=0.0044232, itnet_k=3, itnet_alpha_init=0.0010108, residual_learning=False
19		0.611073	0	discard	architecture	itnet-v2-search-tpe-calibrated	random-search	itnet-v2-search-tpe-calibrated: pretrain_epochs=4, pretrain_lr=0.0029119, itnet_k=6, itnet_alpha_init=0.0092045, residual_learning=True
20		0.836044	0.400759	keep	architecture	itnet-v2-search-tpe-calibrated	random-search	itnet-v2-search-tpe-calibrated: pretrain_epochs=6, pretrain_lr=0.0028787, itnet_k=3, itnet_alpha_init=0.024142, residual_learning=False
