iter	commit	val_score	headroom	status	change_class	agent	model	rationale
1		0.571096	0	discard	architecture	lpd-search-tpe-calibrated	random-search	lpd-search-tpe-calibrated: lpd_iters=10, lpd_hidden=64, lpd_n_primal=5, lpd_n_dual=5, lpd_share_weights=False, epochs=20, lr=0.0005, lr_schedule=cosine, batch_size=1, grad_clip=1, lambda_neg=1, loss_base=mse, val_n=20, val_chunk=4
2		0.574857	0	discard	architecture	lpd-search-tpe-calibrated	random-search	lpd-search-tpe-calibrated: lpd_iters=8, lpd_hidden=32, lpd_n_primal=5, lpd_n_dual=5, lpd_share_weights=False, epochs=15, lr=0.00076, lr_schedule=cosine, batch_size=1, grad_clip=0.3, lambda_neg=1, loss_base=mse, val_n=20, val_chunk=4
3		0.571096	0	discard	architecture	lpd-search-tpe-calibrated	random-search	lpd-search-tpe-calibrated: lpd_iters=10, lpd_hidden=64, lpd_n_primal=5, lpd_n_dual=5, lpd_share_weights=False, epochs=17, lr=0.00022821, lr_schedule=cosine, batch_size=1, grad_clip=0.3, lambda_neg=1, loss_base=mse, val_n=20, val_chunk=4
4		0.551569	0	discard	architecture	lpd-search-tpe-calibrated	random-search	lpd-search-tpe-calibrated: lpd_iters=8, lpd_hidden=96, lpd_n_primal=5, lpd_n_dual=5, lpd_share_weights=False, epochs=24, lr=0.00038198, lr_schedule=cosine, batch_size=1, grad_clip=1, lambda_neg=1, loss_base=mse, val_n=20, val_chunk=4
5		0.954725	0.493659	keep	architecture	lpd-search-tpe-calibrated	random-search	lpd-search-tpe-calibrated: lpd_iters=8, lpd_hidden=32, lpd_n_primal=5, lpd_n_dual=5, lpd_share_weights=False, epochs=17, lr=0.00063086, lr_schedule=cosine, batch_size=1, grad_clip=0.5, lambda_neg=1, loss_base=mse, val_n=20, val_chunk=4
6		0.572775	0	discard	architecture	lpd-search-tpe-calibrated	random-search	lpd-search-tpe-calibrated: lpd_iters=8, lpd_hidden=48, lpd_n_primal=5, lpd_n_dual=5, lpd_share_weights=False, epochs=19, lr=0.00097048, lr_schedule=cosine, batch_size=1, grad_clip=0.5, lambda_neg=1, loss_base=mse, val_n=20, val_chunk=4
7		0.955062	0.493327	keep	architecture	lpd-search-tpe-calibrated	random-search	lpd-search-tpe-calibrated: lpd_iters=8, lpd_hidden=32, lpd_n_primal=5, lpd_n_dual=5, lpd_share_weights=False, epochs=24, lr=0.00054754, lr_schedule=cosine, batch_size=1, grad_clip=0.5, lambda_neg=1, loss_base=mse, val_n=20, val_chunk=4
8		0.913194	0.486453	keep	architecture	lpd-search-tpe-calibrated	random-search	lpd-search-tpe-calibrated: lpd_iters=8, lpd_hidden=32, lpd_n_primal=5, lpd_n_dual=5, lpd_share_weights=False, epochs=15, lr=0.0003228, lr_schedule=cosine, batch_size=1, grad_clip=0.5, lambda_neg=1, loss_base=mse, val_n=20, val_chunk=4
9		0.56381	0	discard	architecture	lpd-search-tpe-calibrated	random-search	lpd-search-tpe-calibrated: lpd_iters=10, lpd_hidden=48, lpd_n_primal=5, lpd_n_dual=5, lpd_share_weights=False, epochs=21, lr=0.00069008, lr_schedule=cosine, batch_size=1, grad_clip=0.5, lambda_neg=1, loss_base=mse, val_n=20, val_chunk=4
10		0.961275	0.494724	keep	architecture	lpd-search-tpe-calibrated	random-search	lpd-search-tpe-calibrated: lpd_iters=8, lpd_hidden=96, lpd_n_primal=5, lpd_n_dual=5, lpd_share_weights=False, epochs=18, lr=0.00025973, lr_schedule=cosine, batch_size=1, grad_clip=0.5, lambda_neg=1, loss_base=mse, val_n=20, val_chunk=4
