iter	commit	val_score	headroom	status	change_class	agent	model	rationale
1		0.620682	0.184815	keep	architecture	naf-search-tpe-calibrated	random-search	naf-search-tpe-calibrated: naf_n_freqs=10, naf_hidden=256, naf_layers=4, naf_n_iter=2143, naf_lr=0.0012229, naf_tv_weight=1.26e-05, naf_outer_wall_s=2400
2		0.792073	0.397395	keep	architecture	naf-search-tpe-calibrated	random-search	naf-search-tpe-calibrated: naf_n_freqs=8, naf_hidden=128, naf_layers=4, naf_n_iter=2817, naf_lr=0.0085079, naf_tv_weight=0.00072454, naf_outer_wall_s=2400
3		0.839928	0.421581	keep	architecture	naf-search-tpe-calibrated	random-search	naf-search-tpe-calibrated: naf_n_freqs=6, naf_hidden=256, naf_layers=6, naf_n_iter=2014, naf_lr=0.0042423, naf_tv_weight=3.9864e-06, naf_outer_wall_s=2400
4		0.679662	0.388841	keep	architecture	naf-search-tpe-calibrated	random-search	naf-search-tpe-calibrated: naf_n_freqs=6, naf_hidden=128, naf_layers=4, naf_n_iter=3065, naf_lr=0.00091275, naf_tv_weight=9.1519e-05, naf_outer_wall_s=2400
5		0.721639	0.316946	keep	architecture	naf-search-tpe-calibrated	random-search	naf-search-tpe-calibrated: naf_n_freqs=10, naf_hidden=128, naf_layers=5, naf_n_iter=1578, naf_lr=0.0061558, naf_tv_weight=0.00010021, naf_outer_wall_s=2400
6		0.856449	0.431835	keep	architecture	naf-search-tpe-calibrated	random-search	naf-search-tpe-calibrated: naf_n_freqs=6, naf_hidden=256, naf_layers=6, naf_n_iter=3863, naf_lr=0.0032032, naf_tv_weight=1.641e-06, naf_outer_wall_s=2400
7		0.751856	0.367908	keep	architecture	naf-search-tpe-calibrated	random-search	naf-search-tpe-calibrated: naf_n_freqs=12, naf_hidden=192, naf_layers=6, naf_n_iter=3998, naf_lr=0.0028357, naf_tv_weight=1.7648e-06, naf_outer_wall_s=2400
8		0.784124	0.278377	keep	architecture	naf-search-tpe-calibrated	random-search	naf-search-tpe-calibrated: naf_n_freqs=14, naf_hidden=256, naf_layers=6, naf_n_iter=3972, naf_lr=0.0021725, naf_tv_weight=1.0902e-06, naf_outer_wall_s=2400
9		0.841889	0.427114	keep	architecture	naf-search-tpe-calibrated	random-search	naf-search-tpe-calibrated: naf_n_freqs=6, naf_hidden=192, naf_layers=5, naf_n_iter=3424, naf_lr=0.0020211, naf_tv_weight=1.1078e-05, naf_outer_wall_s=2400
10		0.691314	0.337087	keep	architecture	naf-search-tpe-calibrated	random-search	naf-search-tpe-calibrated: naf_n_freqs=12, naf_hidden=256, naf_layers=6, naf_n_iter=3469, naf_lr=0.00059782, naf_tv_weight=0.00081013, naf_outer_wall_s=2400
11		0.789379	0.348563	keep	architecture	naf-search-tpe-calibrated	random-search	naf-search-tpe-calibrated: naf_n_freqs=8, naf_hidden=256, naf_layers=6, naf_n_iter=2365, naf_lr=0.0039929, naf_tv_weight=4.5981e-05, naf_outer_wall_s=2400
12		0.836766	0.424737	keep	architecture	naf-search-tpe-calibrated	random-search	naf-search-tpe-calibrated: naf_n_freqs=6, naf_hidden=192, naf_layers=5, naf_n_iter=3471, naf_lr=0.0018504, naf_tv_weight=9.104e-06, naf_outer_wall_s=2400
13		0.822156	0.422104	keep	architecture	naf-search-tpe-calibrated	random-search	naf-search-tpe-calibrated: naf_n_freqs=6, naf_hidden=192, naf_layers=5, naf_n_iter=3530, naf_lr=0.0014528, naf_tv_weight=4.2963e-06, naf_outer_wall_s=2400
14		0.852783	0.43024	keep	architecture	naf-search-tpe-calibrated	random-search	naf-search-tpe-calibrated: naf_n_freqs=6, naf_hidden=192, naf_layers=5, naf_n_iter=3165, naf_lr=0.003126, naf_tv_weight=1.1256e-05, naf_outer_wall_s=2400
15		0.758053	0.331073	keep	architecture	naf-search-tpe-calibrated	random-search	naf-search-tpe-calibrated: naf_n_freqs=14, naf_hidden=192, naf_layers=5, naf_n_iter=3031, naf_lr=0.0034772, naf_tv_weight=2.8941e-06, naf_outer_wall_s=2400
16		0.789692	0.353283	keep	architecture	naf-search-tpe-calibrated	random-search	naf-search-tpe-calibrated: naf_n_freqs=6, naf_hidden=256, naf_layers=6, naf_n_iter=3150, naf_lr=0.0057016, naf_tv_weight=2.3064e-05, naf_outer_wall_s=2400
17		0.845997	0.430693	keep	architecture	naf-search-tpe-calibrated	random-search	naf-search-tpe-calibrated: naf_n_freqs=6, naf_hidden=192, naf_layers=5, naf_n_iter=3754, naf_lr=0.0028117, naf_tv_weight=1.0681e-06, naf_outer_wall_s=2400
